dates.22.584.,X1,pred...1.,pred...2.,actual
9/27/2013,-0.026494185,-0.03317509,-0.031525761,-0.361379704
9/28/2013,-0.071641938,-0.064767107,-0.059937198,0.346233508
9/30/2013,0.100464608,-0.027182776,0.095846604,-0.231609236
10/2/2013,-0.010833272,-0.057874449,-0.026609882,-0.550422382
10/3/2013,-0.177751011,-0.074807964,-0.185131857,1.550497945
10/4/2013,0.136892099,0.036780802,0.145152598,-0.018454952
10/5/2013,-0.070048165,-0.046552923,-0.097979184,0.318331495
10/7/2013,-0.009129301,-0.02866477,0.007386161,0.956704175
10/8/2013,0.171037337,0.005241903,0.201925652,1.779923817
10/9/2013,0.295863532,0.048966581,0.308920911,-0.967307758
10/10/2013,-0.18124948,-0.09695051,-0.180717259,-1.157621808
10/11/2013,-0.120532868,-0.107058894,-0.107584493,-1.720320825
10/12/2013,-0.153147366,-0.136946219,-0.148409632,-0.762369969
10/14/2013,-0.096484025,-0.086065397,-0.126957542,0.082914277
10/15/2013,0.06118701,-0.041168775,0.080647763,-1.098906984
10/16/2013,-0.048297041,-0.103940301,-0.012550579,0.737234454
10/17/2013,0.09647205,-0.006415062,0.096362048,1.55649883
10/18/2013,0.225541444,0.037099534,0.236849377,1.22643372
10/19/2013,0.281242853,0.01956838,0.309171586,0.22963066
10/21/2013,0.17338648,-0.033376047,0.191724158,0.924581348
10/22/2013,-0.071535554,0.003535724,-0.089999178,0.911634179
10/23/2013,0.040342635,0.002848045,0.045082268,1.403499053
10/24/2013,-0.024099285,0.028973069,-0.042268011,0.205950587
10/25/2013,-0.019869004,-0.034633796,-0.01957957,-0.659032669
10/26/2013,-0.031733468,-0.080576716,-0.041543967,-0.025724386
10/28/2013,-0.003404605,-0.046939034,0.018058005,0.08823367
10/29/2013,-0.031282551,-0.040886239,-0.014164305,-0.310270459
10/30/2013,0.159560553,-0.062052479,0.182910917,0.859202704
10/31/2013,-0.014811248,6.32E-05,-0.018901241,-1.88247867
11/2/2013,-0.313342459,-0.145559108,-0.313626385,0.018739216
11/4/2013,-0.074856972,-0.044577384,-0.06364884,-0.492957132
11/5/2013,-0.03149346,-0.071755741,-0.000531682,-0.440489807
11/6/2013,0.013921776,-0.06896898,0.034052771,0.512110222
11/7/2013,0.004708993,-0.018372362,0.004968641,-0.212715696
11/8/2013,-0.01788754,-0.056870933,-0.012195764,-0.651059287
11/9/2013,0.025935984,-0.080153215,0.037296033,-0.418894926
11/10/2013,0.010202739,-0.067821984,0.024578693,0.001859445
11/11/2013,-0.089803349,-0.04547394,-0.091170111,-0.597729296
11/12/2013,-0.178349256,-0.077320634,-0.199555323,-1.180729014
11/13/2013,-0.12180977,-0.108286215,-0.13977513,-1.996826033
11/14/2013,-0.276371341,-0.15163258,-0.291723064,0.241561734
11/15/2013,0.011250295,-0.032742337,0.005490636,-0.104074828
11/16/2013,-0.000715957,-0.051100557,-0.010187183,0.31814741
11/17/2013,0.09345204,-0.028674548,0.122856249,0.004324833
11/18/2013,-0.192958888,-0.045342992,-0.227849294,-0.800388303
11/19/2013,-0.29964891,-0.088084711,-0.337984942,-1.404368797
11/20/2013,-0.282404648,-0.12016467,-0.289431227,-0.214409792
11/21/2013,-0.099743306,-0.056960914,-0.106920482,-1.987814792
11/22/2013,-0.157484383,-0.151153955,-0.14055969,0.21119332
11/23/2013,-0.031212645,-0.034355332,-0.01951109,-0.469645967
11/24/2013,-0.137222686,-0.070517587,-0.140187245,-0.002517414
11/25/2013,-0.266116263,-0.045706413,-0.290365657,-0.279827648
11/26/2013,-0.10726213,-0.060435533,-0.11243617,1.400335233
11/27/2013,0.105795879,0.028805025,0.103336595,-0.997731626
11/28/2013,-0.187533752,-0.09856645,-0.194721563,-0.892545116
11/29/2013,-0.365169639,-0.092979549,-0.400827489,0.822118327
11/30/2013,0.031095389,-0.001906521,0.019443435,0.595051703
12/3/2013,-0.097706046,-0.01396699,-0.123362749,-2.655055075
12/4/2013,-0.728405553,-0.186593909,-0.793664168,0.302379975
12/5/2013,0.329960479,-0.029512023,0.370750124,1.588394692
12/6/2013,0.303641032,0.038793659,0.329149989,-0.415666753
12/7/2013,-0.062869935,-0.067650522,-0.053551405,0.18985269
12/8/2013,-0.043080958,-0.035488823,0.013240051,0.004613551
12/9/2013,-0.135876438,-0.045327657,-0.115703296,0.536791895
12/10/2013,0.049065634,-0.017061414,0.069153803,2.168214593
12/11/2013,0.178414351,0.069590346,0.192546607,1.486174884
12/12/2013,0.100343955,0.033364332,0.103993042,-1.715944067
12/13/2013,-0.23298834,-0.136713751,-0.203894908,-2.395302887
12/14/2013,-0.277187444,-0.172797372,-0.288231855,0.934981704
12/15/2013,0.047256586,0.004088131,0.059197995,0.000507427
12/16/2013,-0.100607448,-0.045545751,-0.110046141,0.031455476
12/17/2013,-0.021748227,-0.043901969,-0.030699777,1.246166017
12/18/2013,0.131368908,0.020616446,0.124015918,-0.008517098
12/19/2013,-0.076357565,-0.046025082,-0.070615112,-2.588965623
12/20/2013,-0.186234809,-0.183083619,-0.165475528,-0.759215738
12/21/2013,-0.125671384,-0.085897862,-0.137743472,0.539424683
12/22/2013,0.08919489,-0.016921576,0.107689149,0.004122309
12/23/2013,-0.00822443,-0.045353749,0.007368463,0.092707052
12/24/2013,-0.0544496,-0.040648639,-0.058750772,0.004118319
12/25/2013,-0.009193297,-0.045353961,-0.004061335,0.419692756
12/26/2013,0.019558459,-0.023281045,0.035849948,0.621415204
12/27/2013,0.231756619,-0.012566713,0.315890603,1.488678049
12/28/2013,0.245159889,0.033497286,0.280017447,0.799366367
12/29/2013,0.262206671,-0.003114973,0.322003678,0.004979113
12/30/2013,0.00492439,-0.045308241,0.011833057,-1.426145662
12/31/2013,-0.134471519,-0.121321332,-0.117259668,-1.520593556
1/1/2014,-0.173215581,-0.126337859,-0.160021704,-0.244385923
1/3/2014,0.049247699,-0.058553073,0.114787834,0.956491265
1/4/2014,0.224282876,0.005230595,0.253950694,0.158364166
1/5/2014,0.102657653,-0.037161312,0.134768912,0.001984166
1/6/2014,-0.031475165,-0.045467315,-0.016688947,-0.073440388
1/7/2014,0.018738484,-0.049473432,0.03821827,-0.514101569
1/8/2014,0.022408257,-0.072878812,0.061876802,-2.098536191
1/9/2014,-0.26364932,-0.157034837,-0.248437625,-0.281663017
1/10/2014,0.067054558,-0.060533017,0.0947959,1.294578894
1/11/2014,0.276262451,0.023187859,0.307015684,1.657783951
1/12/2014,0.235718581,0.042479216,0.26605867,0.00644926
1/13/2014,0.02769978,-0.045230155,0.040250529,0.190313877
1/14/2014,-0.039934653,-0.035464328,-0.059384441,0.701618766
1/15/2014,0.037095006,-0.008306762,0.03839368,-0.985735926
1/16/2014,-0.238657388,-0.097929308,-0.231096274,-0.073515901
1/17/2014,0.039785243,-0.049477443,0.053087003,0.203030636
1/18/2014,-0.160051593,-0.034788887,-0.18158081,0.667239176
1/19/2014,-0.012076009,-0.010132807,-0.010265466,0.004433356
1/20/2014,0.088759375,-0.045337228,0.111701463,0.173239473
1/21/2014,-0.205502364,-0.036371221,-0.239796488,-1.248398833
1/22/2014,-0.292189432,-0.111880446,-0.324036848,-1.011370807
1/26/2014,-0.135604465,-0.099290884,-0.142795225,0.0035147
1/27/2014,-0.049173216,-0.045386022,-0.065696641,-0.192989129
1/28/2014,-0.051102322,-0.055823172,-0.067076421,-0.921819224
1/29/2014,-0.166043331,-0.094534421,-0.171900999,-0.317829469
1/30/2014,-0.105405534,-0.06245397,-0.108689201,-1.034188325
1/31/2014,-0.065946169,-0.100502819,-0.060160362,-1.145413193
2/2/2014,-0.109742225,-0.106410443,-0.106762676,0.002607038
2/3/2014,-0.043997572,-0.045434232,-0.046609328,0.338857216
2/4/2014,0.034510811,-0.027574563,0.021288791,0.788292079
2/5/2014,-0.000676826,-0.003703176,-0.003824186,1.427140454
2/6/2014,0.171453658,0.030228764,0.198916611,1.502232627
2/7/2014,0.156325531,0.034217227,0.166601228,-0.289808769
2/8/2014,0.030966454,-0.060965672,0.052946055,0.540831493
2/9/2014,0.009645651,-0.016846854,0.02532933,-0.001498266
2/10/2014,-0.165566871,-0.045652282,-0.174015341,0.442509468
2/11/2014,0.00360716,-0.022069153,0.002603514,0.212584269
2/12/2014,0.031296906,-0.034281453,0.040486724,0.322482651
2/13/2014,0.040316413,-0.028444285,0.057951155,0.296300903
2/14/2014,0.091752791,-0.029834908,0.122069256,3.136724049
2/15/2014,0.548068106,0.12103198,0.604777401,2.602290535
2/16/2014,0.391830479,0.092645956,0.433775453,0.002793569
2/17/2014,-0.000854885,-0.045424324,0.017260586,1.211081462
2/18/2014,0.316667245,0.018752957,0.341242845,-0.207207198
2/19/2014,0.075829762,-0.056578353,0.100998568,0.447030891
2/20/2014,-0.014421936,-0.021829001,-0.004611407,-0.823402609
2/21/2014,-0.114580933,-0.089307098,-0.105770725,0.593698045
2/22/2014,0.043676496,-0.014038888,0.061616835,0.492756482
2/23/2014,0.089583919,-0.019400321,0.109662748,0.004576659
2/24/2014,-0.248463988,-0.045329617,-0.274334361,0.141315631
2/25/2014,-0.005128187,-0.038066832,-0.007300669,0.068527887
2/26/2014,0.017422756,-0.041932897,0.018676809,-0.799666789
