"Index" "USD.MXN"
2014-04-19 13.052
2014-04-20 13.052
2014-04-21 13.0491
2014-04-22 13.0423
2014-04-23 13.0712
2014-04-24 13.0823
2014-04-25 13.115
2014-04-26 13.1317
2014-04-27 13.1317
2014-04-28 13.1294
2014-04-29 13.1118
2014-04-30 13.0981
2014-05-01 13.0669
2014-05-02 13.0343
2014-05-03 13.0152
2014-05-04 13.0152
2014-05-05 13.0185
2014-05-06 13.0323
2014-05-07 13.0187
2014-05-08 12.9558
2014-05-09 12.9591
2014-05-10 12.9465
2014-05-11 12.9465
2014-05-12 12.9519
2014-05-13 12.9393
2014-05-14 12.9069
2014-05-15 12.9202
2014-05-16 12.9434
2014-05-17 12.9026
2014-05-18 12.9026
2014-05-19 12.9031
2014-05-20 12.9163
2014-05-21 12.9143
2014-05-22 12.9089
2014-05-23 12.8773
2014-05-24 12.8566
2014-05-25 12.8566
2014-05-26 12.8632
2014-05-27 12.8715
2014-05-28 12.8682
2014-05-29 12.8599
2014-05-30 12.8472
2014-05-31 12.8587
2014-06-01 12.8587
2014-06-02 12.88
2014-06-03 12.9205
2014-06-04 12.9437
2014-06-05 12.9098
2014-06-06 12.8783
2014-06-07 12.9297
2014-06-08 12.9297
2014-06-09 12.9451
2014-06-10 13.0319
2014-06-11 13.0301
2014-06-12 13.0024
2014-06-13 13.0033
2014-06-14 13.016
2014-06-15 13.016
2014-06-16 13.0296
2014-06-17 13.0666
2014-06-18 13.0829
2014-06-19 12.9901
2014-06-20 13.0149
2014-06-21 12.9914
2014-06-22 12.9914
2014-06-23 12.993
2014-06-24 13.0292
2014-06-25 13.047
2014-06-26 13.0175
2014-06-27 13.0056
2014-06-28 12.9634
2014-06-29 12.9634
2014-06-30 12.9761
2014-07-01 12.9671
2014-07-02 12.9567
2014-07-03 12.9858
2014-07-04 12.9697
2014-07-05 12.9736
2014-07-06 12.974
2014-07-07 12.9845
2014-07-08 13.006
2014-07-09 12.9854
2014-07-10 12.9864
2014-07-11 12.9919
2014-07-12 12.9954
2014-07-13 12.9954
2014-07-14 12.983
2014-07-15 12.959
2014-07-16 12.9419
2014-07-17 12.9351
2014-07-18 12.9744
2014-07-19 12.9479
2014-07-20 12.9461
2014-07-21 12.967
2014-07-22 12.9591
2014-07-23 12.9321
2014-07-24 12.9436
2014-07-25 12.956
2014-07-26 12.947
2014-07-27 12.947
2014-07-28 12.9634
2014-07-29 13.0246
2014-07-30 13.0936
2014-07-31 13.1873
2014-08-01 13.2156
2014-08-02 13.1826
2014-08-03 13.1826
2014-08-04 13.1957
2014-08-05 13.2211
2014-08-06 13.2891
2014-08-07 13.2574
2014-08-08 13.2729
2014-08-09 13.2467
2014-08-10 13.2476
2014-08-11 13.2267
2014-08-12 13.1764
2014-08-13 13.1286
2014-08-14 13.1113
2014-08-15 13.0705
2014-08-16 13.0714
2014-08-17 13.0714
2014-08-18 13.0558
2014-08-19 13.0491
2014-08-20 13.0704
2014-08-21 13.1176
2014-08-22 13.1172
2014-08-23 13.1374
2014-08-24 13.1374
2014-08-25 13.1346
2014-08-26 13.1308
2014-08-27 13.0864
2014-08-28 13.0915
2014-08-29 13.085
2014-08-30 13.0838
2014-08-31 13.0835
2014-09-01 13.0844
2014-09-02 13.1118
2014-09-03 13.0972
2014-09-04 13.1045
2014-09-05 13.1205
2014-09-06 13.0327
2014-09-07 13.0327
2014-09-08 13.0617
2014-09-09 13.1766
2014-09-10 13.2155
2014-09-11 13.2048
2014-09-12 13.2414
2014-09-13 13.2561
2014-09-14 13.2561
2014-09-15 13.2499
2014-09-16 13.2153
2014-09-17 13.1782
2014-09-18 13.2467
2014-09-19 13.233
2014-09-20 13.2112
2014-09-21 13.2112
2014-09-22 13.2409
2014-09-23 13.2722
2014-09-24 13.2927
2014-09-25 13.3279
2014-09-26 13.4053
2014-09-27 13.4471
2014-09-28 13.4471
2014-09-29 13.4856
2014-09-30 13.4676
2014-10-01 13.4426
2014-10-02 13.4207
2014-10-03 13.42
2014-10-04 13.4887
2014-10-05 13.4887
2014-10-06 13.4278
2014-10-07 13.4219
2014-10-08 13.4648
2014-10-09 13.3459
2014-10-10 13.4422
2014-10-11 13.4788
2014-10-12 13.4788
2014-10-13 13.4317
2014-10-14 13.4382
2014-10-15 13.4846
2014-10-16 13.5659
2014-10-17 13.5346
2014-10-18 13.5231
2014-10-19 13.5231
2014-10-20 13.5293
2014-10-21 13.5318
2014-10-22 13.5491
2014-10-23 13.5447
2014-10-24 13.5504
2014-10-25 13.5594
2014-10-26 13.5594
2014-10-27 13.5706
2014-10-28 13.5234
2014-10-29 13.4412
2014-10-30 13.4709
2014-10-31 13.4471
2014-11-01 13.48
2014-11-02 13.48
2014-11-03 13.5034
2014-11-04 13.6063
2014-11-05 13.5892
2014-11-06 13.5912
2014-11-07 13.6133
2014-11-08 13.5394
2014-11-09 13.5401
2014-11-10 13.5372
2014-11-11 13.6017
2014-11-12 13.5913
2014-11-13 13.5753
2014-11-14 13.5947
2014-11-15 13.5337
2014-11-16 13.534
2014-11-17 13.555
2014-11-18 13.5672
2014-11-19 13.5812
2014-11-20 13.6199
2014-11-21 13.6357
2014-11-22 13.6181
2014-11-23 13.6179
2014-11-24 13.6323
2014-11-25 13.6606
2014-11-26 13.6917
2014-11-27 13.7351
2014-11-28 13.8194
2014-11-29 13.928
2014-11-30 13.9281
2014-12-01 13.932
2014-12-02 14.0182
2014-12-03 14.1073
2014-12-04 14.1198
2014-12-05 14.2106
2014-12-06 14.3582
2014-12-07 14.3571
2014-12-08 14.3766
2014-12-09 14.3896
2014-12-10 14.4453
2014-12-11 14.5842
2014-12-12 14.7893
2014-12-13 14.7623
2014-12-14 14.7626
2014-12-15 14.7644
2014-12-16 14.7412
2014-12-17 14.7072
2014-12-18 14.5652
2014-12-19 14.5806
2014-12-20 14.5985
2014-12-21 14.5984
2014-12-22 14.6024
2014-12-23 14.6674
2014-12-24 14.7575
2014-12-25 14.7221
2014-12-26 14.7161
2014-12-27 14.7158
2014-12-28 14.7159
2014-12-29 14.7128
2014-12-30 14.7643
2014-12-31 14.7342
2015-01-01 14.7421
2015-01-02 14.7947
2015-01-03 14.8351
2015-01-04 14.8347
2015-01-05 14.8815
2015-01-06 14.9204
2015-01-07 14.8406
2015-01-08 14.6909
2015-01-09 14.6457
2015-01-10 14.6024
2015-01-11 14.6025
2015-01-12 14.6115
2015-01-13 14.6324
2015-01-14 14.6157
2015-01-15 14.5288
2015-01-16 14.6531
2015-01-17 14.5599
2015-01-18 14.5596
2015-01-19 14.6085
2015-01-20 14.6395
2015-01-21 14.6661
2015-01-22 14.7124
2015-01-23 14.6462
2015-01-24 14.6567
2015-01-25 14.6564
2015-01-26 14.6472
2015-01-27 14.5936
2015-01-28 14.6496
2015-01-29 14.7733
2015-01-30 14.8547
2015-01-31 14.9788
2015-02-01 14.9781
2015-02-02 14.9374
2015-02-03 14.8181
2015-02-04 14.7117
2015-02-05 14.834
2015-02-06 14.812
2015-02-07 14.8453
2015-02-08 14.8448
2015-02-09 14.8349
2015-02-10 14.859
2015-02-11 15.0059
2015-02-12 15.0285
2015-02-13 14.9228
2015-02-14 14.8852
2015-02-15 14.8852
2015-02-16 14.8958
2015-02-17 14.8893
2015-02-18 14.9255
2015-02-19 14.9154
2015-02-20 15.0111
2015-02-21 15.0297
2015-02-22 15.0296
2015-02-23 15.0705
2015-02-24 15.0613
2015-02-25 14.9194
2015-02-26 14.9312
2015-02-27 14.9811
2015-02-28 14.948
2015-03-01 14.9484
2015-03-02 14.9628
2015-03-03 15.0007
2015-03-04 15.0233
2015-03-05 15.0896
2015-03-06 15.2759
2015-03-07 15.497
2015-03-08 15.4972
2015-03-09 15.4651
2015-03-10 15.5402
2015-03-11 15.5836
2015-03-12 15.4419
2015-03-13 15.4627
2015-03-14 15.4862
2015-03-15 15.4862
2015-03-16 15.4637
2015-03-17 15.4119
2015-03-18 15.365
2015-03-19 15.2033
2015-03-20 15.1815
2015-03-21 15.0583
2015-03-22 15.0583
2015-03-23 15.0097
2015-03-24 14.9323
2015-03-25 14.9427
2015-03-26 15.0228
2015-03-27 15.1523
2015-03-28 15.2366
2015-03-29 15.2366
2015-03-30 15.2375
2015-03-31 15.2819
2015-04-01 15.2101
2015-04-02 15.0985
2015-04-03 14.9427
2015-04-04 14.8247
2015-04-05 14.8247
2015-04-06 14.8289
2015-04-07 14.9015
2015-04-08 14.9039
2015-04-09 14.9644
2015-04-10 15.1302
2015-04-11 15.227
2015-04-12 15.227
2015-04-13 15.2891
2015-04-14 15.3273
2015-04-15 15.2933
2015-04-16 15.2317
2015-04-17 15.2157
2015-04-18 15.335
2015-04-19 15.335
2015-04-20 15.3467
2015-04-21 15.4511
2015-04-22 15.4217
2015-04-23 15.4167
2015-04-24 15.3594
2015-04-25 15.397
2015-04-26 15.397
2015-04-27 15.3718
2015-04-28 15.3195
2015-04-29 15.2464
2015-04-30 15.2833
2015-05-01 15.4163
2015-05-02 15.5647
2015-05-03 15.5647
2015-05-04 15.5225
2015-05-05 15.4242
2015-05-06 15.3275
2015-05-07 15.3567
2015-05-08 15.2481
2015-05-09 15.1229
2015-05-10 15.1229
2015-05-11 15.1982
2015-05-12 15.3439
2015-05-13 15.2838
2015-05-14 15.2093
2015-05-15 15.0854
2015-05-16 15.0071
2015-05-17 15.0071
2015-05-18 15.0569
2015-05-19 15.135
2015-05-20 15.1993
2015-05-21 15.1932
2015-05-22 15.2369
2015-05-23 15.262
2015-05-24 15.262
2015-05-25 15.2626
2015-05-26 15.2862
2015-05-27 15.3066
2015-05-28 15.3203
2015-05-29 15.3466
2015-05-30 15.3788
2015-05-31 15.3788
2015-06-01 15.4256
2015-06-02 15.4595
2015-06-03 15.463
2015-06-04 15.5382
2015-06-05 15.6061
2015-06-06 15.7127
2015-06-07 15.7127
2015-06-08 15.695
2015-06-09 15.6071
2015-06-10 15.5088
2015-06-11 15.4571
2015-06-12 15.3862
2015-06-13 15.4036
2015-06-14 15.4036
2015-06-15 15.4279
2015-06-16 15.4347
2015-06-17 15.3889
2015-06-18 15.2588
2015-06-19 15.3338
2015-06-20 15.3485
2015-06-21 15.3485
2015-06-22 15.3309
2015-06-23 15.373
2015-06-24 15.415
2015-06-25 15.4932
2015-06-26 15.5253
2015-06-27 15.5556
2015-06-28 15.5556
2015-06-29 15.6565
2015-06-30 15.6907
2015-07-01 15.7518
2015-07-02 15.7555
2015-07-03 15.6891
2015-07-04 15.7299
2015-07-05 15.7299
2015-07-06 15.7846
2015-07-07 15.7655
2015-07-08 15.8197
2015-07-09 15.8072
2015-07-10 15.7538
2015-07-11 15.71
2015-07-12 15.71
2015-07-13 15.7507
2015-07-14 15.7069
2015-07-15 15.6949
2015-07-16 15.7999
2015-07-17 15.8497
2015-07-18 15.9284
2015-07-19 15.9284
2015-07-20 15.952
2015-07-21 15.9974
2015-07-22 16.0472
2015-07-23 16.1095
2015-07-24 16.2363
2015-07-25 16.2664
2015-07-26 16.2664
2015-07-27 16.262
2015-07-28 16.2725
2015-07-29 16.2602
2015-07-30 16.3336
2015-07-31 16.1975
2015-08-01 16.1095
2015-08-02 16.1095
2015-08-03 16.1322
2015-08-04 16.1683
2015-08-05 16.316
2015-08-06 16.3591
2015-08-07 16.2723
2015-08-08 16.1612
2015-08-09 16.1612
2015-08-10 16.1773
2015-08-11 16.2678
2015-08-12 16.3152
2015-08-13 16.3038
2015-08-14 16.3975
2015-08-15 16.3756
2015-08-16 16.3756
2015-08-17 16.4213
2015-08-18 16.4362
2015-08-19 16.4496
2015-08-20 16.67
2015-08-21 16.8621
2015-08-22 16.9873
2015-08-23 16.9873
2015-08-24 17.0977
2015-08-25 17.0828
2015-08-26 17.1631
2015-08-27 16.9556
2015-08-28 16.8508
2015-08-29 16.7527
2015-08-30 16.7527
2015-08-31 16.7874
2015-09-01 16.8305
2015-09-02 16.9155
2015-09-03 16.85
2015-09-04 16.8604
2015-09-05 16.9412
2015-09-06 16.9412
2015-09-07 16.9479
2015-09-08 16.8929
2015-09-09 16.7952
2015-09-10 16.8805
2015-09-11 16.7799
2015-09-12 16.8373
2015-09-13 16.8373
2015-09-14 16.7969
2015-09-15 16.7352
2015-09-16 16.6437
2015-09-17 16.5534
2015-09-18 16.5556
2015-09-19 16.6542
2015-09-20 16.6542
2015-09-21 16.6403
2015-09-22 16.7522
2015-09-23 16.964
2015-09-24 17.1123
2015-09-25 16.8911
2015-09-26 16.9737
2015-09-27 16.9737
2015-09-28 17.0071
2015-09-29 17.0778
2015-09-30 16.9603
2015-10-01 16.8687
2015-10-02 16.8762
2015-10-03 16.7582
2015-10-04 16.7582
2015-10-05 16.7253
2015-10-06 16.7496
2015-10-07 16.6159
2015-10-08 16.6114
2015-10-09 16.4438
2015-10-10 16.4311
2015-10-11 16.4311
2015-10-12 16.4297
2015-10-13 16.553
2015-10-14 16.5982
2015-10-15 16.4177
2015-10-16 16.4071
2015-10-17 16.4276
2015-10-18 16.4276
2015-10-19 16.4309
2015-10-20 16.5198
2015-10-21 16.6128
2015-10-22 16.59
2015-10-23 16.5045
2015-10-24 16.5945
2015-10-25 16.5945
2015-10-26 16.5544
2015-10-27 16.5514
2015-10-28 16.5321
2015-10-29 16.6373
2015-10-30 16.5768
2015-10-31 16.5006
2015-11-01 16.5006
