"Index" "CL.Open" "CL.High" "CL.Low" "CL.Close" "CL.Volume" "CL.Adjusted"
2013-03-28 117.110001 118.449997 116.279999 118.029999 3380000 55.552932
2013-04-01 117.870003 118.139999 117.279999 117.709999 1855600 55.402318
2013-04-02 118.050003 118.970001 117.970001 118.900002 2619800 55.962414
2013-04-03 119 119.120003 117.040001 117.309998 3354000 55.21405
2013-04-04 117.540001 117.730003 116.739998 117.080002 2603000 55.105798
2013-04-05 116.400002 116.910004 116.019997 116.720001 1962000 54.936358
2013-04-08 117.099998 117.720001 116.150002 117.720001 1488200 55.407026
2013-04-09 118 118.080002 116.629997 117.25 2649400 55.185811
2013-04-10 117.459999 118.529999 117.300003 118.269997 2460600 55.665891
2013-04-11 118.290001 119.190002 118.209999 118.839996 2118400 55.934171
2013-04-12 118.580002 119.239998 118 118.370003 2151000 55.71296
2013-04-15 118 118.639999 116.870003 116.870003 3040400 55.006959
2013-04-16 117.459999 119.480003 117.07 119.330002 3551800 56.164801
2013-04-17 119.010002 119.169998 117.260002 117.849998 3133000 55.468211
2013-04-18 118.050003 119.18 118 118.57 2743400 55.807093
2013-04-19 118.660004 119.889999 118.580002 119.720001 2951600 56.673382
2013-04-22 119.639999 121.089996 119.330002 120.410004 3267200 57.000018
2013-04-23 120.559998 121.440002 119.660004 121.43 3784800 57.482866
2013-04-24 121.050003 121.050003 117.690002 117.900002 4436200 55.811826
2013-04-25 120.599998 122.400002 119.32 119.419998 5879800 56.531366
2013-04-26 119.879997 120.93 118.519997 118.989998 3885600 56.327811
2013-04-29 119.25 119.93 119.059998 119.370003 2610600 56.507699
2013-04-30 119.059998 119.779999 118.32 119.410004 3388000 56.526635
2013-05-01 119.440002 120.459999 118.879997 119.139999 2393600 56.398819
2013-05-02 119.160004 121.099998 118.760002 120.730003 2341200 57.1515
2013-05-03 121.269997 121.559998 120.099998 121.150002 2120800 57.35032
2013-05-06 121.150002 121.269997 120.010002 120.199997 1797200 56.900604
2013-05-07 120.370003 120.5 119.830002 120.330002 2657800 56.962146
2013-05-08 120.150002 120.699997 119.839996 120.519997 2090800 57.052086
2013-05-09 120.339996 120.709999 119.790001 120.190002 3025200 56.895873
2013-05-10 120.5 120.980003 120.110001 120.720001 2484000 57.146765
2013-05-13 120.800003 121.199997 120.32 120.910004 1837600 57.236709
2013-05-14 121 123.349998 121 123.349998 3101000 58.39176
2013-05-15 122.839996 124.739998 122.660004 124.550003 7490600 58.959822
2013-05-16 62.310001 62.700001 61.330002 62.380001 3077800 59.059232
2013-05-17 62.139999 62.400002 61.779999 62.040001 4148300 58.737331
2013-05-20 62.040001 62.049999 61.419998 61.549999 2321300 58.273415
2013-05-21 61.599998 62.080002 61.189999 61.580002 2895900 58.30182
2013-05-22 61.5 62.130001 61.220001 61.41 3059500 58.140868
2013-05-23 61.07 61.330002 60.869999 60.970001 3159600 57.724293
2013-05-24 60.869999 61.310001 60.48 61.169998 1756700 57.913643
2013-05-28 61.860001 62.25 61.389999 61.630001 2717100 58.349158
2013-05-29 61.09 61.18 59.400002 59.580002 4483400 56.408289
2013-05-30 59.75 60.099998 59.330002 59.630001 2961000 56.455627
2013-05-31 59.419998 59.470001 57.830002 57.84 4731300 54.760916
2013-06-03 57.91 58.669998 57.52 58.599998 4101400 55.480456
2013-06-04 58.799999 59.220001 58.240002 58.869999 3066800 55.736083
2013-06-05 58.73 58.77 57.900002 57.900002 2584900 54.817723
2013-06-06 57.799999 58.220001 57.07 58.040001 3861600 54.950269
2013-06-07 58.509998 59.139999 58.419998 59.099998 2980200 55.953839
2013-06-10 59.279999 59.349998 58.650002 58.82 2710200 55.688745
2013-06-11 58.450001 59.240002 58.060001 58.619999 2338900 55.499392
2013-06-12 58.990002 59.5 58.150002 58.16 2344900 55.06388
2013-06-13 58.119999 58.650002 57.189999 58.459999 2516500 55.347909
