"Index" "CSC.Open" "CSC.High" "CSC.Low" "CSC.Close" "CSC.Volume" "CSC.Adjusted"
2013-02-13 46.599998 46.990002 46.490002 46.810001 1724200 44.921847
2013-02-14 46.68 47.630001 46.650002 47.610001 1794500 45.689577
2013-02-15 48.310001 49.490002 47.32 48.07 1634100 46.131022
2013-02-19 48.099998 48.939999 48.099998 48.799999 1987600 46.831576
2013-02-20 48.759998 48.939999 47.849998 47.900002 1229700 45.967881
2013-02-21 47.610001 47.82 47.060001 47.099998 2138300 45.200147
2013-02-22 47.349998 47.669998 46.950001 47.66 2058800 45.73756
2013-02-25 47.810001 47.880001 46.470001 46.470001 1438300 44.595562
2013-02-26 46.759998 47.639999 46.549999 47.540001 1616400 45.622401
2013-02-27 47.610001 48.34 47.16 48.18 1432500 46.236585
2013-02-28 48.189999 48.389999 48 48.029999 1389000 46.092634
2013-03-01 47.880001 48.290001 47.32 48.27 1497400 46.322955
2013-03-04 47.98 48.41 47.91 48.290001 1398100 46.342149
2013-03-05 48.580002 49.610001 48.580002 49.599998 1468000 47.599306
2013-03-06 49.75 49.950001 49.290001 49.349998 1371400 47.35939
2013-03-07 49.290001 49.98 49.16 49.849998 1217700 47.839222
2013-03-08 49.990002 49.990002 49.060001 49.759998 1053900 47.752852
2013-03-11 49.700001 50.52 49.509998 50.5 1074400 48.463004
2013-03-12 50.330002 50.59 49.900002 49.990002 1401600 47.973578
2013-03-13 50.099998 50.139999 49.110001 49.389999 1990300 47.397777
2013-03-14 49.610001 50.220001 49.509998 49.779999 1495200 47.966279
2013-03-15 49.580002 49.950001 48.580002 48.580002 2439800 46.810004
2013-03-18 48.16 48.990002 47.869999 48.32 1936400 46.559475
2013-03-19 48.57 48.73 47.779999 48.139999 1548300 46.386032
2013-03-20 48.490002 49.700001 48.470001 49.099998 2101600 47.311054
2013-03-21 48.689999 49.439999 48.419998 48.490002 1644900 46.723283
2013-03-22 48.700001 48.880001 48.310001 48.459999 1099700 46.694373
2013-03-25 48.650002 48.790001 48.009998 48.529999 1375400 46.761822
2013-03-26 48.700001 49.369999 48.700001 49.099998 911600 47.311054
2013-03-27 48.68 49.060001 48.580002 48.939999 990900 47.156884
2013-03-28 48.740002 49.310001 48.560001 49.23 1396300 47.436319
2013-04-01 49.23 49.259998 48.389999 48.5 886200 46.732917
2013-04-02 48.59 48.889999 48.16 48.279999 974500 46.520931
2013-04-03 48.490002 48.509998 47.52 47.82 2312200 46.077692
2013-04-04 47.900002 48.029999 47.639999 47.849998 1224500 46.106598
2013-04-05 47.23 47.360001 46.740002 47.259998 1179800 45.538094
2013-04-08 47.330002 47.68 47.119999 47.68 1047300 45.942793
2013-04-09 47.77 47.889999 47.169998 47.619999 1300700 45.884978
2013-04-10 47.959999 48.689999 47.73 48.610001 3226200 46.838909
2013-04-11 48.580002 48.919998 48.169998 48.509998 1636200 46.742551
2013-04-12 48.099998 48.150002 46.299999 46.689999 1757500 44.988862
2013-04-15 46.23 46.580002 45.240002 45.240002 1457600 43.591695
2013-04-16 45.700001 46.419998 45.330002 46.400002 1264600 44.709431
2013-04-17 45.91 45.91 44.779999 44.970001 931700 43.331532
2013-04-18 45.220001 45.240002 44.240002 44.459999 1069700 42.840112
2013-04-19 44.48 44.540001 43.689999 44.23 1413100 42.618492
2013-04-22 44.299999 44.57 43.580002 44.310001 1164100 42.695579
2013-04-23 44.689999 45.259998 44.48 45.209999 1294200 43.562786
2013-04-24 45.189999 45.68 45.130001 45.400002 978500 43.745866
2013-04-25 45.549999 46.209999 45.43 45.669998 843600 44.006025
2013-04-26 45.66 46.029999 45.360001 45.599998 826000 43.938576
2013-04-29 45.630001 46.610001 45.549999 46.369999 742700 44.680521
2013-04-30 46.240002 46.959999 46.040001 46.849998 1131500 45.143032
2013-05-01 46.59 46.799999 45.849998 45.889999 785600 44.218011
2013-05-02 46.09 46.779999 45.900002 46.759998 860000 45.056311
2013-05-03 47.259998 47.52 47.139999 47.279999 976500 45.557366
2013-05-06 47.32 47.939999 47.16 47.830002 951300 46.08733
2013-05-07 47.82 48.040001 47.610001 48 1131700 46.251134
2013-05-08 47.93 48.77 47.77 48.700001 901100 46.92563
