"Index" "USD.PHP"
2013-05-10 41.0771
2013-05-11 41.1248
2013-05-12 41.145
2013-05-13 41.1347
2013-05-14 41.1621
2013-05-15 41.2036
2013-05-16 41.2261
2013-05-17 41.2261
2013-05-18 41.2202
2013-05-19 41.2065
2013-05-20 41.209
2013-05-21 41.2172
2013-05-22 41.2238
2013-05-23 41.5764
2013-05-24 41.6514
2013-05-25 41.6272
2013-05-26 41.627
2013-05-27 41.6346
2013-05-28 41.8546
2013-05-29 42.3126
2013-05-30 42.3611
2013-05-31 42.2931
2013-06-01 42.3059
2013-06-02 42.2729
2013-06-03 42.0798
2013-06-04 41.8939
2013-06-05 41.9366
2013-06-06 42.1197
2013-06-07 42.2312
2013-06-08 42.388
2013-06-09 42.3085
2013-06-10 42.6873
2013-06-11 43.0866
2013-06-12 43.0695
2013-06-13 43.0683
2013-06-14 42.8632
2013-06-15 42.7969
2013-06-16 42.82
2013-06-17 42.8517
2013-06-18 43.1496
2013-06-19 43.1484
2013-06-20 43.6115
2013-06-21 43.8437
2013-06-22 43.9031
2013-06-23 43.9
2013-06-24 43.9073
2013-06-25 43.5139
2013-06-26 43.3934
2013-06-27 43.3297
2013-06-28 43.2063
2013-06-29 43.1221
2013-06-30 43.1
2013-07-01 43.1029
2013-07-02 43.2707
2013-07-03 43.4231
2013-07-04 43.4259
2013-07-05 43.4942
2013-07-06 43.4719
2013-07-07 43.473
2013-07-08 43.5981
2013-07-09 43.5388
2013-07-10 43.3922
2013-07-11 43.313
2013-07-12 43.3589
2013-07-13 43.376
2013-07-14 43.3865
2013-07-15 43.4242
2013-07-16 43.2828
2013-07-17 43.3111
2013-07-18 43.3908
2013-07-19 43.3623
2013-07-20 43.2938
2013-07-21 43.3
2013-07-22 43.215
2013-07-23 43.1809
2013-07-24 43.234
2013-07-25 43.3108
2013-07-26 43.2859
2013-07-27 43.2474
2013-07-28 43.275
2013-07-29 43.2848
2013-07-30 43.3699
2013-07-31 43.4739
2013-08-01 43.5298
2013-08-02 43.6111
2013-08-03 43.6406
2013-08-04 43.6485
2013-08-05 43.5139
2013-08-06 43.4922
2013-08-07 43.6729
2013-08-08 43.6038
2013-08-09 43.4777
2013-08-10 43.4861
2013-08-11 43.5755
2013-08-12 43.626
2013-08-13 43.7381
2013-08-14 43.7878
2013-08-15 43.7839
2013-08-16 43.721
2013-08-17 43.6344
2013-08-18 43.625
2013-08-19 43.7279
2013-08-20 43.7447
2013-08-21 43.8624
2013-08-22 44.1423
2013-08-23 44.1904
2013-08-24 44.2068
2013-08-25 44.194
2013-08-26 44.2089
2013-08-27 44.4861
2013-08-28 44.636
2013-08-29 44.5836
2013-08-30 44.577
2013-08-31 44.5542
2013-09-01 44.5535
2013-09-02 44.4212
2013-09-03 44.4073
2013-09-04 44.3907
2013-09-05 44.4314
2013-09-06 44.4314
2013-09-07 44.3658
2013-09-08 44.369
2013-09-09 44.132
2013-09-10 43.82
2013-09-11 43.711
2013-09-12 43.7297
2013-09-13 43.8024
2013-09-14 43.7678
2013-09-15 43.7685
2013-09-16 43.5298
2013-09-17 43.602
2013-09-18 43.4846
2013-09-19 43.1132
2013-09-20 43.1067
2013-09-21 43.1123
2013-09-22 43.12
2013-09-23 43.2239
2013-09-24 43.3774
2013-09-25 43.4121
2013-09-26 43.3354
2013-09-27 43.3282
2013-09-28 43.322
2013-09-29 43.322
2013-09-30 43.4939
2013-10-01 43.3611
2013-10-02 43.3542
2013-10-03 43.1449
2013-10-04 43.124
2013-10-05 43.1504
2013-10-06 43.165
2013-10-07 43.1111
2013-10-08 43.1098
2013-10-09 43.1429
2013-10-10 43.1841
2013-10-11 43.0776
2013-10-12 43.0005
2013-10-13 43.0005
2013-10-14 43.1292
2013-10-15 43.0923
2013-10-16 43.143
2013-10-17 43.0822
2013-10-18 43.0658
2013-10-19 43.0859
2013-10-20 43.0965
2013-10-21 43.1485
2013-10-22 43.1459
2013-10-23 43.1
2013-10-24 43.0955
2013-10-25 43.0624
2013-10-26 43.0729
2013-10-27 43.0706
2013-10-28 43.0622
2013-10-29 43.1147
2013-10-30 43.1539
2013-10-31 43.2249
2013-11-01 43.2938
2013-11-02 43.3585
2013-11-03 43.3585
2013-11-04 43.346
2013-11-05 43.2808
2013-11-06 43.2686
2013-11-07 43.2454
2013-11-08 43.2551
2013-11-09 43.2245
2013-11-10 43.2245
2013-11-11 43.4912
2013-11-12 43.7392
2013-11-13 43.7315
2013-11-14 43.5899
2013-11-15 43.5836
2013-11-16 43.553
2013-11-17 43.5585
2013-11-18 43.5694
2013-11-19 43.5441
2013-11-20 43.6013
2013-11-21 43.7616
2013-11-22 43.8634
2013-11-23 43.9046
2013-11-24 43.855
2013-11-25 43.86
2013-11-26 43.7661
2013-11-27 43.7224
2013-11-28 43.7232
2013-11-29 43.7112
2013-11-30 43.6613
2013-12-01 43.6576
2013-12-02 43.7124
2013-12-03 43.7522
2013-12-04 43.8282
2013-12-05 43.8671
2013-12-06 43.948
2013-12-07 43.9602
2013-12-08 43.964
2013-12-09 44.0596
2013-12-10 44.2539
2013-12-11 44.1871
2013-12-12 44.1655
2013-12-13 44.1731
2013-12-14 44.1409
2013-12-15 44.1354
2013-12-16 44.0918
2013-12-17 44.1665
2013-12-18 44.2546
2013-12-19 44.4483
2013-12-20 44.5087
2013-12-21 44.4816
2013-12-22 44.4758
2013-12-23 44.405
2013-12-24 44.3879
2013-12-25 44.3233
2013-12-26 44.4458
2013-12-27 44.3838
2013-12-28 44.3653
2013-12-29 44.3655
2013-12-30 44.3606
2013-12-31 44.3967
2014-01-01 44.3913
2014-01-02 44.4228
2014-01-03 44.6538
2014-01-04 44.7155
2014-01-05 44.7155
2014-01-06 44.6565
2014-01-07 44.7173
2014-01-08 44.7296
2014-01-09 44.6799
2014-01-10 44.6335
2014-01-11 44.5638
2014-01-12 44.5628
2014-01-13 44.6066
2014-01-14 44.7437
2014-01-15 45.0451
2014-01-16 45.127
2014-01-17 45.1166
2014-01-18 45.0884
2014-01-19 45.1664
2014-01-20 45.1187
2014-01-21 45.3132
2014-01-22 45.3063
2014-01-23 45.319
2014-01-24 45.4197
2014-01-25 45.4453
2014-01-26 45.4465
2014-01-27 45.3871
2014-01-28 45.2591
2014-01-29 45.2539
2014-01-30 45.307
2014-01-31 45.3411
2014-02-01 45.4277
2014-02-02 45.3738
2014-02-03 45.4121
2014-02-04 45.3594
2014-02-05 45.3046
2014-02-06 45.1807
2014-02-07 44.9983
2014-02-08 45.0044
2014-02-09 45.0077
2014-02-10 44.9867
2014-02-11 44.987
2014-02-12 44.8674
2014-02-13 44.8995
2014-02-14 44.671
2014-02-15 44.604
2014-02-16 44.6045
2014-02-17 44.4466
2014-02-18 44.5485
2014-02-19 44.6064
2014-02-20 44.725
2014-02-21 44.6259
2014-02-22 44.577
2014-02-23 44.5686
2014-02-24 44.5938
2014-02-25 44.6043
2014-02-26 44.6182
2014-02-27 44.6658
2014-02-28 44.664
2014-03-01 44.6695
2014-03-02 44.6687
2014-03-03 44.7233
2014-03-04 44.7866
2014-03-05 44.7734
2014-03-06 44.5988
2014-03-07 44.4347
2014-03-08 44.3745
2014-03-09 44.387
2014-03-10 44.4313
2014-03-11 44.5001
2014-03-12 44.6137
2014-03-13 44.5942
2014-03-14 44.656
