"Index" "NP.Open" "NP.High" "NP.Low" "NP.Close" "NP.Volume" "NP.Adjusted"
2013-07-11 35.75 35.98 35.52 35.970001 40900 34.231991
2013-07-12 35.75 36.689999 35.619999 36.34 77000 34.584112
2013-07-15 36.349998 36.880001 36.240002 36.84 79100 35.059953
2013-07-16 36.900002 37 36.549999 36.970001 84900 35.183673
2013-07-17 36.900002 37.5 36.900002 37.119999 64800 35.326423
2013-07-18 37.209999 37.66 37.099998 37.509998 58900 35.697578
2013-07-19 37.299999 37.830002 37.130001 37.779999 85600 35.954532
2013-07-22 37.919998 38.189999 37.689999 38.110001 49600 36.268589
2013-07-23 38.279999 38.689999 38.029999 38.610001 54200 36.74443
2013-07-24 38.689999 39.810001 38.490002 39.32 105800 37.420123
2013-07-25 39.09 39.790001 39.09 39.57 105800 37.658044
2013-07-26 39.279999 39.580002 38.759998 39.080002 64700 37.191722
2013-07-29 39 39.66 38.970001 39.380001 51900 37.477225
2013-07-30 39.459999 39.740002 39.16 39.52 82400 37.61046
2013-07-31 39.630001 39.98 39.189999 39.57 66900 37.658044
2013-08-01 39.779999 40.380001 39.619999 39.639999 73800 37.724661
2013-08-02 39.400002 39.549999 39 39.389999 67500 37.486741
2013-08-05 39.43 39.509998 39.09 39.349998 70000 37.448672
2013-08-06 39.220001 39.380001 38.889999 39.080002 58100 37.191722
2013-08-07 38.830002 39.330002 38.759998 38.889999 49600 37.0109
2013-08-08 38.84 38.970001 38.150002 38.290001 98500 36.439892
2013-08-09 38.130001 38.279999 37.009998 37.720001 84200 35.897434
2013-08-12 37.689999 38.34 37.529999 38.040001 112900 36.201972
2013-08-13 38.07 38.330002 37.5 37.869999 64100 36.040184
2013-08-14 37.599998 38.189999 37.599998 38.080002 65000 36.432448
2013-08-15 37.77 37.93 37.18 37.540001 47300 35.915811
2013-08-16 37.330002 37.529999 36.509998 36.790001 95200 35.19826
2013-08-19 36.869999 37.27 36.810001 36.889999 54600 35.293932
2013-08-20 37.049999 37.740002 36.900002 37.59 58000 35.963647
2013-08-21 37.419998 37.490002 36.900002 37.07 59900 35.466145
2013-08-22 37.279999 38.59 37.240002 38.41 60900 36.748169
2013-08-23 38.599998 38.599998 37.580002 37.669998 41000 36.040184
2013-08-26 37.790001 37.880001 37.16 37.529999 44500 35.906242
2013-08-27 37.049999 37.220001 36.299999 36.619999 77300 35.035613
2013-08-28 36.779999 37.02 36.41 36.650002 35100 35.064318
2013-08-29 36.459999 37.619999 36.459999 37.369999 54600 35.753164
2013-08-30 37.220001 37.52 36.040001 36.599998 66500 35.016478
