"Index" "NOB.Open" "NOB.High" "NOB.Low" "NOB.Close" "NOB.Volume" "NOB.Adjusted"
2013-06-06 0.05 0.05 0.05 0.05 0 0.05
2013-06-07 0.055 0.055 0.055 0.055 60000 0.055
2013-06-10 0.055 0.055 0.055 0.055 0 0.055
2013-06-11 0.045 0.06 0.045 0.055 256500 0.055
2013-06-12 0.06 0.06 0.05 0.05 26000 0.05
2013-06-13 0.05 0.05 0.05 0.05 0 0.05
2013-06-14 0.05 0.05 0.05 0.05 0 0.05
2013-06-17 0.045 0.045 0.045 0.045 50000 0.045
2013-06-18 0.045 0.045 0.045 0.045 0 0.045
2013-06-19 0.045 0.045 0.045 0.045 0 0.045
2013-06-20 0.045 0.045 0.045 0.045 0 0.045
2013-06-21 0.045 0.045 0.035 0.045 22600 0.045
2013-06-24 0.045 0.045 0.045 0.045 13000 0.045
2013-06-25 0.04 0.045 0.04 0.045 4000 0.045
2013-06-26 0.045 0.045 0.045 0.045 23000 0.045
2013-06-27 0.04 0.04 0.04 0.04 26000 0.04
2013-06-28 0.04 0.04 0.04 0.04 10000 0.04
2013-07-01 0.04 0.04 0.04 0.04 0 0.04
2013-07-02 0.04 0.04 0.04 0.04 0 0.04
2013-07-03 0.045 0.045 0.04 0.04 18700 0.04
2013-07-04 0.04 0.04 0.04 0.04 0 0.04
2013-07-05 0.04 0.04 0.04 0.04 0 0.04
2013-07-08 0.04 0.04 0.04 0.04 0 0.04
2013-07-09 0.04 0.04 0.04 0.04 68000 0.04
2013-07-10 0.04 0.04 0.04 0.04 0 0.04
2013-07-11 0.04 0.04 0.04 0.04 0 0.04
2013-07-12 0.04 0.04 0.04 0.04 0 0.04
2013-07-15 0.05 0.05 0.05 0.05 8100 0.05
2013-07-16 0.05 0.05 0.05 0.05 0 0.05
2013-07-17 0.04 0.04 0.04 0.04 57000 0.04
2013-07-18 0.04 0.04 0.04 0.04 0 0.04
2013-07-19 0.035 0.04 0.035 0.04 91700 0.04
2013-07-22 0.04 0.04 0.04 0.04 0 0.04
2013-07-23 0.04 0.04 0.04 0.04 0 0.04
2013-07-24 0.04 0.04 0.04 0.04 0 0.04
2013-07-25 0.04 0.04 0.04 0.04 10000 0.04
2013-07-26 0.04 0.04 0.04 0.04 0 0.04
2013-07-29 0.04 0.04 0.04 0.04 22000 0.04
2013-07-30 0.035 0.035 0.03 0.035 68000 0.035
