"Index" "CIN.Open" "CIN.High" "CIN.Low" "CIN.Close" "CIN.Volume" "CIN.Adjusted"
2013-11-18 4.482 4.482 4.482 4.482 700 2.72968
2013-11-19 4.434 4.434 4.434 4.434 0 2.70044
2013-11-20 4.41199 4.41199 4.41199 4.41199 0 2.68704
2013-11-21 4.476 4.476 4.476 4.476 0 2.72602
2013-11-22 4.32701 4.32701 4.32701 4.32701 0 2.63528
2013-11-25 4.5 4.5 4.5 4.5 600 2.74064
2013-11-26 4.044 4.044 4.044 4.044 800 2.46292
2013-11-27 4.137 4.137 4.137 4.137 0 2.51956
2013-11-28 4.185 4.185 4.185 4.185 600 2.54879
2013-11-29 4.185 4.185 4.185 4.185 0 2.54879
2013-12-02 4.185 4.185 4.185 4.185 0 2.54879
2013-12-03 4.08 4.08 4.08 4.08 1500 2.48485
2013-12-04 4.124 4.212 4.124 4.212 700 2.56524
2013-12-05 4.212 4.212 4.212 4.212 0 2.56524
2013-12-06 4.19201 4.19201 4.113 4.113 2200 2.50494
2013-12-09 4.24 4.24 4.24 4.24 2200 2.58229
2013-12-10 2.875 2.911 2.875 2.911 800 2.65933
2013-12-11 2.911 2.911 2.911 2.911 0 2.65933
2013-12-12 3.17 3.17 3.17 3.17 1100 2.89594
2013-12-13 3.163 3.163 3.163 3.163 400 2.88955
2013-12-16 3.198 3.22 3.198 3.22 2300 2.94162
2013-12-17 3.163 3.163 3.163 3.163 0 2.88955
2013-12-18 3.163 3.163 3.163 3.163 0 2.88955
2013-12-19 3.163 3.163 3.163 3.163 0 2.88955
2013-12-20 3.358 3.358 3.267 3.267 400 2.98456
2013-12-23 3.34 3.34 3.302 3.302 1200 3.01653
2013-12-24 3.302 3.302 3.302 3.302 0 3.01653
2013-12-25 3.302 3.302 3.302 3.302 0 3.01653
2013-12-26 3.302 3.302 3.302 3.302 0 3.01653
2013-12-27 3.25 3.25 3.25 3.25 0 2.96902
2013-12-30 3.25 3.25 3.25 3.25 0 2.96902
2013-12-31 3.25 3.25 3.25 3.25 0 2.96902
2014-01-01 3.25 3.25 3.25 3.25 0 2.96902
2014-01-02 3.25 3.25 3.25 3.25 0 2.96902
2014-01-03 3.25 3.25 3.25 3.25 0 2.96902
2014-01-06 3.237 3.237 3.237 3.237 0 2.95715
2014-01-07 3.237 3.237 3.237 3.237 0 2.95715
2014-01-08 3.237 3.237 3.237 3.237 0 2.95715
2014-01-09 3.237 3.237 3.237 3.237 0 2.95715
2014-01-10 3.216 3.216 3.216 3.216 0 2.93796
2014-01-13 3.216 3.216 3.216 3.216 0 2.93796
2014-01-14 3.216 3.216 3.216 3.216 0 2.93796
2014-01-15 3.216 3.216 3.216 3.216 0 2.93796
2014-01-16 3.221 3.232 3.109 3.109 3400 2.84021
2014-01-17 3.162 3.162 3.162 3.162 0 2.88863
2014-01-20 3.151 3.151 3.151 3.151 0 2.87858
2014-01-21 3.176 3.176 3.176 3.176 0 2.90142
2014-01-22 3.147 3.147 3.147 3.147 0 2.87493
2014-01-23 3.152 3.152 3.152 3.152 0 2.8795
2014-01-24 3.112 3.112 3.112 3.112 0 2.84296
2014-01-27 3.13 3.284 3.13 3.284 300 3.00009
2014-01-28 3.151 3.151 3.151 3.151 0 2.87858
2014-01-29 3.16 3.16 3.111 3.111 600 2.84204
2014-01-30 3.122 3.122 3.122 3.122 0 2.85209
2014-01-31 3.207 3.319 3.207 3.22 2400 2.94162
2014-02-03 3.247 3.247 3.247 3.247 0 2.96628
2014-02-04 3.273 3.273 3.273 3.273 0 2.99004
2014-02-05 3.261 3.261 3.261 3.261 0 2.97907
2014-02-06 3.273 3.273 3.273 3.273 0 2.99004
2014-02-07 3.265 3.265 3.265 3.265 0 2.98273
2014-02-10 3.228 3.228 3.228 3.228 0 2.94893
2014-02-11 3.201 3.318 3.201 3.318 1000 3.03115
2014-02-12 3.268 3.268 3.268 3.268 0 2.98547
2014-02-13 3.334 3.334 3.334 3.334 0 3.04576
2014-02-14 3.346 3.346 3.346 3.346 0 3.05673
2014-02-17 3.346 3.346 3.346 3.346 0 3.05673
2014-02-18 3.37 3.37 3.37 3.37 0 3.07865
2014-02-19 3.447 3.447 3.447 3.447 0 3.14899
2014-02-20 3.551 3.551 3.536 3.536 1500 3.2303
2014-02-21 3.595 3.595 3.595 3.595 0 3.2842
2014-02-24 3.595 3.595 3.595 3.595 0 3.2842
2014-02-25 3.522 3.522 3.522 3.522 0 3.21751
2014-02-26 3.46 3.46 3.46 3.46 3200 3.16087
2014-02-27 3.53 3.53 3.53 3.53 0 3.22482
2014-02-28 3.492 3.492 3.492 3.492 0 3.1901
2014-03-03 3.392 3.392 3.392 3.392 500 3.09875
2014-03-04 3.402 3.402 3.402 3.402 0 3.10788
2014-03-05 3.465 3.465 3.465 3.465 0 3.16544
2014-03-06 3.626 3.626 3.626 3.626 0 3.31252
2014-03-07 3.597 3.597 3.597 3.597 0 3.28603
2014-03-10 3.654 3.68 3.654 3.68 200 3.36185
2014-03-11 3.719 3.819 3.719 3.756 1400 3.43128
2014-03-12 3.802 3.802 3.802 3.802 0 3.4733
2014-03-13 3.619 3.619 3.619 3.619 0 3.43597
2014-03-14 3.619 3.619 3.619 3.619 0 3.43597
2014-03-17 3.669 3.669 3.669 3.669 200 3.48344
2014-03-18 3.668 3.668 3.668 3.668 0 3.48249
2014-03-19 3.597 3.597 3.597 3.597 0 3.41508
2014-03-20 3.663 3.755 3.663 3.755 100 3.56509
2014-03-21 3.747 3.747 3.747 3.747 0 3.5575
2014-03-24 3.71 3.766 3.71 3.766 100 3.57553
2014-03-25 3.745 3.745 3.745 3.745 0 3.5556
2014-03-26 3.779 3.779 3.779 3.779 0 3.58788
