"Index" "MIR.Open" "MIR.High" "MIR.Low" "MIR.Close" "MIR.Volume" "MIR.Adjusted"
2014-02-17 0.007 0.007 0.007 0.007 0 0.35
2014-02-18 0.007 0.007 0.007 0.007 0 0.35
2014-02-19 0.004 0.004 0.004 0.004 0 0.2
2014-02-20 0.004 0.004 0.004 0.004 0 0.2
2014-02-21 0.004 0.004 0.004 0.004 0 0.2
2014-02-24 0.004 0.004 0.004 0.004 0 0.2
2014-02-25 0.004 0.004 0.004 0.004 0 0.2
2014-02-26 0.004 0.004 0.004 0.004 0 0.2
2014-02-27 0.004 0.004 0.004 0.004 0 0.2
2014-02-28 0.004 0.004 0.004 0.004 0 0.2
2014-03-03 0.004 0.004 0.004 0.004 0 0.2
2014-03-04 0.007 0.007 0.007 0.007 0 0.35
2014-03-05 0.007 0.007 0.007 0.007 0 0.35
2014-03-06 0.007 0.007 0.007 0.007 0 0.35
2014-03-07 0.007 0.007 0.007 0.007 0 0.35
2014-03-10 0.007 0.007 0.007 0.007 0 0.35
2014-03-11 0.007 0.007 0.007 0.007 0 0.35
2014-03-12 0.007 0.007 0.007 0.007 0 0.35
2014-03-13 0.007 0.007 0.007 0.007 0 0.35
2014-03-14 0.004 0.004 0.004 0.004 0 0.2
2014-03-17 0.007 0.007 0.007 0.007 0 0.35
2014-03-18 0.003 0.003 0.003 0.003 0 0.15
2014-03-19 0.007 0.007 0.007 0.007 0 0.35
2014-03-20 0.007 0.008 0.007 0.008 0 0.4
2014-03-21 0.007 0.007 0.007 0.007 0 0.35
2014-03-24 0.007 0.008 0.007 0.008 0 0.4
2014-03-25 0.01 0.01 0.01 0.01 0 0.5
2014-03-26 0.01 0.01 0.01 0.01 0 0.5
2014-03-27 0.01 0.01 0.01 0.01 0 0.5
2014-03-28 0.01 0.01 0.009 0.009 0 0.45
2014-03-31 0.008 0.008 0.008 0.008 0 0.4
2014-04-01 0.007 0.007 0.007 0.007 0 0.35
2014-04-02 0.007 0.007 0.007 0.007 0 0.35
2014-04-03 0.007 0.007 0.007 0.007 0 0.35
2014-04-04 0.007 0.007 0.007 0.007 0 0.35
2014-04-07 0.007 0.007 0.007 0.007 0 0.35
2014-04-08 0.007 0.007 0.007 0.007 0 0.35
2014-04-09 0.007 0.007 0.007 0.007 0 0.35
2014-04-10 0.007 0.007 0.007 0.007 0 0.35
2014-04-11 0.007 0.007 0.007 0.007 0 0.35
2014-04-14 0.007 0.007 0.007 0.007 0 0.35
2014-04-15 0.007 0.007 0.007 0.007 0 0.35
2014-04-16 0.007 0.007 0.007 0.007 0 0.35
2014-04-17 0.007 0.007 0.007 0.007 0 0.35
2014-04-18 0.007 0.007 0.007 0.007 0 0.35
2014-04-21 0.007 0.007 0.007 0.007 0 0.35
2014-04-22 0.007 0.007 0.007 0.007 0 0.35
2014-04-23 0.007 0.007 0.007 0.007 0 0.35
2014-04-24 0.007 0.007 0.007 0.007 0 0.35
2014-04-25 0.006 0.006 0.006 0.006 0 0.3
2014-04-28 0.005 0.005 0.005 0.005 0 0.25
2014-04-29 0.004 0.004 0.004 0.004 0 0.2
2014-04-30 0.004 0.004 0.004 0.004 0 0.2
2014-05-01 0.004 0.004 0.004 0.004 0 0.2
2014-05-02 0.004 0.004 0.004 0.004 0 0.2
2014-05-05 0.007 0.007 0.007 0.007 0 0.35
2014-05-06 0.007 0.007 0.007 0.007 0 0.35
2014-05-07 0.006 0.006 0.006 0.006 0 0.3
2014-05-08 0.006 0.006 0.006 0.006 0 0.3
2014-05-09 0.006 0.006 0.006 0.006 0 0.3
2014-05-12 0.005 0.005 0.005 0.005 0 0.25
2014-05-13 0.006 0.006 0.006 0.006 0 0.3
2014-05-14 0.005 0.005 0.005 0.005 0 0.25
2014-05-15 0.005 0.005 0.005 0.005 0 0.25
2014-05-16 0.005 0.005 0.005 0.005 0 0.25
2014-05-19 0.005 0.005 0.005 0.005 0 0.25
2014-05-20 0.005 0.005 0.005 0.005 0 0.25
2014-05-21 0.004 0.004 0.004 0.004 0 0.2
2014-05-22 0.005 0.005 0.005 0.005 0 0.25
2014-05-23 0.004 0.004 0.004 0.004 0 0.2
2014-05-26 0.003 0.003 0.003 0.003 0 0.15
2014-05-27 0.005 0.005 0.003 0.003 0 0.15
2014-05-28 0.004 0.004 0.004 0.004 0 0.2
2014-05-29 0.005 0.005 0.005 0.005 0 0.25
2014-05-30 0.005 0.005 0.005 0.005 0 0.25
2014-06-02 0.005 0.005 0.005 0.005 0 0.25
2014-06-03 0.005 0.005 0.005 0.005 0 0.25
2014-06-04 0.005 0.005 0.005 0.005 0 0.005
2014-06-05 0.004 0.004 0.004 0.004 0 0.004
