"Index" "USD.NOK"
2014-12-17 7.4609
2014-12-18 7.4068
2014-12-19 7.3788
2014-12-20 7.3619
2014-12-21 7.3622
2014-12-22 7.3838
2014-12-23 7.4225
2014-12-24 7.4526
2014-12-25 7.4594
2014-12-26 7.4525
2014-12-27 7.4701
2014-12-28 7.4698
2014-12-29 7.4592
2014-12-30 7.4444
2014-12-31 7.4395
2015-01-01 7.4937
2015-01-02 7.513
2015-01-03 7.5957
2015-01-04 7.5959
2015-01-05 7.628
2015-01-06 7.672
2015-01-07 7.75
2015-01-08 7.6731
2015-01-09 7.644
2015-01-10 7.656
2015-01-11 7.6557
2015-01-12 7.6921
2015-01-13 7.7404
2015-01-14 7.7132
2015-01-15 7.6507
2015-01-16 7.6189
2015-01-17 7.5552
2015-01-18 7.5552
2015-01-19 7.5863
2015-01-20 7.6393
2015-01-21 7.643
2015-01-22 7.6132
2015-01-23 7.7126
2015-01-24 7.7664
2015-01-25 7.7662
2015-01-26 7.7835
2015-01-27 7.7703
2015-01-28 7.7583
2015-01-29 7.8196
2015-01-30 7.7969
2015-01-31 7.7322
2015-02-01 7.7323
2015-02-02 7.6998
2015-02-03 7.6071
2015-02-04 7.5418
2015-02-05 7.5778
2015-02-06 7.5371
2015-02-07 7.6278
2015-02-08 7.6281
2015-02-09 7.613
2015-02-10 7.59
2015-02-11 7.6064
2015-02-12 7.6642
2015-02-13 7.6096
2015-02-14 7.5914
2015-02-15 7.5914
2015-02-16 7.5643
2015-02-17 7.5475
2015-02-18 7.5215
2015-02-19 7.5508
2015-02-20 7.5794
2015-02-21 7.5275
2015-02-22 7.5276
2015-02-23 7.5797
2015-02-24 7.6138
2015-02-25 7.584
2015-02-26 7.5736
2015-02-27 7.651
2015-02-28 7.6657
2015-03-01 7.6657
2015-03-02 7.6778
2015-03-03 7.6967
2015-03-04 7.7438
2015-03-05 7.7677
2015-03-06 7.7856
2015-03-07 7.9032
2015-03-08 7.9036
2015-03-09 7.906
2015-03-10 8.0137
2015-03-11 8.147
2015-03-12 8.1547
2015-03-13 8.1547
2015-03-14 8.2096
2015-03-15 8.2096
2015-03-16 8.221
2015-03-17 8.288
2015-03-18 8.3138
2015-03-19 8.1684
2015-03-20 8.0694
2015-03-21 8.0227
2015-03-22 8.0227
2015-03-23 7.9753
2015-03-24 7.874
2015-03-25 7.8456
2015-03-26 7.8368
2015-03-27 7.9436
2015-03-28 7.9724
2015-03-29 7.9724
2015-03-30 7.9942
2015-03-31 8.058
2015-04-01 8.0504
2015-04-02 7.9964
2015-04-03 7.9699
2015-04-04 7.9397
2015-04-05 7.9397
2015-04-06 7.9275
2015-04-07 8.0013
2015-04-08 8.0407
2015-04-09 8.0798
2015-04-10 8.1075
2015-04-11 8.1022
2015-04-12 8.1022
2015-04-13 8.1053
2015-04-14 8.0312
2015-04-15 7.9301
2015-04-16 7.7957
2015-04-17 7.7773
2015-04-18 7.8315
2015-04-19 7.8315
2015-04-20 7.8504
2015-04-21 7.8844
2015-04-22 7.8745
2015-04-23 7.8959
2015-04-24 7.8151
2015-04-25 7.7749
2015-04-26 7.7749
2015-04-27 7.7652
2015-04-28 7.6992
2015-04-29 7.5987
2015-04-30 7.529
2015-05-01 7.5591
2015-05-02 7.6032
2015-05-03 7.6032
2015-05-04 7.5943
2015-05-05 7.5967
2015-05-06 7.5079
2015-05-07 7.4186
2015-05-08 7.4696
2015-05-09 7.4816
2015-05-10 7.4816
2015-05-11 7.5319
2015-05-12 7.5164
2015-05-13 7.4338
2015-05-14 7.3765
2015-05-15 7.3539
2015-05-16 7.3128
2015-05-17 7.3128
2015-05-18 7.3531
2015-05-19 7.466
2015-05-20 7.5524
2015-05-21 7.557
2015-05-22 7.5725
2015-05-23 7.6475
2015-05-24 7.6475
2015-05-25 7.6475
2015-05-26 7.6951
2015-05-27 7.7535
2015-05-28 7.7908
2015-05-29 7.7885
2015-05-30 7.7657
2015-05-31 7.7657
2015-06-01 7.8652
2015-06-02 7.8967
2015-06-03 7.8034
2015-06-04 7.7551
2015-06-05 7.8539
2015-06-06 7.9522
2015-06-07 7.9522
2015-06-08 7.9207
2015-06-09 7.8072
2015-06-10 7.7477
2015-06-11 7.8038
2015-06-12 7.8014
2015-06-13 7.7485
2015-06-14 7.7485
2015-06-15 7.7772
2015-06-16 7.7672
2015-06-17 7.741
2015-06-18 7.7044
2015-06-19 7.7822
2015-06-20 7.7305
2015-06-21 7.7305
2015-06-22 7.7273
2015-06-23 7.791
2015-06-24 7.8343
2015-06-25 7.8261
2015-06-26 7.8226
2015-06-27 7.8371
2015-06-28 7.8371
2015-06-29 7.8967
2015-06-30 7.8655
2015-07-01 7.8801
2015-07-02 7.9387
2015-07-03 7.9725
2015-07-04 7.9889
2015-07-05 7.9889
2015-07-06 8.059
2015-07-07 8.153
2015-07-08 8.2072
2015-07-09 8.1871
2015-07-10 8.0479
2015-07-11 8.0124
2015-07-12 8.0124
2015-07-13 8.0452
2015-07-14 8.1159
2015-07-15 8.1342
2015-07-16 8.1512
2015-07-17 8.1596
2015-07-18 8.1749
2015-07-19 8.1749
2015-07-20 8.2009
2015-07-21 8.1957
2015-07-22 8.139
2015-07-23 8.1637
2015-07-24 8.1959
2015-07-25 8.206
2015-07-26 8.206
2015-07-27 8.1746
2015-07-28 8.1733
2015-07-29 8.1512
2015-07-30 8.1642
2015-07-31 8.1628
2015-08-01 8.1721
2015-08-02 8.1721
2015-08-03 8.2068
2015-08-04 8.2448
2015-08-05 8.2823
2015-08-06 8.2695
2015-08-07 8.2763
2015-08-08 8.2674
2015-08-09 8.2674
2015-08-10 8.2447
2015-08-11 8.2304
2015-08-12 8.2113
2015-08-13 8.1809
2015-08-14 8.2099
2015-08-15 8.2374
2015-08-16 8.2374
2015-08-17 8.2358
2015-08-18 8.2475
2015-08-19 8.2915
2015-08-20 8.2741
2015-08-21 8.2156
2015-08-22 8.1939
2015-08-23 8.1939
2015-08-24 8.1892
2015-08-25 8.2187
2015-08-26 8.2953
2015-08-27 8.3323
2015-08-28 8.2892
2015-08-29 8.286
2015-08-30 8.286
2015-08-31 8.3006
2015-09-01 8.2921
2015-09-02 8.2822
2015-09-03 8.2668
2015-09-04 8.2878
2015-09-05 8.3079
2015-09-06 8.3079
2015-09-07 8.3058
2015-09-08 8.2816
2015-09-09 8.2361
2015-09-10 8.2053
2015-09-11 8.1753
2015-09-12 8.1536
2015-09-13 8.1536
2015-09-14 8.1622
2015-09-15 8.1934
2015-09-16 8.1814
2015-09-17 8.1352
2015-09-18 8.1064
2015-09-19 8.1622
2015-09-20 8.1622
