"Index" "KRK.Open" "KRK.High" "KRK.Low" "KRK.Close" "KRK.Volume" "KRK.Adjusted"
2013-08-12 210 210 210 210 0 204.98977
2013-08-13 210 210 210 210 0 204.98977
2013-08-14 210 210 210 210 0 204.98977
2013-08-15 210 210 210 210 0 204.98977
2013-08-16 210 210 210 210 0 204.98977
2013-08-19 210 210 210 210 0 204.98977
2013-08-20 210 210 210 210 0 204.98977
2013-08-21 210 210 210 210 0 204.98977
2013-08-22 210 210 210 210 0 204.98977
2013-08-23 210 210 210 210 0 204.98977
2013-08-26 210 210 210 210 0 204.98977
2013-08-27 210 210 210 210 0 204.98977
2013-08-28 210 210 210 210 0 204.98977
2013-08-29 210 210 210 210 0 204.98977
2013-08-30 210 210 210 210 0 204.98977
2013-09-02 210 210 210 210 0 204.98977
2013-09-03 217 217 217 217 0 211.82276
2013-09-04 217 217 217 217 0 211.82276
2013-09-05 217 217 217 217 0 211.82276
2013-09-06 217 217 217 217 0 211.82276
2013-09-09 217 217 217 217 0 211.82276
2013-09-10 217 217 217 217 0 211.82276
2013-09-11 217 217 217 217 0 211.82276
2013-09-12 217 217 217 217 0 211.82276
2013-09-13 217 217 217 217 0 211.82276
2013-09-16 215.8 215.8 215.8 215.8 3700 210.65139
2013-09-17 215.8 215.8 215.8 215.8 3700 210.65139
2013-09-18 215.8 215.8 215.8 215.8 3700 210.65139
2013-09-19 211.5 211.5 211.5 211.5 500 206.45398
2013-09-23 211.5 211.5 211.5 211.5 500 206.45398
2013-09-24 211.5 211.5 211.5 211.5 500 206.45398
2013-09-25 211.5 211.5 211.5 211.5 500 206.45398
2013-09-26 224.3 224.3 224.3 224.3 10000 218.9486
2013-09-27 227.14999 227.14999 227.14999 227.14999 8000 221.73059
2013-09-30 238.5 238.5 230.10001 230.10001 37000 224.61022
2013-10-01 232.55 232.55 232.55 232.55 2500 227.00177
2013-10-02 233 233 227.14999 227.14999 2500 221.73059
2013-10-03 225.8 226.95 225.8 226.95 10000 221.53537
2013-10-04 226.95 226.95 226.95 226.95 10000 221.53537
2013-10-07 226.95 226.95 226.95 226.95 10000 221.53537
2013-10-08 226.95 226.95 226.95 226.95 0 221.53537
2013-10-09 226.95 226.95 226.95 226.95 10000 221.53537
2013-10-10 226.95 226.95 226.95 226.95 10000 221.53537
2013-10-11 226.95 226.95 226.95 226.95 10000 221.53537
2013-10-14 226.95 226.95 226.95 226.95 10000 221.53537
2013-10-15 226.60001 226.60001 226.60001 226.60001 10000 221.19373
2013-10-16 227 227 227 227 1900 221.58418
2013-10-17 229.85001 229.85001 229.85001 229.85001 10600 224.36619
2013-10-18 230 230 230 230 3400 224.5126
2013-10-21 230.60001 230.60001 230.60001 230.60001 11000 225.09829
2013-10-22 232 233.2 232 233.2 6100 227.63625
2013-10-23 229.10001 232.14999 229 232.14999 4200 226.6113
2013-10-24 232.14999 232.14999 232.14999 232.14999 4200 226.6113
2013-10-25 234.8 234.8 232.7 232.7 10000 227.14818
2013-10-28 234.25 234.25 234.25 234.25 4600 228.66121
2013-10-29 234.25 234.25 234.25 234.25 4600 228.66121
2013-10-30 234.25 234.25 234.25 234.25 4600 228.66121
2013-10-31 234.25 234.25 234.25 234.25 4600 228.66121
2013-11-01 234.25 234.25 234.25 234.25 0 228.66121
2013-11-04 234.5 234.5 234.5 234.5 300 228.90524
2013-11-05 234.75 234.75 234.75 234.75 1400 229.14928
2013-11-06 234.75 234.75 234.75 234.75 1400 229.14928
2013-11-07 235.75 235.75 234.39999 234.39999 100 228.80762
2013-11-08 234.39999 234.39999 234.39999 234.39999 100 228.80762
2013-11-11 234.39999 234.39999 234.39999 234.39999 0 228.80762
2013-11-12 234.39999 234.39999 234.39999 234.39999 100 228.80762
2013-11-13 234.39999 234.39999 234.39999 234.39999 100 228.80762
2013-11-14 234.39999 234.39999 234.39999 234.39999 100 228.80762
2013-11-15 234.39999 234.39999 234.39999 234.39999 100 228.80762
2013-11-18 243 243 242 243 800 237.20245
2013-11-19 242.60001 243 242.60001 242.8 10100 237.00722
2013-11-20 246.95 247 246.95 247 5100 241.10701
2013-11-21 248.55 248.55 248.55 248.55 1400 242.62004
