"Index" "MWE.Open" "MWE.High" "MWE.Low" "MWE.Close" "MWE.Volume" "MWE.Adjusted"
2013-07-11 66.669998 66.699997 65.730003 65.959999 1244100 57.358473
2013-07-12 65.849998 66.129997 65.540001 65.809998 1012800 57.228032
2013-07-15 65.760002 67.639999 65.660004 67.220001 2628700 58.454164
2013-07-16 67.300003 67.550003 65.800003 67.110001 799700 58.358508
2013-07-17 67.300003 67.849998 67.029999 67.849998 303500 59.002007
2013-07-18 68 68.25 66.910004 66.910004 575300 58.184592
2013-07-19 67.150002 68.529999 67.059998 68.169998 412700 59.280277
2013-07-22 68.300003 68.970001 68.18 68.5 410700 59.567245
2013-07-23 69 69 67.370003 67.690002 420400 58.862875
2013-07-24 67.699997 67.75 66.82 67.309998 283500 58.532425
2013-07-25 67.349998 67.75 67.260002 67.660004 289000 58.836788
2013-07-26 67.660004 68.260002 66.879997 67.769997 319900 58.932438
2013-07-29 67.779999 68.019997 66.07 67.25 324000 58.480251
2013-07-30 68.290001 69.660004 68.169998 68.949997 628700 59.95856
2013-07-31 69.360001 70.209999 68.589996 70.209999 901400 61.054251
2013-08-01 70.720001 71.459999 70.220001 70.540001 993300 61.341219
2013-08-02 69.599998 69.800003 68.739998 69.720001 466000 61.35882
2013-08-05 69.75 70.279999 68.589996 69.879997 350100 61.499629
2013-08-06 69.610001 70.169998 69.32 69.370003 377000 61.050795
2013-08-07 69.370003 69.519997 66.589996 67.529999 806600 59.431454
2013-08-08 69.029999 70.099998 67.660004 69 771800 60.725165
2013-08-09 68.959999 70.160004 68.790001 69.900002 631600 61.517234
2013-08-12 69.889999 70.07 68.309998 68.790001 529500 60.54035
2013-08-13 68.669998 69.18 68.230003 69 797200 60.725165
2013-08-14 69.989998 70.849998 68.839996 69.099998 820000 60.813171
2013-08-15 68.660004 69.25 68.220001 68.739998 671100 60.496344
2013-08-16 68.400002 68.970001 68.010002 68.279999 357200 60.09151
2013-08-19 68.139999 68.260002 67.089996 67.389999 521700 59.308244
2013-08-20 67.330002 68.720001 67.139999 68.510002 402100 60.29393
2013-08-21 68.489998 69.139999 68.110001 68.360001 180900 60.161918
2013-08-22 68.540001 69.989998 68.489998 69.379997 251200 61.059591
2013-08-23 69.580002 70.379997 68.839996 69.769997 227100 61.40282
2013-08-26 69.839996 70.010002 67.690002 68.870003 3482900 60.610758
2013-08-27 68.449997 68.599998 67.559998 68.160004 427900 59.985906
2013-08-28 68.059998 69.349998 67.449997 69.220001 948100 60.918783
2013-08-29 68.099998 68.82 67.800003 68.129997 528900 59.959498
2013-08-30 68.349998 68.800003 66.330002 66.790001 6699700 58.780201
2013-09-03 67.110001 68.150002 66.860001 67.800003 720800 59.669078
2013-09-04 68 68.75 67.690002 68.580002 2005700 60.355535
2013-09-05 68.650002 69 68.050003 68.669998 526700 60.434739
2013-09-06 69.209999 69.629997 68.25 68.5 675000 60.285128
2013-09-09 68.489998 69.18 67.879997 68.360001 848800 60.161918
2013-09-10 68.529999 69.660004 68.529999 69.07 718900 60.78677
2013-09-11 68.809998 69.800003 68.160004 69.639999 390300 61.288413
2013-09-12 69.519997 69.919998 69.019997 69.440002 499200 61.1124
2013-09-13 69.379997 69.57 68.32 68.599998 570800 60.373134
2013-09-16 69.059998 69.160004 67.82 68.07 508400 59.906695
2013-09-17 68 68.449997 67.080002 67.269997 503200 59.202633
2013-09-18 67.379997 69.589996 67.25 69.019997 576600 60.742764
2013-09-19 69.290001 71.160004 69.089996 70.309998 1081000 61.878061
2013-09-20 70.32 70.650002 69.610001 70.290001 1091500 61.860463
2013-09-23 70.139999 70.849998 69 70.43 383500 61.983673
2013-09-24 70.25 71.599998 70 70.620003 492900 62.150889
2013-09-25 70.5 71.089996 70.040001 70.419998 341300 61.97487
2013-09-26 70.419998 71.5 70.220001 71.120003 402500 62.590926
2013-09-27 70.730003 71.57 70.010002 71.57 612200 62.986957
2013-09-30 71.07 72.349998 67.709999 72.230003 470000 63.56781
2013-10-01 72.199997 73.129997 72.129997 73.129997 623300 64.359872
2013-10-02 73.029999 73.959999 72.610001 73.32 488800 64.527088
2013-10-03 73.099998 73.209999 71.660004 72 471700 63.36539
2013-10-04 71.93 71.989998 70.489998 70.650002 838300 62.17729
2013-10-07 70.269997 70.639999 69.550003 70.059998 2005700 61.658042
2013-10-08 70.080002 70.75 69.709999 70.040001 656300 61.640444
2013-10-09 70.029999 70.830002 69.5 70.18 698900 61.763654
2013-10-10 69.559998 71.019997 69.290001 69.559998 1606600 61.218005
2013-10-11 69.550003 70.040001 69.25 69.660004 414300 61.306018
2013-10-14 69.400002 70.25 69.059998 70.110001 336500 61.702049
2013-10-15 70.110001 70.230003 68.57 68.889999 463100 60.628356
2013-10-16 69.449997 69.809998 68.970001 69.360001 512400 61.041993
2013-10-17 69.57 70.300003 69.5 69.949997 2125600 61.561234
2013-10-18 70.25 70.400002 69.650002 70.040001 658600 61.640444
2013-10-21 70 72.739998 69.75 72.739998 1633900 64.016643
2013-10-22 72.75 73.580002 72.07 73.25 716700 64.465483
2013-10-23 73.239998 73.239998 71.900002 73.019997 587400 64.263063
2013-10-24 73.010002 74.269997 72.910004 73.309998 330200 64.518286
2013-10-25 73.349998 74.309998 73.209999 73.839996 394700 64.984724
2013-10-28 74.07 74.089996 73.120003 73.5 661700 64.685502
2013-10-29 73.760002 74.339996 73.029999 74.339996 414700 65.424762
2013-10-30 74.25 74.919998 73.050003 74.379997 436700 65.459966
2013-10-31 74.32 74.660004 73.470001 74.279999 374800 65.371959
2013-11-01 74.419998 74.889999 74.029999 74.599998 457900 65.653583
2013-11-04 74.620003 74.93 73.519997 74.459999 728300 65.530373
2013-11-05 73.120003 73.580002 72.860001 73.470001 810900 65.405742
2013-11-06 73.459999 73.93 72.489998 73.239998 517700 65.200985
2013-11-07 73.199997 73.440002 72.190002 73.139999 513500 65.111962
2013-11-08 72.93 74.809998 72.25 74.459999 690500 66.287075
2013-11-11 74.360001 75.410004 74.040001 75.059998 666900 66.821216
2013-11-12 75.309998 75.790001 74.300003 75.349998 639700 67.079386
2013-11-13 71.550003 72.150002 67.660004 67.75 3765400 60.313583
2013-11-14 68.540001 69 67.349998 67.379997 2237800 59.984193
2013-11-15 67.68 70.220001 67.660004 70.139999 1263900 62.44125
2013-11-18 70.059998 70.209999 68.989998 69.18 578400 61.586623
2013-11-19 68.900002 68.900002 67.510002 67.730003 704500 60.295781
2013-11-20 68.230003 68.790001 67.839996 68.769997 641500 61.221622
2013-11-21 68.769997 69.669998 67.300003 69.290001 453700 61.68455
2013-11-22 69.220001 70.160004 68.419998 69.790001 417200 62.129668
2013-11-25 69.75 70.519997 69.510002 70.089996 634400 62.396735
2013-11-26 69.980003 70.040001 69.099998 69.739998 331800 62.085154
2013-11-27 69.639999 70.139999 69.389999 69.940002 500100 62.263205
2013-11-29 69.860001 70 68.93 69.07 153900 61.488696
2013-12-02 68.910004 69.050003 67.849998 67.900002 2733700 60.44712
2013-12-03 67.769997 67.830002 67.059998 67.480003 960200 60.073222
2013-12-04 67.07 67.410004 65.82 66.870003 1215200 59.530177
