"Index" "RMB.Open" "RMB.High" "RMB.Low" "RMB.Close" "RMB.Volume" "RMB.Adjusted"
2014-02-25 6.759 6.759 6.759 6.759 0 6.759
2014-02-26 6.799 6.799 6.799 6.799 0 6.799
2014-02-27 6.886 6.886 6.886 6.886 0 6.886
2014-02-28 6.732 6.732 6.732 6.732 0 6.732
2014-03-03 6.6 6.6 6.6 6.6 0 6.6
2014-03-04 6.694 6.694 6.694 6.694 0 6.694
2014-03-05 6.8 6.8 6.8 6.8 0 6.8
2014-03-06 6.867 6.867 6.867 6.867 0 6.867
2014-03-07 6.751 6.751 6.751 6.751 0 6.751
2014-03-10 6.856 6.856 6.856 6.856 0 6.856
2014-03-11 7.07 7.07 7.07 7.07 0 7.07
2014-03-12 7.137 7.137 7.137 7.137 0 7.137
2014-03-13 7.117 7.117 7.117 7.117 0 7.117
2014-03-14 7.014 7.014 7.014 7.014 0 7.014
2014-03-17 7.081 7.081 7.081 7.081 0 7.081
2014-03-18 7.06 7.06 7.06 7.06 0 7.06
2014-03-19 7.538 7.538 7.538 7.538 0 7.538
2014-03-20 7.639 7.639 7.639 7.639 0 7.639
2014-03-21 7.661 7.661 7.661 7.661 0 7.661
2014-03-24 7.446 7.446 7.446 7.446 0 7.446
2014-03-25 7.522 7.522 7.522 7.522 0 7.522
2014-03-26 7.636 7.636 7.636 7.636 0 7.636
2014-03-27 7.482 7.482 7.482 7.482 0 7.482
2014-03-28 7.749 7.749 7.749 7.749 0 7.749
2014-03-31 7.786 7.786 7.786 7.786 0 7.786
2014-04-01 7.765 7.765 7.765 7.765 0 7.765
2014-04-02 8.178 8.178 8.178 8.178 0 8.178
2014-04-03 8.385 8.385 8.385 8.385 0 8.385
2014-04-04 8.356 8.356 8.356 8.356 0 8.356
2014-04-07 8.064 8.064 8.064 8.064 0 8.064
2014-04-08 8.06 8.06 8.06 8.06 0 8.06
2014-04-09 8.05 8.05 8.05 8.05 0 8.05
2014-04-10 8.232 8.232 8.232 8.232 0 8.232
2014-04-11 8.014 8.014 8.014 8.014 0 8.014
2014-04-14 8.307 8.307 8.307 8.307 0 8.307
2014-04-15 8.45 8.45 8.45 8.45 0 8.45
2014-04-16 8.539 8.539 8.539 8.539 0 8.539
2014-04-17 8.441 8.441 8.441 8.441 0 8.441
2014-04-18 8.441 8.441 8.441 8.441 0 8.441
2014-04-21 8.441 8.441 8.441 8.441 0 8.441
2014-04-22 8.248 8.248 8.248 8.248 0 8.248
2014-04-23 8.891 8.891 8.891 8.891 0 8.891
2014-04-24 9.025 9.025 9.025 9.025 0 9.025
2014-04-25 8.975 8.975 8.975 8.975 0 8.975
2014-04-28 8.756 8.756 8.756 8.756 0 8.756
2014-04-29 8.619 8.619 8.619 8.619 0 8.619
2014-04-30 8.666 8.666 8.666 8.666 0 8.666
2014-05-01 8.666 8.666 8.666 8.666 0 8.666
2014-05-02 8.562 8.562 8.562 8.562 0 8.562
2014-05-05 8.654 8.654 8.654 8.654 0 8.654
2014-05-06 8.734 8.734 8.734 8.734 0 8.734
2014-05-07 8.532 8.532 8.532 8.532 0 8.532
2014-05-08 8.48 8.48 8.48 8.48 0 8.48
2014-05-09 8.45 8.45 8.45 8.45 0 8.45
2014-05-12 8.578 8.578 8.578 8.578 0 8.578
2014-05-13 8.737 8.737 8.737 8.737 0 8.737
2014-05-14 8.748 8.748 8.748 8.748 0 8.748
2014-05-15 8.465 8.465 8.465 8.465 0 8.465
2014-05-16 8.302 8.302 8.302 8.302 0 8.302
2014-05-19 8.315 8.315 8.315 8.315 0 8.315
2014-05-20 8.435 8.435 8.435 8.435 0 8.435
2014-05-21 8.222 8.222 8.222 8.222 0 8.222
2014-05-22 8.303 8.303 8.303 8.303 0 8.303
2014-05-23 8.422 8.422 8.422 8.422 0 8.422
2014-05-26 8.593 8.593 8.593 8.593 0 8.593
2014-05-27 8.604 8.604 8.604 8.604 0 8.604
2014-05-28 8.791 8.791 8.791 8.791 0 8.791
2014-05-29 8.752 8.752 8.752 8.752 0 8.752
2014-05-30 8.713 8.713 8.713 8.713 0 8.713
2014-06-02 8.838 8.838 8.838 8.838 0 8.838
2014-06-03 8.592 8.592 8.592 8.592 0 8.592
2014-06-04 8.533 8.533 8.533 8.533 0 8.533
2014-06-05 8.553 8.553 8.553 8.553 0 8.553
2014-06-06 8.629 8.629 8.629 8.629 0 8.629
2014-06-09 8.862 8.862 8.862 8.862 0 8.862
2014-06-10 8.948 8.948 8.948 8.948 0 8.948
2014-06-11 9.066 9.066 9.066 9.066 0 9.066
2014-06-12 9.755 9.764 9.755 9.764 100 9.764
2014-06-13 10.07 10.07 10.07 10.07 0 10.07
2014-06-16 9.99 9.99 9.99 9.99 0 9.99
2014-06-17 10.575 10.575 10.575 10.575 0 10.575
2014-06-18 10.735 10.735 10.735 10.735 0 10.735
2014-06-19 10.745 10.745 10.745 10.745 0 10.745
2014-06-20 10.695 10.695 10.695 10.695 0 10.695
2014-06-23 10.78 10.78 10.78 10.78 0 10.78
2014-06-24 10.625 10.625 10.625 10.625 0 10.625
2014-06-25 10.385 10.385 10.385 10.385 0 10.385
2014-06-26 10.485 10.485 10.485 10.485 0 10.485
2014-06-27 10.38 10.38 10.38 10.38 0 10.38
2014-06-30 10.415 10.415 10.415 10.415 0 10.415
2014-07-01 10.42 10.42 10.42 10.42 0 10.42
2014-07-02 10.55 10.55 10.55 10.55 0 10.55
2014-07-03 10.35 10.35 10.35 10.35 0 10.35
2014-07-04 10.735 10.735 10.735 10.735 0 10.735
2014-07-07 10.745 10.745 10.745 10.745 0 10.745
2014-07-08 10.45 10.45 10.45 10.45 0 10.45
2014-07-09 10.28 10.28 10.28 10.28 0 10.28
2014-07-10 10.31 10.31 10.31 10.31 0 10.31
2014-07-11 10.335 10.335 10.335 10.335 0 10.335
2014-07-14 10.285 10.285 10.285 10.285 0 10.285
2014-07-15 10.335 10.335 10.335 10.335 0 10.335
2014-07-16 10.18 10.18 10.18 10.18 0 10.18
2014-07-17 10.02 10.02 10.02 10.02 0 10.02
2014-07-18 9.969 9.969 9.969 9.969 0 9.969
2014-07-21 10.035 10.035 10.02 10.02 0 10.02
2014-07-22 9.9 9.9 9.9 9.9 0 9.9
