"Index" "SPY.Open" "SPY.High" "SPY.Low" "SPY.Close" "SPY.Volume" "SPY.Adjusted"
2013-04-01 156.589996 156.910004 155.669998 156.050003 99194100 148.528447
2013-04-02 156.610001 157.210007 156.369995 156.820007 101504300 149.261337
2013-04-03 156.910004 157.029999 154.820007 155.229996 154167400 147.747964
2013-04-04 155.429993 156.169998 155.089996 155.860001 131885000 148.347603
2013-04-05 153.949997 155.350006 153.770004 155.160004 159666000 147.681345
2013-04-08 155.270004 156.220001 154.75 156.210007 86571200 148.680738
2013-04-09 156.5 157.320007 155.979996 156.75 101922200 149.194704
2013-04-10 157.169998 158.869995 157.130005 158.669998 135711100 151.022159
2013-04-11 158.699997 159.710007 158.539993 159.190002 110142500 151.517099
2013-04-12 158.679993 159.039993 157.919998 158.800003 116359900 151.145898
2013-04-15 158 158.130005 155.100006 155.119995 217259000 147.643265
2013-04-16 156.289993 157.490005 155.910004 157.410004 147507800 149.822896
2013-04-17 156.289993 156.320007 154.279999 155.110001 226834800 147.633752
2013-04-18 155.369995 155.410004 153.550003 154.139999 167583200 146.710505
2013-04-19 154.5 155.550003 154.119995 155.479996 149687600 147.985914
2013-04-22 155.779999 156.539993 154.75 156.169998 106553500 148.642658
2013-04-23 156.949997 157.929993 156.169998 157.779999 166141300 150.175057
2013-04-24 157.830002 158.300003 157.539993 157.880005 96781200 150.270243
2013-04-25 158.339996 159.270004 158.100006 158.520004 131060600 150.879395
2013-04-26 158.330002 158.600006 157.729996 158.240005 95918800 150.612892
2013-04-29 158.669998 159.649994 158.419998 159.300003 88572800 151.621798
2013-04-30 159.270004 159.720001 158.610001 159.679993 116010700 151.983472
2013-05-01 159.330002 159.410004 158.100006 158.279999 138874200 150.650958
2013-05-02 158.679993 159.889999 158.529999 159.75 96407600 152.050105
2013-05-03 161.139999 161.880005 159.779999 161.369995 144202300 153.592017
2013-05-06 161.490005 162.009995 161.419998 161.779999 66882100 153.982259
2013-05-07 162.130005 162.649994 161.669998 162.600006 90359200 154.762742
2013-05-08 162.419998 163.389999 162.330002 163.339996 97419200 155.467065
2013-05-09 163.270004 163.699997 162.470001 162.880005 106738600 155.029245
2013-05-10 162.990005 163.550003 162.509995 163.410004 103203000 155.533698
2013-05-13 163.199997 163.809998 162.820007 163.539993 81843200 155.657422
2013-05-14 163.669998 165.350006 163.669998 165.229996 119000900 157.265967
2013-05-15 164.960007 166.449997 164.910004 166.119995 120718500 158.113069
2013-05-16 165.779999 166.360001 165.089996 165.339996 109913600 157.370666
2013-05-17 165.949997 167.039993 165.729996 166.940002 129801000 158.893552
2013-05-20 166.779999 167.580002 166.610001 166.929993 85071200 158.884025
2013-05-21 167.080002 167.800003 166.5 167.169998 95804200 159.112462
2013-05-22 167.339996 169.070007 165.169998 165.929993 244031800 157.932225
2013-05-23 164.160004 165.910004 163.940002 165.449997 211064400 157.475364
2013-05-24 164.470001 165.380005 163.979996 165.309998 151573900 157.342113
2013-05-28 167.039993 167.779999 165.809998 166.300003 143679800 158.284401
2013-05-29 165.419998 165.800003 164.339996 165.220001 160363400 157.256454
2013-05-30 165.350006 166.589996 165.220001 165.830002 107793800 157.837053
2013-05-31 165.369995 166.309998 163.130005 163.449997 176850100 155.571764
2013-06-03 163.830002 164.460007 162.660004 164.350006 168390700 156.428393
2013-06-04 164.440002 165.100006 162.729996 163.559998 157631500 155.676462
2013-06-05 163.089996 163.419998 161.130005 161.270004 211737800 153.496846
2013-06-06 161.199997 162.740005 160.25 162.729996 200225500 154.886466
2013-06-07 163.850006 164.949997 163.139999 164.800003 188337800 156.8567
2013-06-10 165.309998 165.399994 164.369995 164.800003 105667100 156.8567
2013-06-11 163.300003 164.539993 162.740005 163.100006 159505400 155.238642
2013-06-12 164.220001 164.389999 161.600006 161.75 177361500 153.953706
2013-06-13 161.660004 164.5 161.300003 164.210007 163587800 156.295141
2013-06-14 164.029999 164.669998 162.910004 163.179993 141197500 155.314774
2013-06-17 164.289993 165.220001 163.220001 164.440002 136295600 156.514051
2013-06-18 164.529999 165.990005 164.520004 165.740005 114695600 157.751395
2013-06-19 165.600006 165.889999 163.380005 163.449997 206149500 155.571764
2013-06-20 161.860001 163.470001 158.979996 159.399994 321255900 151.716969
2013-06-21 159.639999 159.759995 157.470001 159.070007 271956800 152.204011
2013-06-24 157.410004 158.429993 155.729996 157.059998 222329000 150.28076
2013-06-25 158.479996 160.100006 157.419998 158.570007 162262200 151.725593
2013-06-26 159.869995 160.5 159.25 160.139999 134848000 153.227819
2013-06-27 161.100006 161.820007 160.949997 161.080002 129483700 154.127248
2013-06-28 160.630005 161.399994 159.860001 160.419998 160402900 153.495732
2013-07-01 161.259995 162.479996 161.080002 161.360001 131954800 154.395161
2013-07-02 161.119995 162.300003 160.5 161.210007 154863700 154.251641
2013-07-03 160.479996 161.770004 160.220001 161.279999 75216400 154.318612
2013-07-05 162.470001 163.080002 161.300003 163.020004 122416900 155.983513
2013-07-08 163.860001 164.389999 163.080002 163.949997 108092500 156.873364
2013-07-09 164.979996 165.330002 164.270004 165.130005 119298000 158.002439
2013-07-10 164.970001 165.75 164.630005 165.190002 121410100 158.059847
2013-07-11 167.110001 167.610001 165.179993 167.440002 135592200 160.212729
2013-07-12 167.389999 167.929993 167.130005 167.509995 104212700 160.2797
2013-07-15 167.970001 168.389999 167.679993 168.149994 69450600 160.892075
2013-07-16 168.259995 168.360001 167.070007 167.520004 88702100 160.289278
2013-07-17 168.160004 168.479996 167.729996 167.949997 92873900 160.700711
2013-07-18 168.309998 169.270004 168.199997 168.869995 103620100 161.580999
2013-07-19 168.520004 169.229996 168.309998 169.169998 103831700 161.868053
2013-07-22 169.410004 169.740005 169.009995 169.5 79428600 162.183811
2013-07-23 169.800003 169.830002 169.050003 169.139999 80829700 161.839349
2013-07-24 169.789993 169.860001 168.179993 168.520004 112914000 161.246115
2013-07-25 168.220001 169.080002 167.940002 168.929993 111088600 161.638407
2013-07-26 168.220001 169.160004 167.520004 169.110001 107814600 161.810645
2013-07-29 168.679993 169.059998 168.110001 168.589996 79695000 161.313086
2013-07-30 169.100006 169.279999 168.190002 168.589996 85209600 161.313086
2013-07-31 168.940002 169.850006 168.490005 168.710007 142388700 161.427916
2013-08-01 169.990005 170.809998 169.899994 170.660004 110438400 163.293745
2013-08-02 170.279999 170.970001 170.050003 170.949997 91116700 163.571221
2013-08-05 170.570007 170.960007 170.350006 170.699997 54072700 163.332012
2013-08-06 170.369995 170.740005 169.350006 169.729996 87495000 162.403879
