"Index" "GCU.Open" "GCU.High" "GCU.Low" "GCU.Close" "GCU.Volume" "GCU.Adjusted"
2013-08-01 0.988 0.988 0.988 0.988 0 0.988
2013-08-02 0.998 0.998 0.998 0.998 0 0.998
2013-08-05 1.002 1.002 1.002 1.002 0 1.002
2013-08-06 1.035 1.035 1.035 1.035 0 1.035
2013-08-07 1.029 1.029 1.029 1.029 0 1.029
2013-08-08 1.042 1.042 1.042 1.042 0 1.042
2013-08-09 1.031 1.031 1.031 1.031 0 1.031
2013-08-12 1.04 1.04 1.04 1.04 0 1.04
2013-08-13 1.04 1.04 1.04 1.04 0 1.04
2013-08-14 1.077 1.077 1.077 1.077 0 1.077
2013-08-15 1.116 1.116 1.116 1.116 0 1.116
2013-08-16 1.131 1.131 1.131 1.131 0 1.131
2013-08-19 1.172 1.172 1.172 1.172 0 1.172
2013-08-20 1.163 1.163 1.163 1.163 0 1.163
2013-08-21 1.147 1.147 1.147 1.147 0 1.147
2013-08-22 1.147 1.147 1.147 1.147 0 1.147
2013-08-23 1.196 1.196 1.196 1.196 0 1.196
2013-08-26 1.324 1.324 1.324 1.324 0 1.324
2013-08-27 1.333 1.333 1.333 1.333 0 1.333
2013-08-28 1.305 1.305 1.305 1.305 0 1.305
2013-08-29 1.314 1.314 1.314 1.314 0 1.314
2013-08-30 1.278 1.278 1.278 1.278 0 1.278
2013-09-02 1.274 1.274 1.274 1.274 0 1.274
2013-09-03 1.289 1.289 1.289 1.289 0 1.289
2013-09-04 1.322 1.322 1.322 1.322 0 1.322
2013-09-05 1.34 1.34 1.34 1.34 0 1.34
2013-09-06 1.4 1.4 1.4 1.4 0 1.4
2013-09-09 1.498 1.498 1.498 1.498 0 1.498
2013-09-10 1.524 1.524 1.524 1.524 0 1.524
2013-09-11 1.523 1.523 1.523 1.523 0 1.523
2013-09-12 1.551 1.551 1.551 1.551 0 1.551
2013-09-13 1.643 1.643 1.643 1.643 0 1.643
2013-09-16 1.615 1.615 1.615 1.615 0 1.615
2013-09-17 1.604 1.604 1.604 1.604 0 1.604
2013-09-18 1.6 1.6 1.6 1.6 0 1.6
2013-09-19 1.611 1.611 1.611 1.611 0 1.611
2013-09-20 1.626 1.626 1.626 1.626 0 1.626
2013-09-23 1.597 1.597 1.597 1.597 0 1.597
2013-09-24 1.599 1.599 1.599 1.599 0 1.599
2013-09-25 1.576 1.576 1.576 1.576 0 1.576
2013-09-26 1.561 1.561 1.561 1.561 0 1.561
2013-09-27 1.543 1.543 1.543 1.543 0 1.543
2013-09-30 1.526 1.526 1.526 1.526 0 1.526
2013-10-01 1.503 1.503 1.503 1.503 0 1.503
2013-10-02 1.478 1.478 1.478 1.478 0 1.478
2013-10-03 1.451 1.451 1.451 1.451 0 1.451
2013-10-04 1.385 1.385 1.385 1.385 0 1.385
2013-10-07 1.418 1.418 1.418 1.418 0 1.418
2013-10-08 1.423 1.423 1.423 1.423 0 1.423
2013-10-09 1.424 1.424 1.424 1.424 0 1.424
2013-10-10 1.421 1.421 1.421 1.421 0 1.421
2013-10-11 1.422 1.422 1.422 1.422 0 1.422
2013-10-14 1.418 1.418 1.418 1.418 0 1.418
2013-10-15 1.421 1.421 1.421 1.421 0 1.421
2013-10-16 1.437 1.437 1.437 1.437 0 1.437
2013-10-17 1.462 1.462 1.462 1.462 0 1.462
2013-10-18 1.484 1.484 1.484 1.484 0 1.484
2013-10-21 1.493 1.493 1.493 1.493 0 1.493
2013-10-22 1.485 1.485 1.485 1.485 0 1.485
2013-10-23 1.461 1.461 1.461 1.461 0 1.461
2013-10-24 1.479 1.479 1.479 1.479 0 1.479
2013-10-25 1.483 1.483 1.483 1.483 0 1.483
2013-10-28 1.468 1.468 1.468 1.468 0 1.468
2013-10-29 1.473 1.473 1.473 1.473 0 1.473
2013-10-30 1.463 1.463 1.463 1.463 0 1.463
2013-10-31 1.466 1.466 1.466 1.466 0 1.466
2013-11-01 1.486 1.486 1.486 1.486 0 1.486
2013-11-04 1.491 1.491 1.491 1.491 0 1.491
2013-11-05 1.499 1.499 1.499 1.499 0 1.499
2013-11-06 1.511 1.511 1.511 1.511 0 1.511
2013-11-07 1.502 1.502 1.502 1.502 0 1.502
2013-11-08 1.568 1.568 1.568 1.568 0 1.568
2013-11-11 1.594 1.594 1.594 1.594 0 1.594
2013-11-12 1.586 1.586 1.586 1.586 0 1.586
2013-11-13 1.571 1.571 1.571 1.571 0 1.571
2013-11-14 1.589 1.589 1.589 1.589 0 1.589
2013-11-15 1.549 1.549 1.549 1.549 0 1.549
2013-11-18 1.554 1.554 1.554 1.554 0 1.554
2013-11-19 1.524 1.524 1.524 1.524 0 1.524
2013-11-20 1.521 1.521 1.521 1.521 0 1.521
2013-11-21 1.545 1.545 1.545 1.545 0 1.545
2013-11-22 1.484 1.484 1.484 1.484 0 1.484
2013-11-25 1.457 1.457 1.457 1.457 0 1.457
2013-11-26 1.509 1.509 1.509 1.509 0 1.509
2013-11-27 1.479 1.479 1.479 1.479 0 1.479
2013-11-28 1.48 1.48 1.48 1.48 0 1.48
2013-11-29 1.479 1.479 1.479 1.479 0 1.479
2013-12-02 1.462 1.462 1.462 1.462 0 1.462
2013-12-03 1.425 1.425 1.425 1.425 0 1.425
2013-12-04 1.506 1.506 1.506 1.506 0 1.506
2013-12-05 1.548 1.548 1.548 1.548 0 1.548
2013-12-06 1.524 1.524 1.524 1.524 0 1.524
2013-12-09 1.527 1.527 1.527 1.527 0 1.527
2013-12-10 1.531 1.531 1.531 1.531 0 1.531
2013-12-11 1.506 1.506 1.506 1.506 0 1.506
2013-12-12 1.505 1.505 1.505 1.505 0 1.505
2013-12-13 1.471 1.471 1.471 1.471 0 1.471
2013-12-16 1.48 1.48 1.48 1.48 0 1.48
2013-12-17 1.477 1.477 1.477 1.477 0 1.477
2013-12-18 1.478 1.478 1.478 1.478 0 1.478
2013-12-19 1.508 1.508 1.508 1.508 0 1.508
2013-12-20 1.48 1.48 1.48 1.48 0 1.48
2013-12-23 1.479 1.479 1.479 1.479 0 1.479
2013-12-24 1.479 1.479 1.479 1.479 0 1.479
2013-12-25 1.479 1.479 1.479 1.479 0 1.479
2013-12-26 1.479 1.479 1.479 1.479 0 1.479
2013-12-27 1.471 1.471 1.471 1.471 0 1.471
2013-12-30 1.481 1.481 1.481 1.481 0 1.481
2013-12-31 1.481 1.481 1.481 1.481 0 1.481
2014-01-01 1.481 1.481 1.481 1.481 0 1.481
2014-01-02 1.486 1.486 1.486 1.486 0 1.486
2014-01-03 1.483 1.483 1.483 1.483 0 1.483
2014-01-06 1.47 1.47 1.47 1.47 0 1.47
2014-01-07 1.472 1.472 1.472 1.472 0 1.472
2014-01-08 1.471 1.471 1.471 1.471 0 1.471
2014-01-09 1.493 1.493 1.493 1.493 0 1.493
2014-01-10 1.501 1.501 1.501 1.501 0 1.501
2014-01-13 1.508 1.508 1.508 1.508 0 1.508
2014-01-14 1.503 1.503 1.503 1.503 0 1.503
2014-01-15 1.52 1.52 1.52 1.52 0 1.52
2014-01-16 1.558 1.558 1.558 1.558 0 1.558
2014-01-17 1.624 1.624 1.624 1.624 0 1.624
2014-01-20 1.628 1.628 1.628 1.628 0 1.628
2014-01-21 1.636 1.636 1.636 1.636 0 1.636
2014-01-22 1.62 1.62 1.62 1.62 0 1.62
2014-01-23 1.584 1.584 1.584 1.584 0 1.584
2014-01-24 1.581 1.581 1.581 1.581 0 1.581
2014-01-27 1.54 1.54 1.54 1.54 0 1.54
2014-01-28 1.516 1.516 1.516 1.516 0 1.516
2014-01-29 1.52 1.52 1.52 1.52 0 1.52
2014-01-30 1.518 1.518 1.518 1.518 0 1.518
