"Index" "VC.Open" "VC.High" "VC.Low" "VC.Close" "VC.Volume" "VC.Adjusted"
2013-11-08 74.480003 75.989998 73.879997 75.160004 1020800 75.160004
2013-11-11 75.25 76.779999 74.800003 75.669998 384600 75.669998
2013-11-12 75.410004 75.68 74.589996 74.660004 371000 74.660004
2013-11-13 74.5 75.260002 74.5 75.120003 666000 75.120003
2013-11-14 75.07 75.459999 74.379997 74.599998 745700 74.599998
2013-11-15 75.07 76.830002 74.980003 76.330002 660900 76.330002
2013-11-18 76.330002 77.910004 76.330002 76.629997 388800 76.629997
2013-11-19 76.5 77.220001 75.910004 76.050003 555000 76.050003
2013-11-20 76.360001 76.360001 75 75.43 399700 75.43
2013-11-21 75.480003 77.440002 75.309998 76.879997 458300 76.879997
2013-11-22 76.830002 77.290001 76.349998 76.839996 314400 76.839996
2013-11-25 76.989998 78.089996 76.769997 77.900002 677900 77.900002
2013-11-26 77.949997 78.730003 77.57 78.279999 428600 78.279999
2013-11-27 78.32 79.489998 78.050003 78.809998 928600 78.809998
2013-11-29 79.07 79.379997 78.459999 78.639999 99600 78.639999
2013-12-02 78.889999 79.580002 78.519997 78.82 689400 78.82
2013-12-03 78.809998 79.120003 77.93 78.559998 551300 78.559998
2013-12-04 78.489998 79.550003 78.489998 79.019997 1326100 79.019997
2013-12-05 79 79.160004 78.260002 78.57 550900 78.57
2013-12-06 78.989998 79.510002 78.839996 78.989998 800700 78.989998
2013-12-09 79.089996 79.230003 78.459999 78.82 527200 78.82
2013-12-10 78.739998 79.099998 78.419998 78.419998 375500 78.419998
2013-12-11 78.589996 78.589996 76.82 76.949997 435100 76.949997
2013-12-12 76.900002 77.480003 76.419998 77.139999 297400 77.139999
2013-12-13 77.419998 78.459999 77.32 78.43 434500 78.43
2013-12-16 78.550003 79.129997 78.080002 78.160004 440900 78.160004
2013-12-17 78.43 78.800003 78.010002 78.599998 555200 78.599998
2013-12-18 78.5 79.459999 78.089996 79.389999 1033100 79.389999
2013-12-19 79.389999 79.419998 78.379997 78.5 657500 78.5
2013-12-20 78.400002 79.400002 78.400002 79.150002 716500 79.150002
2013-12-23 79.480003 80.239998 79 79.080002 354300 79.080002
2013-12-24 79.110001 80.599998 79 80.589996 155800 80.589996
2013-12-26 80.860001 81 80.260002 80.339996 182900 80.339996
2013-12-27 80.349998 80.349998 79.610001 79.650002 201400 79.650002
2013-12-30 79.709999 81.32 79.709999 81.019997 315100 81.019997
2013-12-31 81.489998 82.230003 81.260002 81.889999 338900 81.889999
2014-01-02 81.830002 82.510002 81.150002 81.190002 647500 81.190002
2014-01-03 81.18 81.970001 80.239998 81.239998 463400 81.239998
2014-01-06 81.599998 81.989998 80.5 81.660004 594900 81.660004
2014-01-07 82 83.160004 81.599998 82.25 628600 82.25
2014-01-08 82.080002 83.260002 81.879997 82.050003 710000 82.050003
2014-01-09 82.290001 82.620003 80.959999 81.889999 715700 81.889999
2014-01-10 82.989998 85.029999 82.860001 85 1804900 85
2014-01-13 88.57 88.739998 85 85.839996 1316600 85.839996
2014-01-14 85.910004 87.769997 85.519997 87.610001 1094400 87.610001
