"Index" "XAP.Open" "XAP.High" "XAP.Low" "XAP.Close" "XAP.Volume" "XAP.Adjusted"
2013-06-19 8.59 8.59 8.59 8.59 0 8.59
2013-06-20 8.59 8.59 8.59 8.59 0 8.59
2013-06-21 8.59 8.59 8.59 8.59 0 8.59
2013-06-24 8.59 8.59 8.59 8.59 0 8.59
2013-06-25 8.59 8.59 8.59 8.59 0 8.59
2013-06-26 8.59 8.59 8.59 8.59 0 8.59
2013-06-27 8.59 8.59 8.59 8.59 0 8.59
2013-06-28 8.59 8.59 8.59 8.59 0 8.59
2013-07-01 8.59 8.59 8.59 8.59 0 8.59
2013-07-02 8.59 8.59 8.59 8.59 0 8.59
2013-07-03 8.59 8.59 8.59 8.59 0 8.59
2013-07-04 8.59 8.59 8.59 8.59 0 8.59
2013-07-05 8.59 8.59 8.59 8.59 0 8.59
2013-07-08 8.59 8.59 8.59 8.59 0 8.59
2013-07-09 8.59 8.59 8.59 8.59 0 8.59
