"Index" "TZ6.Open" "TZ6.High" "TZ6.Low" "TZ6.Close" "TZ6.Volume" "TZ6.Adjusted"
2013-07-04 10.435 10.435 10.435 10.435 0 10.435
2013-07-05 10.685 10.685 10.685 10.685 0 10.685
2013-07-08 10.53 10.53 10.53 10.53 0 10.53
2013-07-09 10.68 10.68 10.68 10.68 0 10.68
2013-07-10 10.71 10.71 10.71 10.71 0 10.71
2013-07-11 10.705 10.705 10.705 10.705 0 10.705
2013-07-12 10.895 10.895 10.895 10.895 0 10.895
2013-07-15 10.87 10.87 10.87 10.87 0 10.87
2013-07-16 10.815 10.815 10.815 10.815 0 10.815
2013-07-17 10.685 10.685 10.685 10.685 0 10.685
2013-07-18 10.54 10.54 10.54 10.54 0 10.54
2013-07-19 10.29 10.29 10.29 10.29 0 10.29
2013-07-22 10.52 10.52 10.52 10.52 0 10.52
2013-07-23 10.51 10.51 10.51 10.51 0 10.51
2013-07-24 10.32 10.32 10.32 10.32 0 10.32
2013-07-25 9.955 9.955 9.955 9.955 0 9.955
2013-07-26 9.71 9.71 9.71 9.71 0 9.71
2013-07-29 9.457 9.457 9.457 9.457 0 9.457
2013-07-30 9.587 9.587 9.587 9.587 0 9.587
2013-07-31 9.452 9.452 9.452 9.452 0 9.452
2013-08-01 9.557 9.557 9.557 9.557 0 9.557
2013-08-02 10.2 10.2 10.2 10.2 0 10.2
2013-08-05 9.895 9.895 9.895 9.895 0 9.895
2013-08-06 10.1 10.1 10.1 10.1 0 10.1
2013-08-07 9.895 9.895 9.895 9.895 0 9.895
2013-08-08 9.755 9.755 9.755 9.755 0 9.755
2013-08-09 9.805 9.805 9.805 9.805 0 9.805
2013-08-12 9.723 9.723 9.723 9.723 0 9.723
2013-08-13 9.835 9.835 9.835 9.835 0 9.835
2013-08-14 9.915 9.915 9.915 9.915 0 9.915
2013-08-15 9.671 9.671 9.671 9.671 0 9.671
2013-08-16 9.445 9.445 9.445 9.445 0 9.445
2013-08-19 9.538 9.538 9.538 9.538 0 9.538
2013-08-20 9.401 9.401 9.401 9.401 0 9.401
2013-08-21 9.13 9.13 9.13 9.13 0 9.13
2013-08-22 9.374 9.374 9.374 9.374 0 9.374
2013-08-23 9.566 9.566 9.566 9.566 0 9.566
2013-08-26 9.417 9.417 9.417 9.417 0 9.417
2013-08-27 9.341 9.341 9.341 9.341 0 9.341
2013-08-28 9.177 9.177 9.177 9.177 0 9.177
2013-08-29 9.172 9.172 9.172 9.172 0 9.172
2013-08-30 9.088 9.088 9.088 9.088 0 9.088
2013-09-02 9.121 9.121 9.121 9.121 0 9.121
2013-09-03 9.558 9.558 9.558 9.558 0 9.558
2013-09-04 9.39 9.39 9.39 9.39 0 9.39
2013-09-05 9.639 9.639 9.639 9.639 0 9.639
2013-09-06 9.449 9.449 9.449 9.449 0 9.449
2013-09-09 9.491 9.491 9.491 9.491 0 9.491
2013-09-10 9.658 9.658 9.658 9.658 0 9.658
2013-09-11 9.599 9.599 9.599 9.599 0 9.599
2013-09-12 9.745 9.745 9.745 9.745 0 9.745
2013-09-13 9.592 9.592 9.592 9.592 0 9.592
2013-09-16 9.631 9.631 9.631 9.631 0 9.631
2013-09-17 9.528 9.528 9.528 9.528 0 9.528
2013-09-18 9.478 9.478 9.478 9.478 0 9.478
2013-09-19 9.647 9.647 9.647 9.647 0 9.647
2013-09-20 9.498 9.498 9.498 9.498 0 9.498
2013-09-23 9.516 9.516 9.516 9.516 0 9.516
2013-09-24 9.198 9.198 9.198 9.198 0 9.198
2013-09-25 9.162 9.162 9.162 9.162 0 9.162
2013-09-26 9.444 9.444 9.444 9.444 0 9.444
2013-09-27 9.333 9.333 9.333 9.333 0 9.333
2013-09-30 9.085 9.085 9.085 9.085 0 9.085
2013-10-01 9.036 9.036 9.036 9.036 0 9.036
2013-10-02 9.067 9.067 9.067 9.067 0 9.067
2013-10-03 8.879 8.879 8.879 8.879 0 8.879
2013-10-04 8.878 8.878 8.878 8.878 0 8.878
2013-10-07 8.672 8.672 8.672 8.672 0 8.672
2013-10-08 8.625 8.625 8.625 8.625 0 8.625
2013-10-09 8.757 8.757 8.757 8.757 0 8.757
2013-10-10 8.81 8.81 8.81 8.81 0 8.81
2013-10-11 8.878 8.878 8.878 8.878 0 8.878
2013-10-14 8.868 8.868 8.868 8.868 0 8.868
2013-10-15 8.826 8.826 8.826 8.826 0 8.826
2013-10-16 8.974 8.974 8.974 8.974 0 8.974
2013-10-17 9.17 9.17 9.17 9.17 0 9.17
2013-10-18 8.991 8.991 8.991 8.991 0 8.991
2013-10-21 9.062 9.062 9.062 9.062 0 9.062
2013-10-22 8.995 8.995 8.995 8.995 0 8.995
2013-10-23 8.836 8.836 8.836 8.836 0 8.836
2013-10-24 8.712 8.712 8.712 8.712 0 8.712
2013-10-25 8.622 8.622 8.622 8.622 0 8.622
2013-10-28 8.602 8.602 8.602 8.602 0 8.602
2013-10-29 8.613 8.613 8.613 8.613 0 8.613
2013-10-30 8.942 8.942 8.942 8.942 0 8.942
2013-10-31 8.615 8.615 8.615 8.615 0 8.615
2013-11-01 8.612 8.612 8.612 8.612 0 8.612
2013-11-04 8.592 8.592 8.592 8.592 0 8.592
2013-11-05 8.546 8.546 8.546 8.546 0 8.546
2013-11-06 8.745 8.745 8.745 8.745 0 8.745
2013-11-07 8.791 8.791 8.791 8.791 0 8.791
2013-11-08 8.716 8.716 8.716 8.716 0 8.716
2013-11-11 8.869 8.869 8.869 8.869 0 8.869
2013-11-12 8.974 8.974 8.974 8.974 0 8.974
2013-11-13 8.823 8.823 8.823 8.823 0 8.823
2013-11-14 9.058 9.058 9.058 9.058 0 9.058
2013-11-15 9.428 9.428 9.428 9.428 0 9.428
2013-11-18 9.605 9.605 9.605 9.605 0 9.605
2013-11-19 9.582 9.582 9.582 9.582 0 9.582
2013-11-20 9.39 9.39 9.39 9.39 0 9.39
2013-11-21 9.555 9.555 9.555 9.555 0 9.555
2013-11-22 9.652 9.652 9.652 9.652 0 9.652
2013-11-25 9.644 9.644 9.644 9.644 0 9.644
2013-11-26 9.543 9.543 9.543 9.543 0 9.543
2013-11-27 9.436 9.436 9.436 9.436 0 9.436
2013-11-28 9.576 9.576 9.576 9.576 0 9.576
2013-11-29 9.605 9.605 9.605 9.605 0 9.605
2013-12-02 9.71 9.71 9.71 9.71 0 9.71
2013-12-03 9.78 9.78 9.78 9.78 0 9.78
2013-12-04 9.423 9.423 9.423 9.423 0 9.423
2013-12-05 9.377 9.377 9.377 9.377 0 9.377
2013-12-06 9.532 9.532 9.532 9.532 0 9.532
2013-12-09 9.475 9.475 9.475 9.475 0 9.475
2013-12-10 9.529 9.529 9.529 9.529 0 9.529
2013-12-11 9.303 9.303 9.303 9.303 0 9.303
2013-12-12 9.453 9.453 9.453 9.453 0 9.453
2013-12-13 9.292 9.292 9.292 9.292 0 9.292
2013-12-16 9.204 9.204 9.204 9.204 0 9.204
2013-12-17 9.509 9.509 9.509 9.509 0 9.509
2013-12-18 9.528 9.528 9.528 9.528 0 9.528
2013-12-19 9.693 9.693 9.693 9.693 0 9.693
2013-12-20 9.727 9.727 9.727 9.727 0 9.727
2013-12-23 9.727 9.727 9.727 9.727 0 9.727
2013-12-24 9.727 9.727 9.727 9.727 0 9.727
2013-12-25 9.727 9.727 9.727 9.727 0 9.727
2013-12-26 9.727 9.727 9.727 9.727 0 9.727
2013-12-27 10.055 10.055 10.055 10.055 0 10.055
2013-12-30 10.015 10.015 10.01 10.01 0 10.01
2013-12-31 10.01 10.01 10.01 10.01 0 10.01
2014-01-01 10.01 10.01 10.01 10.01 0 10.01
2014-01-02 10.02 10.02 10.02 10.02 0 10.02
2014-01-03 10.185 10.185 10.185 10.185 0 10.185
2014-01-06 10.125 10.125 10.125 10.125 0 10.125
2014-01-07 9.945 9.945 9.945 9.945 0 9.945
2014-01-08 10.215 10.215 10.215 10.215 0 10.215
2014-01-09 10.37 10.37 10.37 10.37 0 10.37
2014-01-10 10.3 10.3 10.3 10.3 0 10.3
2014-01-13 10.41 10.41 10.41 10.41 0 10.41
2014-01-14 9.935 9.935 9.935 9.935 0 9.935
2014-01-15 10.27 10.27 10.27 10.27 0 10.27
2014-01-16 10.215 10.215 10.215 10.215 0 10.215
2014-01-17 10.11 10.11 10.11 10.11 0 10.11
2014-01-20 10.18 10.18 10.18 10.18 0 10.18
2014-01-21 10.13 10.13 10.13 10.13 0 10.13
2014-01-22 10.115 10.135 10.115 10.135 0 10.135
2014-01-23 10.255 10.255 10.255 10.255 0 10.255
2014-01-24 9.753 9.753 9.753 9.753 0 9.753
2014-01-27 9.128 9.128 9.128 9.128 0 9.128
2014-01-28 9.147 9.147 9.147 9.147 0 9.147
2014-01-29 9.351 9.351 9.351 9.351 0 9.351
2014-01-30 9.127 9.127 9.127 9.127 0 9.127
2014-01-31 9.006 9.006 9.006 9.006 0 9.006
2014-02-03 8.873 8.873 8.873 8.873 0 8.873
2014-02-04 8.399 8.399 8.399 8.399 0 8.399
2014-02-05 8.667 8.667 8.667 8.667 0 8.667
2014-02-06 8.75 8.75 8.75 8.75 0 8.75
2014-02-07 8.971 8.971 8.971 8.971 0 8.971
2014-02-10 8.769 8.769 8.769 8.769 0 8.769
2014-02-11 8.751 8.751 8.751 8.751 0 8.751
2014-02-12 8.842 8.842 8.842 8.842 0 8.842
2014-02-13 8.984 8.984 8.984 8.984 0 8.984
2014-02-14 8.684 8.684 8.684 8.684 0 8.684
2014-02-17 8.779 8.779 8.779 8.779 0 8.779
2014-02-18 9.049 9.049 9.049 9.049 0 9.049
2014-02-19 9.076 9.076 9.076 9.076 0 9.076
2014-02-20 8.747 8.747 8.747 8.747 0 8.747
2014-02-21 8.996 8.996 8.996 8.996 0 8.996
2014-02-24 8.854 8.854 8.854 8.854 0 8.854
2014-02-25 8.961 8.961 8.961 8.961 0 8.961
2014-02-26 8.842 8.842 8.842 8.842 0 8.842
2014-02-27 8.606 8.606 8.606 8.606 0 8.606
2014-02-28 8.81 8.81 8.81 8.81 0 8.81
2014-03-03 8.776 8.776 8.776 8.776 0 8.776
2014-03-04 8.765 8.765 8.765 8.765 0 8.765
2014-03-05 9.087 9.087 9.087 9.087 0 9.087
2014-03-06 9.119 9.119 9.119 9.119 0 9.119
2014-03-07 9.16 9.16 9.16 9.16 0 9.16
2014-03-10 9.018 9.018 9.018 9.018 0 9.018
2014-03-11 9.088 9.088 9.088 9.088 0 9.088
2014-03-12 8.848 8.848 8.848 8.848 0 8.848
2014-03-13 8.78 8.78 8.78 8.78 0 8.78
2014-03-14 8.544 8.544 8.544 8.544 0 8.544
2014-03-17 8.426 8.426 8.426 8.426 0 8.426
2014-03-18 8.51 8.51 8.51 8.51 0 8.51
2014-03-19 8.527 8.527 8.527 8.527 0 8.527
2014-03-20 8.35 8.35 8.35 8.35 0 8.35
2014-03-21 8.373 8.373 8.373 8.373 0 8.373
2014-03-24 8.251 8.251 8.251 8.251 0 8.251
2014-03-25 8.137 8.137 8.137 8.137 0 8.137
2014-03-26 8.4 8.4 8.4 8.4 0 8.4
2014-03-27 8.287 8.287 8.287 8.287 0 8.287
2014-03-28 8.442 8.442 8.442 8.442 0 8.442
2014-03-31 8.567 8.567 8.567 8.567 0 8.567
2014-04-01 8.576 8.576 8.576 8.576 0 8.576
2014-04-02 8.544 8.544 8.544 8.544 0 8.544
2014-04-03 8.735 8.735 8.735 8.735 0 8.735
2014-04-04 8.892 8.892 8.892 8.892 0 8.892
2014-04-07 8.701 8.701 8.701 8.701 0 8.701
2014-04-08 8.508 8.508 8.508 8.508 0 8.508
2014-04-09 8.327 8.327 8.327 8.327 0 8.327
2014-04-10 8.337 8.337 8.337 8.337 0 8.337
2014-04-11 8.07 8.07 8.07 8.07 0 8.07
2014-04-14 8.112 8.112 8.112 8.112 0 8.112
2014-04-15 8.124 8.124 8.124 8.124 0 8.124
2014-04-16 8.449 8.449 8.449 8.449 0 8.449
2014-04-17 8.445 8.445 8.445 8.445 0 8.445
2014-04-18 8.445 8.445 8.445 8.445 0 8.445
2014-04-21 8.445 8.445 8.445 8.445 0 8.445
2014-04-22 8.407 8.407 8.407 8.407 0 8.407
2014-04-23 8.373 8.373 8.373 8.373 0 8.373
2014-04-24 8.414 8.414 8.414 8.414 0 8.414
2014-04-25 8.504 8.504 8.504 8.504 0 8.504
2014-04-28 8.475 8.475 8.475 8.475 0 8.475
2014-04-29 8.424 8.424 8.424 8.424 0 8.424
2014-04-30 8.527 8.527 8.527 8.527 0 8.527
2014-05-01 8.527 8.527 8.527 8.527 0 8.527
