"Index" "SD.Open" "SD.High" "SD.Low" "SD.Close" "SD.Volume" "SD.Adjusted"
2013-12-03 5.5 5.69 5.48 5.58 8588700 5.58
2013-12-04 5.57 5.66 5.54 5.62 5361400 5.62
2013-12-05 5.56 5.68 5.52 5.53 7567100 5.53
2013-12-06 5.58 5.61 5.31 5.46 12981700 5.46
2013-12-09 5.47 5.48 5.26 5.26 13127400 5.26
2013-12-10 5.28 5.52 5.28 5.45 11667800 5.45
2013-12-11 5.43 5.48 5.26 5.27 7312800 5.27
2013-12-12 5.28 5.46 5.21 5.4 10038800 5.4
2013-12-13 5.35 5.44 5.3 5.41 7162800 5.41
2013-12-16 5.4 5.54 5.38 5.5 8766700 5.5
2013-12-17 5.46 5.57 5.45 5.52 6579600 5.52
2013-12-18 5.5 5.59 5.43 5.46 6504200 5.46
2013-12-19 5.43 5.68 5.43 5.65 18024000 5.65
2013-12-20 5.71 5.9 5.67 5.79 16093300 5.79
2013-12-23 5.86 5.95 5.85 5.93 9816700 5.93
2013-12-24 5.95 5.96 5.88 5.93 2500600 5.93
2013-12-26 5.91 5.99 5.82 5.87 4727600 5.87
2013-12-27 5.85 6 5.83 5.92 5614800 5.92
2013-12-30 5.93 5.98 5.9 5.93 8972100 5.93
2013-12-31 5.9 6.08 5.85 6.07 10636200 6.07
2014-01-02 6.11 6.11 5.91 5.99 14217800 5.99
2014-01-03 6.03 6.1 5.93 5.94 9008600 5.94
2014-01-06 5.97 5.99 5.8 5.82 9777800 5.82
2014-01-07 5.9 5.9 5.64 5.74 36520900 5.74
2014-01-08 5.71 5.82 5.59 5.78 17638500 5.78
2014-01-09 5.75 6.06 5.71 6.02 22642700 6.02
2014-01-10 5.99 6.08 5.95 6.06 9851500 6.06
2014-01-13 6.02 6.1 5.8 5.91 11982100 5.91
2014-01-14 5.92 6.02 5.88 5.96 6487200 5.96
2014-01-15 5.99 6.01 5.91 5.94 5210900 5.94
2014-01-16 5.96 6.05 5.89 6.02 8579400 6.02
2014-01-17 6.02 6.07 5.92 5.99 11341300 5.99
2014-01-21 6.03 6.25 5.95 6.25 10427600 6.25
2014-01-22 6.27 6.43 6.19 6.4 11591600 6.4
2014-01-23 6.42 6.6 6.3 6.58 12479200 6.58
2014-01-24 6.5 6.54 6.18 6.3 9729600 6.3
2014-01-27 6.24 6.3 5.97 6.11 8925600 6.11
2014-01-28 6.25 6.36 6.19 6.27 7356100 6.27
2014-01-29 6.25 6.49 6.17 6.39 9901900 6.39
