"Index" "A49.Open" "A49.High" "A49.Low" "A49.Close" "A49.Volume" "A49.Adjusted"
2013-11-05 0.691 0.691 0.691 0.691 0 0.691
2013-11-06 0.69 0.69 0.69 0.69 0 0.69
2013-11-07 0.691 0.691 0.691 0.691 0 0.691
2013-11-08 0.687 0.687 0.687 0.687 0 0.687
2013-11-11 0.702 0.702 0.702 0.702 0 0.702
2013-11-12 0.728 0.728 0.728 0.728 0 0.728
2013-11-13 0.704 0.704 0.704 0.704 0 0.704
2013-11-14 0.704 0.704 0.704 0.704 0 0.704
2013-11-15 0.677 0.677 0.677 0.677 0 0.677
2013-11-18 0.677 0.677 0.677 0.677 0 0.677
2013-11-19 0.649 0.649 0.649 0.649 0 0.649
2013-11-20 0.652 0.652 0.652 0.652 0 0.652
2013-11-21 0.678 0.678 0.678 0.678 0 0.678
2013-11-22 0.699 0.699 0.699 0.699 0 0.699
2013-11-25 0.748 0.748 0.748 0.748 0 0.748
2013-11-26 0.751 0.751 0.751 0.751 0 0.751
2013-11-27 0.747 0.747 0.747 0.747 0 0.747
2013-11-28 0.745 0.745 0.745 0.745 0 0.745
2013-11-29 0.809 0.809 0.809 0.809 0 0.809
2013-12-02 0.808 0.808 0.808 0.808 0 0.808
2013-12-03 0.776 0.776 0.776 0.776 0 0.776
2013-12-04 0.74 0.74 0.74 0.74 0 0.74
2013-12-05 0.663 0.663 0.663 0.663 0 0.663
2013-12-06 0.668 0.668 0.668 0.668 0 0.668
2013-12-09 0.667 0.667 0.667 0.667 0 0.667
2013-12-10 0.639 0.639 0.639 0.639 0 0.639
2013-12-11 0.667 0.667 0.667 0.667 0 0.667
2013-12-12 0.654 0.654 0.654 0.654 0 0.654
2013-12-13 0.665 0.665 0.665 0.665 0 0.665
2013-12-16 0.642 0.642 0.642 0.642 0 0.642
2013-12-17 0.668 0.668 0.668 0.668 0 0.668
2013-12-18 0.646 0.646 0.646 0.646 0 0.646
2013-12-19 0.69 0.69 0.69 0.69 0 0.69
2013-12-20 0.675 0.675 0.675 0.675 0 0.675
2013-12-23 0.668 0.668 0.668 0.668 0 0.668
2013-12-24 0.668 0.668 0.668 0.668 0 0.668
2013-12-25 0.668 0.668 0.668 0.668 0 0.668
2013-12-26 0.668 0.668 0.668 0.668 0 0.668
2013-12-27 0.666 0.666 0.666 0.666 0 0.666
2013-12-30 0.661 0.661 0.661 0.661 0 0.661
2013-12-31 0.661 0.661 0.661 0.661 0 0.661
2014-01-01 0.661 0.661 0.661 0.661 0 0.661
2014-01-02 0.679 0.679 0.679 0.679 0 0.679
2014-01-03 0.668 0.668 0.668 0.668 0 0.668
2014-01-06 0.721 0.721 0.721 0.721 0 0.721
2014-01-07 0.675 0.675 0.675 0.675 0 0.675
2014-01-08 0.668 0.668 0.668 0.668 0 0.668
2014-01-09 0.674 0.674 0.674 0.674 0 0.674
2014-01-10 0.685 0.685 0.685 0.685 0 0.685
2014-01-13 0.66 0.66 0.66 0.66 0 0.66
2014-01-14 0.674 0.674 0.674 0.674 0 0.674
2014-01-15 0.67 0.67 0.67 0.67 0 0.67
2014-01-16 0.672 0.672 0.672 0.672 0 0.672
2014-01-17 0.699 0.699 0.699 0.699 0 0.699
2014-01-20 0.689 0.689 0.689 0.689 0 0.689
2014-01-21 0.701 0.701 0.701 0.701 0 0.701
2014-01-22 0.739 0.739 0.739 0.739 0 0.739
2014-01-23 0.755 0.755 0.755 0.755 0 0.755
2014-01-24 0.728 0.728 0.728 0.728 0 0.728
2014-01-27 0.714 0.714 0.714 0.714 0 0.714
2014-01-28 0.712 0.712 0.712 0.712 0 0.712
2014-01-29 0.716 0.716 0.716 0.716 0 0.716
2014-01-30 0.72 0.72 0.72 0.72 0 0.72
2014-01-31 0.739 0.739 0.739 0.739 0 0.739
2014-02-03 0.764 0.764 0.764 0.764 0 0.764
2014-02-04 0.746 0.746 0.746 0.746 0 0.746
2014-02-05 0.787 0.787 0.787 0.787 0 0.787
2014-02-06 0.787 0.787 0.787 0.787 0 0.787
2014-02-07 0.783 0.783 0.783 0.783 0 0.783
2014-02-10 0.757 0.757 0.757 0.757 0 0.757
2014-02-11 0.739 0.739 0.739 0.739 0 0.739
2014-02-12 0.759 0.759 0.759 0.759 0 0.759
2014-02-13 0.759 0.759 0.759 0.759 0 0.759
2014-02-14 0.765 0.765 0.765 0.765 0 0.765
2014-02-17 0.776 0.776 0.776 0.776 0 0.776
2014-02-18 0.777 0.777 0.777 0.777 0 0.777
2014-02-19 0.763 0.763 0.763 0.763 0 0.763
2014-02-20 0.747 0.747 0.747 0.747 0 0.747
2014-02-21 0.757 0.757 0.757 0.757 0 0.757
2014-02-24 0.77 0.77 0.77 0.77 0 0.77
2014-02-25 0.781 0.781 0.781 0.781 0 0.781
2014-02-26 0.773 0.773 0.773 0.773 0 0.773
2014-02-27 0.784 0.784 0.784 0.784 0 0.784
2014-02-28 0.803 0.803 0.803 0.803 0 0.803
2014-03-03 0.817 0.817 0.817 0.817 0 0.817
2014-03-04 0.854 0.854 0.854 0.854 0 0.854
2014-03-05 0.894 0.894 0.894 0.894 0 0.894
2014-03-06 0.898 0.898 0.898 0.898 0 0.898
2014-03-07 0.804 0.804 0.804 0.804 0 0.804
2014-03-10 0.819 0.819 0.819 0.819 0 0.819
2014-03-11 0.814 0.814 0.814 0.814 0 0.814
2014-03-12 0.822 0.822 0.822 0.822 0 0.822
2014-03-13 0.818 0.818 0.818 0.818 0 0.818
2014-03-14 0.822 0.822 0.822 0.822 0 0.822
2014-03-17 0.869 0.869 0.869 0.869 0 0.869
2014-03-18 0.834 0.834 0.834 0.834 0 0.834
2014-03-19 0.816 0.816 0.816 0.816 0 0.816
2014-03-20 0.813 0.813 0.813 0.813 0 0.813
2014-03-21 0.79 0.79 0.79 0.79 0 0.79
2014-03-24 0.803 0.803 0.803 0.803 0 0.803
2014-03-25 0.803 0.803 0.803 0.803 0 0.803
2014-03-26 0.808 0.808 0.808 0.808 0 0.808
2014-03-27 0.801 0.801 0.801 0.801 0 0.801
2014-03-28 0.835 0.835 0.835 0.835 0 0.835
2014-03-31 0.827 0.827 0.827 0.827 0 0.827
2014-04-01 0.843 0.843 0.843 0.843 0 0.843
2014-04-02 0.831 0.831 0.831 0.831 0 0.831
2014-04-03 0.866 0.866 0.866 0.866 0 0.866
2014-04-04 0.869 0.869 0.869 0.869 0 0.869
2014-04-07 0.847 0.847 0.847 0.847 0 0.847
2014-04-08 0.845 0.845 0.845 0.845 0 0.845
2014-04-09 0.891 0.891 0.891 0.891 0 0.891
2014-04-10 0.915 0.915 0.915 0.915 0 0.915
2014-04-11 0.948 0.948 0.948 0.948 0 0.948
2014-04-14 0.927 0.927 0.927 0.927 0 0.927
2014-04-15 0.942 0.942 0.942 0.942 0 0.942
2014-04-16 0.935 0.935 0.935 0.935 0 0.935
2014-04-17 0.932 0.932 0.932 0.932 0 0.932
2014-04-18 0.932 0.932 0.932 0.932 0 0.932
2014-04-21 0.932 0.932 0.932 0.932 0 0.932
2014-04-22 0.934 0.934 0.934 0.934 0 0.934
2014-04-23 0.911 0.911 0.911 0.911 0 0.911
2014-04-24 0.913 0.913 0.913 0.913 0 0.913
2014-04-25 0.924 0.924 0.924 0.924 0 0.924
2014-04-28 0.918 0.918 0.918 0.918 0 0.918
2014-04-29 0.923 0.923 0.923 0.923 0 0.923
2014-04-30 0.932 0.932 0.932 0.932 0 0.932
2014-05-01 0.932 0.932 0.932 0.932 0 0.932
2014-05-02 0.916 0.916 0.916 0.916 0 0.916
2014-05-05 0.92 0.92 0.92 0.92 0 0.92
2014-05-06 0.915 0.915 0.915 0.915 0 0.915
2014-05-07 0.88 0.88 0.88 0.88 0 0.88
2014-05-08 0.899 0.899 0.899 0.899 0 0.899
2014-05-09 0.954 0.954 0.954 0.954 0 0.954
2014-05-12 0.934 0.934 0.934 0.934 0 0.934
2014-05-13 0.926 0.926 0.926 0.926 0 0.926
2014-05-14 0.91 0.91 0.91 0.91 0 0.91
2014-05-15 0.92 0.92 0.92 0.92 0 0.92
2014-05-16 0.88 0.88 0.88 0.88 0 0.88
2014-05-19 0.941 0.941 0.941 0.941 0 0.941
2014-05-20 0.939 0.939 0.939 0.939 0 0.939
2014-05-21 0.956 0.956 0.956 0.956 0 0.956
2014-05-22 0.958 0.958 0.958 0.958 0 0.958
2014-05-23 0.961 0.961 0.961 0.961 0 0.961
2014-05-26 0.966 0.966 0.966 0.966 0 0.966
2014-05-27 0.933 0.933 0.933 0.933 0 0.933
2014-05-28 0.947 0.947 0.947 0.947 0 0.947
2014-05-29 0.968 0.968 0.968 0.968 0 0.968
2014-05-30 1.03 1.03 1.03 1.03 0 1.03
2014-06-02 0.954 0.954 0.954 0.954 0 0.954
2014-06-03 0.944 0.944 0.944 0.944 0 0.944
2014-06-04 0.941 0.941 0.941 0.941 0 0.941
2014-06-05 0.927 0.927 0.927 0.927 0 0.927
2014-06-06 0.945 0.945 0.945 0.945 0 0.945
2014-06-09 0.901 0.901 0.901 0.901 0 0.901
2014-06-10 0.913 0.913 0.913 0.913 0 0.913
2014-06-11 0.923 0.923 0.923 0.923 0 0.923
2014-06-12 0.906 0.906 0.906 0.906 0 0.906
2014-06-13 0.957 0.957 0.957 0.957 0 0.957
2014-06-16 0.953 0.953 0.953 0.953 0 0.953
2014-06-17 0.938 0.938 0.938 0.938 0 0.938
2014-06-18 0.912 0.912 0.912 0.912 0 0.912
2014-06-19 0.938 0.938 0.938 0.938 0 0.938
2014-06-20 0.923 0.923 0.923 0.923 0 0.923
2014-06-23 0.946 0.946 0.946 0.946 0 0.946
2014-06-24 0.947 0.947 0.947 0.947 0 0.947
2014-06-25 0.931 0.931 0.931 0.931 0 0.931
2014-06-26 0.918 0.918 0.918 0.918 0 0.918
2014-06-27 0.949 0.949 0.949 0.949 0 0.949
2014-06-30 0.974 0.974 0.974 0.974 0 0.974
2014-07-01 0.972 0.972 0.972 0.972 0 0.972
2014-07-02 0.976 0.976 0.976 0.976 0 0.976
2014-07-03 0.975 0.975 0.975 0.975 0 0.975
2014-07-04 0.934 0.934 0.934 0.934 0 0.934
2014-07-07 0.941 0.941 0.941 0.941 0 0.941
2014-07-08 0.936 0.936 0.936 0.936 0 0.936
2014-07-09 0.936 0.936 0.936 0.936 0 0.936
2014-07-10 0.937 0.937 0.937 0.937 0 0.937
2014-07-11 0.927 0.927 0.927 0.927 0 0.927
2014-07-14 0.912 0.912 0.912 0.912 0 0.912
2014-07-15 0.932 0.932 0.932 0.932 0 0.932
2014-07-16 0.926 0.926 0.926 0.926 0 0.926
2014-07-17 0.958 0.958 0.958 0.958 0 0.958
2014-07-18 0.937 0.937 0.937 0.937 0 0.937
2014-07-21 0.956 0.956 0.956 0.956 0 0.956
2014-07-22 0.944 0.944 0.944 0.944 0 0.944
2014-07-23 0.935 0.935 0.935 0.935 0 0.935
2014-07-24 0.977 0.977 0.977 0.977 0 0.977
2014-07-25 0.934 0.934 0.934 0.934 0 0.934
2014-07-28 0.985 0.985 0.985 0.985 0 0.985
2014-07-29 0.998 0.998 0.998 0.998 0 0.998
2014-07-30 1.029 1.029 1.029 1.029 0 1.029
2014-07-31 0.979 0.979 0.979 0.979 0 0.979
2014-08-01 0.945 0.945 0.945 0.945 0 0.945
2014-08-04 0.929 0.929 0.929 0.929 0 0.929
2014-08-05 0.929 0.929 0.929 0.929 0 0.929
2014-08-06 0.929 0.929 0.929 0.929 0 0.929
2014-08-07 0.945 0.945 0.945 0.945 0 0.945
2014-08-08 0.945 0.945 0.945 0.945 0 0.945
2014-08-11 0.926 0.926 0.926 0.926 0 0.926
2014-08-12 0.944 0.944 0.944 0.944 0 0.944
2014-08-13 0.933 0.933 0.933 0.933 0 0.933
2014-08-14 0.967 0.967 0.967 0.967 0 0.967
2014-08-15 0.915 0.915 0.915 0.915 0 0.915
2014-08-18 0.915 0.915 0.915 0.915 0 0.915
2014-08-19 0.935 0.935 0.935 0.935 0 0.935
2014-08-20 0.954 0.954 0.954 0.954 0 0.954
2014-08-21 0.942 0.942 0.942 0.942 0 0.942
2014-08-22 0.917 0.917 0.917 0.917 0 0.917
2014-08-25 0.95 0.95 0.95 0.95 0 0.95
2014-08-26 0.947 0.947 0.947 0.947 0 0.947
2014-08-27 0.94 0.94 0.94 0.94 0 0.94
2014-08-28 0.936 0.936 0.936 0.936 0 0.936
2014-08-29 0.945 0.945 0.945 0.945 0 0.945
2014-09-01 0.954 0.954 0.954 0.954 0 0.954
2014-09-02 0.952 0.952 0.952 0.952 0 0.952
2014-09-03 0.935 0.935 0.935 0.935 0 0.935
2014-09-04 0.936 0.936 0.936 0.936 0 0.936
2014-09-05 0.975 0.975 0.975 0.975 0 0.975
2014-09-08 0.952 0.952 0.952 0.952 0 0.952
2014-09-09 0.948 0.948 0.948 0.948 0 0.948
2014-09-10 0.966 0.966 0.966 0.966 0 0.966
2014-09-11 0.961 0.961 0.961 0.961 0 0.961
2014-09-12 0.953 0.953 0.953 0.953 0 0.953
2014-09-15 0.927 0.927 0.927 0.927 0 0.927
2014-09-16 0.965 0.965 0.965 0.965 0 0.965
2014-09-17 1.02 1.02 1.02 1.02 0 1.02
2014-09-18 1.009 1.009 1.009 1.009 0 1.009
2014-09-19 1.101 1.101 1.101 1.101 0 1.101
2014-09-22 1.105 1.105 1.105 1.105 0 1.105
2014-09-23 1.057 1.057 1.057 1.057 0 1.057
2014-09-24 1.011 1.011 1.011 1.011 0 1.011
2014-09-25 1.023 1.023 1.023 1.023 0 1.023
2014-09-26 0.987 0.987 0.987 0.987 0 0.987
2014-09-29 1.045 1.045 1.045 1.045 0 1.045
2014-09-30 1.031 1.031 1.031 1.031 0 1.031
2014-10-01 1.031 1.031 1.031 1.031 0 1.031
2014-10-02 1.047 1.047 1.047 1.047 0 1.047
2014-10-03 1.002 1.002 1.002 1.002 0 1.002
2014-10-06 1.07 1.07 1.07 1.07 0 1.07
2014-10-07 1.069 1.069 1.069 1.069 0 1.069
2014-10-08 1.026 1.026 1.026 1.026 0 1.026
2014-10-09 0.997 0.997 0.997 0.997 0 0.997
2014-10-10 0.972 0.972 0.972 0.972 0 0.972
2014-10-13 0.979 0.979 0.979 0.979 0 0.979
2014-10-14 0.975 0.975 0.975 0.975 0 0.975
2014-10-15 1.059 1.059 1.059 1.059 0 1.059
2014-10-16 1.051 1.051 1.051 1.051 0 1.051
2014-10-17 1.052 1.052 1.052 1.052 0 1.052
2014-10-20 1.035 1.035 1.035 1.035 0 1.035
2014-10-21 1.03 1.03 1.03 1.03 0 1.03
2014-10-22 1.021 1.021 1.021 1.021 0 1.021
2014-10-23 1.025 1.025 1.025 1.025 0 1.025
2014-10-24 1.006 1.006 1.006 1.006 0 1.006
2014-10-27 1.006 1.006 1.006 1.006 0 1.006
2014-10-28 0.988 0.988 0.988 0.988 0 0.988
2014-10-29 0.971 0.971 0.971 0.971 0 0.971
2014-10-30 0.985 0.985 0.985 0.985 0 0.985
2014-10-31 1.015 1.015 1.015 1.015 0 1.015
2014-11-03 1.007 1.007 1.007 1.007 0 1.007
2014-11-04 1.014 1.014 1.014 1.014 0 1.014
2014-11-05 0.951 0.951 0.951 0.951 0 0.951
2014-11-06 0.941 0.941 0.941 0.941 0 0.941
2014-11-07 0.913 0.913 0.913 0.913 0 0.913
2014-11-10 0.874 0.874 0.874 0.874 0 0.874
