"Index" "BH.Open" "BH.High" "BH.Low" "BH.Close" "BH.Volume" "BH.Adjusted"
2014-01-15 492.149996 494.990005 487.110006 487.799992 2300 452.924783
2014-01-16 488.210013 498.650024 488.109997 490.01999 2600 454.986063
2014-01-17 489.849999 491.980006 485.000015 486.38002 3200 451.606332
2014-01-21 488.480019 489.910015 482.400004 485.330004 3800 450.631387
2014-01-22 484.130014 487.720025 484.050015 484.510027 1600 449.870035
2014-01-23 483.110006 485.720009 468.570013 474.080008 6500 440.185708
2014-01-24 474.019992 475.57002 459.060019 466.060026 7000 432.739114
2014-01-27 466.00001 466.00001 457.00002 457.350025 5400 424.651834
2014-01-28 459.690022 460.150001 441.069997 445.000021 10400 413.184792
2014-01-29 443.999997 445.000021 435.200005 441.720016 8300 410.139291
2014-01-30 442.950014 447.000005 436.310004 444.740007 4100 412.943368
2014-01-31 441.050013 444.850014 436.950031 436.95999 6400 405.719582
2014-02-03 436.780008 442.000014 423.600003 425.680019 12500 395.246071
2014-02-04 425.170015 429.370013 420.470005 420.489988 5800 390.427101
2014-02-05 420.86001 423.000008 411.00001 413.620005 6700 384.048287
2014-02-06 412.710004 422.820026 411.050002 419.150016 6400 389.18293
2014-02-07 421.400022 423.640036 414.600013 421.309998 5200 391.188485
2014-02-10 420.999992 422.640011 415.00001 418.040017 4300 388.152291
2014-02-11 420.110008 431.999999 420.110008 429.029999 3200 398.356545
2014-02-12 431.200005 438.459994 425.860001 430.760009 3000 399.962868
2014-02-13 427.009999 434.969999 425.000024 430.280013 4100 399.51719
2014-02-14 431.089998 437.880015 427.120007 430.829984 2300 400.02784
2014-02-18 428.830001 433.620002 425.010016 427.29003 4200 396.740975
2014-02-19 424.260014 426.97 417.909993 423.01 4000 392.766945
2014-02-20 422.499996 429.500003 422.499996 429.490012 3100 398.783669
2014-02-21 430.170006 439.290028 430.000015 436.110005 5000 404.930367
2014-02-24 436.660009 442.980022 429.120023 439.769991 3800 408.328683
