"Index" "USD.IDR"
2014-05-16 11396
2014-05-17 11389.55
2014-05-18 11337.85
2014-05-19 11383.05
2014-05-20 11448.2
2014-05-21 11494.3
2014-05-22 11514.1
2014-05-23 11547.75
2014-05-24 11574.1
2014-05-25 11567.4
2014-05-26 11580.8
2014-05-27 11587.5
2014-05-28 11621.15
2014-05-29 11621.15
2014-05-30 11661.8
2014-05-31 11661.8
2014-06-01 11675.45
2014-06-02 11771.65
2014-06-03 11799.45
2014-06-04 11855.35
2014-06-05 11848.35
2014-06-06 11820.35
2014-06-07 11834.3
2014-06-08 11827.3
2014-06-09 11799.45
2014-06-10 11799.45
2014-06-11 11813.35
2014-06-12 11799.45
2014-06-13 11799.45
2014-06-14 11799.45
2014-06-15 11799.45
2014-06-16 11813.35
2014-06-17 11897.7
2014-06-18 11961.7
2014-06-19 11940.3
2014-06-20 11954.55
2014-06-21 11968.85
2014-06-22 11968.85
2014-06-23 11968.85
2014-06-24 11997.6
2014-06-25 12070
2014-06-26 12113.85
2014-06-27 12062.75
2014-06-28 12012
2014-06-29 11995
2014-06-30 11919
2014-07-01 11876.5
2014-07-02 11911.9
2014-07-03 11933.2
2014-07-04 11855.35
2014-07-05 11869.45
2014-07-06 11869.45
2014-07-07 11862.7
2014-07-08 11730.25
2014-07-09 11668.6
2014-07-10 11627.9
2014-07-11 11594.25
2014-07-12 11600.95
2014-07-13 11600.95
2014-07-14 11622
2014-07-15 11723.35
2014-07-16 11723.35
2014-07-17 11675.45
2014-07-18 11695.9
2014-07-19 11627.9
2014-07-20 11615
2014-07-21 11547.35
2014-07-22 11547.35
2014-07-23 11507.5
2014-07-24 11534
2014-07-25 11574.1
2014-07-26 11574.1
2014-07-27 11580
2014-07-28 11574.1
2014-07-29 11600.95
2014-07-30 11627.9
2014-07-31 11689.25
2014-08-01 11723.75
2014-08-02 11820.35
2014-08-03 11820.35
2014-08-04 11799.9
2014-08-05 11764.75
2014-08-06 11764.75
2014-08-07 11799.45
2014-08-08 11785.55
2014-08-09 11771.65
2014-08-10 11785.55
2014-08-11 11716.45
2014-08-12 11695.9
2014-08-13 11689.05
2014-08-14 11682.25
2014-08-15 11682.25
2014-08-16 11682.25
2014-08-17 11675.4
2014-08-18 11682.25
2014-08-19 11682.25
2014-08-20 11716.45
2014-08-21 11689.05
2014-08-22 11682.25
2014-08-23 11668.6
2014-08-24 11680
2014-08-25 11709.6
2014-08-26 11702.75
2014-08-27 11689.05
2014-08-28 11716.45
2014-08-29 11716.45
2014-08-30 11702.75
2014-08-31 11702.75
2014-09-01 11709.6
2014-09-02 11750.9
2014-09-03 11778.6
2014-09-04 11757.8
2014-09-05 11750.9
2014-09-06 11730.2
2014-09-07 11730.2
2014-09-08 11730.2
2014-09-09 11771.65
2014-09-10 11820.35
2014-09-11 11834.3
2014-09-12 11841.3
2014-09-13 11897.7
2014-09-14 11897.7
2014-09-15 11919
2014-09-16 11933.2
2014-09-17 11976.05
2014-09-18 11997.6
2014-09-19 11976.05
2014-09-20 11990.4
2014-09-21 11990.4
2014-09-22 11983.2
2014-09-23 11983.2
2014-09-24 11961.7
2014-09-25 11990.4
2014-09-26 12055.45
