"Index" "XAG.USD"
2014-10-11 17.3953
2014-10-12 17.3953
2014-10-13 17.4539
2014-10-14 17.4677
2014-10-15 17.3199
2014-10-16 17.4353
2014-10-17 17.3594
2014-10-18 17.2698
2014-10-19 17.2698
2014-10-20 17.3723
2014-10-21 17.477
2014-10-22 17.3672
2014-10-23 17.1827
2014-10-24 17.2278
2014-10-25 17.2035
2014-10-26 17.2035
2014-10-27 17.1832
2014-10-28 17.2229
2014-10-29 17.2241
2014-10-30 16.8456
2014-10-31 16.2058
2014-11-01 16.1594
2014-11-02 16.1594
2014-11-03 16.0487
2014-11-04 16.0428
2014-11-05 15.6335
2014-11-06 15.3632
2014-11-07 15.4664
2014-11-08 15.7862
2014-11-09 15.7871
2014-11-10 15.7156
2014-11-11 15.6233
2014-11-12 15.6869
2014-11-13 15.6732
2014-11-14 15.6512
2014-11-15 16.3153
2014-11-16 16.3157
2014-11-17 16.2207
2014-11-18 16.2001
2014-11-19 16.2075
2014-11-20 16.1553
2014-11-21 16.3318
2014-11-22 16.4389
2014-11-23 16.4386
2014-11-24 16.416
2014-11-25 16.5767
2014-11-26 16.6217
2014-11-27 16.3784
2014-11-28 15.9815
2014-11-29 15.4514
2014-11-30 15.4514
2014-12-01 15.5718
2014-12-02 16.3503
2014-12-03 16.4348
2014-12-04 16.475
2014-12-05 16.3959
2014-12-06 16.2935
2014-12-07 16.2933
2014-12-08 16.2834
2014-12-09 16.5912
2014-12-10 17.0955
2014-12-11 17.0712
2014-12-12 17.0874
2014-12-13 17.0381
2014-12-14 17.0388
2014-12-15 16.8417
2014-12-16 16.1236
2014-12-17 15.8408
2014-12-18 15.964
2014-12-19 15.9495
2014-12-20 16.0731
2014-12-21 16.0737
2014-12-22 15.9698
2014-12-23 15.7218
2014-12-24 15.7786
2014-12-25 15.7727
2014-12-26 16.039
2014-12-27 16.0819
2014-12-28 16.083
2014-12-29 16.0497
2014-12-30 15.9908
2014-12-31 16.063
2015-01-01 15.5997
2015-01-02 15.7818
2015-01-03 15.7644
2015-01-04 15.7638
2015-01-05 16.007
