"Index" "M6J.Open" "M6J.High" "M6J.Low" "M6J.Close" "M6J.Volume" "M6J.Adjusted"
2013-07-04 0.044 0.044 0.044 0.044 0 0.044
2013-07-05 0.051 0.051 0.051 0.051 0 0.051
2013-07-08 0.039 0.039 0.039 0.039 0 0.039
2013-07-09 0.042 0.042 0.042 0.042 0 0.042
2013-07-10 0.049 0.049 0.049 0.049 0 0.049
2013-07-11 0.049 0.049 0.049 0.049 0 0.049
2013-07-12 0.062 0.062 0.062 0.062 0 0.062
2013-07-15 0.062 0.062 0.062 0.062 0 0.062
2013-07-16 0.062 0.062 0.062 0.062 0 0.062
2013-07-17 0.039 0.039 0.039 0.039 0 0.039
2013-07-18 0.054 0.054 0.054 0.054 0 0.054
2013-07-19 0.062 0.062 0.062 0.062 0 0.062
2013-07-22 0.062 0.062 0.062 0.062 0 0.062
2013-07-23 0.067 0.067 0.067 0.067 0 0.067
2013-07-24 0.062 0.062 0.062 0.062 0 0.062
2013-07-25 0.062 0.062 0.062 0.062 0 0.062
2013-07-26 0.062 0.062 0.062 0.062 0 0.062
2013-07-29 0.065 0.065 0.065 0.065 4800 0.065
2013-07-30 0.062 0.062 0.062 0.062 0 0.062
2013-07-31 0.062 0.062 0.062 0.062 0 0.062
2013-08-01 0.057 0.057 0.057 0.057 0 0.057
2013-08-02 0.053 0.053 0.053 0.053 0 0.053
2013-08-05 0.063 0.063 0.063 0.063 0 0.063
2013-08-06 0.056 0.056 0.056 0.056 0 0.056
2013-08-07 0.062 0.062 0.062 0.062 0 0.062
2013-08-08 0.053 0.053 0.053 0.053 0 0.053
2013-08-09 0.054 0.054 0.054 0.054 0 0.054
2013-08-12 0.057 0.057 0.057 0.057 0 0.057
2013-08-13 0.063 0.063 0.063 0.063 0 0.063
2013-08-14 0.063 0.063 0.063 0.063 0 0.063
2013-08-15 0.057 0.057 0.057 0.057 0 0.057
2013-08-16 0.056 0.056 0.056 0.056 0 0.056
2013-08-19 0.056 0.056 0.056 0.056 0 0.056
2013-08-20 0.056 0.056 0.056 0.056 0 0.056
2013-08-21 0.055 0.055 0.055 0.055 0 0.055
2013-08-22 0.059 0.059 0.059 0.059 0 0.059
2013-08-23 0.061 0.061 0.061 0.061 0 0.061
2013-08-26 0.051 0.051 0.051 0.051 0 0.051
2013-08-27 0.061 0.061 0.061 0.061 0 0.061
2013-08-28 0.058 0.058 0.058 0.058 0 0.058
2013-08-29 0.068 0.068 0.068 0.068 0 0.068
2013-08-30 0.059 0.059 0.059 0.059 0 0.059
2013-09-02 0.052 0.052 0.052 0.052 0 0.052
2013-09-03 0.048 0.048 0.048 0.048 0 0.048
2013-09-04 0.048 0.048 0.048 0.048 0 0.048
2013-09-05 0.052 0.052 0.052 0.052 0 0.052
2013-09-06 0.049 0.049 0.049 0.049 0 0.049
2013-09-09 0.046 0.046 0.046 0.046 0 0.046
2013-09-10 0.048 0.048 0.048 0.048 0 0.048
2013-09-11 0.049 0.049 0.049 0.049 0 0.049
2013-09-12 0.038 0.038 0.038 0.038 0 0.038
2013-09-13 0.035 0.035 0.035 0.035 0 0.035
2013-09-16 0.048 0.048 0.048 0.048 0 0.048
2013-09-17 0.034 0.034 0.034 0.034 0 0.034
2013-09-18 0.053 0.053 0.053 0.053 0 0.053
2013-09-19 0.058 0.058 0.058 0.058 0 0.058
2013-09-20 0.058 0.058 0.058 0.058 0 0.058
2013-09-23 0.058 0.058 0.058 0.058 0 0.058
2013-09-24 0.053 0.053 0.053 0.053 0 0.053
2013-09-25 0.05 0.05 0.05 0.05 0 0.05
2013-09-26 0.048 0.048 0.048 0.048 0 0.048
2013-09-27 0.048 0.048 0.048 0.048 0 0.048
2013-09-30 0.048 0.048 0.048 0.048 0 0.048
2013-10-01 0.048 0.048 0.048 0.048 0 0.048
2013-10-02 0.048 0.048 0.048 0.048 0 0.048
2013-10-03 0.048 0.048 0.048 0.048 0 0.048
2013-10-04 0.048 0.048 0.048 0.048 0 0.048
2013-10-07 0.048 0.048 0.048 0.048 0 0.048
2013-10-08 0.048 0.048 0.048 0.048 0 0.048
2013-10-09 0.049 0.049 0.049 0.049 0 0.049
2013-10-10 0.048 0.048 0.048 0.048 0 0.048
2013-10-11 0.048 0.048 0.048 0.048 0 0.048
2013-10-14 0.048 0.048 0.048 0.048 0 0.048
2013-10-15 0.048 0.048 0.048 0.048 0 0.048
2013-10-16 0.048 0.048 0.048 0.048 0 0.048
2013-10-17 0.043 0.043 0.043 0.043 0 0.043
2013-10-18 0.043 0.043 0.043 0.043 0 0.043
2013-10-21 0.043 0.043 0.043 0.043 0 0.043
2013-10-22 0.04 0.04 0.04 0.04 0 0.04
2013-10-23 0.045 0.045 0.045 0.045 0 0.045
2013-10-24 0.045 0.045 0.045 0.045 0 0.045
2013-10-25 0.045 0.049 0.045 0.049 30000 0.049
2013-10-28 0.044 0.044 0.044 0.044 0 0.044
2013-10-29 0.044 0.044 0.044 0.044 0 0.044
2013-10-30 0.044 0.044 0.044 0.044 0 0.044
2013-10-31 0.044 0.044 0.044 0.044 0 0.044
2013-11-01 0.044 0.044 0.044 0.044 0 0.044
2013-11-04 0.044 0.044 0.044 0.044 0 0.044
2013-11-05 0.044 0.044 0.044 0.044 0 0.044
2013-11-06 0.044 0.044 0.044 0.044 0 0.044
2013-11-07 0.044 0.044 0.044 0.044 0 0.044
2013-11-08 0.044 0.044 0.044 0.044 0 0.044
2013-11-11 0.055 0.055 0.055 0.055 0 0.055
2013-11-12 0.055 0.055 0.055 0.055 0 0.055
2013-11-13 0.055 0.058 0.055 0.058 40000 0.058
2013-11-14 0.046 0.046 0.046 0.046 0 0.046
2013-11-15 0.044 0.044 0.044 0.044 0 0.044
2013-11-18 0.049 0.049 0.049 0.049 0 0.049
2013-11-19 0.044 0.044 0.044 0.044 0 0.044
2013-11-20 0.044 0.044 0.044 0.044 0 0.044
2013-11-21 0.046 0.046 0.046 0.046 0 0.046
2013-11-22 0.048 0.048 0.048 0.048 0 0.048
2013-11-25 0.048 0.048 0.048 0.048 0 0.048
2013-11-26 0.044 0.044 0.044 0.044 0 0.044
2013-11-27 0.045 0.045 0.045 0.045 0 0.045
2013-11-28 0.051 0.051 0.051 0.051 0 0.051
2013-11-29 0.045 0.045 0.045 0.045 0 0.045
2013-12-02 0.045 0.046 0.045 0.046 1200 0.046
2013-12-03 0.048 0.048 0.048 0.048 0 0.048
2013-12-04 0.044 0.047 0.044 0.047 5000 0.047
2013-12-05 0.045 0.045 0.045 0.045 0 0.045
2013-12-06 0.045 0.045 0.045 0.045 0 0.045
2013-12-09 0.044 0.044 0.044 0.044 0 0.044
2013-12-10 0.044 0.044 0.044 0.044 0 0.044
2013-12-11 0.044 0.044 0.044 0.044 0 0.044
2013-12-12 0.044 0.044 0.044 0.044 0 0.044
2013-12-13 0.044 0.044 0.044 0.044 0 0.044
2013-12-16 0.044 0.044 0.044 0.044 0 0.044
2013-12-17 0.044 0.044 0.044 0.044 0 0.044
2013-12-18 0.044 0.044 0.044 0.044 0 0.044
2013-12-19 0.044 0.044 0.044 0.044 0 0.044
2013-12-20 0.044 0.044 0.044 0.044 0 0.044
2013-12-23 0.044 0.045 0.044 0.045 8500 0.045
2013-12-24 0.045 0.045 0.045 0.045 0 0.045
2013-12-25 0.045 0.045 0.045 0.045 0 0.045
2013-12-26 0.045 0.045 0.045 0.045 0 0.045
2013-12-27 0.044 0.066 0.044 0.066 5000 0.066
2013-12-30 0.045 0.045 0.045 0.045 0 0.045
2013-12-31 0.045 0.045 0.045 0.045 0 0.045
2014-01-01 0.045 0.045 0.045 0.045 0 0.045
2014-01-02 0.053 0.053 0.053 0.053 0 0.053
2014-01-03 0.047 0.047 0.047 0.047 0 0.047
2014-01-06 0.042 0.042 0.042 0.042 0 0.042
2014-01-07 0.05 0.05 0.05 0.05 0 0.05
2014-01-08 0.045 0.045 0.045 0.045 0 0.045
2014-01-09 0.053 0.053 0.053 0.053 0 0.053
2014-01-10 0.053 0.053 0.053 0.053 0 0.053
2014-01-13 0.049 0.049 0.049 0.049 0 0.049
2014-01-14 0.049 0.049 0.049 0.049 0 0.049
2014-01-15 0.052 0.052 0.052 0.052 0 0.052
2014-01-16 0.052 0.052 0.052 0.052 0 0.052
2014-01-17 0.046 0.046 0.046 0.046 0 0.046
2014-01-20 0.055 0.055 0.055 0.055 0 0.055
2014-01-21 0.064 0.064 0.064 0.064 0 0.064
2014-01-22 0.069 0.069 0.069 0.069 0 0.069
2014-01-23 0.071 0.071 0.071 0.071 0 0.071
2014-01-24 0.075 0.075 0.075 0.075 0 0.075
2014-01-27 0.073 0.073 0.073 0.073 0 0.073
2014-01-28 0.073 0.073 0.073 0.073 0 0.073
2014-01-29 0.076 0.076 0.076 0.076 0 0.076
2014-01-30 0.069 0.069 0.069 0.069 0 0.069
2014-01-31 0.072 0.072 0.072 0.072 0 0.072
2014-02-03 0.067 0.067 0.067 0.067 0 0.067
2014-02-04 0.07 0.07 0.07 0.07 0 0.07
2014-02-05 0.064 0.064 0.064 0.064 0 0.064
2014-02-06 0.06 0.06 0.06 0.06 0 0.06
2014-02-07 0.063 0.063 0.063 0.063 0 0.063
2014-02-10 0.067 0.067 0.067 0.067 0 0.067
2014-02-11 0.062 0.062 0.062 0.062 0 0.062
2014-02-12 0.07 0.07 0.07 0.07 0 0.07
2014-02-13 0.073 0.073 0.073 0.073 0 0.073
2014-02-14 0.074 0.074 0.074 0.074 0 0.074
2014-02-17 0.073 0.073 0.073 0.073 0 0.073
2014-02-18 0.08 0.08 0.08 0.08 0 0.08
2014-02-19 0.073 0.073 0.073 0.073 0 0.073
2014-02-20 0.098 0.098 0.098 0.098 0 0.098
2014-02-21 0.094 0.094 0.094 0.094 0 0.094
