"Index" "D2L.Open" "D2L.High" "D2L.Low" "D2L.Close" "D2L.Volume" "D2L.Adjusted"
2013-09-24 20.65 20.65 20.65 20.65 0 18.389
2013-09-25 20.16 20.31 20.16 20.31 0 18.086
2013-09-26 20.41 20.41 20.31 20.31 0 18.086
2013-09-27 20.51 20.51 20.41 20.41 0 18.175
2013-09-30 20.6 20.6 20.6 20.6 0 18.344
2013-10-01 20.41 20.41 20.41 20.41 0 18.175
2013-10-02 20.8 20.8 20.8 20.8 0 18.522
2013-10-03 21.3 21.3 21.3 21.3 0 18.968
2013-10-04 21.2 21.2 21.2 21.2 0 18.879
2013-10-07 21.55 21.9 21.55 21.9 0 19.502
2013-10-08 21.89 22.36 21.86 22.36 0 19.911
2013-10-09 22.56 22.56 22.46 22.49 0 20.027
2013-10-10 22.49 22.49 22.29 22.29 0 19.849
2013-10-11 22.44 22.46 22.41 22.46 0 20.001
2013-10-14 22.46 22.46 22.46 22.46 0 20.001
2013-10-15 22.29 22.3 22.29 22.3 0 19.858
2013-10-16 22.38 22.38 22.3 22.3 0 19.858
2013-10-17 22.29 22.29 22.26 22.26 0 19.822
2013-10-18 22.24 22.79 22.24 22.79 0 20.294
2013-10-21 22.78 23.06 22.78 23.06 0 20.535
2013-10-22 23.05 23.05 23.05 23.05 0 20.526
2013-10-23 23.03 23.03 22.92 22.95 0 20.437
2013-10-24 23.08 23.08 23.01 23.01 0 20.49
2013-10-25 23.07 23.18 23.01 23.18 0 20.642
2013-10-28 23.17 23.17 23.17 23.17 0 20.633
2013-10-29 23.57 23.61 23.43 23.43 0 20.864
2013-10-30 23.48 23.51 23.48 23.51 0 20.936
2013-10-31 23.67 23.67 23.52 23.66 0 21.069
2013-11-01 23.67 23.67 23.29 23.29 0 20.74
2013-11-04 23.29 23.29 23.29 23.29 0 20.74
2013-11-05 23.53 23.53 23.53 23.53 0 20.953
2013-11-06 23.48 23.52 23.32 23.52 0 20.944
2013-11-07 23.62 23.66 23.62 23.66 0 21.069
2013-11-08 23.62 23.62 23.59 23.59 0 21.007
2013-11-11 23.61 23.61 23.61 23.61 0 21.025
2013-11-12 23.57 23.57 23.57 23.57 0 20.989
2013-11-13 23.57 23.57 23.56 23.56 0 20.98
2013-11-14 23.55 23.61 23.55 23.61 0 21.025
2013-11-15 23.67 23.67 23.61 23.61 0 21.025
2013-11-18 23.57 23.57 23.57 23.57 0 20.989
2013-11-19 23.57 23.57 23.57 23.57 0 20.989
2013-11-20 23.72 23.72 23.71 23.71 0 21.114
2013-11-21 23.62 23.66 23.62 23.66 0 21.069
2013-11-22 23.63 23.87 23.63 23.87 0 21.256
2013-11-25 23.86 23.86 23.86 23.86 0 21.247
2013-11-26 23.87 23.87 23.87 23.87 0 21.256
2013-11-27 23.67 24.01 23.67 24.01 0 21.381
2013-11-28 24.12 24.12 24.12 24.12 0 21.479
2013-11-29 24.26 24.26 24.26 24.26 0 21.603
2013-12-02 24.25 24.25 24.25 24.25 0 21.595
2013-12-03 24.04 24.04 24.04 24.04 0 21.408
2013-12-04 23.97 23.97 23.97 23.97 0 21.345
2013-12-05 24.05 24.05 24.01 24.01 0 21.381
2013-12-06 24.26 24.26 24.03 24.03 0 21.399
2013-12-09 24.17 24.17 24.11 24.11 0 21.47
2013-12-10 24.355 24.355 24.355 24.355 0 21.688
2013-12-11 24.405 24.405 24.405 24.405 0 21.733
2013-12-12 24.455 24.455 24.455 24.455 0 21.777
2013-12-13 24.455 24.455 24.455 24.455 0 21.777
2013-12-16 24.165 24.165 24.165 24.165 0 21.519
2013-12-17 24.305 24.305 24.305 24.305 0 21.644
2013-12-18 24.2 24.2 24.2 24.2 0 21.55
2013-12-19 24.255 24.255 24.255 24.255 0 21.599
2013-12-20 24.045 24.045 24.045 24.045 0 21.412
2013-12-23 24.105 24.105 24.105 24.105 0 21.465
2013-12-24 24.105 24.105 24.105 24.105 0 21.465
2013-12-25 24.105 24.105 24.105 24.105 0 21.465
2013-12-26 24.105 24.105 24.105 24.105 0 21.465
2013-12-27 23.985 23.985 23.985 23.985 0 21.359
2013-12-30 23.665 23.665 23.665 23.665 0 21.074
