"Index" "KRU.Open" "KRU.High" "KRU.Low" "KRU.Close" "KRU.Volume" "KRU.Adjusted"
2013-09-24 70.279999 71.730003 70.279999 71.260002 3700 70.303176
2013-09-25 70 71.910004 70 71.5 3200 70.708639
2013-09-26 69.540001 71.910004 69.540001 70.860001 2700 70.075723
2013-09-27 71 71 70.860001 70.900002 2400 70.115281
2013-09-30 69.279999 71.610001 69.279999 71.540001 2000 70.748197
2013-10-01 72 73.150002 71.989998 73.129997 5600 72.320595
2013-10-02 72.169998 72.440002 72.169998 72.440002 700 71.638237
2013-10-03 71.349998 71.5 70.980003 71.169998 2300 70.38229
2013-10-04 71.779999 72.599998 71.779999 72.599998 1400 71.796463
2013-10-07 69.510002 71.080002 69.510002 70.290001 2100 69.512032
2013-10-08 69.209999 69.839996 69.209999 69.480003 2500 68.711
2013-10-09 70.029999 70.209999 69.459999 70.209999 900 69.432916
2013-10-10 72.099998 73.57 72.099998 73.57 1200 72.755728
2013-10-11 72.419998 76.330002 72.419998 76.019997 4600 75.178608
2013-10-14 75.93 76.800003 75.93 76.800003 400 75.949982
2013-10-15 76.970001 77.25 74.589996 76.459999 1700 75.613741
2013-10-16 78.169998 78.239998 77.989998 77.989998 1000 77.126806
2013-10-17 77.690002 78.489998 77.690002 78.489998 400 77.621272
2013-10-18 78.5 80 78.5 79.660004 500 78.778328
2013-10-21 79.660004 80.519997 79.660004 79.980003 1700 79.094786
2013-10-22 80.519997 80.900002 80.300003 80.349998 3000 79.460686
2013-10-23 79.739998 80.860001 79.739998 80.860001 500 79.965043
2013-10-24 81.209999 81.599998 81.099998 81.599998 1100 80.696851
2013-10-25 82.139999 82.139999 81.010002 81.010002 500 80.113385
2013-10-28 81.620003 82.949997 81.620003 82.769997 900 81.853899
2013-10-29 81.279999 81.279999 80.959999 81.080002 1400 80.182609
2013-10-30 82.889999 82.889999 82.199997 82.199997 400 81.290208
2013-10-31 81.82 81.82 80.160004 80.160004 2200 79.272794
2013-11-01 78.959999 79.150002 78.959999 79.150002 1400 78.27397
2013-11-04 78.199997 80.169998 77.620003 80.019997 1100 79.134336
2013-11-05 80 80.110001 80 80.110001 600 79.223344
2013-11-06 80.970001 80.989998 80.639999 80.639999 1000 79.747477
2013-11-07 80.010002 80.010002 78.970001 78.989998 1700 78.115738
2013-11-08 82 84.629997 81.410004 84.629997 1400 83.693314
2013-11-11 84.32 84.32 83.199997 83.300003 2000 82.37804
2013-11-12 83.230003 83.230003 80.720001 81.629997 700 80.726518
2013-11-13 81.199997 82.690002 81.199997 82.660004 800 81.745124
2013-11-14 82.830002 83.760002 82.830002 83.68 3900 82.753831
2013-11-15 82.510002 82.980003 82.089996 82.980003 1300 82.061582
2013-11-18 83.849998 84 82.830002 84 500 83.070289
2013-11-19 83.760002 83.760002 81.760002 81.760002 2300 80.855084
2013-11-20 82.75 83.57 82.75 83.57 500 82.645048
2013-11-21 85.400002 85.949997 85.400002 85.690002 400 84.741587
2013-11-22 86.550003 87.839996 86.43 87.389999 2400 86.422768
2013-11-25 88.349998 89.389999 87.449997 88.669998 1400 87.6886
2013-11-26 88.410004 90.010002 88.410004 89.830002 25000 88.835765
2013-11-27 90.239998 93.879997 89.550003 90.870003 7400 89.864255
2013-11-29 91 91.050003 90.43 90.800003 1700 89.79503
2013-12-02 90.75 91.43 88.18 88.419998 8900 87.441367
2013-12-03 88.419998 88.419998 85.029999 85.949997 3800 84.998704
2013-12-04 87 87.699997 85.620003 86.5 3900 85.542619
2013-12-05 86.550003 86.730003 85.68 86.699997 4700 85.740403
2013-12-06 89.5 90.690002 89.459999 89.940002 4700 88.944548
2013-12-09 91 94.510002 88.580002 89.400002 12100 88.410524
2013-12-10 89.25 89.25 86.790001 87.400002 3300 86.432659
2013-12-11 86.830002 86.830002 84.68 84.809998 7200 83.871322
2013-12-12 82.5 86.449997 80.260002 86.449997 15200 85.49317
2013-12-13 86.290001 86.290001 85.110001 85.290001 3400 84.346012
2013-12-16 86.160004 88.300003 85.959999 88.199997 3200 87.223801
2013-12-17 86.940002 87.43 86.239998 86.900002 3700 85.938193
2013-12-18 87.620003 89.279999 86.050003 89.279999 3700 88.291849
2013-12-19 89.529999 89.529999 88.330002 88.480003 33400 87.500708
