"Index" "USD.HKD"
2014-03-20 7.7644
2014-03-21 7.7622
2014-03-22 7.7581
2014-03-23 7.7581
2014-03-24 7.7586
2014-03-25 7.7571
2014-03-26 7.7579
2014-03-27 7.7583
2014-03-28 7.7579
2014-03-29 7.7577
2014-03-30 7.7577
2014-03-31 7.7575
2014-04-01 7.7571
2014-04-02 7.757
2014-04-03 7.7571
2014-04-04 7.7571
2014-04-05 7.757
2014-04-06 7.757
2014-04-07 7.7562
2014-04-08 7.7546
2014-04-09 7.7537
2014-04-10 7.7536
2014-04-11 7.7535
2014-04-12 7.7528
2014-04-13 7.7528
2014-04-14 7.7535
2014-04-15 7.7541
2014-04-16 7.7544
2014-04-17 7.7543
2014-04-18 7.7544
2014-04-19 7.7544
2014-04-20 7.7544
2014-04-21 7.7539
2014-04-22 7.7532
2014-04-23 7.7528
2014-04-24 7.7533
2014-04-25 7.7534
2014-04-26 7.7534
2014-04-27 7.7534
2014-04-28 7.7531
2014-04-29 7.7531
2014-04-30 7.7531
2014-05-01 7.7529
2014-05-02 7.7528
2014-05-03 7.7526
2014-05-04 7.7526
2014-05-05 7.7525
2014-05-06 7.7522
2014-05-07 7.7519
2014-05-08 7.7519
2014-05-09 7.7517
2014-05-10 7.7517
2014-05-11 7.7517
2014-05-12 7.7517
2014-05-13 7.7518
2014-05-14 7.7517
2014-05-15 7.7517
2014-05-16 7.752
2014-05-17 7.7523
2014-05-18 7.7523
2014-05-19 7.752
2014-05-20 7.7523
2014-05-21 7.7528
2014-05-22 7.7534
2014-05-23 7.7536
2014-05-24 7.7532
2014-05-25 7.7532
2014-05-26 7.7535
2014-05-27 7.7533
2014-05-28 7.753
2014-05-29 7.7531
2014-05-30 7.7529
2014-05-31 7.753
2014-06-01 7.753
2014-06-02 7.7535
2014-06-03 7.7533
2014-06-04 7.7529
2014-06-05 7.7528
2014-06-06 7.7527
2014-06-07 7.7525
2014-06-08 7.7525
2014-06-09 7.752
2014-06-10 7.7516
2014-06-11 7.7518
2014-06-12 7.7517
2014-06-13 7.7516
2014-06-14 7.7515
2014-06-15 7.7515
2014-06-16 7.7514
2014-06-17 7.7516
2014-06-18 7.7513
2014-06-19 7.7508
2014-06-20 7.751
2014-06-21 7.7518
2014-06-22 7.7518
2014-06-23 7.7513
2014-06-24 7.7516
2014-06-25 7.7516
2014-06-26 7.7517
2014-06-27 7.7515
2014-06-28 7.7514
2014-06-29 7.7514
2014-06-30 7.7508
2014-07-01 7.7502
2014-07-02 7.7504
2014-07-03 7.7506
2014-07-04 7.7504
2014-07-05 7.7502
2014-07-06 7.7501
2014-07-07 7.7503
2014-07-08 7.7502
2014-07-09 7.7501
2014-07-10 7.7501
2014-07-11 7.7501
2014-07-12 7.75
2014-07-13 7.75
2014-07-14 7.7501
2014-07-15 7.7501
2014-07-16 7.7506
2014-07-17 7.7509
2014-07-18 7.7512
2014-07-19 7.7511
2014-07-20 7.7512
2014-07-21 7.7516
2014-07-22 7.7516
2014-07-23 7.751
2014-07-24 7.7505
2014-07-25 7.7502
2014-07-26 7.75
2014-07-27 7.75
2014-07-28 7.7501
2014-07-29 7.7501
2014-07-30 7.7501
2014-07-31 7.7501
2014-08-01 7.7501
2014-08-02 7.75
2014-08-03 7.75
2014-08-04 7.7501
2014-08-05 7.7501
2014-08-06 7.7504
2014-08-07 7.7507
2014-08-08 7.7513
2014-08-09 7.7515
2014-08-10 7.7516
2014-08-11 7.7513
2014-08-12 7.7513
2014-08-13 7.7512
2014-08-14 7.751
2014-08-15 7.7506
2014-08-16 7.7503
2014-08-17 7.7503
2014-08-18 7.7507
2014-08-19 7.7505
2014-08-20 7.7506
2014-08-21 7.7503
2014-08-22 7.7502
2014-08-23 7.7503
2014-08-24 7.7503
2014-08-25 7.7503
2014-08-26 7.7504
2014-08-27 7.7503
2014-08-28 7.7501
2014-08-29 7.7502
2014-08-30 7.7502
2014-08-31 7.7503
2014-09-01 7.7502
2014-09-02 7.7503
2014-09-03 7.7503
2014-09-04 7.7503
2014-09-05 7.7502
2014-09-06 7.7502
2014-09-07 7.7502
2014-09-08 7.7503
2014-09-09 7.7504
2014-09-10 7.7504
2014-09-11 7.7505
2014-09-12 7.7506
2014-09-13 7.7506
2014-09-14 7.7506
2014-09-15 7.7509
2014-09-16 7.7511
2014-09-17 7.7511
2014-09-18 7.7512
2014-09-19 7.7512
2014-09-20 7.7512
2014-09-21 7.7512
2014-09-22 7.7513
2014-09-23 7.7515
2014-09-24 7.7518
2014-09-25 7.753
2014-09-26 7.7565
2014-09-27 7.7576
2014-09-28 7.7576
2014-09-29 7.7635
2014-09-30 7.7653
2014-10-01 7.7646
2014-10-02 7.7634
2014-10-03 7.7604
2014-10-04 7.7616
2014-10-05 7.7616
2014-10-06 7.757
2014-10-07 7.7548
2014-10-08 7.7562
2014-10-09 7.7561
2014-10-10 7.758
2014-10-11 7.7585
2014-10-12 7.7585
2014-10-13 7.758
2014-10-14 7.757
2014-10-15 7.7565
2014-10-16 7.7574
2014-10-17 7.758
2014-10-18 7.7576
2014-10-19 7.7576
2014-10-20 7.7578
2014-10-21 7.7572
2014-10-22 7.7565
2014-10-23 7.757
2014-10-24 7.7576
2014-10-25 7.7572
2014-10-26 7.7572
2014-10-27 7.7573
2014-10-28 7.7574
2014-10-29 7.7558
2014-10-30 7.7554
2014-10-31 7.7552
2014-11-01 7.7551
2014-11-02 7.7551
2014-11-03 7.755
2014-11-04 7.7529
2014-11-05 7.7521
2014-11-06 7.7526
2014-11-07 7.7528
2014-11-08 7.7528
2014-11-09 7.7527
2014-11-10 7.7535
2014-11-11 7.7543
2014-11-12 7.7544
2014-11-13 7.7547
2014-11-14 7.7547
2014-11-15 7.7546
2014-11-16 7.7545
2014-11-17 7.7547
2014-11-18 7.7548
2014-11-19 7.7551
2014-11-20 7.7558
2014-11-21 7.7564
2014-11-22 7.7584
2014-11-23 7.7583
2014-11-24 7.7567
2014-11-25 7.7557
2014-11-26 7.7545
2014-11-27 7.7533
2014-11-28 7.7535
2014-11-29 7.755
2014-11-30 7.755
2014-12-01 7.7547
2014-12-02 7.7552
2014-12-03 7.7538
2014-12-04 7.7526
2014-12-05 7.7513
2014-12-06 7.7511
2014-12-07 7.7511
2014-12-08 7.7511
2014-12-09 7.7523
2014-12-10 7.7519
2014-12-11 7.7516
2014-12-12 7.7523
2014-12-13 7.7512
2014-12-14 7.7512
2014-12-15 7.7525
2014-12-16 7.7533
2014-12-17 7.7541
2014-12-18 7.7559
2014-12-19 7.7548
2014-12-20 7.7533
2014-12-21 7.7533
2014-12-22 7.7556
2014-12-23 7.7575
2014-12-24 7.7603
2014-12-25 7.762
2014-12-26 7.7603
2014-12-27 7.7606
2014-12-28 7.7606
2014-12-29 7.7594
2014-12-30 7.7577
2014-12-31 7.7559
