"Index" "XPT.USD"
2013-12-31 1363
2014-01-01 1374
2014-01-02 1376.66
2014-01-03 1376.66
2014-01-04 1376.66
2014-01-05 1376.66
2014-01-06 1406.96
2014-01-07 1406.96
2014-01-08 1406.96
2014-01-09 1406.96
2014-01-10 1406.96
2014-01-11 1406.96
2014-01-12 1406.96
2014-01-13 1437.98
2014-01-14 1437.98
2014-01-15 1437.98
2014-01-16 1437.98
2014-01-17 1437.98
2014-01-18 1437.98
2014-01-19 1437.98
2014-01-20 1458.37
2014-01-21 1458.37
2014-01-22 1458.37
2014-01-23 1458.37
2014-01-24 1458.37
2014-01-25 1458.37
2014-01-26 1458.37
2014-01-27 1439.13
2014-01-28 1439.13
2014-01-29 1439.13
2014-01-30 1439.13
2014-01-31 1385.23
2014-02-01 1378
2014-02-02 1377.25
2014-02-03 1376.16
2014-02-04 1387
2014-02-05 1375.58
2014-02-06 1383.36
2014-02-07 1376.53
2014-02-08 1384.225
2014-02-09 1384.225
2014-02-10 1383.59
2014-02-11 1387
2014-02-12 1387.98
2014-02-13 1404.5
2014-02-14 1414.49
2014-02-15 1427.5
2014-02-16 1427.5
2014-02-17 1431.31
2014-02-18 1431.06
2014-02-19 1422.56
2014-02-20 1415.08
2014-02-21 1417.13
2014-02-22 1428
2014-02-23 1428
2014-02-24 1427.29
2014-02-25 1434.79
2014-02-26 1439.68
2014-02-27 1429.86
2014-02-28 1451.2
2014-03-01 1446
2014-03-02 1446
2014-03-03 1451.95
2014-03-04 1457.48
2014-03-05 1457.54
2014-03-06 1473.84
2014-03-07 1483.23
2014-03-08 1483.25
2014-03-09 1483.25
2014-03-10 1477.5
2014-03-11 1477.16
2014-03-12 1466.74
2014-03-13 1475.1
2014-03-14 1478.21
2014-03-15 1469.75
2014-03-16 1469.75
2014-03-17 1472.35
2014-03-18 1467.83
2014-03-19 1458.64
2014-03-20 1458.64
2014-03-21 1435.61
2014-03-22 1435
2014-03-23 1435
2014-03-24 1439.07
2014-03-25 1432.38
2014-03-26 1421.4
2014-03-27 1413.45
2014-03-28 1402
2014-03-29 1408.5
2014-03-30 1408.5
2014-03-31 1412.92
2014-04-01 1416.06
2014-04-02 1424.57
2014-04-03 1436.92
2014-04-04 1438.5
2014-04-05 1448.5
2014-04-06 1448.5
2014-04-07 1448.76
2014-04-08 1429
2014-04-09 1440.88
2014-04-10 1442.83
2014-04-11 1453.64
2014-04-12 1458.5
2014-04-13 1458.5
2014-04-14 1466
2014-04-15 1465.2
2014-04-16 1441.22
2014-04-17 1439.72
2014-04-18 1413
2014-04-19 1413
2014-04-20 1413
2014-04-21 1412.5
2014-04-22 1404.09
2014-04-23 1403.01
2014-04-24 1405.21
2014-04-25 1412.13
2014-04-26 1422
2014-04-27 1422
2014-04-28 1429.5
2014-04-29 1418.25
2014-04-30 1427.76
2014-05-01 1425.44
2014-05-02 1423.11
2014-05-03 1438.5
2014-05-04 1438.5
2014-05-05 1440.5
2014-05-06 1450.2
2014-05-07 1452.6
2014-05-08 1437.5
2014-05-09 1436.89
2014-05-10 1431.5
2014-05-11 1431.5
2014-05-12 1424.65
2014-05-13 1436.59
2014-05-14 1451.19
2014-05-15 1478.34
2014-05-16 1469.41
2014-05-17 1463
2014-05-18 1463
2014-05-19 1467.5
2014-05-20 1472
2014-05-21 1468.96
2014-05-22 1472.92
2014-05-23 1487.23
2014-05-24 1474.2
2014-05-25 1474.2
2014-05-26 1478.4
