"Index" "HY.Open" "HY.High" "HY.Low" "HY.Close" "HY.Volume" "HY.Adjusted"
2013-08-01 67.410004 76.919998 67.410004 74.480003 93900 72.120611
2013-08-02 74.760002 78.599998 74.739998 78.419998 25300 75.935794
2013-08-05 78.080002 79.610001 76.580002 77.419998 24200 74.967472
2013-08-06 77.419998 78.849998 76.309998 77.080002 18100 74.638246
2013-08-07 77.080002 79.449997 76.18 77.220001 16100 74.773811
2013-08-08 77.459999 79.879997 76.540001 77.5 18100 75.04494
2013-08-09 77.519997 81.07 77.519997 78.25 31200 75.771181
2013-08-12 77.239998 79.580002 77 77.650002 33500 75.190189
2013-08-13 78 80.370003 77.970001 79.5 42500 76.981583
2013-08-14 79.349998 79.769997 77.709999 78.309998 47000 75.829278
2013-08-15 77.120003 78.279999 74.449997 76.25 48700 73.834537
2013-08-16 75.709999 76.660004 73.480003 75.190002 37700 72.808119
2013-08-19 75.330002 76.879997 73.650002 73.879997 42700 71.539612
2013-08-20 73.57 76.779999 73.57 74.5 45800 72.139974
2013-08-21 73.639999 75.790001 73.32 73.68 35000 71.345951
2013-08-22 73.809998 76.059998 72.010002 74.18 53300 71.830111
2013-08-23 73.800003 76.010002 73.279999 74.830002 37500 72.459522
2013-08-26 74.339996 75.760002 73.889999 74.349998 20300 71.994724
2013-08-27 72.830002 74.489998 70.239998 70.849998 28400 68.605598
2013-08-28 70.739998 72.419998 68.970001 70.120003 58300 68.139164
2013-08-29 70 79.279999 69.980003 76.900002 68400 74.727633
2013-08-30 77.059998 77.699997 73.209999 75.610001 123500 73.474074
2013-09-03 77.889999 79.389999 76.139999 77.110001 69100 74.9317
2013-09-04 77.059998 78.949997 77.059998 78.290001 94700 76.078366
2013-09-05 78.199997 82.589996 78.199997 81.339996 35800 79.042201
2013-09-06 81.809998 82.580002 79.300003 80.699997 40500 78.420281
2013-09-09 79.650002 87.099998 79.650002 86.919998 237900 84.464572
2013-09-10 87.93 89.400002 86.769997 89.349998 126300 86.825927
2013-09-11 89.440002 89.610001 87.540001 88.849998 64700 86.340051
2013-09-12 88.860001 89.529999 86.139999 87.080002 40400 84.620056
2013-09-13 87.339996 89.75 87.339996 88.230003 33600 85.737571
2013-09-16 89.839996 91.989998 89.360001 90.18 39100 87.632482
2013-09-17 88.93 90 88.629997 88.739998 36300 86.233158
2013-09-18 89.190002 94.449997 89.190002 93.57 80800 90.926716
2013-09-19 93.730003 94.330002 92.57 93.510002 53400 90.868413
