"Index" "MKC.Open" "MKC.High" "MKC.Low" "MKC.Close" "MKC.Volume" "MKC.Adjusted"
2013-12-16 67.690002 68.160004 67.470001 67.699997 565500 64.938541
2013-12-17 67.639999 67.779999 67.019997 67.480003 470400 64.727521
2013-12-18 67.489998 68.260002 66.599998 68.050003 1090300 65.27427
2013-12-19 68.040001 68.529999 67.620003 68.400002 439500 65.609993
2013-12-20 68.449997 68.989998 68.139999 68.610001 683100 65.811426
2013-12-23 68.959999 69 68.169998 68.379997 401800 65.590804
2013-12-24 68.459999 68.889999 68.300003 68.68 145100 65.87857
2013-12-26 68.639999 69.120003 68.5 68.949997 386400 66.137554
2013-12-27 68.629997 68.900002 68.489998 68.760002 524600 66.31115
2013-12-30 68.830002 69.349998 68.809998 69.139999 347600 66.677614
2013-12-31 69.300003 69.339996 68.68 68.919998 322000 66.465448
2014-01-02 68.870003 68.959999 68.089996 68.339996 470700 65.906102
2014-01-03 68.5 68.82 68.330002 68.550003 348100 66.10863
2014-01-06 68.769997 68.940002 68.040001 68.269997 412200 65.838595
2014-01-07 68.330002 69.099998 68.330002 68.879997 605500 66.426871
2014-01-08 68.769997 68.919998 67.669998 68.139999 1036800 65.713228
2014-01-09 68.169998 68.970001 67.989998 68.879997 624500 66.426871
2014-01-10 69.050003 69.540001 68.830002 69.449997 506700 66.976571
2014-01-13 69.089996 69.800003 69.010002 69.230003 611400 66.764412
2014-01-14 69.230003 69.989998 69.07 69.949997 688900 67.458763
2014-01-15 69.830002 70.010002 69.410004 69.75 1094900 67.265889
2014-01-16 67.949997 69.650002 67.949997 69.580002 904600 67.101946
2014-01-17 69.540001 69.540001 68.639999 68.949997 938900 66.494378
2014-01-21 69.300003 70.059998 69.050003 69.940002 1190200 67.449125
2014-01-22 70.139999 70.419998 69.839996 70.019997 574100 67.52627
2014-01-23 69.599998 69.839996 69.080002 69.43 722500 66.957286
2014-01-24 69.139999 70.089996 68.93 68.989998 859000 66.532954
2014-01-27 69.029999 69.709999 68.940002 69.129997 986200 66.667968
2014-01-28 69.059998 69.769997 69.059998 69.620003 1078100 67.140522
2014-01-29 66.690002 67.099998 64.459999 65.300003 3413700 62.974377
2014-01-30 65.040001 65.050003 63.799999 64.730003 2092300 62.424677
2014-01-31 64.010002 64.459999 63.450001 64.18 1281400 61.894262
2014-02-03 64.050003 64.330002 62.880001 63.029999 1369200 60.785217
2014-02-04 63.16 63.709999 63.040001 63.52 1071200 61.257768
2014-02-05 63.189999 63.700001 63.080002 63.439999 1346500 61.180615
2014-02-06 63.619999 63.75 62.830002 63.07 1617000 60.823794
2014-02-07 63.310001 63.849998 62.75 63.040001 1208400 60.794863
2014-02-10 63.049999 63.959999 62.889999 63.919998 980400 61.64352
2014-02-11 63.849998 64.669998 63.580002 64.589996 911400 62.289657
2014-02-12 64.540001 64.970001 64.199997 64.290001 658500 62.000345
2014-02-13 64.099998 65.010002 64.080002 64.980003 730200 62.665774
2014-02-14 64.760002 65.720001 64.599998 65.5 1004800 63.167251
2014-02-18 65.5 66.32 65.459999 66.139999 893300 63.784457
2014-02-19 65.870003 66.120003 65.379997 65.449997 737100 63.119029
2014-02-20 65.290001 66.199997 65.290001 66.129997 537200 63.774811
2014-02-21 66.089996 66.400002 65.870003 65.970001 445200 63.620513
2014-02-24 66.150002 66.660004 66.080002 66.25 533500 63.89054
2014-02-25 66.349998 66.489998 65.849998 66.199997 644000 63.842318
2014-02-26 66.339996 66.599998 65.599998 65.620003 593300 63.28298
2014-02-27 65.580002 65.949997 65.129997 65.940002 663100 63.591583
2014-02-28 65.919998 66.529999 65.849998 66.400002 614300 64.035199
