"Index" "USD.ZAR"
2014-01-07 10.645
2014-01-08 10.6807
2014-01-09 10.7859
2014-01-10 10.7576
2014-01-11 10.6441
2014-01-12 10.6439
2014-01-13 10.7079
2014-01-14 10.8289
2014-01-15 10.8732
2014-01-16 10.9073
2014-01-17 10.871
2014-01-18 10.8664
2014-01-19 10.8662
2014-01-20 10.8604
2014-01-21 10.8446
2014-01-22 10.8462
2014-01-23 10.9396
2014-01-24 11.0544
2014-01-25 11.0892
2014-01-26 11.0889
2014-01-27 11.1428
2014-01-28 11.0705
2014-01-29 11.0751
2014-01-30 11.2579
2014-01-31 11.199
2014-02-01 11.1218
2014-02-02 11.1223
2014-02-03 11.1629
2014-02-04 11.178
2014-02-05 11.1168
2014-02-06 11.0971
2014-02-07 11.0493
2014-02-08 11.0636
2014-02-09 11.0636
2014-02-10 11.104
2014-02-11 11.069
2014-02-12 10.9821
2014-02-13 11.0375
2014-02-14 10.9451
2014-02-15 10.8513
2014-02-16 10.8514
2014-02-17 10.8517
2014-02-18 10.8536
2014-02-19 10.9251
2014-02-20 11.0489
2014-02-21 10.9992
2014-02-22 10.9254
2014-02-23 10.9254
2014-02-24 10.9094
2014-02-25 10.7765
2014-02-26 10.7635
2014-02-27 10.7953
2014-02-28 10.7109
2014-03-01 10.7583
2014-03-02 10.7583
2014-03-03 10.8153
2014-03-04 10.8376
2014-03-05 10.7411
2014-03-06 10.6591
2014-03-07 10.6516
2014-03-08 10.7338
2014-03-09 10.7337
2014-03-10 10.7576
2014-03-11 10.7826
2014-03-12 10.8703
2014-03-13 10.7753
2014-03-14 10.7675
2014-03-15 10.6778
2014-03-16 10.6778
2014-03-17 10.7117
2014-03-18 10.7562
2014-03-19 10.7533
2014-03-20 10.8935
2014-03-21 10.8854
2014-03-22 10.8977
2014-03-23 10.8977
2014-03-24 10.8685
2014-03-25 10.7982
2014-03-26 10.7181
2014-03-27 10.6667
2014-03-28 10.5938
2014-03-29 10.576
2014-03-30 10.576
2014-03-31 10.5753
2014-04-01 10.5624
2014-04-02 10.603
2014-04-03 10.6393
2014-04-04 10.6053
2014-04-05 10.5597
2014-04-06 10.5597
2014-04-07 10.5405
2014-04-08 10.4772
2014-04-09 10.4472
2014-04-10 10.4039
2014-04-11 10.477
2014-04-12 10.4924
2014-04-13 10.4924
2014-04-14 10.5146
2014-04-15 10.5318
2014-04-16 10.554
2014-04-17 10.5267
2014-04-18 10.4934
2014-04-19 10.5019
2014-04-20 10.5019
2014-04-21 10.4979
2014-04-22 10.5266
2014-04-23 10.5773
2014-04-24 10.5962
2014-04-25 10.6384
2014-04-26 10.6688
2014-04-27 10.6688
2014-04-28 10.6408
2014-04-29 10.5917
2014-04-30 10.5475
2014-05-01 10.5068
2014-05-02 10.495
2014-05-03 10.4791
2014-05-04 10.4791
2014-05-05 10.4923
2014-05-06 10.5166
2014-05-07 10.4938
2014-05-08 10.3987
2014-05-09 10.3548
2014-05-10 10.3536
2014-05-11 10.3536
2014-05-12 10.3584
2014-05-13 10.3364
2014-05-14 10.3119
2014-05-15 10.3456
2014-05-16 10.3852
2014-05-17 10.3556
2014-05-18 10.3556
2014-05-19 10.3617
2014-05-20 10.4158
2014-05-21 10.4285
2014-05-22 10.3641
2014-05-23 10.3358
2014-05-24 10.3068
2014-05-25 10.3068
2014-05-26 10.3378
2014-05-27 10.4006
2014-05-28 10.4733
2014-05-29 10.4429
2014-05-30 10.4759
2014-05-31 10.5728
2014-06-01 10.5728
2014-06-02 10.6123
2014-06-03 10.7059
2014-06-04 10.7636
2014-06-05 10.7258
2014-06-06 10.6515
2014-06-07 10.5869
2014-06-08 10.5869
2014-06-09 10.5972
2014-06-10 10.6825
2014-06-11 10.7389
2014-06-12 10.7208
2014-06-13 10.7152
2014-06-14 10.6811
2014-06-15 10.6811
2014-06-16 10.73
2014-06-17 10.7771
2014-06-18 10.7844
2014-06-19 10.6789
2014-06-20 10.714
2014-06-21 10.6548
2014-06-22 10.6548
2014-06-23 10.6342
2014-06-24 10.5876
2014-06-25 10.6155
2014-06-26 10.6165
2014-06-27 10.6214
2014-06-28 10.5887
2014-06-29 10.5887
2014-06-30 10.6065
2014-07-01 10.648
2014-07-02 10.71
2014-07-03 10.7642
2014-07-04 10.7491
2014-07-05 10.7568
2014-07-06 10.7565
2014-07-07 10.7779
2014-07-08 10.7291
2014-07-09 10.6865
2014-07-10 10.6987
2014-07-11 10.7111
2014-07-12 10.7079
2014-07-13 10.7079
2014-07-14 10.7104
2014-07-15 10.6931
2014-07-16 10.6962
2014-07-17 10.6914
2014-07-18 10.6953
2014-07-19 10.6474
2014-07-20 10.6472
2014-07-21 10.6366
2014-07-22 10.6017
2014-07-23 10.5394
2014-07-24 10.5171
2014-07-25 10.5254
2014-07-26 10.5128
2014-07-27 10.5128
2014-07-28 10.5297
2014-07-29 10.5884
2014-07-30 10.6312
2014-07-31 10.6925
2014-08-01 10.7096
2014-08-02 10.6796
2014-08-03 10.6796
2014-08-04 10.6729
2014-08-05 10.6885
2014-08-06 10.7533
2014-08-07 10.734
2014-08-08 10.7359
2014-08-09 10.661
2014-08-10 10.6581
2014-08-11 10.6588
2014-08-12 10.643
2014-08-13 10.6116
2014-08-14 10.5681
2014-08-15 10.5629
2014-08-16 10.5934
2014-08-17 10.5934
2014-08-18 10.5999
2014-08-19 10.6255
2014-08-20 10.6796
2014-08-21 10.7184
2014-08-22 10.6996
2014-08-23 10.6891
2014-08-24 10.6891
2014-08-25 10.7094
2014-08-26 10.6955
2014-08-27 10.6523
2014-08-28 10.6313
2014-08-29 10.6365
2014-08-30 10.661
2014-08-31 10.666
2014-09-01 10.6657
2014-09-02 10.7152
2014-09-03 10.7085
2014-09-04 10.6838
2014-09-05 10.7198
2014-09-06 10.6936
2014-09-07 10.6936
2014-09-08 10.7449
2014-09-09 10.8737
2014-09-10 10.942
2014-09-11 10.9547
2014-09-12 10.9892
2014-09-13 11.0228
2014-09-14 11.0228
2014-09-15 11.0264
2014-09-16 10.9446
2014-09-17 10.9345
2014-09-18 11.0403
2014-09-19 11.0711
2014-09-20 11.0814
2014-09-21 11.0814
2014-09-22 11.1144
2014-09-23 11.1419
2014-09-24 11.1458
2014-09-25 11.1781
2014-09-26 11.205
2014-09-27 11.2277
2014-09-28 11.2277
2014-09-29 11.2641
2014-09-30 11.2758
2014-10-01 11.2851
2014-10-02 11.2191
2014-10-03 11.2576
2014-10-04 11.3446
2014-10-05 11.3446
2014-10-06 11.2892
2014-10-07 11.2118
2014-10-08 11.1817
2014-10-09 11.044
2014-10-10 11.0916
2014-10-11 11.1191
2014-10-12 11.1191
2014-10-13 11.063
2014-10-14 11.0541
2014-10-15 11.071
2014-10-16 11.1033
2014-10-17 11.0963
2014-10-18 11.0807
2014-10-19 11.0807
2014-10-20 11.0588
2014-10-21 11.0104
2014-10-22 11.0272
2014-10-23 10.9826
2014-10-24 10.9633
2014-10-25 10.9305
2014-10-26 10.9305
2014-10-27 10.9488
2014-10-28 10.9178
2014-10-29 10.8651
2014-10-30 10.9259
2014-10-31 10.928
2014-11-01 11.0393
2014-11-02 11.0393
2014-11-03 11.0624
2014-11-04 11.0513
2014-11-05 11.1034
2014-11-06 11.165
2014-11-07 11.2731
2014-11-08 11.2699
2014-11-09 11.2704
2014-11-10 11.2311
2014-11-11 11.2657
2014-11-12 11.2181
2014-11-13 11.2039
2014-11-14 11.191
2014-11-15 11.0826
2014-11-16 11.0826
2014-11-17 11.1009
2014-11-18 11.0764
2014-11-19 11.0446
2014-11-20 11.0241
2014-11-21 10.9494
2014-11-22 10.9468
2014-11-23 10.9467
2014-11-24 10.9793
2014-11-25 11.0046
2014-11-26 10.9664
2014-11-27 10.9635
2014-11-28 11.0224
2014-11-29 11.0636
2014-11-30 11.0632
2014-12-01 11.0615
2014-12-02 11.045
2014-12-03 11.1626
2014-12-04 11.2004
2014-12-05 11.2518
2014-12-06 11.3572
2014-12-07 11.3574
2014-12-08 11.4421
2014-12-09 11.4972
2014-12-10 11.4873
2014-12-11 11.5544
2014-12-12 11.6251
2014-12-13 11.5919
2014-12-14 11.5918
2014-12-15 11.6271
2014-12-16 11.6941
2014-12-17 11.6705
2014-12-18 11.5849
2014-12-19 11.5793
2014-12-20 11.5816
2014-12-21 11.5818
2014-12-22 11.5779
2014-12-23 11.5967
2014-12-24 11.6536
2014-12-25 11.6499
2014-12-26 11.6143
2014-12-27 11.5995
2014-12-28 11.5994
2014-12-29 11.6079
2014-12-30 11.6088
2014-12-31 11.5675
2015-01-01 11.579
2015-01-02 11.643
2015-01-03 11.7059
2015-01-04 11.7056
2015-01-05 11.7198
2015-01-06 11.7104
2015-01-07 11.7176
2015-01-08 11.6471
2015-01-09 11.5606
2015-01-10 11.4951
2015-01-11 11.4951
2015-01-12 11.4992
2015-01-13 11.5102
2015-01-14 11.5163
2015-01-15 11.4831
2015-01-16 11.5567
2015-01-17 11.544
2015-01-18 11.5439
2015-01-19 11.5928
2015-01-20 11.631
2015-01-21 11.569
2015-01-22 11.4861
2015-01-23 11.4104
2015-01-24 11.4102
2015-01-25 11.4103
2015-01-26 11.442
2015-01-27 11.5127
2015-01-28 11.5576
2015-01-29 11.5813
2015-01-30 11.5856
2015-01-31 11.6395
2015-02-01 11.6392
2015-02-02 11.5891
2015-02-03 11.4707
2015-02-04 11.4098
2015-02-05 11.404
2015-02-06 11.3622
2015-02-07 11.5051
2015-02-08 11.505
2015-02-09 11.5425
2015-02-10 11.6222
2015-02-11 11.7615
2015-02-12 11.7969
2015-02-13 11.7078
2015-02-14 11.666
2015-02-15 11.666
2015-02-16 11.6491
2015-02-17 11.6447
2015-02-18 11.6817
2015-02-19 11.6201
2015-02-20 11.6529
2015-02-21 11.6256
2015-02-22 11.6254
2015-02-23 11.6585
2015-02-24 11.6029
2015-02-25 11.4668
2015-02-26 11.4585
2015-02-27 11.5841
2015-02-28 11.6602
2015-03-01 11.66
2015-03-02 11.7091
2015-03-03 11.7575
2015-03-04 11.7775
2015-03-05 11.8022
2015-03-06 11.8858
2015-03-07 12.041
2015-03-08 12.0409
2015-03-09 12.0562
2015-03-10 12.2117
2015-03-11 12.3253
2015-03-12 12.2522
2015-03-13 12.3719
2015-03-14 12.4792
2015-03-15 12.4792
2015-03-16 12.4304
2015-03-17 12.3906
2015-03-18 12.3263
2015-03-19 12.1871
2015-03-20 12.1972
2015-03-21 12.0168
2015-03-22 12.0168
2015-03-23 12.0045
2015-03-24 11.8771
2015-03-25 11.8167
2015-03-26 11.8961
2015-03-27 12.0074
2015-03-28 12.0443
2015-03-29 12.0443
2015-03-30 12.0907
2015-03-31 12.1596
2015-04-01 12.0652
2015-04-02 11.9754
2015-04-03 11.8945
2015-04-04 11.7983
2015-04-05 11.7983
2015-04-06 11.7694
2015-04-07 11.826
2015-04-08 11.8278
2015-04-09 11.8559
2015-04-10 11.9716
2015-04-11 11.9964
2015-04-12 11.9964
2015-04-13 12.0877
2015-04-14 12.0815
2015-04-15 12.0723
2015-04-16 12.0254
2015-04-17 11.9936
2015-04-18 12.0692
2015-04-19 12.0692
2015-04-20 12.0725
2015-04-21 12.1365
2015-04-22 12.1407
2015-04-23 12.2181
2015-04-24 12.1536
2015-04-25 12.106
2015-04-26 12.106
2015-04-27 12.0776
2015-04-28 11.9414
2015-04-29 11.8279
2015-04-30 11.844
2015-05-01 11.9483
2015-05-02 12.0605
2015-05-03 12.0605
2015-05-04 12.0502
2015-05-05 12.0279
2015-05-06 11.9887
2015-05-07 12.0366
2015-05-08 12.0009
2015-05-09 11.9248
2015-05-10 11.9248
2015-05-11 11.9878
2015-05-12 12.0864
2015-05-13 11.9732
2015-05-14 11.8557
2015-05-15 11.809
2015-05-16 11.7819
2015-05-17 11.7819
2015-05-18 11.8373
2015-05-19 11.8882
2015-05-20 11.9015
2015-05-21 11.8284
2015-05-22 11.8374
2015-05-23 11.8913
2015-05-24 11.8913
2015-05-25 11.9286
2015-05-26 12.0046
2015-05-27 12.0766
2015-05-28 12.0894
2015-05-29 12.1436
2015-05-30 12.1516
2015-05-31 12.1516
2015-06-01 12.2184
2015-06-02 12.249
2015-06-03 12.2413
2015-06-04 12.3489
2015-06-05 12.4599
2015-06-06 12.5779
2015-06-07 12.5779
2015-06-08 12.5731
2015-06-09 12.4715
2015-06-10 12.3667
2015-06-11 12.3653
2015-06-12 12.3903
2015-06-13 12.3794
2015-06-14 12.3794
2015-06-15 12.4205
2015-06-16 12.4071
2015-06-17 12.3904
2015-06-18 12.2364
2015-06-19 12.2221
2015-06-20 12.1646
2015-06-21 12.1646
2015-06-22 12.1373
2015-06-23 12.1575
2015-06-24 12.1599
2015-06-25 12.122
2015-06-26 12.1517
2015-06-27 12.2008
2015-06-28 12.2008
2015-06-29 12.2854
2015-06-30 12.2188
2015-07-01 12.1965
2015-07-02 12.2764
2015-07-03 12.2824
2015-07-04 12.3198
2015-07-05 12.3198
