"Index" "H2L.Open" "H2L.High" "H2L.Low" "H2L.Close" "H2L.Volume" "H2L.Adjusted"
2014-01-21 21.44 21.44 21.44 21.44 0 21.44
2014-01-22 21.78 21.78 21.78 21.78 0 21.78
2014-01-23 21.7 21.7 21.7 21.7 0 21.7
2014-01-24 20.225 20.225 20.225 20.225 0 20.225
2014-01-27 19.82 19.82 19.82 19.82 0 19.82
2014-01-28 19.165 19.165 19.165 19.165 0 19.165
2014-01-29 19.915 19.915 19.915 19.915 0 19.915
2014-01-30 20.19 20.19 20.19 20.19 0 20.19
2014-01-31 21.505 21.505 21.505 21.505 0 21.505
2014-02-03 21.71 21.71 21.71 21.71 0 21.71
2014-02-04 21.315 21.315 21.315 21.315 0 21.315
2014-02-05 21.635 21.635 21.635 21.635 0 21.635
2014-02-06 21.295 21.295 21.295 21.295 0 21.295
2014-02-07 21.41 21.41 21.41 21.41 0 21.41
2014-02-10 21.45 21.45 21.45 21.45 0 21.45
2014-02-11 21.03 21.03 21.03 21.03 0 21.03
2014-02-12 21.49 21.49 21.49 21.49 0 21.49
2014-02-13 21.61 21.61 21.61 21.61 0 21.61
2014-02-14 21.56 21.56 21.56 21.56 0 21.56
2014-02-17 21.94 21.94 21.94 21.94 0 21.94
2014-02-18 21.975 21.975 21.975 21.975 0 21.975
2014-02-19 22.155 22.155 22.155 22.155 0 22.155
2014-02-20 21.78 21.78 21.78 21.78 0 21.78
2014-02-21 22.215 22.215 22.215 22.215 0 22.215
2014-02-24 22.045 22.045 22.045 22.045 0 22.045
2014-02-25 22.435 22.435 22.435 22.435 0 22.435
2014-02-26 22.605 22.605 22.605 22.605 0 22.605
2014-02-27 22.985 22.985 22.985 22.985 0 22.985
2014-02-28 23.165 23.165 23.165 23.165 0 23.165
2014-03-03 22.76 22.76 22.76 22.76 0 22.76
2014-03-04 23.115 23.115 23.115 23.115 0 23.115
2014-03-05 23.671 23.671 23.671 23.671 0 23.671
2014-03-06 24.595 24.863 24.595 24.863 0 24.863
2014-03-07 24.23 24.23 24.23 24.23 0 24.23
2014-03-10 24.175 24.175 24.175 24.175 0 24.175
2014-03-11 24.009 24.009 24.009 24.009 0 24.009
2014-03-12 24.009 24.009 24.009 24.009 0 24.009
2014-03-13 24.096 24.096 24.096 24.096 0 24.096
2014-03-14 23.786 23.786 23.786 23.786 0 23.786
2014-03-17 23.717 23.717 23.717 23.717 0 23.717
2014-03-18 24.004 24.004 24.004 24.004 0 24.004
2014-03-19 23.837 23.837 23.837 23.837 0 23.837
2014-03-20 24.009 24.009 24.009 24.009 0 24.009
2014-03-21 24.071 24.071 24.071 24.071 0 24.071
2014-03-24 23.908 23.908 23.908 23.908 0 23.908
2014-03-25 23.441 23.441 23.441 23.441 0 23.441
2014-03-26 23.782 23.782 23.782 23.782 0 23.782
