"Index" "USD.SGD"
2014-03-27 1.2652
2014-03-28 1.2612
2014-03-29 1.2586
2014-03-30 1.2586
2014-03-31 1.2593
2014-04-01 1.259
2014-04-02 1.2608
2014-04-03 1.2628
2014-04-04 1.2624
2014-04-05 1.2588
2014-04-06 1.2588
2014-04-07 1.2603
2014-04-08 1.2557
2014-04-09 1.2494
2014-04-10 1.2481
2014-04-11 1.2488
2014-04-12 1.2483
2014-04-13 1.2483
2014-04-14 1.2516
2014-04-15 1.2531
2014-04-16 1.2518
2014-04-17 1.2506
2014-04-18 1.2525
2014-04-19 1.2527
2014-04-20 1.2527
2014-04-21 1.2526
2014-04-22 1.2552
2014-04-23 1.2568
2014-04-24 1.2571
2014-04-25 1.2572
2014-04-26 1.2567
2014-04-27 1.2567
2014-04-28 1.2561
2014-04-29 1.2562
2014-04-30 1.2559
2014-05-01 1.2531
2014-05-02 1.2533
2014-05-03 1.2531
2014-05-04 1.2531
2014-05-05 1.2504
2014-05-06 1.2489
2014-05-07 1.2483
2014-05-08 1.2481
2014-05-09 1.2482
2014-05-10 1.2487
2014-05-11 1.2487
2014-05-12 1.2502
2014-05-13 1.2518
2014-05-14 1.2502
2014-05-15 1.2515
2014-05-16 1.2518
2014-05-17 1.2513
2014-05-18 1.2513
2014-05-19 1.2501
2014-05-20 1.2519
2014-05-21 1.2527
2014-05-22 1.2516
2014-05-23 1.2524
2014-05-24 1.2535
2014-05-25 1.2535
2014-05-26 1.2532
2014-05-27 1.2552
2014-05-28 1.2559
2014-05-29 1.2549
2014-05-30 1.2542
2014-05-31 1.2541
2014-06-01 1.2541
2014-06-02 1.2559
2014-06-03 1.2564
2014-06-04 1.2576
2014-06-05 1.2563
2014-06-06 1.2523
2014-06-07 1.2518
2014-06-08 1.2518
2014-06-09 1.2506
2014-06-10 1.2502
2014-06-11 1.2503
2014-06-12 1.2491
2014-06-13 1.2493
2014-06-14 1.2512
2014-06-15 1.2512
2014-06-16 1.2506
2014-06-17 1.2524
2014-06-18 1.2526
2014-06-19 1.2489
2014-06-20 1.2499
2014-06-21 1.2489
2014-06-22 1.2489
2014-06-23 1.2488
2014-06-24 1.249
2014-06-25 1.2502
2014-06-26 1.2495
2014-06-27 1.2494
2014-06-28 1.2499
2014-06-29 1.2499
2014-06-30 1.2483
2014-07-01 1.2464
2014-07-02 1.2465
2014-07-03 1.2474
2014-07-04 1.2464
2014-07-05 1.2458
2014-07-06 1.246
2014-07-07 1.2464
2014-07-08 1.2446
2014-07-09 1.2423
2014-07-10 1.2417
2014-07-11 1.2415
2014-07-12 1.2409
2014-07-13 1.2409
2014-07-14 1.2409
2014-07-15 1.2425
2014-07-16 1.2431
2014-07-17 1.2419
2014-07-18 1.2418
2014-07-19 1.2409
2014-07-20 1.2412
2014-07-21 1.2407
2014-07-22 1.2401
2014-07-23 1.2386
2014-07-24 1.2388
2014-07-25 1.2412
2014-07-26 1.242
2014-07-27 1.242
2014-07-28 1.2417
2014-07-29 1.242
2014-07-30 1.2437
2014-07-31 1.2465
2014-08-01 1.2479
2014-08-02 1.2466
2014-08-03 1.2466
2014-08-04 1.2464
2014-08-05 1.2465
2014-08-06 1.2487
2014-08-07 1.2505
2014-08-08 1.2522
2014-08-09 1.2522
2014-08-10 1.2523
2014-08-11 1.2502
2014-08-12 1.2505
2014-08-13 1.2499
2014-08-14 1.2471
2014-08-15 1.2451
2014-08-16 1.2452
2014-08-17 1.2452
2014-08-18 1.2448
2014-08-19 1.2454
2014-08-20 1.2488
2014-08-21 1.2506
2014-08-22 1.2486
2014-08-23 1.2494
2014-08-24 1.2494
2014-08-25 1.2505
2014-08-26 1.2497
2014-08-27 1.2479
2014-08-28 1.248
2014-08-29 1.2486
2014-08-30 1.2488
2014-08-31 1.2489
2014-09-01 1.2494
2014-09-02 1.2524
2014-09-03 1.2525
2014-09-04 1.2525
2014-09-05 1.2546
2014-09-06 1.254
2014-09-07 1.254
2014-09-08 1.2551
2014-09-09 1.2611
2014-09-10 1.2637
2014-09-11 1.2634
2014-09-12 1.2634
2014-09-13 1.263
2014-09-14 1.263
2014-09-15 1.2647
2014-09-16 1.262
2014-09-17 1.263
2014-09-18 1.2681
2014-09-19 1.2668
2014-09-20 1.2671
2014-09-21 1.2671
2014-09-22 1.2675
2014-09-23 1.2681
2014-09-24 1.267
2014-09-25 1.2685
2014-09-26 1.2716
2014-09-27 1.2747
2014-09-28 1.2747
2014-09-29 1.2746
2014-09-30 1.2746
2014-10-01 1.2753
2014-10-02 1.272
2014-10-03 1.2761
2014-10-04 1.2823
2014-10-05 1.2823
2014-10-06 1.2788
2014-10-07 1.2763
2014-10-08 1.2775
2014-10-09 1.2707
2014-10-10 1.2726
2014-10-11 1.2759
2014-10-12 1.2759
2014-10-13 1.2723
2014-10-14 1.2733
2014-10-15 1.2756
2014-10-16 1.273
2014-10-17 1.2739
2014-10-18 1.275
2014-10-19 1.275
2014-10-20 1.2721
2014-10-21 1.2705
2014-10-22 1.2712
2014-10-23 1.2739
2014-10-24 1.2762
2014-10-25 1.2754
2014-10-26 1.2754
2014-10-27 1.2752
2014-10-28 1.2737
2014-10-29 1.2727
2014-10-30 1.2782
2014-10-31 1.2821
2014-11-01 1.2855
2014-11-02 1.2855
2014-11-03 1.2884
2014-11-04 1.2897
2014-11-05 1.2925
2014-11-06 1.2936
2014-11-07 1.2944
2014-11-08 1.2886
2014-11-09 1.2886
2014-11-10 1.2895
2014-11-11 1.2923
2014-11-12 1.2908
2014-11-13 1.2913
2014-11-14 1.2961
2014-11-15 1.2973
2014-11-16 1.2973
2014-11-17 1.2969
2014-11-18 1.2975
2014-11-19 1.3024
2014-11-20 1.3023
2014-11-21 1.2988
2014-11-22 1.2996
2014-11-23 1.2997
2014-11-24 1.3015
2014-11-25 1.3026
2014-11-26 1.3
2014-11-27 1.2983
2014-11-28 1.3028
2014-11-29 1.3043
2014-11-30 1.3043
2014-12-01 1.3066
2014-12-02 1.3074
2014-12-03 1.3112
2014-12-04 1.3132
2014-12-05 1.3171
2014-12-06 1.3227
2014-12-07 1.3227
2014-12-08 1.3217
2014-12-09 1.3182
2014-12-10 1.3136
2014-12-11 1.3122
2014-12-12 1.3121
2014-12-13 1.3139
2014-12-14 1.3139
2014-12-15 1.3125
2014-12-16 1.3064
2014-12-17 1.3049
2014-12-18 1.3132
2014-12-19 1.3151
2014-12-20 1.3149
2014-12-21 1.3149
2014-12-22 1.318
2014-12-23 1.3216
2014-12-24 1.3238
2014-12-25 1.3241
2014-12-26 1.3226
2014-12-27 1.3235
2014-12-28 1.3234
2014-12-29 1.323
