"Index" "MBE.Open" "MBE.High" "MBE.Low" "MBE.Close" "MBE.Volume" "MBE.Adjusted"
2013-08-09 25.371 25.371 25.371 25.371 0 24.7
2013-08-12 23.915 23.915 23.915 23.915 0 23.283
2013-08-13 24.068 24.068 24.068 24.068 0 23.432
2013-08-14 23.769 23.769 23.769 23.769 0 23.141
2013-08-15 23.536 23.536 23.536 23.536 0 22.914
2013-08-16 23.168 23.168 23.168 23.168 0 22.556
2013-08-19 23.055 23.055 23.055 23.055 0 22.446
2013-08-20 22.922 22.922 22.922 22.922 0 22.316
2013-08-21 23.284 23.284 23.284 23.284 0 22.668
2013-08-22 23.205 23.205 23.205 23.205 0 22.592
2013-08-23 23.77 23.77 23.77 23.77 0 23.142
2013-08-26 23.603 23.603 23.603 23.603 0 22.979
2013-08-27 23.54 23.54 23.54 23.54 0 22.918
2013-08-28 22.791 22.791 22.791 22.791 0 22.188
2013-08-29 22.793 22.793 22.793 22.793 0 22.19
2013-08-30 23.201 23.201 23.201 23.201 0 22.588
2013-09-02 22.983 22.983 22.983 22.983 0 22.375
2013-09-03 23.16 23.16 23.16 23.16 0 22.548
2013-09-04 22.853 22.853 22.853 22.853 0 22.249
2013-09-05 22.887 22.887 22.887 22.887 0 22.282
2013-09-06 23.177 23.177 23.177 23.177 0 22.564
2013-09-09 23.179 23.179 23.179 23.179 0 22.566
2013-09-10 23.094 23.094 23.094 23.094 0 22.483
2013-09-11 23.191 23.191 23.191 23.191 0 22.578
2013-09-12 22.918 22.918 22.918 22.918 0 22.312
2013-09-13 23.805 23.805 23.805 23.805 0 23.176
2013-09-16 24.265 24.265 24.265 24.265 0 23.624
2013-09-17 24.375 24.375 24.375 24.375 0 23.731
2013-09-18 25.047 25.047 25.047 25.047 0 24.385
2013-09-19 24.308 24.308 24.308 24.308 0 23.665
2013-09-20 24.134 24.134 24.134 24.134 0 23.496
2013-09-23 24.305 24.305 24.305 24.305 0 23.662
2013-09-24 24.3 24.3 24.3 24.3 0 23.658
2013-09-25 24.531 24.531 24.531 24.531 0 23.882
2013-09-26 24.537 24.537 24.537 24.537 0 23.888
2013-09-27 24.951 24.951 24.951 24.951 0 24.291
2013-09-30 24.539 24.539 24.539 24.539 0 23.89
2013-10-01 24.993 24.993 24.993 24.993 0 24.332
2013-10-02 24.59 24.59 24.59 24.59 0 23.94
2013-10-03 24.364 24.364 24.364 24.364 0 23.72
2013-10-04 24.364 24.364 24.364 24.364 0 23.72
2013-10-07 24.224 24.224 24.224 24.224 0 23.584
2013-10-08 24.479 24.479 24.479 24.479 0 23.832
2013-10-09 24.067 24.067 24.067 24.067 0 23.431
2013-10-10 23.919 23.919 23.919 23.919 0 23.287
2013-10-11 24.051 24.051 24.051 24.051 0 23.415
2013-10-14 24.189 24.189 24.189 24.189 0 23.55
2013-10-15 24.87 24.87 24.87 24.87 0 24.213
2013-10-16 24.456 24.456 24.456 24.456 0 23.809
2013-10-17 24.663 24.663 24.663 24.663 0 24.011
2013-10-18 25.13 25.13 25.13 25.13 0 24.466
2013-10-21 25.557 25.557 25.557 25.557 0 24.881
2013-10-22 25.24 25.24 25.24 25.24 0 24.573
2013-10-23 25.288 25.288 25.288 25.288 0 24.619
2013-10-24 25.582 25.582 25.582 25.582 0 24.906
2013-10-25 25.471 25.471 25.471 25.471 0 24.798
2013-10-28 25.776 25.776 25.776 25.776 0 25.095
2013-10-29 25.848 25.848 25.848 25.848 0 25.165
2013-10-30 25.986 25.986 25.986 25.986 0 25.299
2013-10-31 25.924 25.924 25.924 25.924 0 25.239
2013-11-01 26.433 26.433 26.433 26.433 0 25.734
2013-11-04 26.567 26.567 26.567 26.567 0 25.865
2013-11-05 27.245 27.245 27.245 27.245 0 26.525
2013-11-06 27.688 27.688 27.688 27.688 0 26.956
2013-11-07 27.778 27.778 27.778 27.778 0 27.044
2013-11-08 27.473 27.473 27.473 27.473 0 26.747
2013-11-11 27.584 27.584 27.584 27.584 0 26.855
2013-11-12 28.743 28.743 28.743 28.743 0 27.983
2013-11-13 28.364 28.364 28.364 28.364 0 27.614
2013-11-14 28.007 28.007 28.007 28.007 0 27.267
2013-11-15 27.95 27.95 27.95 27.95 0 27.211
2013-11-18 28.659 28.659 28.659 28.659 0 27.901
2013-11-19 28.528 28.528 28.528 28.528 0 27.774
2013-11-20 28.718 28.718 28.718 28.718 0 27.959
2013-11-21 29.379 29.379 29.379 29.379 0 28.602
2013-11-22 29.608 29.608 29.608 29.608 0 28.825
2013-11-25 29.367 29.367 29.367 29.367 0 28.591
2013-11-26 29.365 29.365 29.365 29.365 0 28.589
2013-11-27 29.575 29.575 29.575 29.575 0 28.793
2013-11-28 29.757 29.757 29.757 29.757 0 28.97
2013-11-29 29.706 29.706 29.706 29.706 0 28.921
2013-12-02 29.471 29.471 29.471 29.471 0 28.692
2013-12-03 28.777 28.777 28.777 28.777 0 28.016
2013-12-04 28.199 28.199 28.199 28.199 0 27.454
2013-12-05 27.531 27.531 27.531 27.531 0 26.803
2013-12-06 27.464 27.464 27.464 27.464 0 26.738
2013-12-09 27.346 27.346 27.346 27.346 0 26.623
2013-12-10 26.895 26.895 26.895 26.895 0 26.184
2013-12-11 27.021 27.021 27.021 27.021 0 26.307
2013-12-12 26.686 26.686 26.686 26.686 0 25.981
2013-12-13 27.515 27.515 27.515 27.515 0 26.788
2013-12-16 27.396 27.396 27.396 27.396 0 26.672
2013-12-17 27.686 27.686 27.686 27.686 0 26.954
2013-12-18 27.361 27.361 27.361 27.361 0 26.638
2013-12-19 28 28 28 28 0 27.26
2013-12-20 28.175 28.175 28.175 28.175 0 27.43
2013-12-23 28.736 28.736 28.736 28.736 0 27.976
2013-12-24 28.736 28.736 28.736 28.736 0 27.976
2013-12-25 28.736 28.736 28.736 28.736 0 27.976
2013-12-26 28.736 28.736 28.736 28.736 0 27.976
2013-12-27 29.075 29.075 29.075 29.075 0 28.306
2013-12-30 29.306 29.306 29.306 29.306 0 28.531
2013-12-31 29.306 29.306 29.306 29.306 0 28.531
2014-01-01 29.306 29.306 29.306 29.306 0 28.531
2014-01-02 29.712 29.712 29.712 29.712 0 28.927
2014-01-03 29.567 29.567 29.567 29.567 0 28.785
2014-01-06 30.057 30.057 30.057 30.057 0 29.262
2014-01-07 30.022 30.022 30.022 30.022 0 29.228
2014-01-08 30.102 30.102 30.102 30.102 0 29.306
2014-01-09 30.172 30.172 30.172 30.172 0 29.374
2014-01-10 30.161 30.161 30.161 30.161 0 29.364
2014-01-13 29.801 29.801 29.801 29.801 0 29.013
2014-01-14 29.914 29.914 29.914 29.914 0 29.123
2014-01-15 30.738 30.738 30.738 30.738 0 29.925
2014-01-16 30.79 30.79 30.79 30.79 0 29.976
2014-01-17 30.701 30.701 30.701 30.701 0 29.889
2014-01-20 30.7 30.7 30.7 30.7 0 29.888
2014-01-21 30.826 30.826 30.826 30.826 0 30.011
2014-01-22 30.817 30.817 30.817 30.817 0 30.002
2014-01-23 30.47 30.47 30.47 30.47 0 29.664
2014-01-24 29.796 29.796 29.796 29.796 0 29.008
2014-01-27 28.48 28.48 28.48 28.48 0 27.727
2014-01-28 28.267 28.267 28.267 28.267 0 27.52
2014-01-29 28.351 28.351 28.351 28.351 0 27.602
2014-01-30 28.121 28.121 28.121 28.121 0 27.378
2014-01-31 28.475 28.475 28.475 28.475 0 27.722
2014-02-03 28.375 28.375 28.375 28.375 0 27.625
2014-02-04 28.522 28.522 28.522 28.522 0 27.768
2014-02-05 28.415 28.415 28.415 28.415 0 27.664
2014-02-06 28.231 28.231 28.231 28.231 0 27.485
2014-02-07 28.271 28.271 28.271 28.271 0 27.524
2014-02-10 28.448 28.448 28.448 28.448 0 27.696
2014-02-11 27.896 27.896 27.896 27.896 0 27.159
2014-02-12 28.853 28.853 28.853 28.853 0 28.09
2014-02-13 29.425 29.425 29.425 29.425 0 28.647
2014-02-14 29.995 29.995 29.995 29.995 0 29.202
2014-02-17 30.057 30.057 30.057 30.057 0 29.262
2014-02-18 30.16 30.16 30.16 30.16 0 29.363
2014-02-19 29.885 29.885 29.885 29.885 0 29.095
2014-02-20 29.033 29.033 29.033 29.033 0 28.265
2014-02-21 29.012 29.012 29.012 29.012 0 28.245
2014-02-24 29.468 29.468 29.468 29.468 0 28.689
2014-02-25 29.215 29.215 29.215 29.215 0 28.443
2014-02-26 29.817 29.817 29.817 29.817 0 29.029
2014-02-27 31.12 31.12 31.12 31.12 0 30.297
2014-02-28 32.135 32.135 32.135 32.135 0 31.285
2014-03-03 32.084 32.084 32.084 32.084 0 31.236
2014-03-04 32.109 32.109 32.109 32.109 0 31.427
2014-03-05 32.343 32.343 32.343 32.343 0 31.656
2014-03-06 32.025 32.025 32.025 32.025 0 31.344
2014-03-07 31.971 31.971 31.971 31.971 0 31.292
2014-03-10 31.373 31.373 31.373 31.373 0 30.706
2014-03-11 31.608 31.608 31.608 31.608 0 30.936
2014-03-12 30.989 30.989 30.989 30.989 0 30.33
2014-03-13 30.735 30.735 30.735 30.735 0 30.082
2014-03-14 30.464 30.464 30.464 30.464 0 29.817
2014-03-17 30.383 30.383 30.383 30.383 0 29.737
2014-03-18 30.469 30.469 30.469 30.469 0 29.822
2014-03-19 31.244 31.244 31.244 31.244 0 30.58
2014-03-20 30.925 30.925 30.925 30.925 0 30.268
2014-03-21 31.771 31.771 31.771 31.771 0 31.096
2014-03-24 31.89 31.89 31.89 31.89 0 31.212
2014-03-25 31.27 31.27 31.27 31.27 0 30.606
2014-03-26 31.425 31.425 31.425 31.425 0 30.757
2014-03-27 30.594 30.594 30.594 30.594 0 29.944
2014-03-28 30.664 30.664 30.664 30.664 0 30.012
2014-03-31 30.73 30.73 30.73 30.73 0 30.077
2014-04-01 31.252 31.252 31.252 31.252 0 30.588
2014-04-02 32.374 32.374 32.374 32.374 0 31.686
2014-04-03 31.539 31.539 31.539 31.539 0 30.869
2014-04-04 31.325 31.325 31.325 31.325 0 30.659
2014-04-07 29.901 29.901 29.901 29.901 0 29.266
2014-04-08 30.138 30.138 30.138 30.138 0 29.498
2014-04-09 30.34 30.34 30.34 30.34 0 29.695
2014-04-10 31.114 31.114 31.114 31.114 0 30.453
2014-04-11 30.234 30.234 30.234 30.234 0 29.592
2014-04-14 30.167 30.167 30.167 30.167 0 29.526
2014-04-15 30.684 30.684 30.684 30.684 0 30.032
2014-04-16 31.172 31.172 31.172 31.172 0 30.51
2014-04-17 32.077 32.077 32.077 32.077 0 31.395
2014-04-18 32.077 32.077 32.077 32.077 0 31.395
2014-04-21 32.077 32.077 32.077 32.077 0 31.395
2014-04-22 32.357 32.357 32.357 32.357 0 31.669
2014-04-23 33.133 33.133 33.133 33.133 0 32.429
2014-04-24 31.395 31.395 31.395 31.395 0 30.728
2014-04-25 30.471 30.471 30.471 30.471 0 29.823
2014-04-28 29.661 29.661 29.661 29.661 0 29.031
2014-04-29 29.768 29.768 29.768 29.768 0 29.135
2014-04-30 29.759 29.759 29.759 29.759 0 29.127
2014-05-01 29.759 29.759 29.759 29.759 0 29.127
2014-05-02 31.82 31.82 31.82 31.82 0 31.144
2014-05-05 32.158 32.158 32.158 32.158 0 31.475
2014-05-06 31.494 31.494 31.494 31.494 0 30.825
2014-05-07 30.69 30.69 30.69 30.69 0 30.038
2014-05-08 30.819 30.819 30.819 30.819 0 30.164
2014-05-09 31.176 31.176 31.176 31.176 0 30.514
2014-05-12 31.412 31.412 31.412 31.412 0 30.744
2014-05-13 32.082 32.082 32.082 32.082 0 31.4
2014-05-14 31.672 31.672 31.672 31.672 0 30.999
2014-05-15 30.822 30.822 30.822 30.822 0 30.167
2014-05-16 30.007 30.007 30.007 30.007 0 29.369
2014-05-19 29.933 29.933 29.933 29.933 0 29.464
