"Index" "MJC.Open" "MJC.High" "MJC.Low" "MJC.Close" "MJC.Volume" "MJC.Adjusted"
2013-05-13 2.4 2.4 2.4 2.4 0 1.97354
2013-05-14 2.42 2.42 2.4 2.4 87700 1.97354
2013-05-15 2.38 2.4 2.38 2.4 68100 1.97354
2013-05-16 2.38 2.55 2.37 2.45 225200 2.01465
2013-05-17 2.4 2.4 2.4 2.4 161700 1.97354
2013-05-20 2.4 2.4 2.36 2.4 231000 1.97354
2013-05-21 2.4 2.4 2.4 2.4 173200 1.97354
2013-05-22 2.4 2.42 2.4 2.4 153600 1.97354
2013-05-23 2.4 2.4 2.36 2.4 693000 1.97354
2013-05-24 2.36 2.4 2.3 2.39 957400 1.96531
2013-05-27 2.5 2.5 2.35 2.35 70400 1.93242
2013-05-28 2.29 2.29 2.26 2.26 51900 1.85841
2013-05-29 2.25 2.27 2.25 2.27 4600 1.86664
2013-05-30 2.26 2.3 2 2.3 287500 1.89131
2013-05-31 2.37 2.37 2.24 2.25 412300 1.85019
2013-06-03 2.25 2.3 2.1 2.12 1182700 1.74329
2013-06-04 2.2 2.2 2.15 2.2 368400 1.80907
2013-06-05 2.2 2.2 2 2 285200 1.64461
2013-06-06 2.05 2.3 2 2.29 224000 1.88308
2013-06-07 2.28 2.28 2.27 2.27 21900 1.86664
2013-06-10 2.27 2.3 2.25 2.3 237900 1.89131
2013-06-11 2.34 2.34 2.3 2.3 631700 1.89131
2013-06-12 2.3 2.3 2.3 2.3 0 1.89131
2013-06-13 2.3 2.3 2.3 2.3 0 1.94002
2013-06-14 2.02 2.02 2.01 2.01 23100 1.69541
2013-06-17 2.1 2.1 2.1 2.1 34600 1.77132
2013-06-18 2.2 2.2 2.1 2.1 25400 1.77132
2013-06-19 2.2 2.2 2.2 2.2 84300 1.85567
2013-06-20 2.25 2.25 2.1 2.2 99300 1.85567
2013-06-21 2.2 2.25 2.2 2.25 118900 1.89784
2013-06-24 2.1 2.1 2.1 2.1 20700 1.77132
2013-06-25 2.1 2.2 2.1 2.2 35800 1.85567
2013-06-26 2.27 2.38 2.27 2.38 25400 2.0075
2013-06-27 2.27 2.27 2.27 2.27 15000 1.91472
2013-06-28 2.01 2.11 1.91 1.97 518500 1.66167
2013-07-01 2.13 2.15 2.1 2.15 185900 1.81349
2013-07-02 2.2 2.21 2.16 2.2 446900 1.85567
2013-07-03 2.2 2.2 2.2 2.2 0 1.85567
2013-07-04 2.15 2.2 2.13 2.2 561300 1.85567
2013-07-05 2.2 2.27 2.2 2.2 251700 1.85567
2013-07-08 2.2 2.2 2.16 2.16 26500 1.82193
2013-07-09 2.16 2.16 2.16 2.16 0 1.82193
2013-07-10 2.16 2.16 2.16 2.16 246000 1.82193
2013-07-11 2.28 2.37 2.28 2.37 282900 1.99906
