"Index" "UA.Open" "UA.High" "UA.Low" "UA.Close" "UA.Volume" "UA.Adjusted"
2013-08-30 73.480003 73.629997 72.43 72.639999 1170200 36.32
2013-09-03 73.540001 74.550003 73.339996 74.129997 2309000 37.064999
2013-09-04 74.330002 75 73.849998 74.790001 1388800 37.395
2013-09-05 74.93 77.339996 74.730003 76.889999 2638000 38.445
2013-09-06 78.059998 78.059998 76.089996 77.199997 2949800 38.599998
2013-09-09 77.720001 79.620003 77.720001 79.309998 3159800 39.654999
2013-09-10 79.480003 80.449997 79.07 80.059998 2708600 40.029999
2013-09-11 79.879997 81.639999 79.779999 81.169998 3541600 40.584999
2013-09-12 80.589996 80.970001 79.900002 80.589996 2549800 40.294998
2013-09-13 79 79.370003 78.269997 78.5 5308800 39.25
2013-09-16 78.239998 78.379997 74.760002 75.440002 8002800 37.720001
2013-09-17 76.089996 76.879997 75.910004 76.82 3334600 38.41
2013-09-18 76.940002 78.190002 76.809998 77.959999 2516800 38.98
2013-09-19 78.309998 78.82 77.169998 77.639999 2123000 38.82
2013-09-20 77.940002 78.25 77.209999 77.879997 4568600 38.939999
2013-09-23 77.889999 78.07 75.620003 77.18 1929000 38.59
2013-09-24 77.480003 78.199997 76.940002 77.589996 1347000 38.794998
2013-09-25 77.769997 78.480003 77.410004 77.809998 1321800 38.904999
2013-09-26 77.830002 79.370003 77.830002 79.110001 2034200 39.555
2013-09-27 80.68 81.150002 79.889999 79.989998 2963000 39.994999
2013-09-30 79.080002 79.949997 78.669998 79.449997 1824000 39.724998
2013-10-01 80.389999 82.790001 80.269997 82.690002 3683000 41.345001
2013-10-02 82.220001 82.68 82.019997 82.400002 2714800 41.200001
2013-10-03 82.610001 83.400002 79.669998 80.879997 3048000 40.439999
2013-10-04 80.699997 81.330002 80.459999 81.110001 1843000 40.555
2013-10-07 80.449997 80.669998 79.360001 79.389999 2034400 39.695
2013-10-08 79.410004 79.769997 75.720001 76.349998 3857200 38.174999
