"Index" "FO.Open" "FO.High" "FO.Low" "FO.Close" "FO.Volume" "FO.Adjusted"
2014-02-12 102.21001 102.21001 99.99996 99.99996 305900 81.03713
2014-02-13 99.99996 99.99996 99.99996 99.99996 105100 81.03713
2014-02-14 99.99996 99.99996 95.00005 95.00005 408200 76.98534
2014-02-17 95.00005 95.00005 93.03997 93.03997 327900 75.39695
2014-02-18 93.03997 93.99996 93.03997 93.03997 92500 75.39695
2014-02-19 93.03997 93.03997 93.03997 93.03997 310200 75.39695
2014-02-20 93.03997 93.03997 93.03997 93.03997 14100 75.39695
2014-02-21 93.03997 93.03997 93.03997 93.03997 8000 75.39695
2014-02-24 93.03997 93.03997 88.38997 93.03997 173100 75.39695
2014-02-25 93.03997 93.03997 93.03997 93.03997 297200 75.39695
2014-02-26 93.03997 93.03997 88.40005 88.40005 937600 71.63689
2014-02-27 88.40005 88.40005 83.97996 88.40005 209400 71.63689
2014-02-28 88.40005 88.40005 88.40005 88.40005 0 71.63689
2014-03-03 88.40005 88.40005 88.40005 88.40005 0 71.63689
2014-03-04 88.40005 88.40005 88.40005 88.40005 0 71.63689
2014-03-05 88.40005 88.40005 88.40005 88.40005 0 71.63689
2014-03-06 88.40005 88.40005 88.40005 88.40005 0 71.63689
2014-03-07 88.40005 88.40005 88.40005 88.40005 0 71.63689
2014-03-11 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-13 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-14 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-17 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-18 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-20 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-21 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-24 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-25 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-26 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-27 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-28 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-03-31 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-01 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-02 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-03 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-04 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-07 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-09 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-10 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-11 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-14 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-15 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-16 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-17 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-18 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-21 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-22 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-23 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-24 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-25 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-28 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-29 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-04-30 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-01 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-02 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-05 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-06 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-07 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-08 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-09 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-12 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-13 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-14 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-15 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-16 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-19 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-20 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-21 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-22 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-23 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-26 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-27 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-28 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-29 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-05-30 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-02 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-03 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-04 88.40005 88.40005 88.40005 88.40005 0 72.6388
