"Index" "USD.ILS"
2014-05-05 3.4575
2014-05-06 3.4523
2014-05-07 3.4482
2014-05-08 3.4456
2014-05-09 3.4526
2014-05-10 3.4567
2014-05-11 3.4575
2014-05-12 3.4571
2014-05-13 3.4558
2014-05-14 3.4557
2014-05-15 3.4555
2014-05-16 3.4603
2014-05-17 3.4596
2014-05-18 3.4596
2014-05-19 3.4569
2014-05-20 3.4643
2014-05-21 3.4919
2014-05-22 3.4874
2014-05-23 3.4846
2014-05-24 3.4854
2014-05-25 3.4858
2014-05-26 3.4838
2014-05-27 3.4791
2014-05-28 3.4829
2014-05-29 3.4775
2014-05-30 3.4739
2014-05-31 3.4713
2014-06-01 3.471
2014-06-02 3.4738
2014-06-03 3.4752
2014-06-04 3.4794
2014-06-05 3.476
2014-06-06 3.4641
2014-06-07 3.4593
2014-06-08 3.4592
2014-06-09 3.462
2014-06-10 3.4615
2014-06-11 3.4631
2014-06-12 3.4595
2014-06-13 3.4556
2014-06-14 3.456
2014-06-15 3.4559
2014-06-16 3.4567
2014-06-17 3.4554
2014-06-18 3.4575
2014-06-19 3.4477
2014-06-20 3.4446
2014-06-21 3.4496
2014-06-22 3.4498
2014-06-23 3.4475
2014-06-24 3.4381
2014-06-25 3.4366
2014-06-26 3.4278
2014-06-27 3.4267
2014-06-28 3.4277
2014-06-29 3.4278
2014-06-30 3.4314
2014-07-01 3.429
2014-07-02 3.4254
2014-07-03 3.4229
2014-07-04 3.4158
2014-07-05 3.4175
2014-07-06 3.4175
2014-07-07 3.4205
2014-07-08 3.4291
2014-07-09 3.4333
2014-07-10 3.4278
2014-07-11 3.4283
2014-07-12 3.4275
2014-07-13 3.4275
2014-07-14 3.4246
2014-07-15 3.4112
2014-07-16 3.4112
2014-07-17 3.4148
2014-07-18 3.4361
2014-07-19 3.4267
2014-07-20 3.4296
2014-07-21 3.4241
2014-07-22 3.4183
2014-07-23 3.4152
2014-07-24 3.4115
2014-07-25 3.4204
2014-07-26 3.4216
2014-07-27 3.425
2014-07-28 3.4251
2014-07-29 3.4293
2014-07-30 3.4304
2014-07-31 3.4279
2014-08-01 3.423
2014-08-02 3.423
2014-08-03 3.4184
2014-08-04 3.4182
2014-08-05 3.4152
2014-08-06 3.4281
2014-08-07 3.4529
2014-08-08 3.4728
2014-08-09 3.4686
2014-08-10 3.4701
2014-08-11 3.4678
2014-08-12 3.4782
2014-08-13 3.4882
2014-08-14 3.4771
2014-08-15 3.4783
2014-08-16 3.4783
2014-08-17 3.4907
2014-08-18 3.4997
2014-08-19 3.5233
2014-08-20 3.5348
2014-08-21 3.5361
2014-08-22 3.5261
2014-08-23 3.54
2014-08-24 3.5367
2014-08-25 3.549
2014-08-26 3.5721
2014-08-27 3.5682
2014-08-28 3.5645
2014-08-29 3.5701
2014-08-30 3.5745
2014-08-31 3.5745
2014-09-01 3.5747
2014-09-02 3.5749
2014-09-03 3.577
2014-09-04 3.585
2014-09-05 3.6037
2014-09-06 3.6022
2014-09-07 3.6022
2014-09-08 3.6031
2014-09-09 3.6148
2014-09-10 3.6221
2014-09-11 3.6223
2014-09-12 3.6311
2014-09-13 3.6323
2014-09-14 3.6323
2014-09-15 3.6265
2014-09-16 3.6367
2014-09-17 3.6444
2014-09-18 3.6507
2014-09-19 3.647
2014-09-20 3.6568
2014-09-21 3.6568
2014-09-22 3.6585
2014-09-23 3.6624
2014-09-24 3.6671
2014-09-25 3.6732
2014-09-26 3.6751
2014-09-27 3.6732
2014-09-28 3.6732
2014-09-29 3.6833
2014-09-30 3.6856
2014-10-01 3.673
2014-10-02 3.6598
2014-10-03 3.6715
2014-10-04 3.693
2014-10-05 3.693
2014-10-06 3.6842
2014-10-07 3.6916
2014-10-08 3.7189
2014-10-09 3.7017
2014-10-10 3.7177
2014-10-11 3.7271
2014-10-12 3.7271
2014-10-13 3.7332
2014-10-14 3.7351
2014-10-15 3.7223
2014-10-16 3.6977
2014-10-17 3.7114
2014-10-18 3.7286
2014-10-19 3.7286
2014-10-20 3.733
2014-10-21 3.7362
2014-10-22 3.7453
2014-10-23 3.7632
2014-10-24 3.7794
2014-10-25 3.7798
2014-10-26 3.7866
2014-10-27 3.7798
2014-10-28 3.7584
2014-10-29 3.7492
2014-10-30 3.766
2014-10-31 3.7941
2014-11-01 3.796
2014-11-02 3.7931
2014-11-03 3.7981
2014-11-04 3.795
2014-11-05 3.795
2014-11-06 3.7989
2014-11-07 3.8094
2014-11-08 3.8063
2014-11-09 3.8063
2014-11-10 3.8
2014-11-11 3.8119
2014-11-12 3.8114
2014-11-13 3.8109
2014-11-14 3.8152
2014-11-15 3.8162
2014-11-16 3.8162
2014-11-17 3.8221
2014-11-18 3.836
2014-11-19 3.8421
2014-11-20 3.8424
2014-11-21 3.8454
2014-11-22 3.8454
2014-11-23 3.856
2014-11-24 3.8594
2014-11-25 3.861
2014-11-26 3.8675
2014-11-27 3.8819
2014-11-28 3.8926
2014-11-29 3.8926
2014-11-30 3.8912
2014-12-01 3.9093
2014-12-02 3.9511
2014-12-03 3.984
2014-12-04 3.974
2014-12-05 3.9639
2014-12-06 3.9835
2014-12-07 3.9819
2014-12-08 3.981
2014-12-09 3.9474
2014-12-10 3.9365
2014-12-11 3.9253
2014-12-12 3.9118
2014-12-13 3.9118
2014-12-14 3.9107
2014-12-15 3.9208
2014-12-16 3.9181
2014-12-17 3.9144
2014-12-18 3.9375
2014-12-19 3.9315
2014-12-20 3.9315
2014-12-21 3.9284
2014-12-22 3.9178
2014-12-23 3.9163
2014-12-24 3.926
2014-12-25 3.9253
2014-12-26 3.917
2014-12-27 3.917
2014-12-28 3.919
2014-12-29 3.918
2014-12-30 3.9063
2014-12-31 3.8954
2015-01-01 3.8941
2015-01-02 3.9161
2015-01-03 3.9161
2015-01-04 3.9445
2015-01-05 3.9493
2015-01-06 3.9548
2015-01-07 3.965
2015-01-08 3.9673
2015-01-09 3.9524
2015-01-10 3.9524
2015-01-11 3.9543
2015-01-12 3.9424
2015-01-13 3.9354
2015-01-14 3.9354
2015-01-15 3.9259
2015-01-16 3.9245
2015-01-17 3.9371
2015-01-18 3.9371
2015-01-19 3.9329
2015-01-20 3.926
2015-01-21 3.937
2015-01-22 3.9424
2015-01-23 3.9778
2015-01-24 4.0083
2015-01-25 4.0187
2015-01-26 4.0025
2015-01-27 3.9736
2015-01-28 3.9434
2015-01-29 3.9352
2015-01-30 3.9317
2015-01-31 3.9313
2015-02-01 3.9313
2015-02-02 3.9347
2015-02-03 3.9169
2015-02-04 3.8953
2015-02-05 3.8833
2015-02-06 3.8716
2015-02-07 3.8845
2015-02-08 3.8931
2015-02-09 3.8848
2015-02-10 3.8787
2015-02-11 3.8718
2015-02-12 3.8866
2015-02-13 3.8851
2015-02-14 3.8596
2015-02-15 3.8596
2015-02-16 3.8844
2015-02-17 3.8688
2015-02-18 3.8566
2015-02-19 3.8466
2015-02-20 3.8542
2015-02-21 3.8542
2015-02-22 3.8552
2015-02-23 3.8748
2015-02-24 3.9355
2015-02-25 3.9473
2015-02-26 3.9459
2015-02-27 3.9726
2015-02-28 3.9849
2015-03-01 3.9849
2015-03-02 3.9916
2015-03-03 3.9897
2015-03-04 3.9835
2015-03-05 3.9943
2015-03-06 4.0065
2015-03-07 4.0181
2015-03-08 4.0181
2015-03-09 4.0168
2015-03-10 4.0214
2015-03-11 4.043
2015-03-12 4.0258
2015-03-13 4.0191
2015-03-14 4.0435
2015-03-15 4.0435
2015-03-16 4.0267
2015-03-17 4.0105
2015-03-18 4.0126
2015-03-19 4.0034
2015-03-20 4.0473
2015-03-21 4.0465
2015-03-22 4.0355
2015-03-23 4.0101
2015-03-24 3.9386
2015-03-25 3.9351
2015-03-26 3.9495
2015-03-27 3.9672
2015-03-28 3.9663
2015-03-29 3.9663
2015-03-30 3.9656
2015-03-31 3.9716
2015-04-01 3.9723
2015-04-02 3.951
2015-04-03 3.9319
2015-04-04 3.9319
2015-04-05 3.9187
2015-04-06 3.9245
2015-04-07 3.9294
2015-04-08 3.9363
2015-04-09 3.9426
2015-04-10 3.9745
2015-04-11 3.9865
2015-04-12 3.9858
2015-04-13 3.9933
2015-04-14 3.9803
2015-04-15 3.9711
2015-04-16 3.9488
2015-04-17 3.9206
2015-04-18 3.9206
2015-04-19 3.9151
2015-04-20 3.9287
2015-04-21 3.9457
2015-04-22 3.9434
2015-04-23 3.9407
2015-04-24 3.9197
2015-04-25 3.9197
2015-04-26 3.9143
2015-04-27 3.9108
2015-04-28 3.8841
2015-04-29 3.8617
2015-04-30 3.8621
2015-05-01 3.8696
2015-05-02 3.8851
2015-05-03 3.8851
2015-05-04 3.8822
2015-05-05 3.8807
2015-05-06 3.8664
2015-05-07 3.8569
2015-05-08 3.8691
2015-05-09 3.8691
2015-05-10 3.8664
2015-05-11 3.8674
2015-05-12 3.8586
2015-05-13 3.8484
2015-05-14 3.8286
2015-05-15 3.8196
2015-05-16 3.81
2015-05-17 3.8188
2015-05-18 3.823
2015-05-19 3.8544
2015-05-20 3.8739
2015-05-21 3.8686
2015-05-22 3.8751
2015-05-23 3.894
2015-05-24 3.8922
2015-05-25 3.8861
2015-05-26 3.8781
2015-05-27 3.8784
2015-05-28 3.8716
2015-05-29 3.8697
2015-05-30 3.8763
2015-05-31 3.8652
2015-06-01 3.8698
2015-06-02 3.8615
2015-06-03 3.849
2015-06-04 3.8354
2015-06-05 3.849
2015-06-06 3.865
2015-06-07 3.8636
2015-06-08 3.8568
2015-06-09 3.8335
2015-06-10 3.8223
2015-06-11 3.8237
2015-06-12 3.8357
2015-06-13 3.8437
2015-06-14 3.8463
2015-06-15 3.8414
2015-06-16 3.8355
2015-06-17 3.8348
2015-06-18 3.8163
2015-06-19 3.829
2015-06-20 3.8275
2015-06-21 3.8288
2015-06-22 3.8139
2015-06-23 3.7758
2015-06-24 3.7587
2015-06-25 3.7636
2015-06-26 3.7869
2015-06-27 3.7921
2015-06-28 3.7921
2015-06-29 3.8008
2015-06-30 3.7732
2015-07-01 3.7797
2015-07-02 3.7812
2015-07-03 3.7698
2015-07-04 3.7612
2015-07-05 3.7612
2015-07-06 3.7781
2015-07-07 3.7795
2015-07-08 3.7918
2015-07-09 3.7889
2015-07-10 3.7751
2015-07-11 3.7713
2015-07-12 3.7743
2015-07-13 3.774
2015-07-14 3.7732
2015-07-15 3.7712
2015-07-16 3.7861
2015-07-17 3.8019
2015-07-18 3.8088
2015-07-19 3.8136
2015-07-20 3.8218
2015-07-21 3.8158
2015-07-22 3.8069
2015-07-23 3.8189
2015-07-24 3.8243
2015-07-25 3.8284
2015-07-26 3.8284
2015-07-27 3.8014
2015-07-28 3.7748
2015-07-29 3.7796
2015-07-30 3.7833
2015-07-31 3.7782
2015-08-01 3.7775
2015-08-02 3.7775
2015-08-03 3.774
2015-08-04 3.7851
2015-08-05 3.8081
2015-08-06 3.8102
2015-08-07 3.8043
2015-08-08 3.8054
2015-08-09 3.8054
2015-08-10 3.8088
2015-08-11 3.8088
2015-08-12 3.8122
2015-08-13 3.8031
2015-08-14 3.7854
2015-08-15 3.7779
2015-08-16 3.7779
2015-08-17 3.8036
2015-08-18 3.8391
2015-08-19 3.8629
2015-08-20 3.8757
2015-08-21 3.8714
2015-08-22 3.924
2015-08-23 3.924
2015-08-24 3.8675
2015-08-25 3.8525
2015-08-26 3.8957
2015-08-27 3.9222
2015-08-28 3.9214
2015-08-29 3.9306
2015-08-30 3.9306
2015-08-31 3.9322
2015-09-01 3.9266
2015-09-02 3.929
2015-09-03 3.934
2015-09-04 3.9248
2015-09-05 3.9208
2015-09-06 3.9201
2015-09-07 3.9298
2015-09-08 3.92
2015-09-09 3.8912
2015-09-10 3.894
2015-09-11 3.8757
2015-09-12 3.864
