"Index" "NYF.Open" "NYF.High" "NYF.Low" "NYF.Close" "NYF.Volume" "NYF.Adjusted"
2014-02-06 106.75 106.809998 106.519997 106.720001 1900 101.715122
2014-02-07 106.75 106.940002 106.699997 106.800003 3100 101.791372
2014-02-10 106.650002 106.910004 106.650002 106.900002 6600 101.886681
2014-02-11 106.839996 107.010002 106.620003 106.809998 11700 101.800898
2014-02-12 106.839996 106.860001 106.550003 106.860001 19700 101.848556
2014-02-13 106.900002 106.900002 106.709999 106.839996 2600 101.82949
2014-02-14 106.769997 106.839996 106.68 106.769997 5400 101.762773
2014-02-18 106.769997 106.889999 106.769997 106.889999 3200 101.877148
2014-02-19 106.879997 107.059998 106.769997 106.93 7300 101.915273
2014-02-20 106.900002 106.959999 106.900002 106.959999 3900 101.943865
2014-02-21 106.910004 107.029999 106.910004 107.029999 2400 102.010582
2014-02-24 107.209999 107.290001 106.959999 107.239998 4800 102.210732
2014-02-25 107.480003 107.480003 107.25 107.400002 4700 102.363232
2014-02-26 107.580002 107.720001 107.389999 107.720001 2600 102.668225
2014-02-27 107.739998 107.870003 107.669998 107.800003 3300 102.744475
2014-02-28 107.769997 107.980003 107.769997 107.980003 2400 102.916034
2014-03-03 108.040001 108.040001 107.82 107.82 15700 103.034529
2014-03-04 107.839996 107.839996 107.639999 107.639999 3400 102.862518
2014-03-05 107.690002 107.839996 107.690002 107.839996 600 103.053639
2014-03-06 107.580002 108 107.410004 107.419998 9300 102.652281
2014-03-07 107.260002 107.449997 106.989998 107.190002 3500 102.432494
2014-03-10 107.459999 107.459999 107.239998 107.400002 4800 102.633172
2014-03-11 107.300003 107.550003 107.260002 107.510002 4200 102.738291
2014-03-12 107.620003 107.760002 107.510002 107.739998 7600 102.958078
2014-03-13 107.699997 108.059998 107.599998 108.050003 8400 103.254324
2014-03-14 108.110001 108.209999 107.910004 107.910004 6500 103.120539
2014-03-17 108.110001 108.239998 108.07 108.199997 4200 103.397661
2014-03-18 107.900002 108.129997 107.900002 108 6000 103.206541
2014-03-19 107.980003 107.989998 107.589996 107.620003 8400 102.843409
2014-03-20 107.660004 108.040001 107.660004 107.980003 2700 103.187431
2014-03-21 107.870003 107.949997 107.760002 107.760002 7100 102.977195
2014-03-24 107.830002 107.970001 107.68 107.699997 5500 102.919853
2014-03-25 107.800003 107.860001 107.720001 107.75 2400 102.967637
2014-03-26 107.75 108.120003 107.75 108.120003 3600 103.321217
2014-03-27 107.989998 108.209999 107.910004 108.110001 21900 103.311659
2014-03-28 108.379997 108.419998 108.120003 108.220001 8500 103.416777
2014-03-31 108.040001 108.139999 108.029999 108.029999 2100 103.235208
2014-04-01 108.269997 108.459999 108.010002 108.279999 11400 103.734337
2014-04-02 108 108.089996 107.720001 107.75 15800 103.226588
2014-04-03 108.110001 108.110001 107.75 107.870003 2500 103.341553
2014-04-04 108 108.269997 107.900002 108.220001 3600 103.676858
2014-04-07 108.300003 108.389999 108.019997 108.300003 3500 103.753501
2014-04-08 108.540001 108.540001 108.139999 108.309998 11300 103.763076
2014-04-09 108.209999 108.580002 108.110001 108.230003 5100 103.68644
2014-04-10 108.629997 108.779999 108.419998 108.599998 1300 104.040903
2014-04-11 108.760002 108.860001 108.690002 108.730003 7500 104.16545
2014-04-14 109 109 108.690002 108.730003 5400 104.16545
2014-04-15 108.870003 108.879997 108.779999 108.839996 1400 104.270825
2014-04-16 108.879997 108.879997 108.800003 108.849998 8500 104.280408
2014-04-17 108.849998 108.870003 108.580002 108.82 6300 104.251668
2014-04-21 108.860001 109 108.830002 108.949997 10200 104.376208
2014-04-22 109.010002 109.029999 108.769997 109.029999 6300 104.452851
2014-04-23 108.900002 109.160004 108.790001 109.129997 11800 104.548652
2014-04-24 109.040001 109.040001 108.699997 108.699997 8500 104.136703
2014-04-25 109.18 109.18 108.779999 108.779999 1100 104.213347
2014-04-28 109.019997 109.019997 108.739998 108.900002 7100 104.328311
2014-04-29 108.980003 108.980003 108.940002 108.970001 1400 104.395373
2014-04-30 109.139999 109.139999 108.940002 108.959999 7300 104.38579
2014-05-01 108.760002 108.93 108.760002 108.769997 3100 104.461659
2014-05-02 108.900002 109.309998 108.699997 109.040001 3900 104.720969
2014-05-05 108.720001 108.839996 108.660004 108.699997 5800 104.394432
2014-05-06 108.879997 109.029999 108.860001 109.029999 2700 104.711363
2014-05-07 108.949997 109.099998 108.949997 108.959999 3000 104.644136
2014-05-08 109 109.290001 109 109.260002 5300 104.932256
2014-05-09 109.089996 109.25 109.07 109.209999 3600 104.884233
2014-05-12 109.110001 109.220001 109.110001 109.18 3900 104.855423
2014-05-13 109.269997 109.379997 109.230003 109.339996 2700 105.009082
2014-05-14 109.449997 109.690002 109.449997 109.589996 13700 105.249179
