"Index" "USD.DKK"
2014-09-13 5.7411
2014-09-14 5.7479
2014-09-15 5.7505
2014-09-16 5.7495
2014-09-17 5.7502
2014-09-18 5.7793
2014-09-19 5.7804
2014-09-20 5.8014
2014-09-21 5.8015
2014-09-22 5.795
2014-09-23 5.7877
2014-09-24 5.8027
2014-09-25 5.838
2014-09-26 5.848
2014-09-27 5.8682
2014-09-28 5.8681
2014-09-29 5.8672
2014-09-30 5.8832
2014-10-01 5.9016
2014-10-02 5.887
2014-10-03 5.9075
2014-10-04 5.9492
2014-10-05 5.9494
2014-10-06 5.9311
2014-10-07 5.8925
2014-10-08 5.8773
2014-10-09 5.8472
2014-10-10 5.8774
2014-10-11 5.8948
2014-10-12 5.8947
2014-10-13 5.873
2014-10-14 5.8672
2014-10-15 5.8626
2014-10-16 5.8231
2014-10-17 5.8206
2014-10-18 5.8366
2014-10-19 5.8368
2014-10-20 5.8319
2014-10-21 5.8289
2014-10-22 5.8663
2014-10-23 5.8871
2014-10-24 5.8814
2014-10-25 5.8757
2014-10-26 5.8729
2014-10-27 5.8647
2014-10-28 5.8541
2014-10-29 5.8492
2014-10-30 5.8942
2014-10-31 5.9405
2014-11-01 5.9429
2014-11-02 5.9521
2014-11-03 5.9596
2014-11-04 5.9445
2014-11-05 5.9474
2014-11-06 5.9675
2014-11-07 5.9976
2014-11-08 5.972
2014-11-09 5.9714
2014-11-10 5.9686
2014-11-11 5.9833
2014-11-12 5.9713
2014-11-13 5.9741
2014-11-14 5.9696
2014-11-15 5.9427
2014-11-16 5.9425
2014-11-17 5.9534
2014-11-18 5.9556
2014-11-19 5.9388
2014-11-20 5.9359
2014-11-21 5.966
2014-11-22 6.0047
2014-11-23 6.0171
2014-11-24 5.9969
2014-11-25 5.9794
2014-11-26 5.9612
2014-11-27 5.9612
2014-11-28 5.9612
2014-11-29 5.9612
2014-11-30 5.9777
2014-12-01 5.9709
2014-12-02 5.9843
2014-12-03 6.0265
2014-12-04 6.0302
2014-12-05 6.0268
2014-12-06 6.0556
2014-12-07 6.0571
2014-12-08 6.0547
2014-12-09 6.0235
2014-12-10 6.0011
2014-12-11 5.984
2014-12-12 5.9843
2014-12-13 5.9734
2014-12-14 5.9606
2014-12-15 5.978
2014-12-16 5.9603
2014-12-17 5.974
2014-12-18 6.0432
2014-12-19 6.0641
2014-12-20 6.0841
2014-12-21 6.0841
2014-12-22 6.0747
2014-12-23 6.0937
2014-12-24 6.1035
2014-12-25 6.0875
2014-12-26 6.1002
2014-12-27 6.0999
2014-12-28 6.1059
2014-12-29 6.1074
2014-12-30 6.1244
2014-12-31 6.1339
2015-01-01 6.1551
2015-01-02 6.1813
2015-01-03 6.203
2015-01-04 6.2049
2015-01-05 6.2338
2015-01-06 6.2391
2015-01-07 6.2779
2015-01-08 6.3023
2015-01-09 6.2982
2015-01-10 6.2861
2015-01-11 6.2779
2015-01-12 6.2848
2015-01-13 6.2958
2015-01-14 6.2958
2015-01-15 6.4022
2015-01-16 6.4098
2015-01-17 6.4233
2015-01-18 6.4238
2015-01-19 6.4136
2015-01-20 6.4198
2015-01-21 6.422
2015-01-22 6.4479
2015-01-23 6.5944
2015-01-24 6.6432
2015-01-25 6.6713
2015-01-26 6.6357
2015-01-27 6.5912
2015-01-28 6.562
2015-01-29 6.5883
2015-01-30 6.5753
2015-01-31 6.5849
2015-02-01 6.5843
2015-02-02 6.5737
2015-02-03 6.5388
2015-02-04 6.5045
2015-02-05 6.5322
2015-02-06 6.5211
2015-02-07 6.5738
2015-02-08 6.5748
2015-02-09 6.572
2015-02-10 6.5768
2015-02-11 6.5809
2015-02-12 6.5603
2015-02-13 6.5247
2015-02-14 6.5299
2015-02-15 6.5292
2015-02-16 6.5319
2015-02-17 6.5417
2015-02-18 6.5375
2015-02-19 6.5324
2015-02-20 6.5626
2015-02-21 6.5592
2015-02-22 6.5462
2015-02-23 6.5747
2015-02-24 6.5828
2015-02-25 6.5747
2015-02-26 6.6036
2015-02-27 6.6583
2015-02-28 6.6679
2015-03-01 6.6684
2015-03-02 6.6651
2015-03-03 6.662
2015-03-04 6.6963
2015-03-05 6.7464
2015-03-06 6.8019
2015-03-07 6.8644
2015-03-08 6.8648
2015-03-09 6.8631
2015-03-10 6.9083
2015-03-11 6.9083
2015-03-12 6.9083
2015-03-13 6.9083
2015-03-14 7.1086
2015-03-15 7.1086
2015-03-16 7.0788
2015-03-17 7.0474
2015-03-18 7.0132
2015-03-19 6.9472
2015-03-20 6.9492
2015-03-21 6.8898
2015-03-22 6.8879
2015-03-23 6.8646
2015-03-24 6.8189
2015-03-25 6.8187
2015-03-26 6.813
2015-03-27 6.8681
2015-03-28 6.8595
2015-03-29 6.8592
2015-03-30 6.8831
2015-03-31 6.934
2015-04-01 6.9421
2015-04-02 6.9048
2015-04-03 6.8468
2015-04-04 6.8697
2015-04-05 6.8622
2015-04-06 6.8022
2015-04-07 6.8628
2015-04-08 6.8978
2015-04-09 6.9605
2015-04-10 7.0289
2015-04-11 7.0477
2015-04-12 7.0447
2015-04-13 7.0613
2015-04-14 7.0478
2015-04-15 7.0242
2015-04-16 6.9714
2015-04-17 6.9199
2015-04-18 6.904
2015-04-19 6.9032
2015-04-20 6.9287
2015-04-21 6.9597
2015-04-22 6.9473
2015-04-23 6.9423
2015-04-24 6.8836
2015-04-25 6.8617
2015-04-26 6.867
2015-04-27 6.8669
2015-04-28 6.8349
2015-04-29 6.7658
2015-04-30 6.6887
2015-05-01 6.6518
2015-05-02 6.6527
2015-05-03 6.6527
2015-05-04 6.6842
2015-05-05 6.6965
2015-05-06 6.6312
2015-05-07 6.5948
2015-05-08 6.6482
2015-05-09 6.6581
2015-05-10 6.6624
2015-05-11 6.6857
2015-05-12 6.6607
2015-05-13 6.6205
2015-05-14 6.5581
2015-05-15 6.5477
2015-05-16 6.5217
2015-05-17 6.5237
2015-05-18 6.5516
2015-05-19 6.6464
2015-05-20 6.7088
2015-05-21 6.7043
2015-05-22 6.7155
2015-05-23 6.7704
2015-05-24 6.7762
2015-05-25 6.7885
2015-05-26 6.8281
2015-05-27 6.8476
2015-05-28 6.8314
2015-05-29 6.8011
2015-05-30 6.7872
2015-05-31 6.7936
2015-06-01 6.8199
2015-06-02 6.7697
2015-06-03 6.6717
2015-06-04 6.6149
2015-06-05 6.6697
2015-06-06 6.713
2015-06-07 6.7142
2015-06-08 6.6838
2015-06-09 6.6119
2015-06-10 6.6013
2015-06-11 6.618
2015-06-12 6.6372
2015-06-13 6.6206
2015-06-14 6.6456
2015-06-15 6.6402
2015-06-16 6.6238
2015-06-17 6.6204
2015-06-18 6.5581
2015-06-19 6.576
2015-06-20 6.5723
2015-06-21 6.557
2015-06-22 6.5657
2015-06-23 6.6375
2015-06-24 6.6678
2015-06-25 6.6591
2015-06-26 6.6702
2015-06-27 6.6819
2015-06-28 6.6889
2015-06-29 6.7239
2015-06-30 6.6722
2015-07-01 6.7165
2015-07-02 6.7372
2015-07-03 6.7219
2015-07-04 6.726
2015-07-05 6.726
2015-07-06 6.7562
2015-07-07 6.7844
2015-07-08 6.767
2015-07-09 6.7513
2015-07-10 6.7094
2015-07-11 6.6903
2015-07-12 6.7249
2015-07-13 6.7343
2015-07-14 6.7782
2015-07-15 6.7906
2015-07-16 6.839
2015-07-17 6.8613
2015-07-18 6.8895
2015-07-19 6.89
2015-07-20 6.8846
