"Index" "GS.Open" "GS.High" "GS.Low" "GS.Close" "GS.Volume" "GS.Adjusted"
2013-06-06 158.300003 159.789993 156.339996 159.679993 3243900 155.069805
2013-06-07 160.970001 166.169998 160.589996 166.009995 5690300 161.217051
2013-06-10 166.699997 168.199997 165.289993 167.490005 3914200 162.654332
2013-06-11 165.350006 166.399994 163.190002 163.309998 3858100 158.595007
2013-06-12 164.979996 164.979996 161.070007 161.860001 3243300 157.186873
2013-06-13 161.199997 166.389999 161.070007 165.820007 3768500 161.032549
2013-06-14 165.740005 166.110001 162.910004 162.919998 2970600 158.216267
2013-06-17 164.080002 165.669998 162.899994 164.110001 2628300 159.371912
2013-06-18 164.149994 164.869995 163.050003 164.149994 2060700 159.410751
2013-06-19 164.160004 164.929993 161.509995 161.559998 3557100 156.895531
2013-06-20 159.149994 159.990005 154.839996 155.410004 6488600 150.923097
2013-06-21 157 157.259995 152.300003 154.25 5390200 149.796584
2013-06-24 151.990005 152.600006 148.710007 150.779999 4013200 146.426767
2013-06-25 152.449997 154.309998 151.550003 153.059998 3274600 148.640939
2013-06-26 154.479996 154.559998 150.75 151.660004 3580400 147.281364
2013-06-27 153.029999 154.990005 152.610001 153.509995 2654900 149.077943
2013-06-28 152.690002 152.770004 151 151.25 3011300 146.883198
2013-07-01 152.779999 154.100006 151.699997 151.75 2496100 147.368762
2013-07-02 151.160004 153.190002 149.899994 150.919998 3091600 146.562724
2013-07-03 149.619995 151.419998 149.279999 150.429993 1267700 146.086866
2013-07-05 152.300003 153.289993 151.5 153.240005 2243700 148.815749
2013-07-08 154.580002 154.800003 152.880005 153.809998 2699100 149.369285
2013-07-09 154.990005 157.440002 153.169998 156.940002 3127100 152.408922
2013-07-10 156.570007 157.619995 154.669998 155.830002 2430100 151.330969
2013-07-11 158.5 159.740005 156.110001 157.710007 2965700 153.156695
2013-07-12 158.619995 160.279999 158.550003 160.110001 2844600 155.487398
2013-07-15 162.800003 163.389999 161.160004 163 4129900 158.293959
2013-07-16 163.919998 164.300003 159.429993 160.240005 5972700 155.613649
2013-07-17 159.839996 161.990005 159.5 161.5 3715000 156.837266
2013-07-18 161.580002 164.580002 161.5 164.059998 3462700 159.323353
2013-07-19 163.75 164.850006 162.580002 164.360001 3329700 159.614694
2013-07-22 163.949997 166.330002 163.880005 166.25 2741100 161.450127
2013-07-23 166.5 167.410004 165.479996 166.259995 2545400 161.459833
2013-07-24 166.75 166.889999 164.440002 165.039993 2548100 160.275055
2013-07-25 164.279999 166 163.690002 165.910004 2236200 161.119947
2013-07-26 165.050003 165.649994 164.270004 165.259995 2372200 160.488704
2013-07-29 164.630005 164.830002 162.020004 163.169998 2823600 158.459049
2013-07-30 163.490005 164.009995 162.330002 162.429993 2553300 157.740409
2013-07-31 162.529999 165.970001 162.429993 164.029999 3700300 159.29422
2013-08-01 165.740005 167.899994 164.880005 167.490005 3251900 162.654332
2013-08-02 166.830002 167.899994 166.460007 167.619995 1866700 162.780568
2013-08-05 167.279999 169.690002 166.440002 168.320007 2618400 163.46037
2013-08-06 168.070007 168.279999 164.470001 164.779999 3598500 160.022567
2013-08-07 164 164.229996 162.050003 163.449997 2131000 158.730964
2013-08-08 164.75 166.429993 162.830002 162.839996 2818400 158.138575
2013-08-09 162.399994 164.100006 162.020004 162.130005 2012000 157.449082
2013-08-12 161.729996 162.380005 160.550003 161.690002 1982000 157.021783
2013-08-13 161.990005 164.550003 160.949997 163.710007 2309600 158.983467
2013-08-14 163.850006 164.800003 162.929993 163.339996 1667400 158.624139
2013-08-15 161.910004 161.970001 160.070007 160.75 2206900 156.10892
2013-08-16 160.279999 162.289993 160.029999 160.660004 2024300 156.021522
2013-08-19 160.169998 160.789993 158.529999 158.630005 2228400 154.050132
2013-08-20 158.720001 160.029999 157.779999 159.559998 2288700 154.953274
2013-08-21 158.779999 159.229996 156.509995 157.110001 3053800 152.574012
2013-08-22 157.809998 159.660004 157.199997 159.410004 2302700 154.807611
2013-08-23 159.589996 159.789993 158 158.649994 1495800 154.069544
2013-08-26 158.410004 160.699997 157.75 157.899994 1885200 153.341197
2013-08-27 155.720001 156.529999 152.929993 153.229996 3672000 148.806029
2013-08-28 153 154.149994 151.449997 152.970001 2343200 149.039871
2013-08-29 152.369995 154.679993 152.089996 153.630005 2133000 149.682917
2013-08-30 153.770004 153.979996 151.330002 152.130005 2234000 148.221456
2013-09-03 154.479996 156.039993 153.520004 154.759995 2464800 150.783875
2013-09-04 154.759995 157.25 154.350006 155.740005 2194200 151.738708
2013-09-05 155.990005 158.050003 155.570007 156.169998 2443900 152.157653
2013-09-06 156.979996 157.710007 153.419998 156.660004 2464000 152.635069
2013-09-09 157.410004 159.699997 157.160004 159.490005 2150400 155.392362
2013-09-10 162.979996 165.529999 162.559998 165.139999 5265900 160.897195
2013-09-11 164.929993 165.789993 163.779999 165.059998 2233100 160.819249
