"Index" "USD.BRL"
2014-04-21 2.2347
2014-04-22 2.2382
2014-04-23 2.2379
2014-04-24 2.2222
2014-04-25 2.2207
2014-04-26 2.2408
2014-04-27 2.2438
2014-04-28 2.2394
2014-04-29 2.2238
2014-04-30 2.2359
2014-05-01 2.2315
2014-05-02 2.2289
2014-05-03 2.2197
2014-05-04 2.22
2014-05-05 2.2263
2014-05-06 2.2392
2014-05-07 2.2272
2014-05-08 2.2142
2014-05-09 2.217
2014-05-10 2.2125
2014-05-11 2.2125
2014-05-12 2.2146
2014-05-13 2.2137
2014-05-14 2.2132
2014-05-15 2.2089
2014-05-16 2.2163
2014-05-17 2.2153
2014-05-18 2.2154
2014-05-19 2.2128
2014-05-20 2.2092
2014-05-21 2.2086
2014-05-22 2.2102
2014-05-23 2.2173
2014-05-24 2.2233
2014-05-25 2.224
2014-05-26 2.2222
2014-05-27 2.2292
2014-05-28 2.238
2014-05-29 2.2294
2014-05-30 2.2312
2014-05-31 2.2416
2014-06-01 2.2416
2014-06-02 2.2521
2014-06-03 2.2748
2014-06-04 2.2804
2014-06-05 2.275
2014-06-06 2.256
2014-06-07 2.2478
2014-06-08 2.2478
2014-06-09 2.2405
2014-06-10 2.229
2014-06-11 2.2258
2014-06-12 2.2323
2014-06-13 2.2308
2014-06-14 2.2246
2014-06-15 2.2246
2014-06-16 2.2279
2014-06-17 2.2426
2014-06-18 2.2559
2014-06-19 2.2228
2014-06-20 2.2271
2014-06-21 2.2303
2014-06-22 2.2337
2014-06-23 2.2252
2014-06-24 2.2197
2014-06-25 2.2181
2014-06-26 2.2071
2014-06-27 2.1977
2014-06-28 2.1948
2014-06-29 2.2042
2014-06-30 2.1982
2014-07-01 2.2106
2014-07-02 2.2085
2014-07-03 2.2236
2014-07-04 2.2116
2014-07-05 2.2127
2014-07-06 2.2127
2014-07-07 2.2152
2014-07-08 2.221
2014-07-09 2.2123
2014-07-10 2.2159
2014-07-11 2.2217
2014-07-12 2.2224
2014-07-13 2.2225
2014-07-14 2.2188
2014-07-15 2.2141
2014-07-16 2.2198
2014-07-17 2.2309
2014-07-18 2.2584
2014-07-19 2.2273
2014-07-20 2.2273
2014-07-21 2.2252
2014-07-22 2.2182
2014-07-23 2.2154
2014-07-24 2.2191
2014-07-25 2.2217
2014-07-26 2.2271
2014-07-27 2.2271
2014-07-28 2.2286
2014-07-29 2.2249
2014-07-30 2.2364
2014-07-31 2.2542
2014-08-01 2.2621
2014-08-02 2.2573
2014-08-03 2.2573
2014-08-04 2.2569
2014-08-05 2.2657
2014-08-06 2.2797
2014-08-07 2.2779
2014-08-08 2.2954
2014-08-09 2.284
2014-08-10 2.284
2014-08-11 2.2802
2014-08-12 2.2761
2014-08-13 2.2768
2014-08-14 2.2772
2014-08-15 2.2665
2014-08-16 2.2614
2014-08-17 2.2614
2014-08-18 2.2611
2014-08-19 2.257
2014-08-20 2.2505
2014-08-21 2.2613
2014-08-22 2.2729
2014-08-23 2.2779
2014-08-24 2.2779
2014-08-25 2.2813
2014-08-26 2.2804
2014-08-27 2.2601
2014-08-28 2.2472
2014-08-29 2.2396
2014-08-30 2.2493
2014-08-31 2.2375
2014-09-01 2.2376
2014-09-02 2.247
2014-09-03 2.2392
2014-09-04 2.2376
2014-09-05 2.2421
2014-09-06 2.243
2014-09-07 2.243
2014-09-08 2.2491
2014-09-09 2.2732
2014-09-10 2.2887
2014-09-11 2.289
2014-09-12 2.3097
2014-09-13 2.3101
2014-09-14 2.2912
2014-09-15 2.3404
2014-09-16 2.3382
2014-09-17 2.3394
2014-09-18 2.361
2014-09-19 2.3674
2014-09-20 2.3702
2014-09-21 2.37
2014-09-22 2.3817
2014-09-23 2.4005
2014-09-24 2.4078
2014-09-25 2.3956
2014-09-26 2.4263
2014-09-27 2.4311
2014-09-28 2.4395
2014-09-29 2.4337
2014-09-30 2.4487
2014-10-01 2.4513
2014-10-02 2.4838
2014-10-03 2.4906
2014-10-04 2.4599
2014-10-05 2.4599
2014-10-06 2.4565
2014-10-07 2.4188
2014-10-08 2.3974
2014-10-09 2.3821
2014-10-10 2.4037
2014-10-11 2.424
2014-10-12 2.4089
2014-10-13 2.412
2014-10-14 2.3956
2014-10-15 2.414
2014-10-16 2.4616
2014-10-17 2.4598
2014-10-18 2.4357
2014-10-19 2.4357
2014-10-20 2.447
2014-10-21 2.471
2014-10-22 2.4812
2014-10-23 2.4941
2014-10-24 2.4879
2014-10-25 2.4739
2014-10-26 2.4295
2014-10-27 2.4295
2014-10-28 2.5055
2014-10-29 2.456
2014-10-30 2.4619
2014-10-31 2.4645
2014-11-01 2.4532
2014-11-02 2.4785
2014-11-03 2.4758
2014-11-04 2.5027
2014-11-05 2.5044
2014-11-06 2.5254
2014-11-07 2.5678
2014-11-08 2.569
2014-11-09 2.569
2014-11-10 2.5518
2014-11-11 2.5568
2014-11-12 2.5576
2014-11-13 2.5736
2014-11-14 2.5965
2014-11-15 2.5931
2014-11-16 2.6018
2014-11-17 2.6028
2014-11-18 2.6012
2014-11-19 2.5815
2014-11-20 2.5723
2014-11-21 2.5528
2014-11-22 2.5152
2014-11-23 2.522
2014-11-24 2.5283
2014-11-25 2.5383
2014-11-26 2.5195
2014-11-27 2.5079
2014-11-28 2.5466
2014-11-29 2.5516
2014-11-30 2.5516
2014-12-01 2.5632
2014-12-02 2.565
2014-12-03 2.564
2014-12-04 2.5667
2014-12-05 2.5922
2014-12-06 2.5894
2014-12-07 2.6022
2014-12-08 2.5946
2014-12-09 2.5992
2014-12-10 2.5988
2014-12-11 2.6267
2014-12-12 2.6536
2014-12-13 2.6548
2014-12-14 2.6546
2014-12-15 2.6675
2014-12-16 2.714
2014-12-17 2.7262
2014-12-18 2.6917
2014-12-19 2.6595
2014-12-20 2.6571
2014-12-21 2.657
2014-12-22 2.6586
2014-12-23 2.6768
2014-12-24 2.6951
2014-12-25 2.6957
2014-12-26 2.688
2014-12-27 2.696
2014-12-28 2.6685
2014-12-29 2.6899
2014-12-30 2.6838
2014-12-31 2.6575
2015-01-01 2.6575
2015-01-02 2.6758
2015-01-03 2.6946
2015-01-04 2.7025
2015-01-05 2.706
2015-01-06 2.7043
2015-01-07 2.6947
2015-01-08 2.6807
2015-01-09 2.6546
2015-01-10 2.6298
2015-01-11 2.6485
2015-01-12 2.646
2015-01-13 2.6655
2015-01-14 2.6655
2015-01-15 2.6374
2015-01-16 2.6332
2015-01-17 2.6219
2015-01-18 2.6219
2015-01-19 2.6306
2015-01-20 2.6377
2015-01-21 2.6077
2015-01-22 2.5877
2015-01-23 2.5788
2015-01-24 2.5814
2015-01-25 2.583
2015-01-26 2.5879
2015-01-27 2.5803
2015-01-28 2.5759
2015-01-29 2.5888
2015-01-30 2.6371
2015-01-31 2.6835
2015-02-01 2.6838
2015-02-02 2.6944
2015-02-03 2.7155
2015-02-04 2.7106
2015-02-05 2.7408
2015-02-06 2.7572
2015-02-07 2.7831
2015-02-08 2.7831
2015-02-09 2.7815
2015-02-10 2.7939
2015-02-11 2.8492
2015-02-12 2.8564
2015-02-13 2.8267
2015-02-14 2.8345
2015-02-15 2.8345
2015-02-16 2.8329
2015-02-17 2.8297
2015-02-18 2.8326
2015-02-19 2.8475
2015-02-20 2.8692
2015-02-21 2.8691
2015-02-22 2.875
2015-02-23 2.8732
2015-02-24 2.8709
2015-02-25 2.8577
2015-02-26 2.8768
2015-02-27 2.891
2015-02-28 2.8418
2015-03-01 2.8418
2015-03-02 2.8587
2015-03-03 2.9027
2015-03-04 2.951
2015-03-05 2.9867
2015-03-06 3.0213
2015-03-07 3.062
2015-03-08 3.062
2015-03-09 3.0819
2015-03-10 3.1298
2015-03-11 3.1125
2015-03-12 3.1319
2015-03-13 3.1987
2015-03-14 3.2485
2015-03-15 3.2488
2015-03-16 3.2398
2015-03-17 3.2573
2015-03-18 3.2476
2015-03-19 3.252
2015-03-20 3.2802
2015-03-21 3.2296
2015-03-22 3.22
2015-03-23 3.2036
2015-03-24 3.133
2015-03-25 3.1502
