"Index" "RB.Open" "RB.High" "RB.Low" "RB.Close" "RB.Volume" "RB.Adjusted"
2014-12-19 24.725 24.725 24.725 24.725 0 24.506
2014-12-22 24.725 24.725 24.725 24.725 0 24.506
2014-12-23 24.725 24.725 24.725 24.725 0 24.506
2014-12-24 24.725 24.725 24.725 24.725 0 24.506
2014-12-25 24.725 24.725 24.725 24.725 0 24.506
2014-12-26 24.725 24.725 24.725 24.725 0 24.506
2014-12-29 24.725 24.725 24.725 24.725 0 24.506
2014-12-30 24.725 24.725 24.725 24.725 0 24.506
2014-12-31 24.725 24.725 24.725 24.725 0 24.506
2015-01-01 24.725 24.725 24.725 24.725 0 24.506
2015-01-02 24.725 24.725 24.725 24.725 0 24.506
2015-01-05 24.725 24.725 24.725 24.725 0 24.506
2015-01-06 24.725 24.725 24.725 24.725 0 24.506
2015-01-07 24.725 24.725 24.725 24.725 0 24.506
2015-01-08 24.725 24.725 24.725 24.725 0 24.506
2015-01-09 24.725 24.725 24.725 24.725 0 24.506
2015-01-12 82.95 82.95 82.95 82.95 100 82.214
2015-01-13 82.95 82.95 82.95 82.95 0 82.214
2015-01-14 82.95 82.95 82.95 82.95 0 82.214
2015-01-15 82.95 82.95 82.95 82.95 0 82.214
2015-01-16 82.95 82.95 82.95 82.95 0 82.214
2015-01-19 82.95 82.95 82.95 82.95 0 82.214
2015-01-20 82.95 82.95 82.95 82.95 0 82.214
2015-01-21 82.95 82.95 82.95 82.95 0 82.214
2015-01-22 82.95 82.95 82.95 82.95 0 82.214
2015-01-23 82.95 82.95 82.95 82.95 0 82.214
2015-01-26 82.95 82.95 82.95 82.95 0 82.214
2015-01-27 82.95 82.95 82.95 82.95 0 82.214
2015-01-28 82.95 82.95 82.95 82.95 0 82.214
2015-01-29 82.95 82.95 82.95 82.95 0 82.214
2015-01-30 82.95 82.95 82.95 82.95 0 82.214
2015-02-02 82.95 82.95 82.95 82.95 0 82.214
2015-02-03 82.95 82.95 82.95 82.95 0 82.214
2015-02-04 82.95 82.95 82.95 82.95 0 82.214
2015-02-05 82.95 82.95 82.95 82.95 0 82.214
2015-02-06 82.95 82.95 82.95 82.95 0 82.214
2015-02-09 82.95 82.95 82.95 82.95 0 82.214
2015-02-10 82.95 82.95 82.95 82.95 0 82.214
2015-02-11 82.95 82.95 82.95 82.95 0 82.214
2015-02-12 82.95 82.95 82.95 82.95 0 82.214
2015-02-13 82.95 82.95 82.95 82.95 0 82.214
2015-02-16 82.95 82.95 82.95 82.95 0 82.214
2015-02-17 82.95 82.95 82.95 82.95 0 82.214
2015-02-18 82.95 82.95 82.95 82.95 0 82.214
2015-02-19 82.95 82.95 82.95 82.95 0 82.214
2015-02-20 82.95 82.95 82.95 82.95 0 82.214
2015-02-23 82.95 82.95 82.95 82.95 0 82.214
2015-02-24 85.55 85.55 85.55 85.55 0 84.791
2015-02-25 85.55 85.55 85.55 85.55 0 84.791
2015-02-26 85.55 85.55 85.55 85.55 0 84.791
2015-02-27 85.55 85.55 85.55 85.55 0 84.791
2015-03-02 85.55 85.55 85.55 85.55 0 84.791
2015-03-03 85.55 85.55 85.55 85.55 0 84.791
2015-03-04 85.55 85.55 85.55 85.55 0 84.791
2015-03-05 85.55 85.55 85.55 85.55 0 84.791
2015-03-06 85.55 85.55 85.55 85.55 0 84.791
2015-03-09 85.55 85.55 85.55 85.55 0 84.791
2015-03-10 85.55 85.55 85.55 85.55 0 84.791
2015-03-11 85.55 85.55 85.55 85.55 0 84.791
2015-03-12 85.55 85.55 85.55 85.55 0 84.791
2015-03-13 85.55 85.55 85.55 85.55 0 84.791
2015-03-16 85.55 85.55 85.55 85.55 0 84.791
2015-03-17 85.55 85.55 85.55 85.55 0 84.791
2015-03-18 85.55 85.55 85.55 85.55 0 84.791
2015-03-19 89 89 89 89 0 88.21
2015-03-20 89 89 89 89 0 88.21
2015-03-23 89 89 89 89 0 88.21
2015-03-24 89 89 89 89 0 88.21
2015-03-25 89 89 89 89 0 88.21
2015-03-26 89 89 89 89 0 88.21
2015-03-27 89 89 89 89 0 88.21
2015-03-30 89 89 89 89 0 88.21
2015-03-31 89 89 89 89 0 88.21
2015-04-01 89 89 89 89 0 88.21
2015-04-02 89 89 89 89 0 88.21
2015-04-03 89 89 89 89 0 88.21
2015-04-06 89 89 89 89 0 88.21
2015-04-07 89 89 89 89 0 88.21
2015-04-08 89 89 89 89 0 88.21
2015-04-09 89 89 89 89 0 88.21
2015-04-10 89 89 89 89 0 88.21
2015-04-13 89 89 89 89 0 88.21
2015-04-14 89 89 89 89 0 88.21
2015-04-15 89 89 89 89 0 88.21
2015-04-16 89 89 89 89 0 89
2015-04-17 89 89 89 89 0 89
2015-04-20 89 89 89 89 0 89
2015-04-21 89 89 89 89 0 89
2015-04-22 89 89 89 89 0 89
2015-04-23 89 89 89 89 0 89
2015-04-24 89 89 89 89 0 89
2015-04-27 89 89 89 89 0 89
2015-04-28 89 89 89 89 0 89
2015-04-29 89 89 89 89 0 89
2015-04-30 89 89 89 89 0 89
2015-05-01 89 89 89 89 0 89
2015-05-04 89 89 89 89 0 89
2015-05-05 89 89 89 89 0 89
