"Index" "NQ.Open" "NQ.High" "NQ.Low" "NQ.Close" "NQ.Volume" "NQ.Adjusted"
2013-12-30 11.7 14.8 11.7 13.9 13580800 13.9
2013-12-31 14.38 16.209999 14.37 14.7 12188900 14.7
2014-01-02 15.42 16.25 14.76 16.059999 7497700 16.059999
2014-01-03 16.1 16.299999 15.27 15.95 4936300 15.95
2014-01-06 15.65 15.85 15.21 15.47 2392400 15.47
2014-01-07 15.33 15.75 14.23 14.52 3788000 14.52
2014-01-08 14.16 14.92 13.74 14.02 3359300 14.02
2014-01-09 14.35 14.43 13.4 13.93 3084000 13.93
2014-01-10 14 14.49 13.9 14.46 1954200 14.46
2014-01-13 14.35 14.7 13.85 14 2327600 14
2014-01-14 14 14.39 13.82 13.92 1180400 13.92
2014-01-15 15.85 16.629999 15.1 15.63 11816000 15.63
2014-01-16 15.95 16.299999 15.34 15.64 3963200 15.64
2014-01-17 15.97 15.98 15.48 15.61 2298600 15.61
2014-01-21 15.96 17.139999 15.55 17.07 7799600 17.07
2014-01-22 17.25 18.5 17.16 17.98 7564500 17.98
2014-01-23 16.82 17.5 16.35 17.379999 5749700 17.379999
2014-01-24 17.709999 17.76 15.7 15.78 4787400 15.78
2014-01-27 15.7 15.77 14.28 15.23 5137000 15.23
2014-01-28 15.25 16.370001 15.07 16.190001 3417000 16.190001
2014-01-29 15.79 16.43 15.52 15.8 1918100 15.8
2014-01-30 16.129999 16.4 15.76 16.01 1453400 16.01
2014-01-31 16.139999 17.16 15.82 17.02 2491700 17.02
2014-02-03 17.450001 17.790001 16.299999 16.370001 2907600 16.370001
2014-02-04 16.85 16.9 15.61 16.9 2141000 16.9
2014-02-05 16.709999 17.18 16.43 16.59 1718100 16.59
2014-02-06 16.700001 17.48 16.52 16.68 2497400 16.68
2014-02-07 16.790001 17.360001 16.790001 17.01 2442500 17.01
2014-02-10 17.01 18.18 16.85 17.93 3740800 17.93
2014-02-11 18.27 18.389999 17.35 17.93 3083400 17.93
2014-02-12 18.290001 18.309999 17.700001 18.25 2558300 18.25
2014-02-13 18 18.83 17.82 18.24 4160400 18.24
2014-02-14 18.24 18.370001 17.690001 18.02 2703100 18.02
2014-02-18 18.16 18.6 18.030001 18.48 2098000 18.48
2014-02-19 18.57 18.809999 18.360001 18.459999 2072700 18.459999
2014-02-20 18.42 18.68 18.219999 18.610001 1825500 18.610001
2014-02-21 18.57 18.889999 18.309999 18.5 1853200 18.5
2014-02-24 18.75 19.68 18.75 19.65 4247500 19.65
2014-02-25 19.799999 19.959999 18.9 19.85 3977100 19.85
2014-02-26 19.92 20.17 19.41 19.950001 2524000 19.950001
2014-02-27 20 21.25 19.940001 21.209999 3531700 21.209999
2014-02-28 21.440001 22.33 17.129999 19.41 11284800 19.41
2014-03-03 19.719999 21.200001 19.200001 20.870001 5291600 20.870001
2014-03-04 21.27 21.59 20.73 21.389999 3341200 21.389999
2014-03-05 21 21.200001 20.200001 20.83 2405300 20.83
2014-03-06 20.76 20.969999 20.559999 20.84 2096900 20.84
2014-03-07 21.030001 21.1 20.370001 20.6 1588200 20.6
2014-03-10 20.450001 20.450001 18.77 19.200001 3920800 19.200001
2014-03-11 19.27 19.6 18.35 18.610001 2708700 18.610001
2014-03-12 18.5 19.299999 18.120001 18.91 2352500 18.91
2014-03-13 19.02 19.25 18.52 18.59 2572300 18.59
2014-03-14 18.469999 18.77 18.059999 18.280001 2698600 18.280001
2014-03-17 18.559999 20.440001 18.5 20.25 3920900 20.25
2014-03-18 20.23 20.85 19.84 20.440001 2619800 20.440001
2014-03-19 20.51 20.84 20.08 20.309999 1872300 20.309999
2014-03-20 20.299999 20.5 19.530001 19.98 2523100 19.98
2014-03-21 19.82 20.23 19.58 19.66 2329900 19.66
2014-03-24 19.969999 20 18.35 18.51 2851100 18.51
2014-03-25 19.190001 19.43 17.9 18.190001 3896400 18.190001
2014-03-26 18.08 18.450001 16.280001 16.9 5635000 16.9
2014-03-27 16.92 17.15 16.16 16.77 2044900 16.77
2014-03-28 16.9 17.690001 16.6 16.83 1822900 16.83
2014-03-31 16.92 17.639999 16.559999 17.610001 2117200 17.610001
2014-04-01 17.639999 18.389999 17.620001 17.940001 2088100 17.940001
2014-04-02 18.02 18.02 17.219999 17.27 2066800 17.27
2014-04-03 17.6 17.6 17 17.129999 2108200 17.129999
2014-04-04 16.77 17.15 16.4 17 2263300 17
2014-04-07 16.76 17.049999 15.03 15.81 2725300 15.81
2014-04-08 15.99 16.540001 15.73 15.94 1717000 15.94
2014-04-09 16.16 16.940001 16.16 16.780001 1749500 16.780001
2014-04-10 17.120001 17.120001 15.72 15.99 3662600 15.99
2014-04-11 13.48 14.5 11.4 12.7 10883500 12.7
2014-04-14 12.26 12.8 9.65 11.05 14015500 11.05
2014-04-15 10.99 12.83 10.56 12.6 5067300 12.6
2014-04-16 12.79 13.04 11.65 12.26 2742500 12.26
2014-04-17 12.01 13.1 11.81 12.9 2713600 12.9
2014-04-21 12.9 13.2 12.34 13.15 1394400 13.15
2014-04-22 13.1 13.91 12.98 13.83 1820500 13.83
2014-04-23 13.8 14.68 13.32 13.96 2010000 13.96
2014-04-24 14.38 14.45 13.57 13.9 1332300 13.9
2014-04-25 13.65 13.89 12.9 13.23 1548200 13.23
2014-04-28 13.15 13.2 10.72 12.12 4691200 12.12
2014-04-29 12.2 12.2 11 11.16 4694000 11.16
2014-04-30 12.08 13.49 11.7 12.36 5464000 12.36
2014-05-01 12.54 12.8 12.24 12.46 1833300 12.46
2014-05-02 12.26 12.56 11.8 11.99 1757200 11.99
2014-05-05 11.91 12.26 11.55 11.7 1425500 11.7
2014-05-06 11.76 12.04 11.2 11.21 1154800 11.21
2014-05-07 11.33 11.38 10.65 11.11 1649600 11.11
2014-05-08 10.67 11.4 10.59 11.01 850100 11.01
2014-05-09 11.01 12.27 10.75 11.97 1958400 11.97
2014-05-12 12.05 12.61 11.78 12.12 1809400 12.12
2014-05-13 12.1 12.1 10.8 11.17 3604700 11.17
2014-05-14 10.81 11.42 10.23 10.23 4866100 10.23
2014-05-15 9.28 9.28 7.2 7.27 20669600 7.27
2014-05-16 7.56 8.12 6.66 8.04 9063700 8.04
2014-05-19 7.9 7.94 7.35 7.5 3739500 7.5
2014-05-20 7.4 7.49 7.19 7.39 2023200 7.39
2014-05-21 7.46 7.78 7.29 7.62 2479800 7.62
2014-05-22 7.56 7.9 7.12 7.34 2602600 7.34
2014-05-23 7.29 7.85 7.15 7.63 2628100 7.63
2014-05-27 7.5 8.12 7.36 7.55 3162700 7.55
2014-05-28 7.68 7.69 7.16 7.35 2732600 7.35
2014-05-29 7.31 7.32 6.25 6.79 7959400 6.79
2014-05-30 7.57 8.77 7.25 7.59 19839500 7.59
2014-06-02 7.71 7.76 7.25 7.69 3402400 7.69
2014-06-03 7.6 7.69 7.32 7.63 1691600 7.63
2014-06-04 10.24 10.85 9.4 9.99 38255700 9.99
2014-06-05 10.18 10.8 9.67 9.84 14881000 9.84
2014-06-06 9.94 10.04 9.1 9.35 7435300 9.35
2014-06-09 9.35 10 8.87 9.59 6047400 9.59
2014-06-10 9.92 9.99 9.16 9.23 5669700 9.23
2014-06-11 9.06 9.1 7.66 8.15 18544200 8.15
2014-06-12 8.17 8.18 7.63 7.74 6487000 7.74
2014-06-13 7.69 7.99 7.21 7.94 7080400 7.94
2014-06-16 7.78 7.78 7.3 7.44 6628600 7.44
2014-06-17 7.5 7.67 7.21 7.63 6247500 7.63
2014-06-18 7.61 7.69 7.39 7.62 3241300 7.62
2014-06-19 7.55 7.79 7.41 7.61 2970300 7.61
2014-06-20 7.6 7.61 7.24 7.35 4087300 7.35
2014-06-23 7.33 7.36 7.02 7.19 5102300 7.19
2014-06-24 7.22 7.27 7.01 7.04 3259200 7.04
2014-06-25 7.03 7.07 6.63 6.67 5287500 6.67
2014-06-26 6.65 6.68 6.22 6.37 9033800 6.37
2014-06-27 6.3 6.35 5.58 6.07 15312900 6.07
2014-06-30 6.12 6.45 6.01 6.14 5110500 6.14
2014-07-01 6.1 6.6 6.1 6.37 3473400 6.37
2014-07-02 6.5 7.64 6.37 6.76 16733700 6.76
2014-07-03 5.31 5.35 4.23 4.58 35266500 4.58
2014-07-07 4.43 4.89 4.32 4.48 13541500 4.48
2014-07-08 4.54 4.63 4.12 4.14 8762900 4.14
2014-07-09 4.58 4.63 4.32 4.42 11107800 4.42
2014-07-10 4.2 4.53 4.16 4.37 5755400 4.37
2014-07-11 4.4 4.6 4.33 4.39 4082400 4.39
2014-07-14 4.41 4.68 4.41 4.51 4845100 4.51
2014-07-15 4.52 4.6 4.3 4.44 4539300 4.44
2014-07-16 4.5 4.5 4.32 4.36 5416000 4.36
2014-07-17 4.33 4.4 4.28 4.35 2791000 4.35
2014-07-18 3.55 5.1 3.45 5.01 28644900 5.01
2014-07-21 5.12 5.5 4.91 5.42 11013400 5.42
2014-07-22 5.38 5.57 5.1 5.37 7453000 5.37
2014-07-23 5.73 6.65 5.6 6.55 16036800 6.55
2014-07-24 6.56 6.73 6.1 6.21 8301500 6.21
2014-07-25 6.27 7.04 6.21 6.67 10464100 6.67
2014-07-28 6.86 7.18 6.45 6.59 8655600 6.59
2014-07-29 6.67 7.06 6.56 6.9 7094300 6.9
2014-07-30 8.44 8.44 7.28 7.44 21404400 7.44
2014-07-31 7.36 7.36 6.6 6.76 6989500 6.76
2014-08-01 6.79 6.79 6.2 6.55 4378100 6.55
2014-08-04 6.65 7 6.47 7 3887400 7
2014-08-05 6.92 7 6.8 6.91 2882100 6.91
2014-08-06 6.91 7.17 6.68 6.78 3522500 6.78
2014-08-07 7.09 7.11 6.56 6.71 3181600 6.71
2014-08-08 6.71 6.71 6.3 6.44 2943600 6.44
2014-08-11 6.5 6.78 6.43 6.67 2512500 6.67
2014-08-12 6.61 6.74 6.28 6.48 3933200 6.48
2014-08-13 6.47 6.56 6.35 6.44 2228900 6.44
2014-08-14 6.45 6.53 6.36 6.41 1063800 6.41
2014-08-15 5.61 6.57 5.56 6.48 10046100 6.48
2014-08-18 6.5 6.74 6.48 6.69 2761900 6.69
2014-08-19 6.77 6.85 6.51 6.7 2468900 6.7
2014-08-20 6.98 7.18 6.61 6.83 4288600 6.83
2014-08-21 6.94 7 6.6 6.81 2626300 6.81
2014-08-22 6.82 6.9 6.65 6.8 1781500 6.8
2014-08-25 6.85 6.89 6.75 6.78 1122400 6.78
2014-08-26 6.79 6.82 6.7 6.7 959700 6.7
2014-08-27 6.7 6.79 6.51 6.63 1987400 6.63
2014-08-28 6.59 6.64 6.41 6.57 1167200 6.57
2014-08-29 6.6 6.62 6.46 6.54 1048500 6.54
2014-09-02 6.48 6.66 6.4 6.54 1482700 6.54
2014-09-03 6.62 6.71 6.51 6.55 1624000 6.55
2014-09-04 6.56 6.77 6.46 6.5 2447600 6.5
2014-09-05 6.51 6.57 6.4 6.46 1605400 6.46
2014-09-08 6.44 6.5 6.3 6.4 1560100 6.4
2014-09-09 6.38 6.5 6.23 6.28 1531100 6.28
2014-09-10 6.28 6.33 5.98 6.3 2397700 6.3
2014-09-11 6.22 6.28 6.12 6.14 1092400 6.14
2014-09-12 6.14 6.21 6.05 6.06 964600 6.06
2014-09-15 6.05 6.08 5.75 5.78 1867700 5.78
2014-09-16 5.7 5.97 5.7 5.87 1393300 5.87
2014-09-17 5.91 6.54 5.86 6.16 4340600 6.16
2014-09-18 6.13 6.42 5.95 6.03 2366300 6.03
2014-09-19 6.02 6.12 5.92 5.98 1952900 5.98
2014-09-22 6.01 6.03 5.52 5.77 3134300 5.77
2014-09-23 5.76 6.75 5.68 6.5 7260600 6.5
2014-09-24 6.41 6.6 6.32 6.37 1934300 6.37
2014-09-25 6.35 6.39 6.09 6.12 2016200 6.12
2014-09-26 6.13 6.45 6.12 6.33 1744000 6.33
2014-09-29 6.34 7.01 6.33 7 4333000 7
2014-09-30 7.2 7.2 6.85 6.97 5107600 6.97
2014-10-01 6.91 6.91 6.54 6.7 2983800 6.7
2014-10-02 6.81 6.99 6.59 6.93 2120700 6.93
2014-10-03 6.98 7.35 6.86 6.93 4500000 6.93
2014-10-06 7.02 7.72 7 7.24 5711400 7.24
2014-10-07 7.24 7.24 6.85 7.1 3223300 7.1
2014-10-08 6.9 7.22 6.9 7.02 2655900 7.02
2014-10-09 7.02 7.47 6.88 7.2 2438000 7.2
2014-10-10 7.1 7.37 7.05 7.17 1957200 7.17
2014-10-13 7.43 7.64 7.15 7.49 2286100 7.49
2014-10-14 7.56 7.73 7.33 7.56 3457500 7.56
2014-10-15 7.48 7.6 7.23 7.6 1627600 7.6
2014-10-16 7.55 8.08 7.42 8.01 3235800 8.01
2014-10-17 8.07 8.43 8.04 8.4 4340000 8.4
2014-10-20 8.4 9.35 8.3 9.26 6495700 9.26
2014-10-21 9.22 9.88 7.2 8.33 17199800 8.33
2014-10-22 8.17 8.85 8.02 8.55 3167800 8.55
2014-10-23 8.53 8.93 8.42 8.61 2715200 8.61
2014-10-24 8.8 9.02 8.51 8.94 3033500 8.94
2014-10-27 10.46 10.69 9.34 9.46 16955800 9.46
2014-10-28 9.55 9.66 7.94 8 9152800 8
2014-10-29 8.22 8.51 7.43 7.81 6848100 7.81
2014-10-30 7.89 8 7.5 7.55 2732200 7.55
2014-10-31 7.6 7.72 7.05 7.31 3592700 7.31
2014-11-03 7.3 7.3 7.04 7.17 2469300 7.17
2014-11-04 7.12 7.23 6.79 6.88 3474300 6.88
2014-11-05 6.82 7.18 6.6 6.87 3048100 6.87
2014-11-06 7.03 7.18 6.83 6.98 1949100 6.98
2014-11-07 6.99 7.2 6.9 7.18 1633300 7.18
2014-11-10 7.15 7.75 7.1 7.49 2684000 7.49
2014-11-11 7.66 7.85 7.4 7.58 1900400 7.58
2014-11-12 7.6 7.81 7.5 7.75 1378700 7.75
2014-11-13 7.73 7.88 7.2 7.27 1987800 7.27
2014-11-14 7.26 7.45 7.12 7.42 1417300 7.42
2014-11-17 7.4 7.5 7.08 7.17 1477800 7.17
2014-11-18 7.07 7.25 7 7 1915400 7
2014-11-19 7 7.05 6.87 6.92 1370900 6.92
2014-11-20 6.95 7.09 6.81 6.91 1120000 6.91
2014-11-21 6.97 7.23 6.93 7 1364200 7
2014-11-24 7 7.5 7 7.48 2313700 7.48
2014-11-25 7.43 7.48 7.17 7.25 1404200 7.25
2014-11-26 7.29 7.47 7.24 7.31 1134600 7.31
2014-11-28 7.31 7.32 6.9 7.02 1119600 7.02
2014-12-01 7.08 7.12 6.31 6.55 3370000 6.55
2014-12-02 6.5 6.83 6.46 6.76 1490200 6.76
2014-12-03 6.79 6.79 6.5 6.52 1801400 6.52
