"Index" "GL.Open" "GL.High" "GL.Low" "GL.Close" "GL.Volume" "GL.Adjusted"
2015-03-16 0.05 0.05 0.05 0.05 0 0.05
2015-03-17 0.05 0.05 0.05 0.05 0 0.05
2015-03-18 0.05 0.05 0.05 0.05 0 0.05
2015-03-19 0.06 0.085 0.06 0.085 6000 0.085
2015-03-20 0.085 0.085 0.085 0.085 0 0.085
2015-03-23 0.085 0.085 0.085 0.085 0 0.085
2015-03-24 0.085 0.085 0.085 0.085 0 0.085
2015-03-25 0.085 0.085 0.085 0.085 0 0.085
2015-03-26 0.085 0.085 0.085 0.085 0 0.085
2015-03-27 0.085 0.085 0.085 0.085 0 0.085
2015-03-30 0.085 0.085 0.085 0.085 0 0.085
2015-03-31 0.085 0.085 0.085 0.085 0 0.085
2015-04-01 0.085 0.085 0.085 0.085 0 0.085
2015-04-02 0.085 0.085 0.085 0.085 0 0.085
2015-04-03 0.085 0.085 0.085 0.085 0 0.085
2015-04-06 0.085 0.085 0.085 0.085 0 0.085
2015-04-07 0.085 0.085 0.085 0.085 0 0.085
2015-04-08 0.085 0.085 0.085 0.085 0 0.085
2015-04-09 0.085 0.085 0.085 0.085 0 0.085
2015-04-10 0.085 0.085 0.085 0.085 0 0.085
2015-04-13 0.085 0.085 0.085 0.085 0 0.085
2015-04-14 0.085 0.085 0.085 0.085 0 0.085
2015-04-15 0.085 0.085 0.085 0.085 0 0.085
2015-04-16 0.085 0.085 0.085 0.085 0 0.085
2015-04-17 0.085 0.085 0.085 0.085 0 0.085
2015-04-20 0.085 0.085 0.085 0.085 0 0.085
2015-04-21 0.085 0.085 0.085 0.085 0 0.085
2015-04-22 0.085 0.085 0.085 0.085 0 0.085
2015-04-23 0.03 0.03 0.03 0.03 1000 0.03
2015-04-24 0.03 0.03 0.03 0.03 0 0.03
2015-04-27 0.03 0.03 0.03 0.03 0 0.03
2015-04-28 0.075 0.09 0.075 0.09 2000 0.09
2015-04-29 0.09 0.09 0.09 0.09 0 0.09
2015-04-30 0.09 0.09 0.09 0.09 0 0.09
2015-05-01 0.09 0.09 0.09 0.09 0 0.09
2015-05-04 0.09 0.09 0.09 0.09 0 0.09
