"Index" "ETR.Open" "ETR.High" "ETR.Low" "ETR.Close" "ETR.Volume" "ETR.Adjusted"
2013-04-15 69.389999 69.970001 68.650002 68.650002 1006400 60.303166
2013-04-16 69.18 69.760002 68.830002 69.529999 1102600 61.076168
2013-04-17 69.230003 69.510002 68.760002 69.199997 1218600 60.78629
2013-04-18 69.529999 70.379997 69.529999 70.290001 1621700 61.743765
2013-04-19 70.519997 70.699997 69.080002 69.709999 2317100 61.234283
2013-04-22 69.650002 69.940002 69.199997 69.690002 1049600 61.216718
2013-04-23 69.959999 69.959999 68.730003 69.5 1880800 61.049817
2013-04-24 69.540001 70.169998 69.300003 70.120003 1275800 61.594436
2013-04-25 70.139999 70.190002 68.239998 68.620003 4423400 60.276814
2013-04-26 68.639999 69.440002 68.639999 69.110001 3813900 60.707236
2013-04-29 69.470001 70.879997 69.260002 70.860001 3668300 62.244461
2013-04-30 70.720001 71.809998 70.540001 71.230003 1335800 62.569477
2013-05-01 71.220001 72.099998 70.959999 71.389999 1629200 62.71002
2013-05-02 71.360001 71.830002 70.959999 71.57 1087600 62.868135
2013-05-03 71.879997 71.980003 70.68 71.099998 1200300 62.455279
2013-05-06 71.010002 71.239998 68.980003 69.129997 1675800 60.724801
2013-05-07 68.260002 69.129997 68.099998 68.769997 1250800 61.142675
2013-05-08 68.800003 69.110001 67.709999 68.050003 1359100 60.502537
2013-05-09 68.110001 68.169998 66.839996 67 1151800 59.56899
2013-05-10 67.010002 67.57 66.720001 67.489998 921000 60.004642
2013-05-13 67.209999 67.610001 66.860001 67.290001 863900 59.826827
2013-05-14 67.339996 68.199997 67.190002 68.080002 1380100 60.529208
2013-05-15 67.989998 70.449997 67.900002 69.610001 3154000 61.889514
2013-05-16 69.419998 70.18 68.900002 69.669998 1773500 61.942857
2013-05-17 69.800003 71.300003 69.629997 71.139999 2281200 63.24982
2013-05-20 71 71.129997 70.300003 70.599998 1229800 62.769711
2013-05-21 70.760002 70.760002 69.889999 70.300003 1175900 62.502988
2013-05-22 70.230003 70.82 68.68 69.07 1198300 61.409405
2013-05-23 68.110001 69.120003 67.589996 68.919998 1123400 61.27604
2013-05-24 68.870003 69.169998 68.410004 68.940002 773500 61.293826
2013-05-28 68.730003 70.660004 68.540001 69.5 2140300 61.791714
2013-05-29 68.989998 69.25 68.349998 68.589996 1707700 60.982639
2013-05-30 68.809998 70.209999 68.809998 69.099998 1122100 61.436077
2013-05-31 69.07 70.480003 68.879997 68.879997 1254200 61.240476
2013-06-03 69.18 70.480003 68.160004 69.709999 1451300 61.978422
2013-06-04 69.550003 69.68 68.129997 68.239998 1528000 60.671459
2013-06-05 68.050003 68.209999 67.230003 67.389999 1025700 59.915734
2013-06-06 67.480003 68.110001 67.089996 68.010002 890600 60.466972
2013-06-07 68.269997 68.980003 67.489998 68.190002 1107000 60.627009
2013-06-10 69.290001 69.879997 68.75 69.57 1607700 61.85395
2013-06-11 69.120003 69.540001 68.639999 68.660004 792200 61.044882
2013-06-12 69.050003 69.230003 67.300003 67.709999 1107600 60.200243
2013-06-13 67.68 68.93 67.18 68.879997 950100 61.240476
2013-06-14 68.699997 69.370003 68.410004 68.470001 937600 60.875953
2013-06-17 68.669998 69.75 68.209999 68.620003 1104000 61.009317
2013-06-18 68.57 69.559998 68.169998 69.169998 853500 61.498313
2013-06-19 69.220001 70.099998 68.25 68.25 1089200 60.680352
2013-06-20 67.839996 68.099998 66.25 66.370003 1328200 59.008866
2013-06-21 66.639999 68.419998 66.309998 68.129997 1969200 60.573659
2013-06-24 67.550003 68.540001 66.900002 68.110001 1257800 60.55588
2013-06-25 68.599998 69.589996 68.110001 69.160004 1179400 61.489427
2013-06-26 69.470001 70.519997 69.18 70.279999 1032100 62.485202
2013-06-27 70.389999 71.589996 69.910004 70.050003 1333700 62.280716
2013-06-28 69.900002 70.110001 69.260002 69.68 1320400 61.95175
2013-07-01 69.940002 70 68.839996 69.339996 1236700 61.649456
2013-07-02 69.300003 70.18 69.040001 69.349998 1264600 61.658349
2013-07-03 69.059998 69.629997 68.870003 69.290001 628100 61.605006
2013-07-05 69.239998 69.290001 67.43 68.059998 862800 60.511423
2013-07-08 68.290001 69.110001 68.040001 68.949997 870500 61.302712
2013-07-09 69.370003 69.709999 68.349998 69.139999 1803900 61.471641
2013-07-10 69.129997 70.010002 68.75 69.699997 870300 61.969529
2013-07-11 70.32 71.32 70.300003 71.309998 987000 63.400963
2013-07-12 71.290001 71.290001 70.43 70.889999 729700 63.027547
2013-07-15 70.980003 71.970001 70.790001 71.599998 1085600 63.6588
2013-07-16 71.440002 71.720001 70.639999 71.019997 860100 63.143127
2013-07-17 71.419998 71.519997 70.449997 70.639999 637500 62.805275
2013-07-18 70.870003 71.800003 70.870003 71.769997 992300 63.809944
2013-07-19 71.720001 72.190002 71.260002 71.910004 1033800 63.934422
2013-07-22 71.940002 72.580002 71.900002 72.349998 919900 64.325617
2013-07-23 72.290001 72.599998 71.550003 72.330002 949700 64.307838
2013-07-24 72.169998 72.169998 70.019997 70.419998 1243600 62.609674
2013-07-25 70.160004 70.589996 69.489998 70.089996 5862800 62.316273
2013-07-26 70.019997 70.32 69.489998 70.129997 5783700 62.351838
2013-07-29 70.040001 70.879997 70.040001 70.529999 3703900 62.707475
2013-07-30 70.760002 71.769997 69.099998 69.599998 2334200 61.880621
2013-07-31 69.379997 69.849998 67.339996 67.5 2311700 60.013535
2013-08-01 67.760002 68.199997 67.379997 67.889999 1326200 60.360279
2013-08-02 67.919998 68.269997 67.739998 68.190002 920100 60.627009
2013-08-05 68.110001 68.169998 67.480003 67.529999 1138800 60.040206
2013-08-06 66.550003 67.050003 66.470001 66.860001 2138200 60.184233
2013-08-07 66.75 69.099998 66.5 68.769997 2144100 61.903522
2013-08-08 68.769997 69.690002 68.519997 69.160004 1402300 62.254588
2013-08-09 69.160004 70.050003 66.5 66.900002 3560400 60.22024
2013-08-12 66.769997 66.889999 65.580002 66.139999 1712400 59.536122
2013-08-13 66.080002 66.550003 65.529999 65.709999 1546000 59.149055
2013-08-14 66.489998 66.489998 65.300003 66.230003 1535300 59.617139
2013-08-15 65.43 66.150002 65.43 65.760002 1667300 59.194066
2013-08-16 65.720001 65.720001 64.290001 64.589996 2988100 58.140882
2013-08-19 64.580002 64.779999 63.369999 63.540001 1361000 57.195725
2013-08-20 63.560001 64.57 63.549999 63.990002 1260500 57.600795
2013-08-21 63.849998 63.849998 62.919998 62.950001 1327700 56.664635
2013-08-22 62.990002 63.810001 62.75 63.34 941300 57.015694
2013-08-23 63.549999 64.349998 63.459999 63.939999 740900 57.555784
2013-08-26 63.900002 64.150002 62.869999 63.07 1270100 56.772652
2013-08-27 62.48 63.330002 62.25 62.560001 1822200 56.313575
2013-08-28 62.59 62.869999 61.880001 62.310001 1462100 56.088537
2013-08-29 62.709999 63.209999 62.310001 63.02 1626300 56.727645
2013-08-30 63.310001 63.779999 63.009998 63.23 1206800 56.916676
2013-09-03 63.48 63.630001 62.439999 62.540001 1297300 56.295572
2013-09-04 62.400002 62.59 61.66 62.150002 1441600 55.944513
2013-09-05 62.029999 62.59 61.950001 62.040001 1152500 55.845495
2013-09-06 62.41 63.27 62.41 62.919998 1646800 56.637628
2013-09-09 62.849998 63.130001 62.400002 63.029999 1096300 56.736645
2013-09-10 63.23 63.27 62.560001 63.27 1278100 56.952683
2013-09-11 63.119999 63.119999 62.110001 62.869999 2228600 56.592621
2013-09-12 62.939999 63.029999 62.189999 62.290001 837100 56.070534
2013-09-13 62.810001 63.5 62.709999 63.09 1187200 56.790655
2013-09-16 63.880001 64.339996 63.400002 63.77 1395400 57.40276
2013-09-17 63.880001 64.18 63.599998 63.799999 659400 57.429763
2013-09-18 63.959999 65.830002 63.700001 65.669998 1228300 59.113049
2013-09-19 65.639999 65.800003 64.690002 65.019997 741800 58.527948
2013-09-20 65 65.139999 63.389999 63.630001 1519200 57.276739
2013-09-23 63.349998 64.93 63.220001 64.440002 1136800 58.005864
2013-09-24 64.269997 64.839996 63.91 63.98 1009600 57.591791
2013-09-25 64.080002 64.300003 63.509998 63.630001 885500 57.276739
2013-09-26 63.73 64.18 63.439999 63.619999 889000 57.267735
2013-09-27 63.450001 64.019997 63 63.32 527100 56.99769
2013-09-30 63.02 63.650002 62.950001 63.189999 1010000 56.880669
2013-10-01 63.389999 64 63.200001 63.68 876300 57.321746
2013-10-02 63.509998 64.139999 63.029999 64.029999 1229200 57.636798
2013-10-03 63.720001 63.82 63.099998 63.509998 1145400 57.168718
2013-10-04 63.41 63.619999 63.290001 63.48 1103000 57.141715
2013-10-07 63.18 63.919998 63.16 63.450001 656400 57.114711
2013-10-08 63.349998 64.150002 63.25 63.549999 805300 57.204725
2013-10-09 63.73 65.260002 63.299999 64.209999 1490900 57.798826
2013-10-10 64.5 65.300003 63.689999 65.110001 1123600 58.608965
2013-10-11 64.940002 65.370003 64.769997 65.300003 626800 58.779996
2013-10-14 65.129997 65.269997 64.050003 64.860001 759100 58.383927
2013-10-15 64.860001 64.910004 63.580002 63.669998 1195900 57.312742
2013-10-16 64.07 65.040001 64.07 65.019997 1229400 58.527948
2013-10-17 64.949997 66.739998 64.470001 66.589996 1163700 59.941188
2013-10-18 66.660004 66.739998 66.040001 66.349998 1265500 59.725153
2013-10-21 66.379997 66.779999 65.75 66.139999 896500 59.536122
2013-10-22 66.260002 67.650002 66.160004 67.529999 1248100 60.787334
2013-10-23 67.360001 68.629997 67.330002 68.129997 1617300 61.327424
2013-10-24 68.089996 68.279999 67.489998 68.099998 1035700 61.300421
2013-10-25 67.989998 68.309998 67.360001 68.269997 1030500 61.453445
2013-10-28 68.139999 68.559998 67.82 68.110001 1534900 61.309424
2013-10-29 67.690002 67.690002 65.5 66.059998 3500800 59.464108
2013-10-30 66.209999 66.529999 65.300003 65.459999 1708100 58.924017
2013-10-31 65.309998 65.379997 64.379997 64.720001 1519600 58.257906
2013-11-01 64.919998 65.279999 64.769997 65.139999 1214300 58.635969
2013-11-04 65.419998 65.489998 64.690002 64.970001 1373900 58.482944
2013-11-05 64.129997 64.419998 63.82 64.010002 1625500 58.364409
2013-11-06 64.360001 65.089996 64.220001 64.900002 1428200 59.175912
2013-11-07 65.160004 65.419998 64.360001 64.400002 1367500 58.720011
2013-11-08 64.209999 64.43 63.32 64.419998 1065500 58.738244
2013-11-11 63.740002 63.740002 62.939999 63.220001 1944800 57.644085
2013-11-12 63.200001 63.290001 62.610001 63.009998 1767700 57.452605
2013-11-13 62.549999 62.799999 62.02 62.790001 1090700 57.252011
2013-11-14 63 63.549999 62.810001 63.43 893000 57.835563
2013-11-15 63.290001 63.869999 63.16 63.669998 1170500 58.054393
2013-11-18 63.869999 63.91 63.5 63.549999 995200 57.944978
2013-11-19 63.639999 63.709999 63.060001 63.279999 990400 57.698791
2013-11-20 63.619999 63.619999 62.799999 62.830002 1359900 57.288483
2013-11-21 63.16 63.200001 62.810001 62.880001 1011600 57.334073
2013-11-22 62.75 62.880001 62.389999 62.529999 1185200 57.01494
2013-11-25 62.68 62.939999 62.400002 62.52 864400 57.005824
2013-11-26 62.5 62.66 61.830002 62 1520000 56.531687
2013-11-27 61.950001 62.23 61.599998 61.75 1135100 56.303736
2013-11-29 61.77 62.27 61.619999 61.889999 557800 56.431388
2013-12-02 62.060001 62.32 61.650002 62.279999 1578800 56.78699
2013-12-03 62.009998 62.150002 61.549999 61.970001 1629600 56.504334
2013-12-04 61.669998 62.389999 61.599998 62.16 987900 56.677575
2013-12-05 62.029999 62.290001 61.75 62.240002 1215200 56.750521
2013-12-06 62.560001 63.34 62.400002 63.009998 1163100 57.452605
2013-12-09 62.810001 62.990002 62.119999 62.400002 1317200 56.896409
2013-12-10 62.110001 62.200001 60.220001 61.299999 4628900 55.893425
2013-12-11 60.639999 61.279999 60.419998 60.849998 2502900 55.483114
2013-12-12 60.849998 61.669998 60.84 61.220001 1550900 55.820483
2013-12-13 61.279999 61.43 60.57 61.200001 1242400 55.802246
2013-12-16 61.290001 62.16 61.279999 61.889999 1673600 56.431388
2013-12-17 61.720001 61.900002 61.310001 61.650002 1209000 56.212558
2013-12-18 61.529999 62.419998 60.77 62.209999 1223000 56.723164
2013-12-19 62 62.119999 61.130001 61.560001 986300 56.130495
2013-12-20 61.689999 62.57 61.669998 62.490002 2855400 56.978471
2013-12-23 62.740002 63.080002 62.279999 62.540001 1269000 57.02406
2013-12-24 62.490002 63.080002 62.360001 62.73 395900 57.197301
2013-12-26 62.630001 62.970001 62.27 62.369999 583200 56.869052
2013-12-27 62.48 62.869999 62.369999 62.830002 731400 57.288483
2013-12-30 63.130001 63.439999 62.939999 63.32 1152600 57.735264
2013-12-31 63.330002 63.549999 63 63.27 965800 57.689675
2014-01-02 63.349998 63.389999 61.709999 61.84 1206600 56.385799
2014-01-03 61.049999 61.459999 60.639999 61.029999 1748300 55.647238
2014-01-06 60.610001 60.939999 60.400002 60.669998 1989900 55.318989
2014-01-07 60.830002 61.299999 60.669998 61.25 1496600 55.847836
2014-01-08 61.139999 61.279999 60.599998 60.849998 1999800 55.483114
2014-01-09 61.029999 61.09 60.52 60.52 1628600 55.182221
2014-01-10 60.919998 62.18 60.82 61.060001 2661000 55.674595
2014-01-13 61.23 61.450001 60.549999 60.619999 1988100 55.2734
2014-01-14 60.889999 61.360001 60.830002 61.139999 2068900 55.747537
2014-01-15 61.27 61.439999 60.669998 61.16 1999900 55.765773
2014-01-16 61.23 61.57 61.09 61.380001 1100300 55.966371
2014-01-17 61.599998 61.77 61.310001 61.610001 932600 56.176085
2014-01-21 61.990002 62.099998 61.540001 61.990002 1395600 56.52257
2014-01-22 62.150002 62.490002 61.34 61.549999 1803500 56.121375
2014-01-23 61.27 61.790001 60.990002 61.709999 1524000 56.267263
2014-01-24 61.5 62.349998 61.150002 61.279999 1298100 55.875189
2014-01-27 61.459999 61.84 61.209999 61.290001 1791900 55.884309
2014-01-28 61.25 61.66 60.869999 61.119999 1673800 55.7293
2014-01-29 60.959999 62.009998 60.959999 61.540001 1935700 56.112259
2014-01-30 61.759998 63.380001 61.549999 63.169998 2622900 57.598493
2014-01-31 62.580002 63.490002 62.529999 63.029999 1787100 57.470841
2014-02-03 63.23 63.919998 62.610001 62.720001 1894400 57.188185
2014-02-04 63.209999 63.27 62.299999 62.470001 1784200 56.960234
2014-02-05 62.419998 62.869999 62.009998 62.580002 1957600 57.060533
2014-02-06 62.610001 63.84 62.549999 63.75 3359900 58.127339
2014-02-07 63.810001 63.900002 63.189999 63.560001 1547200 57.954098
2014-02-10 63.419998 63.93 63.060001 63.599998 1875500 57.990568
2014-02-11 63.43 63.52 61.669998 62.580002 2934800 57.815038
2014-02-12 62.529999 63.669998 62.529999 63.560001 2357000 58.720419
2014-02-13 63.220001 64.580002 63.220001 64.43 2326100 59.524174
2014-02-14 64.25 64.660004 64.099998 64.489998 1429700 59.579603
2014-02-18 64.519997 65.18 64.43 64.910004 1944900 59.967629
2014-02-19 64.459999 65.339996 64.190002 64.459999 1692800 59.551889
2014-02-20 64.449997 65.300003 64.449997 65.050003 1378800 60.096969
2014-02-21 64.949997 65.309998 64.440002 64.449997 1369500 59.542648
2014-02-24 64.860001 65.050003 64.120003 64.120003 943900 59.23778
2014-02-25 64.400002 64.580002 64.019997 64.110001 1390800 59.22854
2014-02-26 64.709999 64.790001 64.010002 64.07 770200 59.191585
2014-02-27 63.860001 64.199997 63.529999 63.759998 983100 58.905187
2014-02-28 63.889999 64.160004 63.630001 63.82 1535800 58.96062
2014-03-03 63.599998 63.889999 63.25 63.279999 1550600 58.461736
2014-03-04 63.709999 63.759998 63.220001 63.439999 1771000 58.609553
2014-03-05 63.529999 63.560001 62.810001 63.029999 1439200 58.230772
2014-03-06 63.099998 63.360001 62.130001 62.380001 1406400 57.630266
2014-03-07 62.299999 62.650002 61.82 62.560001 1683300 57.796561
2014-03-10 62.48 62.650002 62.07 62.25 1509100 57.510163
2014-03-11 62.400002 62.490002 61.959999 62.310001 1303600 57.565596
2014-03-12 62.169998 63 62.09 63 1571200 58.203057
2014-03-13 63.119999 64.480003 63.080002 64.419998 1963000 59.514934
2014-03-14 64.25 64.93 64.099998 64.580002 1390000 59.662754
2014-03-17 64.610001 65.199997 64.089996 65.199997 1004200 60.235542
2014-03-18 65.269997 65.449997 65 65.010002 939900 60.060014
2014-03-19 65.190002 65.620003 64.220001 64.57 1138300 59.653514
2014-03-20 64.400002 64.75 63.869999 64.75 1166400 59.819809
2014-03-21 65.089996 66.690002 64.970001 66.029999 2710400 61.002346
2014-03-24 66.199997 66.629997 65.830002 66.07 1560200 61.039301
2014-03-25 66.199997 66.360001 65.419998 66.089996 1036800 61.057775
2014-03-26 66.120003 66.220001 65.669998 65.769997 843700 60.762141
2014-03-27 66.040001 66.639999 65.559998 66.599998 1171200 61.528944
2014-03-28 66.68 66.809998 66.120003 66.650002 917800 61.57514
2014-03-31 66.779999 67.019997 66.379997 66.849998 1370400 61.759909
2014-04-01 66.809998 67.160004 66.510002 67.059998 1418300 61.953918
2014-04-02 67.010002 67.470001 66.410004 67.110001 1218200 62.000114
2014-04-03 67.169998 68.139999 66.82 68.099998 1749100 62.914732
2014-04-04 68.300003 69.919998 68.150002 69.07 2806100 63.810875
2014-04-07 69 69.779999 68.870003 69.139999 1719600 63.875545
2014-04-08 69.099998 70.260002 68.790001 70.190002 2322100 64.845599
2014-04-09 70.449997 71.120003 69.589996 70.279999 2964900 64.928742
2014-04-10 70.419998 70.889999 70 70.099998 1674100 64.762448
2014-04-11 70.099998 71 70.099998 70.349998 1808600 64.993412
2014-04-14 70.550003 71.040001 70.260002 70.949997 2532000 65.547726
2014-04-15 72.230003 72.580002 71.239998 71.970001 3795800 66.490065
2014-04-16 72.239998 73.269997 71.690002 72.010002 2902600 66.52702
2014-04-17 72.089996 72.43 71.07 71.260002 1861100 65.834126
2014-04-21 71.160004 71.769997 70.910004 71.080002 1512000 65.667832
2014-04-22 71.059998 71.419998 70.639999 71.019997 1895700 65.612395
2014-04-23 71.209999 71.800003 70.940002 71.019997 1787700 65.612395
2014-04-24 71.400002 71.580002 70.349998 71.419998 2013300 65.98194
2014-04-25 71.209999 71.949997 71.129997 71.839996 2001600 66.369959
2014-04-28 71.900002 73.029999 71.660004 72.82 2954400 67.275343
2014-04-29 73.129997 73.709999 72.629997 72.889999 2505900 67.340012
2014-04-30 73.199997 73.919998 72.459999 72.5 2864800 66.979708
2014-05-01 72.690002 73.25 72.080002 72.959999 1677100 67.404682
2014-05-02 72.669998 72.970001 71.68 72.239998 1606200 66.739503
2014-05-05 72.220001 73.129997 72.07 73.129997 1554500 67.561736
2014-05-06 73.209999 73.720001 73 73.129997 2153800 67.561736
2014-05-07 73.360001 75.199997 73.209999 75.160004 2693700 69.437174
2014-05-08 74.980003 75.07 74.330002 74.790001 2723100 69.095344
2014-05-09 74.720001 75.290001 74.370003 74.610001 1660800 68.929049
2014-05-12 74.699997 75.040001 74.07 74.379997 2812700 68.716559
2014-05-13 73.620003 73.779999 72.790001 73.410004 2372000 68.585764
2014-05-14 73.459999 74.290001 73.349998 74.269997 2113800 69.389241
2014-05-15 74.300003 74.419998 73.620003 74.290001 2603700 69.407931
2014-05-16 74.18 74.620003 74.010002 74.519997 1461200 69.622812
2014-05-19 74.440002 74.519997 73.099998 73.150002 1501000 68.342848
