"Index" "USD.TND"
2014-03-07 1.5705
2014-03-08 1.5715
2014-03-09 1.5715
2014-03-10 1.5703
2014-03-11 1.5709
2014-03-12 1.571
2014-03-13 1.569
2014-03-14 1.5756
2014-03-15 1.5757
2014-03-16 1.5757
2014-03-17 1.5719
2014-03-18 1.5718
2014-03-19 1.5728
2014-03-20 1.5821
2014-03-21 1.5821
2014-03-22 1.5833
2014-03-23 1.5802
2014-03-24 1.5805
2014-03-25 1.5782
2014-03-26 1.5795
2014-03-27 1.5828
2014-03-28 1.5854
2014-03-29 1.5849
2014-03-30 1.5849
2014-03-31 1.5826
2014-04-01 1.5813
2014-04-02 1.5813
2014-04-03 1.5849
2014-04-04 1.5893
2014-04-05 1.5915
2014-04-06 1.5915
2014-04-07 1.5876
2014-04-08 1.5875
2014-04-09 1.5889
2014-04-10 1.5827
2014-04-11 1.58
2014-04-12 1.5795
2014-04-13 1.581
2014-04-14 1.585
2014-04-15 1.5859
2014-04-16 1.5862
2014-04-17 1.5861
2014-04-18 1.5888
2014-04-19 1.5865
2014-04-20 1.5865
2014-04-21 1.5895
2014-04-22 1.5904
2014-04-23 1.5915
2014-04-24 1.5946
2014-04-25 1.5941
2014-04-26 1.5972
2014-04-27 1.5972
2014-04-28 1.5951
2014-04-29 1.6001
2014-04-30 1.6048
2014-05-01 1.6019
2014-05-02 1.6049
2014-05-03 1.6032
2014-05-04 1.6032
2014-05-05 1.6033
2014-05-06 1.6008
2014-05-07 1.6026
2014-05-08 1.6049
2014-05-09 1.6133
2014-05-10 1.6176
2014-05-11 1.6198
2014-05-12 1.6168
2014-05-13 1.618
2014-05-14 1.6199
2014-05-15 1.622
2014-05-16 1.6235
2014-05-17 1.623
2014-05-18 1.6238
2014-05-19 1.6225
2014-05-20 1.6242
2014-05-21 1.6265
2014-05-22 1.6268
2014-05-23 1.6304
2014-05-24 1.6319
2014-05-25 1.631
2014-05-26 1.6302
2014-05-27 1.6296
2014-05-28 1.6328
2014-05-29 1.6332
2014-05-30 1.6329
2014-05-31 1.6324
2014-06-01 1.6324
2014-06-02 1.6344
2014-06-03 1.6332
2014-06-04 1.6352
2014-06-05 1.6364
2014-06-06 1.6354
2014-06-07 1.64
2014-06-08 1.64
2014-06-09 1.6409
2014-06-10 1.6478
2014-06-11 1.6542
2014-06-12 1.6533
2014-06-13 1.6579
2014-06-14 1.6579
2014-06-15 1.6643
2014-06-16 1.6624
2014-06-17 1.6622
2014-06-18 1.6648
2014-06-19 1.6629
2014-06-20 1.6671
2014-06-21 1.6671
2014-06-22 1.671
2014-06-23 1.6742
2014-06-24 1.6806
2014-06-25 1.6854
2014-06-26 1.6848
2014-06-27 1.6849
2014-06-28 1.6849
2014-06-29 1.6778
2014-06-30 1.6841
2014-07-01 1.6814
2014-07-02 1.6849
2014-07-03 1.6881
2014-07-04 1.6928
2014-07-05 1.6942
2014-07-06 1.6942
2014-07-07 1.6938
2014-07-08 1.695
2014-07-09 1.6969
2014-07-10 1.7009
2014-07-11 1.7044
2014-07-12 1.7096
2014-07-13 1.7097
2014-07-14 1.7067
2014-07-15 1.709
2014-07-16 1.7162
2014-07-17 1.724
2014-07-18 1.7247
2014-07-19 1.7247
2014-07-20 1.722
2014-07-21 1.7256
2014-07-22 1.7264
2014-07-23 1.7264
2014-07-24 1.7235
2014-07-25 1.7219
2014-07-26 1.7235
2014-07-27 1.7225
2014-07-28 1.7221
2014-07-29 1.7198
2014-07-30 1.7223
2014-07-31 1.7215
2014-08-01 1.7154
2014-08-02 1.7154
2014-08-03 1.711
2014-08-04 1.7121
2014-08-05 1.7136
2014-08-06 1.7159
2014-08-07 1.716
2014-08-08 1.7175
2014-08-09 1.7156
2014-08-10 1.7127
2014-08-11 1.7158
2014-08-12 1.7186
2014-08-13 1.721
2014-08-14 1.7198
2014-08-15 1.7194
2014-08-16 1.7194
2014-08-17 1.7188
2014-08-18 1.7176
2014-08-19 1.7204
2014-08-20 1.7291
2014-08-21 1.7309
2014-08-22 1.7284
2014-08-23 1.7329
2014-08-24 1.7329
2014-08-25 1.7355
2014-08-26 1.7346
2014-08-27 1.7367
2014-08-28 1.7362
2014-08-29 1.7377
2014-08-30 1.7456
2014-08-31 1.7456
2014-09-01 1.743
2014-09-02 1.7447
2014-09-03 1.7429
2014-09-04 1.7478
2014-09-05 1.7592
2014-09-06 1.7621
2014-09-07 1.7621
2014-09-08 1.7608
2014-09-09 1.7665
