"Index" "BOB.Open" "BOB.High" "BOB.Low" "BOB.Close" "BOB.Volume" "BOB.Adjusted"
2013-02-14 0.16 0.16 0.16 0.16 4000 0.16
2013-02-15 0.135 0.135 0.135 0.135 4600 0.135
2013-02-18 0.135 0.135 0.135 0.135 0 0.135
2013-02-19 0.135 0.135 0.135 0.135 0 0.135
2013-02-20 0.135 0.135 0.135 0.135 0 0.135
2013-02-21 0.125 0.125 0.12 0.12 15300 0.12
2013-02-22 0.12 0.12 0.12 0.12 0 0.12
2013-02-25 0.12 0.12 0.12 0.12 0 0.12
2013-02-26 0.16 0.16 0.14 0.155 46700 0.155
2013-02-27 0.15 0.18 0.15 0.18 8200 0.18
2013-02-28 0.18 0.18 0.18 0.18 0 0.18
2013-03-01 0.19 0.19 0.185 0.185 8100 0.185
2013-03-04 0.185 0.185 0.185 0.185 0 0.185
2013-03-05 0.185 0.185 0.185 0.185 0 0.185
2013-03-06 0.15 0.19 0.135 0.19 32000 0.19
2013-03-07 0.19 0.2 0.19 0.2 3800 0.2
2013-03-08 0.18 0.18 0.145 0.18 10200 0.18
2013-03-11 0.15 0.18 0.15 0.18 1600 0.18
2013-03-12 0.15 0.18 0.15 0.18 4000 0.18
2013-03-13 0.18 0.18 0.18 0.18 0 0.18
2013-03-14 0.18 0.18 0.18 0.18 0 0.18
2013-03-15 0.18 0.18 0.18 0.18 0 0.18
2013-03-18 0.18 0.18 0.18 0.18 0 0.18
2013-03-19 0.18 0.18 0.18 0.18 0 0.18
2013-03-20 0.18 0.18 0.18 0.18 0 0.18
2013-03-21 0.14 0.185 0.135 0.135 3600 0.135
2013-03-22 0.175 0.18 0.14 0.17 18500 0.17
2013-03-25 0.17 0.17 0.17 0.17 0 0.17
2013-03-26 0.155 0.2 0.155 0.2 3500 0.2
2013-03-27 0.2 0.2 0.2 0.2 0 0.2
2013-03-28 0.2 0.2 0.2 0.2 0 0.2
2013-03-29 0.2 0.2 0.2 0.2 0 0.2
2013-04-01 0.2 0.2 0.2 0.2 2500 0.2
2013-04-02 0.2 0.2 0.2 0.2 1500 0.2
2013-04-03 0.2 0.2 0.2 0.2 0 0.2
2013-04-04 0.2 0.2 0.2 0.2 0 0.2
2013-04-05 0.2 0.2 0.2 0.2 0 0.2
2013-04-08 0.2 0.2 0.2 0.2 0 0.2
2013-04-09 0.165 0.165 0.16 0.16 63000 0.16
2013-04-10 0.16 0.16 0.16 0.16 0 0.16
2013-04-11 0.13 0.16 0.13 0.16 22800 0.16
2013-04-12 0.16 0.16 0.16 0.16 0 0.16
2013-04-15 0.16 0.16 0.16 0.16 0 0.16
2013-04-16 0.15 0.16 0.15 0.16 1500 0.16
2013-04-17 0.16 0.16 0.16 0.16 0 0.16
2013-04-18 0.16 0.16 0.16 0.16 0 0.16
2013-04-19 0.16 0.16 0.16 0.16 0 0.16
2013-04-22 0.16 0.16 0.16 0.16 0 0.16
2013-04-23 0.16 0.16 0.16 0.16 0 0.16
2013-04-24 0.15 0.15 0.1 0.15 13900 0.15
2013-04-25 0.15 0.15 0.15 0.15 0 0.15
2013-04-26 0.15 0.15 0.095 0.095 26000 0.095
2013-04-29 0.1 0.125 0.06 0.075 87000 0.075
2013-04-30 0.07 0.07 0.06 0.06 38700 0.06
2013-05-01 0.07 0.085 0.07 0.085 6000 0.085
2013-05-02 0.065 0.065 0.055 0.055 108900 0.055
2013-05-03 0.055 0.055 0.04 0.04 81000 0.04
2013-05-06 0.04 0.045 0.04 0.045 37500 0.045
2013-05-07 0.05 0.05 0.05 0.05 28900 0.05
2013-05-08 0.05 0.05 0.05 0.05 24700 0.05
2013-05-09 0.05 0.05 0.05 0.05 37500 0.05
2013-05-10 0.05 0.05 0.05 0.05 37700 0.05
2013-05-13 0.05 0.05 0.045 0.045 9700 0.045
2013-05-14 0.045 0.045 0.045 0.045 119500 0.045
2013-05-15 0.045 0.045 0.045 0.045 0 0.045
2013-05-16 0.045 0.045 0.045 0.045 1500 0.045
2013-05-17 0.045 0.045 0.045 0.045 0 0.045
2013-05-20 0.045 0.045 0.045 0.045 0 0.045
2013-05-21 0.045 0.045 0.045 0.045 0 0.045
2013-05-22 0.045 0.045 0.045 0.045 0 0.045
2013-05-23 0.045 0.045 0.045 0.045 0 0.045
2013-05-24 0.045 0.045 0.045 0.045 0 0.045
2013-05-27 0.045 0.045 0.045 0.045 0 0.045
2013-05-28 0.05 0.05 0.05 0.05 3000 0.05
2013-05-29 0.05 0.05 0.05 0.05 14200 0.05
2013-05-30 0.05 0.05 0.05 0.05 0 0.05
2013-05-31 0.05 0.05 0.05 0.05 0 0.05
2013-06-03 0.05 0.05 0.045 0.045 6000 0.045
2013-06-04 0.045 0.045 0.045 0.045 0 0.045
2013-06-05 0.045 0.045 0.045 0.045 0 0.045
2013-06-06 0.045 0.045 0.045 0.045 0 0.045
2013-06-07 0.045 0.045 0.045 0.045 0 0.045
2013-06-10 0.045 0.045 0.045 0.045 5000 0.045
2013-06-11 0.045 0.045 0.04 0.04 65000 0.04
2013-06-12 0.04 0.04 0.04 0.04 0 0.04
2013-06-13 0.04 0.04 0.04 0.04 10000 0.04
2013-06-14 0.04 0.04 0.04 0.04 30000 0.04
2013-06-17 0.04 0.045 0.04 0.04 70700 0.04
2013-06-18 0.04 0.04 0.04 0.04 3200 0.04
2013-06-19 0.04 0.04 0.04 0.04 0 0.04
2013-06-20 0.04 0.04 0.04 0.04 0 0.04
2013-06-21 0.04 0.04 0.04 0.04 0 0.04
2013-06-24 0.04 0.04 0.04 0.04 0 0.04
2013-06-25 0.04 0.04 0.04 0.04 0 0.04
2013-06-26 0.04 0.04 0.04 0.04 0 0.04
2013-06-27 0.04 0.04 0.04 0.04 0 0.04
2013-06-28 0.04 0.04 0.04 0.04 9800 0.04
2013-07-01 0.04 0.04 0.04 0.04 0 0.04
2013-07-02 0.04 0.04 0.04 0.04 0 0.04
2013-07-03 0.04 0.04 0.04 0.04 0 0.04
2013-07-04 0.05 0.05 0.05 0.05 4200 0.05
2013-07-05 0.04 0.04 0.04 0.04 10000 0.04
2013-07-08 0.04 0.04 0.04 0.04 0 0.04
2013-07-09 0.04 0.04 0.04 0.04 0 0.04
2013-07-10 0.055 0.055 0.055 0.055 10100 0.055
2013-07-11 0.055 0.055 0.055 0.055 0 0.055
2013-07-12 0.04 0.04 0.04 0.04 1500 0.04
2013-07-15 0.04 0.04 0.04 0.04 15700 0.04
2013-07-16 0.04 0.04 0.04 0.04 0 0.04
2013-07-17 0.04 0.04 0.04 0.04 0 0.04
2013-07-18 0.04 0.04 0.04 0.04 0 0.04
2013-07-19 0.04 0.04 0.04 0.04 0 0.04
2013-07-22 0.04 0.04 0.04 0.04 0 0.04
2013-07-23 0.04 0.04 0.04 0.04 0 0.04
2013-07-24 0.04 0.04 0.04 0.04 0 0.04
2013-07-25 0.04 0.04 0.04 0.04 0 0.04
2013-07-26 0.05 0.05 0.05 0.05 2000 0.05
2013-07-29 0.05 0.05 0.05 0.05 0 0.05
2013-07-30 0.05 0.05 0.05 0.05 0 0.05
2013-07-31 0.05 0.05 0.05 0.05 0 0.05
2013-08-01 0.05 0.05 0.05 0.05 0 0.05
2013-08-02 0.05 0.05 0.05 0.05 0 0.05
2013-08-05 0.05 0.05 0.05 0.05 0 0.05
2013-08-06 0.05 0.055 0.05 0.055 48700 0.055
2013-08-07 0.045 0.045 0.045 0.045 19200 0.045
2013-08-08 0.045 0.045 0.045 0.045 0 0.045
2013-08-09 0.07 0.07 0.07 0.07 10000 0.07
2013-08-12 0.055 0.055 0.055 0.055 28000 0.055
2013-08-13 0.055 0.055 0.055 0.055 0 0.055
2013-08-14 0.055 0.055 0.055 0.055 0 0.055
2013-08-15 0.055 0.055 0.055 0.055 0 0.055
2013-08-16 0.05 0.05 0.05 0.05 2500 0.05
2013-08-19 0.05 0.05 0.05 0.05 0 0.05
2013-08-20 0.05 0.05 0.05 0.05 5000 0.05
2013-08-21 0.07 0.07 0.07 0.07 10000 0.07
2013-08-22 0.07 0.07 0.07 0.07 12000 0.07
2013-08-23 0.07 0.07 0.07 0.07 0 0.07
2013-08-26 0.075 0.08 0.075 0.08 12500 0.08
2013-08-27 0.055 0.055 0.055 0.055 2500 0.055
2013-08-28 0.055 0.055 0.055 0.055 0 0.055
2013-08-29 0.055 0.055 0.055 0.055 0 0.055
2013-08-30 0.055 0.055 0.055 0.055 0 0.055
2013-09-02 0.055 0.055 0.055 0.055 0 0.055
2013-09-03 0.075 0.075 0.07 0.07 25000 0.07
2013-09-04 0.075 0.075 0.07 0.07 104200 0.07
2013-09-05 0.07 0.07 0.07 0.07 0 0.07
2013-09-06 0.085 0.085 0.085 0.085 3500 0.085
2013-09-09 0.085 0.085 0.085 0.085 0 0.085
2013-09-10 0.085 0.085 0.085 0.085 0 0.085
2013-09-11 0.07 0.085 0.07 0.085 45000 0.085
2013-09-12 0.085 0.085 0.085 0.085 0 0.085
2013-09-13 0.085 0.085 0.085 0.085 0 0.085
2013-09-16 0.08 0.08 0.08 0.08 7700 0.08
2013-09-17 0.08 0.08 0.08 0.08 0 0.08
2013-09-18 0.065 0.065 0.065 0.065 1700 0.065
2013-09-19 0.065 0.065 0.065 0.065 0 0.065
2013-09-20 0.065 0.065 0.065 0.065 0 0.065
2013-09-23 0.065 0.065 0.065 0.065 0 0.065
2013-09-24 0.08 0.08 0.08 0.08 13200 0.08
2013-09-25 0.065 0.065 0.065 0.065 1300 0.065
2013-09-26 0.065 0.065 0.065 0.065 0 0.065
2013-09-27 0.065 0.065 0.065 0.065 0 0.065
2013-09-30 0.065 0.065 0.065 0.065 0 0.065
2013-10-01 0.065 0.065 0.065 0.065 0 0.065
2013-10-02 0.065 0.065 0.065 0.065 0 0.065
2013-10-03 0.065 0.065 0.065 0.065 0 0.065
2013-10-04 0.065 0.065 0.065 0.065 0 0.065
2013-10-07 0.065 0.065 0.065 0.065 0 0.065
2013-10-08 0.065 0.065 0.06 0.06 28100 0.06
2013-10-09 0.06 0.06 0.06 0.06 0 0.06
2013-10-10 0.06 0.06 0.06 0.06 0 0.06
2013-10-11 0.06 0.06 0.06 0.06 0 0.06
2013-10-14 0.06 0.06 0.06 0.06 0 0.06
2013-10-15 0.06 0.06 0.06 0.06 0 0.06
2013-10-16 0.06 0.06 0.06 0.06 0 0.06
2013-10-17 0.06 0.06 0.06 0.06 0 0.06
2013-10-18 0.06 0.06 0.06 0.06 0 0.06
2013-10-21 0.06 0.06 0.06 0.06 0 0.06
2013-10-22 0.06 0.06 0.06 0.06 0 0.06
2013-10-23 0.06 0.06 0.06 0.06 0 0.06
2013-10-24 0.06 0.06 0.06 0.06 0 0.06
2013-10-25 0.075 0.075 0.075 0.075 10000 0.075
2013-10-28 0.075 0.075 0.075 0.075 0 0.075
2013-10-29 0.075 0.075 0.075 0.075 0 0.075
2013-10-30 0.06 0.06 0.06 0.06 3000 0.06
2013-10-31 0.06 0.06 0.06 0.06 0 0.06
2013-11-01 0.06 0.06 0.06 0.06 0 0.06
2013-11-04 0.06 0.06 0.06 0.06 0 0.06
2013-11-05 0.06 0.06 0.06 0.06 0 0.06
2013-11-06 0.06 0.06 0.06 0.06 0 0.06
2013-11-07 0.05 0.05 0.05 0.05 1000 0.05
2013-11-08 0.05 0.05 0.05 0.05 0 0.05
2013-11-11 0.05 0.05 0.05 0.05 0 0.05
2013-11-12 0.06 0.06 0.06 0.06 8500 0.06
2013-11-13 0.06 0.06 0.06 0.06 0 0.06
2013-11-14 0.05 0.05 0.05 0.05 1200 0.05
2013-11-15 0.05 0.05 0.05 0.05 0 0.05
2013-11-18 0.05 0.05 0.05 0.05 0 0.05
2013-11-19 0.05 0.05 0.05 0.05 0 0.05
2013-11-20 0.045 0.045 0.045 0.045 1700 0.045
2013-11-21 0.045 0.045 0.045 0.045 0 0.045
2013-11-22 0.045 0.045 0.045 0.045 0 0.045
2013-11-25 0.045 0.045 0.045 0.045 0 0.045
2013-11-26 0.045 0.045 0.045 0.045 0 0.045
2013-11-27 0.04 0.045 0.04 0.045 26800 0.045
2013-11-28 0.045 0.045 0.045 0.045 0 0.045
2013-11-29 0.04 0.04 0.04 0.04 1000 0.04
2013-12-02 0.04 0.04 0.04 0.04 0 0.04
2013-12-03 0.04 0.04 0.04 0.04 0 0.04
2013-12-04 0.04 0.04 0.04 0.04 0 0.04
2013-12-05 0.04 0.04 0.04 0.04 0 0.04
2013-12-06 0.04 0.04 0.04 0.04 0 0.04
2013-12-09 0.04 0.04 0.04 0.04 0 0.04
2013-12-10 0.04 0.04 0.04 0.04 0 0.04
2013-12-11 0.04 0.04 0.04 0.04 0 0.04
2013-12-12 0.04 0.04 0.04 0.04 0 0.04
2013-12-13 0.04 0.04 0.04 0.04 1500 0.04
2013-12-16 0.04 0.04 0.04 0.04 0 0.04
2013-12-17 0.04 0.04 0.04 0.04 2200 0.04
2013-12-18 0.04 0.04 0.04 0.04 0 0.04
2013-12-19 0.035 0.035 0.035 0.035 5000 0.035
2013-12-20 0.035 0.045 0.035 0.045 47800 0.045
2013-12-23 0.035 0.035 0.035 0.035 1700 0.035
2013-12-24 0.035 0.035 0.035 0.035 0 0.035
2013-12-25 0.035 0.035 0.035 0.035 0 0.035
2013-12-26 0.035 0.035 0.035 0.035 0 0.035
2013-12-27 0.035 0.035 0.035 0.035 4700 0.035
2013-12-30 0.035 0.035 0.035 0.035 0 0.035
2013-12-31 0.05 0.05 0.04 0.04 11700 0.04
2014-01-01 0.04 0.04 0.04 0.04 0 0.04
2014-01-02 0.04 0.04 0.04 0.04 0 0.04
2014-01-03 0.04 0.04 0.04 0.04 0 0.04
2014-01-06 0.04 0.04 0.04 0.04 0 0.04
2014-01-07 0.04 0.04 0.04 0.04 0 0.04
2014-01-08 0.04 0.04 0.04 0.04 0 0.04
2014-01-09 0.04 0.04 0.04 0.04 0 0.04
2014-01-10 0.04 0.04 0.04 0.04 0 0.04
2014-01-13 0.045 0.045 0.045 0.045 1000 0.045
2014-01-14 0.045 0.045 0.045 0.045 0 0.045
2014-01-15 0.045 0.045 0.045 0.045 1000 0.045
2014-01-16 0.045 0.045 0.045 0.045 0 0.045
2014-01-17 0.045 0.045 0.045 0.045 0 0.045
2014-01-20 0.045 0.045 0.045 0.045 6200 0.045
2014-01-21 0.045 0.045 0.045 0.045 0 0.045
2014-01-22 0.045 0.045 0.045 0.045 0 0.045
2014-01-23 0.05 0.05 0.05 0.05 7000 0.05
2014-01-24 0.05 0.05 0.05 0.05 0 0.05
2014-01-27 0.045 0.045 0.045 0.045 41400 0.045
2014-01-28 0.045 0.045 0.045 0.045 6500 0.045
2014-01-29 0.045 0.045 0.045 0.045 0 0.045
2014-01-30 0.045 0.045 0.045 0.045 0 0.045
2014-01-31 0.045 0.045 0.045 0.045 0 0.045
2014-02-03 0.045 0.045 0.045 0.045 14000 0.045
2014-02-04 0.045 0.045 0.045 0.045 0 0.045
2014-02-05 0.045 0.045 0.045 0.045 0 0.045
2014-02-06 0.045 0.045 0.045 0.045 0 0.045
2014-02-07 0.04 0.04 0.04 0.04 9800 0.04
2014-02-10 0.045 0.045 0.045 0.045 0 0.045
2014-02-11 0.045 0.045 0.045 0.045 0 0.045
2014-02-12 0.045 0.045 0.045 0.045 0 0.045
2014-02-13 0.04 0.04 0.035 0.035 6800 0.035
2014-02-14 0.035 0.035 0.035 0.035 0 0.035
2014-02-17 0.035 0.035 0.035 0.035 0 0.035
2014-02-18 0.035 0.035 0.035 0.035 0 0.035
2014-02-19 0.035 0.035 0.035 0.035 0 0.035
2014-02-20 0.04 0.04 0.04 0.04 3000 0.04
2014-02-21 0.035 0.035 0.035 0.035 3100 0.035
2014-02-24 0.04 0.04 0.04 0.04 2500 0.04
2014-02-25 0.04 0.04 0.04 0.04 0 0.04
2014-02-26 0.04 0.04 0.04 0.04 0 0.04
2014-02-27 0.04 0.04 0.04 0.04 0 0.04
2014-02-28 0.04 0.04 0.04 0.04 0 0.04
2014-03-03 0.04 0.04 0.04 0.04 0 0.04
2014-03-04 0.04 0.04 0.04 0.04 0 0.04
2014-03-05 0.04 0.04 0.04 0.04 0 0.04
2014-03-06 0.045 0.045 0.045 0.045 5900 0.045
2014-03-07 0.045 0.045 0.045 0.045 0 0.045
2014-03-10 0.045 0.045 0.045 0.045 0 0.045
2014-03-11 0.04 0.04 0.04 0.04 32500 0.04
2014-03-12 0.04 0.04 0.04 0.04 0 0.04
2014-03-13 0.04 0.04 0.04 0.04 0 0.04
2014-03-14 0.04 0.04 0.04 0.04 0 0.04
2014-03-17 0.04 0.04 0.04 0.04 3200 0.04
2014-03-18 0.04 0.04 0.04 0.04 3000 0.04
2014-03-19 0.04 0.04 0.04 0.04 0 0.04
2014-03-20 0.04 0.04 0.04 0.04 0 0.04
2014-03-21 0.04 0.04 0.04 0.04 0 0.04
2014-03-24 0.04 0.04 0.04 0.04 26500 0.04
2014-03-25 0.045 0.045 0.045 0.045 13000 0.045
2014-03-26 0.045 0.045 0.045 0.045 0 0.045
2014-03-27 0.045 0.045 0.045 0.045 0 0.045
2014-03-28 0.045 0.045 0.045 0.045 0 0.045
2014-03-31 0.045 0.045 0.045 0.045 0 0.045
2014-04-01 0.045 0.045 0.045 0.045 0 0.045
2014-04-02 0.045 0.045 0.045 0.045 0 0.045
2014-04-03 0.045 0.045 0.045 0.045 0 0.045
2014-04-04 0.05 0.055 0.05 0.05 20000 0.05
2014-04-07 0.05 0.05 0.05 0.05 0 0.05
2014-04-08 0.04 0.06 0.04 0.06 15500 0.06
2014-04-09 0.06 0.06 0.06 0.06 0 0.06
2014-04-10 0.06 0.06 0.06 0.06 0 0.06
2014-04-11 0.06 0.06 0.06 0.06 2000 0.06
2014-04-14 0.065 0.065 0.065 0.065 9000 0.065
2014-04-15 0.065 0.065 0.065 0.065 0 0.065
2014-04-16 0.055 0.055 0.055 0.055 8000 0.055
2014-04-17 0.055 0.055 0.055 0.055 0 0.055
2014-04-18 0.055 0.055 0.055 0.055 0 0.055
2014-04-21 0.055 0.055 0.055 0.055 0 0.055
2014-04-22 0.055 0.055 0.055 0.055 0 0.055
2014-04-23 0.055 0.055 0.055 0.055 0 0.055
2014-04-24 0.055 0.055 0.055 0.055 0 0.055
2014-04-25 0.055 0.055 0.055 0.055 0 0.055
2014-04-28 0.055 0.055 0.055 0.055 0 0.055
2014-04-29 0.04 0.065 0.04 0.065 7400 0.065
2014-04-30 0.065 0.065 0.065 0.065 20000 0.065
2014-05-01 0.065 0.065 0.065 0.065 0 0.065
2014-05-02 0.065 0.065 0.065 0.065 0 0.065
2014-05-05 0.065 0.065 0.065 0.065 0 0.065
2014-05-06 0.065 0.065 0.065 0.065 0 0.065
2014-05-07 0.065 0.065 0.065 0.065 0 0.065
2014-05-08 0.065 0.065 0.065 0.065 0 0.065
2014-05-09 0.065 0.065 0.065 0.065 0 0.065
2014-05-12 0.065 0.065 0.065 0.065 0 0.065
2014-05-13 0.065 0.065 0.065 0.065 0 0.065
2014-05-14 0.065 0.065 0.065 0.065 0 0.065
2014-05-15 0.065 0.065 0.065 0.065 0 0.065
2014-05-16 0.065 0.065 0.065 0.065 0 0.065
2014-05-19 0.065 0.065 0.065 0.065 0 0.065
2014-05-20 0.065 0.065 0.065 0.065 0 0.065
2014-05-21 0.055 0.055 0.04 0.04 29100 0.04
2014-05-22 0.04 0.04 0.04 0.04 1000 0.04
2014-05-23 0.04 0.04 0.04 0.04 0 0.04
2014-05-26 0.055 0.055 0.055 0.055 11600 0.055
2014-05-27 0.055 0.055 0.055 0.055 0 0.055
2014-05-28 0.04 0.04 0.04 0.04 2500 0.04
2014-05-29 0.04 0.04 0.04 0.04 0 0.04
2014-05-30 0.04 0.055 0.04 0.055 12500 0.055
2014-06-02 0.07 0.07 0.07 0.07 11000 0.07
2014-06-03 0.07 0.07 0.07 0.07 0 0.07
2014-06-04 0.07 0.07 0.07 0.07 0 0.07
2014-06-05 0.07 0.07 0.07 0.07 0 0.07
2014-06-06 0.07 0.07 0.07 0.07 0 0.07
2014-06-09 0.07 0.07 0.07 0.07 0 0.07
2014-06-10 0.07 0.07 0.07 0.07 0 0.07
2014-06-11 0.07 0.07 0.07 0.07 0 0.07
2014-06-12 0.05 0.07 0.05 0.07 6500 0.07
2014-06-13 0.07 0.07 0.07 0.07 0 0.07
2014-06-16 0.07 0.07 0.07 0.07 0 0.07
2014-06-17 0.07 0.07 0.07 0.07 0 0.07
2014-06-18 0.07 0.07 0.07 0.07 0 0.07
2014-06-19 0.07 0.07 0.07 0.07 0 0.07
2014-06-20 0.07 0.07 0.07 0.07 0 0.07
2014-06-23 0.07 0.07 0.07 0.07 0 0.07
2014-06-24 0.07 0.07 0.07 0.07 0 0.07
2014-06-25 0.07 0.07 0.07 0.07 0 0.07
2014-06-26 0.07 0.07 0.07 0.07 0 0.07
2014-06-27 0.07 0.07 0.07 0.07 0 0.07
2014-06-30 0.07 0.07 0.07 0.07 0 0.07
2014-07-01 0.07 0.07 0.07 0.07 0 0.07
2014-07-02 0.07 0.07 0.07 0.07 0 0.07
2014-07-03 0.07 0.07 0.07 0.07 0 0.07
2014-07-04 0.07 0.07 0.07 0.07 0 0.07
2014-07-07 0.07 0.07 0.07 0.07 0 0.07
2014-07-08 0.07 0.07 0.07 0.07 0 0.07
2014-07-09 0.07 0.07 0.07 0.07 0 0.07
2014-07-10 0.045 0.045 0.045 0.045 10000 0.045
2014-07-11 0.045 0.045 0.045 0.045 0 0.045
2014-07-14 0.045 0.045 0.045 0.045 0 0.045
2014-07-15 0.045 0.045 0.045 0.045 0 0.045
2014-07-16 0.045 0.045 0.045 0.045 0 0.045
2014-07-17 0.045 0.045 0.045 0.045 0 0.045
2014-07-18 0.045 0.045 0.045 0.045 0 0.045
2014-07-21 0.045 0.045 0.045 0.045 0 0.045
2014-07-22 0.045 0.045 0.045 0.045 0 0.045
2014-07-23 0.045 0.045 0.045 0.045 0 0.045
2014-07-24 0.04 0.04 0.04 0.04 2800 0.04
2014-07-25 0.05 0.05 0.05 0.05 2000 0.05
2014-07-28 0.05 0.05 0.05 0.05 0 0.05
2014-07-29 0.05 0.05 0.05 0.05 0 0.05
2014-07-30 0.05 0.05 0.05 0.05 0 0.05
2014-07-31 0.05 0.05 0.05 0.05 0 0.05
2014-08-01 0.05 0.05 0.05 0.05 0 0.05
2014-08-04 0.05 0.05 0.05 0.05 0 0.05
2014-08-05 0.05 0.05 0.045 0.045 27200 0.045
2014-08-06 0.04 0.05 0.04 0.05 2000 0.05
2014-08-07 0.065 0.065 0.065 0.065 4000 0.065
2014-08-08 0.065 0.065 0.065 0.065 19000 0.065
2014-08-11 0.065 0.065 0.065 0.065 0 0.065
2014-08-12 0.07 0.07 0.07 0.07 26200 0.07
2014-08-13 0.07 0.07 0.07 0.07 0 0.07
2014-08-14 0.07 0.07 0.07 0.07 0 0.07
2014-08-15 0.075 0.075 0.055 0.055 30000 0.055
2014-08-18 0.055 0.055 0.055 0.055 0 0.055
2014-08-19 0.055 0.055 0.055 0.055 2800 0.055
2014-08-20 0.075 0.075 0.06 0.06 15000 0.06
2014-08-21 0.075 0.075 0.075 0.075 10000 0.075
2014-08-22 0.08 0.08 0.08 0.08 1000 0.08
2014-08-25 0.055 0.055 0.055 0.055 1000 0.055
2014-08-26 0.055 0.055 0.055 0.055 0 0.055
2014-08-27 0.085 0.085 0.085 0.085 5200 0.085
2014-08-28 0.08 0.08 0.08 0.08 14000 0.08
2014-08-29 0.08 0.08 0.08 0.08 0 0.08
2014-09-01 0.08 0.08 0.08 0.08 0 0.08
2014-09-02 0.08 0.08 0.08 0.08 10000 0.08
2014-09-03 0.08 0.08 0.07 0.08 25500 0.08
2014-09-04 0.08 0.08 0.08 0.08 0 0.08
2014-09-05 0.08 0.08 0.08 0.08 0 0.08
2014-09-08 0.08 0.08 0.08 0.08 0 0.08
2014-09-09 0.08 0.08 0.08 0.08 0 0.08
2014-09-10 0.055 0.06 0.05 0.06 14000 0.06
2014-09-11 0.075 0.08 0.075 0.08 12000 0.08
2014-09-12 0.08 0.08 0.08 0.08 3000 0.08
2014-09-15 0.08 0.08 0.08 0.08 0 0.08
2014-09-16 0.08 0.08 0.08 0.08 30000 0.08
2014-09-17 0.08 0.08 0.08 0.08 20000 0.08
2014-09-18 0.08 0.08 0.08 0.08 0 0.08
2014-09-19 0.055 0.055 0.055 0.055 3500 0.055
2014-09-22 0.055 0.075 0.055 0.075 51000 0.075
2014-09-23 0.07 0.075 0.07 0.075 20000 0.075
2014-09-24 0.075 0.075 0.075 0.075 15000 0.075
2014-09-25 0.075 0.075 0.075 0.075 0 0.075
2014-09-26 0.075 0.075 0.075 0.075 0 0.075
2014-09-29 0.08 0.08 0.08 0.08 9100 0.08
2014-09-30 0.06 0.07 0.06 0.06 76000 0.06
2014-10-01 0.055 0.055 0.055 0.055 89000 0.055
2014-10-02 0.055 0.055 0.055 0.055 0 0.055
2014-10-03 0.055 0.055 0.055 0.055 0 0.055
2014-10-06 0.055 0.055 0.055 0.055 0 0.055
2014-10-07 0.055 0.055 0.055 0.055 0 0.055
2014-10-08 0.06 0.06 0.06 0.06 1900 0.06
2014-10-09 0.06 0.06 0.06 0.06 0 0.06
2014-10-10 0.06 0.06 0.06 0.06 0 0.06
2014-10-13 0.06 0.06 0.06 0.06 0 0.06
2014-10-14 0.06 0.06 0.06 0.06 0 0.06
2014-10-15 0.06 0.06 0.06 0.06 0 0.06
2014-10-16 0.06 0.06 0.06 0.06 0 0.06
2014-10-17 0.06 0.06 0.06 0.06 0 0.06
2014-10-20 0.06 0.06 0.06 0.06 0 0.06
2014-10-21 0.06 0.06 0.06 0.06 1200 0.06
2014-10-22 0.06 0.06 0.06 0.06 22600 0.06
2014-10-23 0.06 0.06 0.06 0.06 4400 0.06
