"Index" "IN.Open" "IN.High" "IN.Low" "IN.Close" "IN.Volume" "IN.Adjusted"
2013-09-09 0.015 0.015 0.015 0.015 7600 0.015
2013-09-10 0.015 0.015 0.015 0.015 0 0.015
2013-09-11 0.015 0.015 0.015 0.015 0 0.015
2013-09-12 0.015 0.015 0.015 0.015 0 0.015
2013-09-13 0.015 0.015 0.015 0.015 0 0.015
2013-09-16 0.015 0.015 0.015 0.015 1e+05 0.015
2013-09-17 0.015 0.015 0.015 0.015 0 0.015
2013-09-18 0.01 0.01 0.01 0.01 10500 0.01
2013-09-19 0.01 0.01 0.01 0.01 0 0.01
2013-09-20 0.01 0.01 0.01 0.01 0 0.01
2013-09-23 0.01 0.01 0.01 0.01 0 0.01
2013-09-24 0.01 0.01 0.01 0.01 0 0.01
2013-09-25 0.02 0.02 0.02 0.02 2000 0.02
2013-09-26 0.02 0.02 0.02 0.02 0 0.02
2013-09-27 0.02 0.02 0.02 0.02 0 0.02
2013-09-30 0.02 0.02 0.02 0.02 0 0.02
2013-10-01 0.02 0.02 0.02 0.02 0 0.02
2013-10-02 0.02 0.02 0.02 0.02 0 0.02
2013-10-03 0.02 0.02 0.02 0.02 0 0.02
2013-10-04 0.03 0.03 0.03 0.03 25000 0.03
2013-10-07 0.03 0.03 0.03 0.03 0 0.03
2013-10-08 0.03 0.04 0.03 0.04 21000 0.04
2013-10-09 0.04 0.04 0.04 0.04 0 0.04
2013-10-10 0.04 0.04 0.04 0.04 0 0.04
2013-10-11 0.04 0.04 0.04 0.04 0 0.04
2013-10-14 0.04 0.04 0.04 0.04 0 0.04
2013-10-15 0.04 0.04 0.04 0.04 0 0.04
2013-10-16 0.04 0.04 0.04 0.04 0 0.04
2013-10-17 0.04 0.04 0.04 0.04 0 0.04
2013-10-18 0.04 0.04 0.04 0.04 0 0.04
2013-10-21 0.04 0.04 0.04 0.04 0 0.04
2013-10-22 0.04 0.04 0.04 0.04 0 0.04
2013-10-23 0.03 0.03 0.025 0.025 43000 0.025
2013-10-24 0.025 0.025 0.025 0.025 0 0.025
2013-10-25 0.02 0.02 0.02 0.02 5800 0.02
2013-10-28 0.02 0.02 0.02 0.02 0 0.02
2013-10-29 0.02 0.02 0.02 0.02 0 0.02
2013-10-30 0.02 0.02 0.02 0.02 3300 0.02
2013-10-31 0.02 0.02 0.02 0.02 0 0.02
2013-11-01 0.02 0.02 0.02 0.02 0 0.02
2013-11-04 0.015 0.015 0.015 0.015 7600 0.015
2013-11-05 0.015 0.015 0.015 0.015 0 0.015
2013-11-06 0.015 0.015 0.015 0.015 0 0.015
2013-11-07 0.015 0.015 0.005 0.005 26200 0.005
2013-11-08 0.005 0.005 0.005 0.005 0 0.005
2013-11-11 0.005 0.005 0.005 0.005 2900 0.005
2013-11-12 0.005 0.005 0.005 0.005 0 0.005
2013-11-13 0.005 0.005 0.005 0.005 0 0.005
2013-11-14 0.005 0.005 0.005 0.005 0 0.005
2013-11-15 0.005 0.005 0.005 0.005 0 0.005
2013-11-18 0.005 0.005 0.005 0.005 0 0.005
2013-11-19 0.005 0.005 0.005 0.005 0 0.005
2013-11-20 0.03 0.03 0.03 0.03 16000 0.03
2013-11-21 0.035 0.035 0.035 0.035 1600 0.035
2013-11-22 0.04 0.045 0.04 0.045 139000 0.045
2013-11-25 0.045 0.045 0.045 0.045 8100 0.045
2013-11-26 0.045 0.045 0.04 0.04 21000 0.04
2013-11-27 0.04 0.04 0.04 0.04 7600 0.04
2013-11-28 0.04 0.04 0.04 0.04 2000 0.04
2013-11-29 0.06 0.06 0.05 0.05 21600 0.05
2013-12-02 0.055 0.055 0.05 0.05 50000 0.05
2013-12-03 0.05 0.05 0.05 0.05 0 0.05
2013-12-04 0.03 0.035 0.025 0.035 34900 0.035
2013-12-05 0.035 0.035 0.035 0.035 10200 0.035
2013-12-06 0.035 0.035 0.035 0.035 0 0.035
2013-12-09 0.035 0.035 0.035 0.035 0 0.035
2013-12-10 0.035 0.035 0.035 0.035 0 0.035
2013-12-11 0.035 0.035 0.035 0.035 0 0.035
2013-12-12 0.035 0.035 0.035 0.035 2000 0.035
2013-12-13 0.045 0.045 0.045 0.045 10000 0.045
2013-12-16 0.045 0.045 0.045 0.045 0 0.045
2013-12-17 0.045 0.045 0.045 0.045 0 0.045
2013-12-18 0.045 0.045 0.045 0.045 0 0.045
2013-12-19 0.045 0.045 0.045 0.045 0 0.045
2013-12-20 0.035 0.05 0.035 0.05 21000 0.05
2013-12-23 0.05 0.05 0.05 0.05 0 0.05
2013-12-24 0.05 0.05 0.05 0.05 0 0.05
2013-12-25 0.05 0.05 0.05 0.05 0 0.05
2013-12-26 0.05 0.05 0.05 0.05 0 0.05
2013-12-27 0.05 0.05 0.05 0.05 0 0.05
2013-12-30 0.035 0.035 0.035 0.035 1200 0.035
2013-12-31 0.035 0.035 0.03 0.03 22000 0.03
2014-01-01 0.03 0.03 0.03 0.03 0 0.03
2014-01-02 0.03 0.03 0.03 0.03 0 0.03
2014-01-03 0.03 0.03 0.03 0.03 0 0.03
2014-01-06 0.03 0.03 0.03 0.03 0 0.03
2014-01-07 0.03 0.03 0.03 0.03 0 0.03
2014-01-08 0.03 0.03 0.03 0.03 10400 0.03
2014-01-09 0.035 0.035 0.035 0.035 12000 0.035
2014-01-10 0.035 0.035 0.035 0.035 0 0.035
2014-01-13 0.04 0.04 0.04 0.04 1000 0.04
2014-01-14 0.06 0.06 0.05 0.06 83000 0.06
2014-01-15 0.06 0.06 0.06 0.06 0 0.06
2014-01-16 0.065 0.075 0.065 0.075 36000 0.075
2014-01-17 0.08 0.085 0.08 0.085 231000 0.085
2014-01-20 0.085 0.085 0.085 0.085 0 0.085
2014-01-21 0.085 0.085 0.085 0.085 0 0.085
2014-01-22 0.085 0.085 0.085 0.085 0 0.085
2014-01-23 0.085 0.1 0.085 0.085 535500 0.085
2014-01-24 0.08 0.08 0.065 0.075 115000 0.075
2014-01-27 0.075 0.075 0.07 0.07 55000 0.07
2014-01-28 0.06 0.07 0.06 0.07 11600 0.07
2014-01-29 0.075 0.08 0.075 0.08 58000 0.08
2014-01-30 0.07 0.07 0.07 0.07 66000 0.07
2014-01-31 0.07 0.07 0.06 0.06 34000 0.06
2014-02-03 0.07 0.075 0.06 0.06 97600 0.06
2014-02-04 0.07 0.07 0.07 0.07 10000 0.07
2014-02-05 0.06 0.06 0.06 0.06 40000 0.06
2014-02-06 0.06 0.07 0.06 0.07 75000 0.07
2014-02-07 0.07 0.07 0.07 0.07 0 0.07
2014-02-10 0.07 0.07 0.07 0.07 0 0.07
2014-02-11 0.07 0.07 0.07 0.07 0 0.07
2014-02-12 0.07 0.07 0.07 0.07 1e+05 0.07
2014-02-13 0.07 0.07 0.07 0.07 0 0.07
2014-02-14 0.07 0.07 0.07 0.07 31000 0.07
2014-02-17 0.07 0.07 0.07 0.07 0 0.07
2014-02-18 0.07 0.07 0.07 0.07 0 0.07
2014-02-19 0.07 0.075 0.07 0.07 50000 0.07
2014-02-20 0.07 0.07 0.07 0.07 0 0.07
2014-02-21 0.07 0.07 0.07 0.07 0 0.07
2014-02-24 0.07 0.07 0.07 0.07 0 0.07
2014-02-25 0.07 0.07 0.07 0.07 0 0.07
2014-02-26 0.07 0.07 0.07 0.07 0 0.07
2014-02-27 0.07 0.07 0.07 0.07 0 0.07
2014-02-28 0.06 0.06 0.06 0.06 10000 0.06
2014-03-03 0.06 0.06 0.06 0.06 0 0.06
2014-03-04 0.06 0.06 0.06 0.06 0 0.06
2014-03-05 0.06 0.06 0.06 0.06 0 0.06
2014-03-06 0.06 0.06 0.06 0.06 0 0.06
2014-03-07 0.06 0.06 0.06 0.06 75100 0.06
2014-03-10 0.06 0.06 0.06 0.06 0 0.06
2014-03-11 0.06 0.06 0.06 0.06 0 0.06
2014-03-12 0.06 0.06 0.06 0.06 0 0.06
2014-03-13 0.06 0.06 0.06 0.06 0 0.06
2014-03-14 0.06 0.06 0.06 0.06 0 0.06
2014-03-17 0.06 0.06 0.06 0.06 0 0.06
2014-03-18 0.07 0.07 0.07 0.07 1500 0.07
2014-03-19 0.07 0.08 0.07 0.08 195000 0.08
2014-03-20 0.075 0.075 0.06 0.075 76000 0.075
2014-03-21 0.07 0.075 0.07 0.07 46800 0.07
2014-03-24 0.065 0.065 0.065 0.065 70000 0.065
2014-03-25 0.07 0.07 0.07 0.07 485000 0.07
2014-03-26 0.07 0.07 0.07 0.07 6e+05 0.07
2014-03-27 0.07 0.07 0.07 0.07 450000 0.07
2014-03-28 0.07 0.07 0.07 0.07 1595300 0.07
2014-03-31 0.08 0.29 0.08 0.27 4958500 0.27
2014-04-01 0.29 0.33 0.24 0.255 1608600 0.255
2014-04-02 0.255 0.255 0.215 0.235 994200 0.235
2014-04-03 0.25 0.3 0.25 0.255 658400 0.255
2014-04-04 0.275 0.335 0.275 0.325 2451300 0.325
2014-04-07 0.315 0.315 0.285 0.29 645000 0.29
2014-04-08 0.3 0.3 0.27 0.285 319600 0.285
2014-04-09 0.32 0.34 0.3 0.335 325300 0.335
2014-04-10 0.35 0.37 0.335 0.345 395900 0.345
2014-04-11 0.34 0.34 0.3 0.305 348800 0.305
2014-04-14 0.315 0.315 0.28 0.28 101500 0.28
2014-04-15 0.285 0.285 0.22 0.25 230700 0.25
2014-04-16 0.255 0.27 0.25 0.25 407500 0.25
2014-04-17 0.25 0.26 0.23 0.24 354600 0.24
2014-04-18 0.24 0.24 0.24 0.24 0 0.24
2014-04-21 0.24 0.25 0.24 0.25 15000 0.25
2014-04-22 0.25 0.25 0.225 0.225 133000 0.225
2014-04-23 0.225 0.235 0.2 0.24 281000 0.24
2014-04-24 0.23 0.23 0.225 0.23 140000 0.23
2014-04-25 0.245 0.245 0.23 0.23 31000 0.23
2014-04-28 0.23 0.23 0.23 0.23 0 0.23
2014-04-29 0.23 0.23 0.215 0.215 181500 0.215
2014-04-30 0.22 0.25 0.205 0.24 339000 0.24
2014-05-01 0.245 0.3 0.245 0.285 942100 0.285
2014-05-02 0.29 0.315 0.275 0.31 1395900 0.31
2014-05-05 0.315 0.315 0.27 0.27 174300 0.27
2014-05-06 0.28 0.3 0.27 0.3 320500 0.3
2014-05-07 0.28 0.3 0.26 0.28 551100 0.28
2014-05-08 0.28 0.295 0.28 0.295 210000 0.295
2014-05-09 0.285 0.295 0.275 0.275 357700 0.275
2014-05-12 0.29 0.3 0.28 0.295 95800 0.295
2014-05-13 0.29 0.295 0.27 0.27 253300 0.27
2014-05-14 0.28 0.295 0.28 0.295 200200 0.295
2014-05-15 0.295 0.305 0.29 0.29 445000 0.29
2014-05-16 0.3 0.315 0.29 0.315 309000 0.315
2014-05-19 0.315 0.315 0.315 0.315 0 0.315
2014-05-20 0.315 0.315 0.315 0.315 0 0.315
2014-05-21 0.375 0.39 0.33 0.34 692500 0.34
2014-05-22 0.33 0.37 0.33 0.34 343600 0.34
2014-05-23 0.36 0.4 0.36 0.395 814200 0.395
2014-05-26 0.39 0.4 0.37 0.38 272600 0.38
2014-05-27 0.375 0.38 0.325 0.34 779000 0.34
2014-05-28 0.35 0.35 0.325 0.335 767500 0.335
2014-05-29 0.35 0.38 0.3 0.37 1136000 0.37
2014-05-30 0.37 0.5 0.36 0.37 399500 0.37
2014-06-02 0.385 0.45 0.38 0.385 462300 0.385
2014-06-03 0.38 0.405 0.37 0.405 431500 0.405
2014-06-04 0.425 0.52 0.41 0.49 2389900 0.49
2014-06-05 0.5 0.63 0.495 0.62 2389000 0.62
2014-06-06 0.65 0.71 0.65 0.66 2237300 0.66
2014-06-09 0.65 0.67 0.55 0.6 2141500 0.6
2014-06-10 0.59 0.65 0.55 0.59 1440700 0.59
2014-06-11 0.62 0.62 0.54 0.59 1325600 0.59
2014-06-12 0.58 0.68 0.58 0.68 1370100 0.68
2014-06-13 0.67 0.69 0.64 0.67 871500 0.67
2014-06-16 0.67 0.75 0.61 0.63 522000 0.63
2014-06-17 0.63 0.63 0.58 0.6 1023800 0.6
2014-06-18 0.59 0.6 0.57 0.58 717000 0.58
2014-06-19 0.58 0.65 0.58 0.62 1324300 0.62
2014-06-20 0.65 0.69 0.64 0.67 1181400 0.67
2014-06-23 0.69 0.7 0.6 0.68 710100 0.68
2014-06-24 0.67 0.67 0.57 0.57 1881400 0.57
2014-06-25 0.59 0.62 0.57 0.6 861600 0.6
2014-06-26 0.59 0.65 0.01 0.63 1074200 0.63
2014-06-27 0.63 0.63 0.59 0.6 844200 0.6
2014-06-30 0.6 0.65 0.58 0.59 1501000 0.59
2014-07-01 0.59 0.59 0.59 0.59 0 0.59
2014-07-02 0.6 0.6 0.53 0.56 734900 0.56
2014-07-03 0.56 0.61 0.53 0.6 605800 0.6
2014-07-04 0.61 0.63 0.58 0.6 458200 0.6
2014-07-07 0.61 0.63 0.58 0.58 566200 0.58
2014-07-08 0.59 0.59 0.52 0.55 437200 0.55
2014-07-09 0.57 0.59 0.56 0.58 549000 0.58
2014-07-10 0.59 0.59 0.54 0.54 457300 0.54
2014-07-11 0.55 0.56 0.52 0.52 458700 0.52
2014-07-14 0.52 0.52 0.46 0.49 615300 0.49
2014-07-15 0.48 0.485 0.42 0.45 852400 0.45
2014-07-16 0.45 0.59 0.45 0.5 706400 0.5
2014-07-17 0.49 0.51 0.41 0.415 679400 0.415
2014-07-18 0.425 0.45 0.32 0.44 292700 0.44
2014-07-21 0.43 0.77 0.375 0.4 660400 0.4
2014-07-22 0.425 0.57 0.4 0.43 743600 0.43
2014-07-23 0.43 0.43 0.38 0.38 368900 0.38
2014-07-24 0.385 0.45 0.35 0.36 448800 0.36
2014-07-25 0.36 0.46 0.25 0.38 598500 0.38
2014-07-28 0.37 0.37 0.25 0.335 252300 0.335
2014-07-29 0.315 0.315 0.315 0.315 1000 0.315
2014-07-30 0.315 0.315 0.315 0.315 2000 0.315
2014-07-31 0.315 0.345 0.3 0.335 527100 0.335
2014-08-01 0.2 0.495 0.2 0.39 542300 0.39
