"Index" "CB.Open" "CB.High" "CB.Low" "CB.Close" "CB.Volume" "CB.Adjusted"
2014-04-21 90.459999 90.779999 90.18 90.5 2088600 87.639073
2014-04-22 90.669998 91.160004 90.190002 90.550003 1424600 87.687495
2014-04-23 90.459999 90.980003 90.290001 90.449997 2443600 87.59065
2014-04-24 90.75 92 90.5 91.730003 1709500 88.830193
2014-04-25 90.970001 91.209999 88 90.029999 2117300 87.183929
2014-04-28 90.449997 91.550003 90.339996 91.349998 1535200 88.462201
2014-04-29 91.629997 92.360001 91.599998 91.879997 910700 88.975445
2014-04-30 91.870003 92.25 91.120003 92.080002 1185900 89.169127
2014-05-01 92.160004 92.650002 91.900002 92.620003 834900 89.692057
2014-05-02 92.709999 93.169998 92.459999 92.610001 868100 89.682371
2014-05-05 92.120003 92.669998 91.529999 92.540001 880000 89.614584
2014-05-06 92.190002 92.489998 92.080002 92.260002 850800 89.343437
2014-05-07 92.419998 94.07 92.419998 93.459999 1390200 90.505499
2014-05-08 93.639999 93.639999 92.82 92.959999 870500 90.021305
2014-05-09 92.940002 93.089996 92.389999 92.949997 876700 90.011619
2014-05-12 93.290001 93.760002 93.129997 93.470001 750800 90.515185
2014-05-13 93.480003 93.739998 93.230003 93.610001 667700 90.650759
2014-05-14 93.639999 93.839996 93.010002 93.599998 821200 90.641073
2014-05-15 93.199997 93.419998 91.889999 92.199997 1807500 89.285329
2014-05-16 92.260002 92.800003 92.099998 92.709999 951800 89.779208
2014-05-19 92.559998 92.980003 92.379997 92.790001 939500 89.856681
2014-05-20 92.75 93.139999 92.510002 92.739998 719000 89.808259
2014-05-21 92.849998 93 92.550003 92.839996 720900 89.905096
2014-05-22 92.800003 92.830002 92.089996 92.25 1389100 89.333751
2014-05-23 92.199997 92.580002 91.339996 91.809998 1592600 88.907658
2014-05-27 92.25 92.629997 91.93 92.529999 1114400 89.604898
2014-05-28 92.580002 92.800003 92.029999 92.550003 765800 89.62427
2014-05-29 92.589996 93.059998 92.440002 92.870003 656200 89.934154
2014-05-30 92.75 92.970001 92.529999 92.660004 1024900 89.730793
2014-06-02 92.779999 92.910004 92.459999 92.489998 823600 89.566162
2014-06-03 92.169998 92.389999 91.849998 92.040001 1202600 89.13039
2014-06-04 91.870003 93.629997 91.760002 93.580002 996500 90.621708
2014-06-05 93.610001 93.93 93.190002 93.879997 732300 90.91222
2014-06-06 93.93 94.599998 93.910004 94.080002 713300 91.105902
2014-06-09 93.900002 94.300003 93.900002 94.059998 680000 91.08653
2014-06-10 93.75 94.080002 93.660004 93.940002 707200 90.970328
2014-06-11 93.629997 93.910004 93.32 93.389999 677900 90.437712
2014-06-12 93.480003 93.790001 93 93.309998 730300 90.360239
2014-06-13 93.5 93.589996 93.029999 93.5 619100 90.544235
2014-06-16 93.419998 93.699997 93.230003 93.32 617300 90.369925
2014-06-17 93.010002 93.540001 92.760002 93.489998 631700 90.534549
2014-06-18 93.459999 93.669998 93.019997 93.57 706400 90.612022
2014-06-19 93.660004 94.269997 93.379997 94.029999 880500 91.05748
2014-06-20 94.059998 94.230003 93.309998 93.370003 1336600 90.418348
2014-06-23 93.43 93.889999 93.129997 93.330002 777500 90.379611
2014-06-24 93.330002 93.629997 93.040001 93.07 1009500 90.127828
2014-06-25 92.589996 93.019997 92.510002 92.669998 905000 90.225192
2014-06-26 92.650002 92.809998 91.900002 92.150002 798300 89.718914
2014-06-27 92.040001 92.519997 91.849998 92.220001 1636700 89.787067
2014-06-30 92.209999 92.5 91.989998 92.169998 909500 89.738383
2014-07-01 92.519997 93.139999 92.519997 92.75 1020100 90.303083
2014-07-02 92.580002 92.989998 92.25 92.330002 745400 89.894166
2014-07-03 92.75 93.120003 92.459999 92.849998 568700 90.400444
2014-07-07 92.919998 93.5 92.830002 93.43 892700 90.965144
2014-07-08 92.989998 93.410004 92.779999 92.800003 1145300 90.351767
2014-07-09 92.839996 93.540001 92.779999 93.459999 859000 90.994351
2014-07-10 92.790001 93.279999 92.620003 93.18 1068000 90.721739
2014-07-11 93.040001 93.620003 92.949997 93.43 899600 90.965144
2014-07-14 94.089996 94.370003 93.769997 93.940002 589200 91.461691
2014-07-15 93.940002 94.379997 93.889999 94.040001 1134500 91.559052
2014-07-16 94.150002 94.260002 93.75 93.860001 693600 91.3838
2014-07-17 93.589996 94.169998 92.940002 92.970001 551000 90.517281
2014-07-18 93.279999 93.599998 92.860001 93.580002 622400 91.111188
2014-07-21 93.07 93.870003 93.07 93.709999 581500 91.237756
2014-07-22 93.459999 93.459999 92.07 92.169998 1317600 89.738383
2014-07-23 92.519997 93 92.25 92.860001 854700 90.410182
2014-07-24 92.980003 93.230003 92.730003 92.760002 1074600 90.312822
2014-07-25 90.75 91.389999 88.889999 89.620003 2577900 87.255661
2014-07-28 89.190002 89.489998 88.529999 88.860001 1790300 86.515709
2014-07-29 88.940002 89.230003 88.5 88.559998 1146200 86.223621
2014-07-30 88.800003 88.800003 87.760002 87.900002 1517200 85.581037
2014-07-31 87.660004 88.080002 86.709999 86.709999 1613000 84.422429
2014-08-01 86.709999 87.629997 86.629997 86.980003 1558700 84.68531
2014-08-04 86.860001 87.209999 86.400002 87.059998 1522200 84.763194
2014-08-05 87.18 87.480003 86.690002 86.82 1487300 84.529527
2014-08-06 86.589996 87.489998 86.589996 87.440002 1346900 85.133173
2014-08-07 87.580002 87.760002 87.169998 87.470001 1900200 85.162381
2014-08-08 87.349998 88.470001 87.279999 88.339996 1180500 86.009424
2014-08-11 89 89.080002 88.339996 88.800003 928100 86.457295
2014-08-12 88.559998 89.309998 88.550003 88.860001 726700 86.515709
2014-08-13 89.209999 89.419998 88.839996 89.349998 614700 86.99278
2014-08-14 89.400002 90 89.349998 89.870003 577100 87.499066
2014-08-15 90.07 90.459999 89.239998 89.839996 757200 87.469851
2014-08-18 90.160004 90.559998 90.029999 90.440002 607300 88.054028
2014-08-19 90.43 90.599998 90.260002 90.360001 491600 87.976137
2014-08-20 90.370003 90.589996 90.040001 90.529999 663200 88.14165
2014-08-21 90.620003 91.190002 90.5 91.139999 564200 88.735558
2014-08-22 90.980003 91.18 90.260002 90.43 923000 88.04429
2014-08-25 90.839996 91.199997 90.489998 90.989998 725000 88.589513
2014-08-26 91.199997 91.400002 90.910004 91.099998 500800 88.696612
2014-08-27 91 91.610001 91 91.519997 523000 89.10553
2014-08-28 91.169998 91.730003 91.129997 91.459999 624000 89.047115
2014-08-29 91.599998 92.019997 91.279999 91.949997 849000 89.524186
2014-09-02 92.040001 92.349998 91.639999 91.989998 891100 89.563132
2014-09-03 92.440002 92.449997 91.800003 92.099998 803400 89.67023
2014-09-04 91.980003 92.410004 91.690002 91.769997 831000 89.348934
2014-09-05 91.589996 91.93 91.379997 91.860001 629000 89.436564
2014-09-08 91.900002 92.150002 91.410004 91.709999 614200 89.29052
2014-09-09 91.660004 91.800003 91.029999 91.290001 724200 88.881602
2014-09-10 91.25 91.610001 91.209999 91.379997 837200 88.969224
2014-09-11 91 91.300003 90.730003 91.129997 1052200 88.725819
2014-09-12 90.910004 91.440002 90.580002 90.769997 868400 88.375316
2014-09-15 90.849998 91.809998 90.639999 91.510002 693200 89.095799
2014-09-16 91.550003 91.82 91.190002 91.57 657300 89.154214
2014-09-17 91.459999 92.129997 91.230003 91.720001 1036100 89.790538
2014-09-18 92.129997 92.959999 91.870003 92.730003 1038200 90.779294
2014-09-19 93.029999 93.120003 92.07 92.129997 1708800 90.19191
2014-09-22 91.879997 92.269997 91.610001 91.800003 595800 89.868857
2014-09-23 91.629997 91.790001 90.459999 90.489998 1043700 88.58641
2014-09-24 90.470001 91.980003 90.43 91.620003 1021000 89.692643
2014-09-25 91.449997 91.449997 90.610001 90.610001 748000 88.703888
2014-09-26 90.5 91.690002 90.220001 91.410004 1041900 89.487062
2014-09-29 90.790001 91.480003 90.660004 90.970001 1072500 89.056316
2014-09-30 91.18 91.5 90.599998 91.080002 1373800 89.164002
2014-10-01 91.279999 91.580002 90.760002 90.769997 1222400 88.860519
2014-10-02 90.809998 91.879997 90.690002 91.510002 1111200 89.584957
2014-10-03 92.230003 93.309998 91.889999 93.239998 1474300 91.27856
2014-10-06 93.379997 93.800003 92.910004 93.080002 1019600 91.121929
2014-10-07 92.769997 92.949997 92.059998 92.059998 1309900 90.123382
2014-10-08 92.150002 94.099998 92.029999 94.040001 1990500 92.061734
2014-10-09 94.040001 94.279999 92.639999 92.660004 1947500 90.710766
2014-10-10 93 94.389999 92.620003 93.410004 2198200 91.444989
2014-10-13 93.110001 94.139999 92.540001 92.57 1210000 90.622656
2014-10-14 93.099998 93.75 92.620003 92.889999 1522400 90.935924
2014-10-15 92.230003 92.239998 90.370003 91.940002 1560600 90.005912
2014-10-16 90.639999 91.830002 90.529999 91.410004 983900 89.487062
2014-10-17 92.110001 93.209999 91.580002 92.889999 1176400 90.935924
2014-10-20 92.870003 93.110001 92.519997 92.970001 945800 91.014243
2014-10-21 93.279999 94.110001 92.769997 94.019997 1080800 92.04215
2014-10-22 93.830002 94.970001 93.790001 94.150002 1217900 92.16942
2014-10-23 94.959999 95 94.07 94.260002 1294600 92.277107
2014-10-24 94.120003 96.540001 94.040001 96.43 1810800 94.401456
2014-10-27 96.419998 97.949997 96.110001 97.610001 2033100 95.556633
2014-10-28 98.169998 98.309998 97.480003 97.949997 1067400 95.889477
2014-10-29 97.949997 98.580002 97.279999 97.839996 1059600 95.781791
2014-10-30 97.559998 98.779999 97.470001 98.410004 976300 96.339807
2014-10-31 99.559998 99.620003 98.889999 99.360001 1171100 97.269819
2014-11-03 99.260002 99.489998 98.669998 98.900002 914400 96.819497
2014-11-04 98.989998 99.900002 98.989998 99.599998 1070700 97.504768
2014-11-05 100.010002 100.349998 99.620003 100.349998 597200 98.238991
2014-11-06 100.300003 100.720001 100.050003 100.599998 634700 98.483732
2014-11-07 100.400002 101.150002 100.190002 101.139999 875900 99.012373
2014-11-10 101.620003 101.970001 101.18 101.870003 1078100 99.72702
2014-11-11 101.82 102.150002 101.370003 101.489998 552800 99.355009
2014-11-12 101.309998 101.620003 100.949997 101.519997 664100 99.384377
2014-11-13 101.879997 101.940002 101.190002 101.470001 717800 99.335433
2014-11-14 101.599998 102.059998 100.989998 101.25 619800 99.12006
2014-11-17 101.209999 101.699997 101.059998 101.550003 583800 99.413752
2014-11-18 101.510002 102.199997 101.25 101.739998 644500 99.59975
