"Index" "XPD.USD"
2014-03-12 776.5
2014-03-13 777.5
2014-03-14 772.5
2014-03-15 772.5
2014-03-16 774.5
2014-03-17 773.116
2014-03-18 768.485
2014-03-19 768.485
2014-03-20 769.65
2014-03-21 794
2014-03-22 794
2014-03-23 795.579
2014-03-24 795.018
2014-03-25 787.761
2014-03-26 780.373
2014-03-27 761.011
2014-03-28 774
2014-03-29 774
2014-03-30 773.438
2014-03-31 774.292
2014-04-01 779.308
2014-04-02 787
2014-04-03 786
2014-04-04 789.5
2014-04-05 789.5
2014-04-06 791.385
2014-04-07 767
2014-04-08 775.866
2014-04-09 783.186
2014-04-10 788.5
2014-04-11 804.5
2014-04-12 804.5
2014-04-13 811.888
2014-04-14 808
2014-04-15 793.418
2014-04-16 802.253
2014-04-17 797
2014-04-18 794
2014-04-19 794
2014-04-20 795.5
2014-04-21 780.57
2014-04-22 785.598
2014-04-23 786.4
2014-04-24 801.271
2014-04-25 810
2014-04-26 810
2014-04-27 809.891
2014-04-28 801.575
2014-04-29 806.485
2014-04-30 809.45
2014-05-01 814
2014-05-02 811.4
2014-05-03 811.4
2014-05-04 811.4
2014-05-05 814.553
2014-05-06 816.053
2014-05-07 799.697
2014-05-08 804.473
2014-05-09 802
2014-05-10 802
2014-05-11 800
2014-05-12 804.309
2014-05-13 816.216
2014-05-14 826.846
2014-05-15 814.201
2014-05-16 816.025
2014-05-17 816.025
2014-05-18 817.5
2014-05-19 816.667
2014-05-20 826.899
2014-05-21 828.424
2014-05-22 835.071
2014-05-23 829
2014-05-24 829
2014-05-25 832.359
2014-05-26 833.04
2014-05-27 833.35
2014-05-28 836.665
2014-05-29 835.592
2014-05-30 836.5
2014-05-31 836.5
2014-06-01 836
2014-06-02 831
2014-06-03 837.794
2014-06-04 836.538
2014-06-05 838.998
2014-06-06 843.5
2014-06-07 843.5
2014-06-08 845.029
2014-06-09 843
2014-06-10 852.615
2014-06-11 860
2014-06-12 829.852
2014-06-13 814
2014-06-14 814
2014-06-15 823.105
2014-06-16 812.646
2014-06-17 818
2014-06-18 827.785
2014-06-19 837
2014-06-20 821.946
2014-06-21 821.946
2014-06-22 822
2014-06-23 820.384
2014-06-24 828.14
2014-06-25 831.832
2014-06-26 835.419
2014-06-27 842
2014-06-28 842
2014-06-29 840.94
2014-06-30 843.928
2014-07-01 851.73
2014-07-02 855.935
2014-07-03 858.884
2014-07-04 858.884
2014-07-05 858.884
2014-07-06 864.558
2014-07-07 866.799
2014-07-08 873.085
2014-07-09 873.5
2014-07-10 873.75
2014-07-11 875
2014-07-12 875
2014-07-13 874.058
2014-07-14 872.5
