"Index" "N3L.Open" "N3L.High" "N3L.Low" "N3L.Close" "N3L.Volume" "N3L.Adjusted"
2013-11-11 0.292 0.292 0.292 0.292 0 0.292
2013-11-12 0.291 0.291 0.291 0.291 0 0.291
2013-11-13 0.288 0.288 0.288 0.288 0 0.288
2013-11-14 0.29 0.29 0.29 0.29 0 0.29
2013-11-15 0.285 0.285 0.285 0.285 0 0.285
2013-11-18 0.288 0.288 0.288 0.288 0 0.288
2013-11-19 0.285 0.285 0.285 0.285 0 0.285
2013-11-20 0.284 0.284 0.284 0.284 0 0.284
2013-11-21 0.28 0.28 0.28 0.28 0 0.28
2013-11-22 0.275 0.275 0.275 0.275 0 0.275
2013-11-25 0.274 0.274 0.274 0.274 0 0.274
2013-11-26 0.274 0.274 0.274 0.274 0 0.274
2013-11-27 0.262 0.262 0.262 0.262 0 0.262
2013-11-28 0.258 0.258 0.258 0.258 0 0.258
2013-11-29 0.261 0.261 0.261 0.261 0 0.261
2013-12-02 0.265 0.265 0.265 0.265 0 0.265
2013-12-03 0.253 0.253 0.253 0.253 0 0.253
2013-12-04 0.256 0.256 0.256 0.256 0 0.256
2013-12-05 0.249 0.249 0.249 0.249 0 0.249
2013-12-06 0.25 0.25 0.25 0.25 0 0.25
2013-12-09 0.25 0.25 0.25 0.25 0 0.25
2013-12-10 0.25 0.25 0.25 0.25 0 0.25
2013-12-11 0.25 0.25 0.25 0.25 0 0.25
2013-12-12 0.25 0.25 0.25 0.25 0 0.25
2013-12-13 0.25 0.25 0.25 0.25 0 0.25
2013-12-16 0.25 0.25 0.25 0.25 0 0.25
2013-12-17 0.25 0.25 0.25 0.25 0 0.25
2013-12-18 0.25 0.25 0.25 0.25 0 0.25
2013-12-19 0.25 0.25 0.25 0.25 0 0.25
2013-12-20 0.25 0.25 0.25 0.25 0 0.25
2013-12-23 0.25 0.25 0.25 0.25 0 0.25
2013-12-24 0.25 0.25 0.25 0.25 0 0.25
2013-12-25 0.25 0.25 0.25 0.25 0 0.25
2013-12-26 0.25 0.25 0.25 0.25 0 0.25
2013-12-27 0.25 0.25 0.25 0.25 0 0.25
2013-12-30 0.252 0.252 0.252 0.252 0 0.252
2013-12-31 0.252 0.252 0.252 0.252 0 0.252
2014-01-01 0.252 0.252 0.252 0.252 0 0.252
2014-01-02 0.259 0.259 0.259 0.259 0 0.259
2014-01-03 0.252 0.252 0.252 0.252 0 0.252
2014-01-06 0.247 0.247 0.247 0.247 0 0.247
2014-01-07 0.252 0.252 0.252 0.252 0 0.252
2014-01-08 0.252 0.252 0.252 0.252 0 0.252
2014-01-09 0.254 0.254 0.254 0.254 0 0.254
2014-01-10 0.254 0.254 0.254 0.254 0 0.254
2014-01-13 0.253 0.253 0.253 0.253 0 0.253
2014-01-14 0.251 0.251 0.251 0.251 0 0.251
2014-01-15 0.252 0.252 0.252 0.252 0 0.252
2014-01-16 0.258 0.258 0.258 0.258 0 0.258
2014-01-17 0.251 0.251 0.251 0.251 0 0.251
2014-01-20 0.266 0.266 0.266 0.266 0 0.266
2014-01-21 0.272 0.272 0.272 0.272 0 0.272
2014-01-22 0.261 0.261 0.261 0.261 0 0.261
2014-01-23 0.262 0.262 0.262 0.262 0 0.262
2014-01-24 0.285 0.285 0.285 0.285 0 0.285
2014-01-27 0.282 0.282 0.282 0.282 0 0.282
2014-01-28 0.284 0.284 0.284 0.284 0 0.284
2014-01-29 0.281 0.281 0.281 0.281 0 0.281
2014-01-30 0.281 0.281 0.281 0.281 0 0.281
2014-01-31 0.282 0.282 0.282 0.282 0 0.282
2014-02-03 0.282 0.282 0.282 0.282 0 0.282
2014-02-04 0.281 0.281 0.281 0.281 0 0.281
2014-02-05 0.28 0.28 0.28 0.28 0 0.28
2014-02-06 0.279 0.279 0.279 0.279 0 0.279
2014-02-07 0.287 0.287 0.287 0.287 0 0.287
2014-02-10 0.288 0.288 0.288 0.288 0 0.288
2014-02-11 0.281 0.281 0.281 0.281 0 0.281
2014-02-12 0.285 0.285 0.285 0.285 0 0.285
2014-02-13 0.288 0.288 0.288 0.288 0 0.288
2014-02-14 0.297 0.297 0.297 0.297 0 0.297
