"Index" "AR.Open" "AR.High" "AR.Low" "AR.Close" "AR.Volume" "AR.Adjusted"
2014-02-13 56.610001 57.5 55.59 56.790001 711100 56.790001
2014-02-14 57 58.310001 56.5 57.139999 710800 57.139999
2014-02-18 57.259998 58.27 57.029999 57.139999 410100 57.139999
2014-02-19 57.380001 58.900002 56.810001 58.360001 629500 58.360001
2014-02-20 58.279999 58.419998 57.07 57.639999 369800 57.639999
2014-02-21 58.080002 58.130001 55.959999 57.139999 1462400 57.139999
2014-02-24 57.470001 58.98 57.09 58.27 965500 58.27
2014-02-25 57.98 58.950001 57.759998 58.610001 561200 58.610001
2014-02-26 58.57 59.09 58.029999 58.580002 787400 58.580002
2014-02-27 59.139999 62.040001 56.82 60.669998 1676900 60.669998
2014-02-28 60.830002 61.040001 58.900002 60.34 756300 60.34
2014-03-03 60.34 61.400002 57.77 59.490002 989700 59.490002
2014-03-04 59.650002 60.09 58.5 59.349998 542800 59.349998
2014-03-05 59.700001 61.150002 59.049999 59.360001 897700 59.360001
2014-03-06 59.790001 61.57 59.349998 61.009998 836400 61.009998
2014-03-07 60.970001 61.470001 60.700001 61.240002 454700 61.240002
2014-03-10 61.18 61.540001 60 60.779999 451500 60.779999
2014-03-11 61.060001 61.830002 59.950001 60.59 429600 60.59
2014-03-12 60.369999 61.07 59.560001 60.240002 422800 60.240002
2014-03-13 60.25 60.740002 59.209999 59.529999 603000 59.529999
2014-03-14 59.799999 60.880001 59.290001 60.150002 383800 60.150002
2014-03-17 60.310001 61.5 58.84 61.040001 755800 61.040001
2014-03-18 62.349998 64.709999 62.349998 63.349998 1380600 63.349998
2014-03-19 64 64.949997 62.5 62.830002 1058300 62.830002
2014-03-20 62.77 63.990002 61.66 63.950001 651100 63.950001
2014-03-21 63.91 64.910004 62.799999 63.830002 1046600 63.830002
2014-03-24 64.5 67.230003 63.860001 65.699997 1274900 65.699997
2014-03-25 66.480003 68 66.190002 67.410004 1081800 67.410004
2014-03-26 67.849998 68.43 65.260002 65.480003 657300 65.480003
2014-03-27 65.32 65.400002 62.450001 63.689999 1612000 63.689999
2014-03-28 63.610001 64.529999 63.150002 64.040001 1010500 64.040001
2014-03-31 64.099998 64.650002 61.84 62.599998 947200 62.599998
2014-04-01 62.450001 65.279999 61.369999 65.080002 1576400 65.080002
2014-04-02 65.489998 66.110001 64.529999 65.889999 792600 65.889999
2014-04-03 66.419998 66.620003 65.419998 66.080002 595400 66.080002
2014-04-04 65.779999 66.68 64 66.029999 871600 66.029999
2014-04-07 65.099998 65.360001 62.98 63.360001 983100 63.360001
2014-04-08 62.200001 64.550003 61.889999 64.470001 883100 64.470001
2014-04-09 64.900002 65.32 64.360001 64.860001 534400 64.860001
2014-04-10 65 65.830002 63.34 64.459999 668000 64.459999
2014-04-11 64.080002 65.07 63.07 63.220001 796100 63.220001
2014-04-14 63.470001 63.470001 56.279999 59.060001 3916800 59.060001
2014-04-15 58.720001 60.240002 58.02 60.209999 1860800 60.209999
2014-04-16 60.279999 63.02 60.209999 62.009998 1209400 62.009998
2014-04-17 61.869999 63.869999 60.77 63.360001 525100 63.360001
2014-04-21 63.25 64.779999 62.459999 64.529999 917800 64.529999
2014-04-22 64.610001 65.629997 63.66 63.709999 569600 63.709999
2014-04-23 64.300003 64.379997 63.400002 63.549999 482800 63.549999
2014-04-24 64.029999 64.169998 62.34 63.290001 1446600 63.290001
