"Index" "GD.Open" "GD.High" "GD.Low" "GD.Close" "GD.Volume" "GD.Adjusted"
2013-04-03 67.160004 68.629997 66.870003 68.389999 3044400 64.18573
2013-04-04 68.489998 68.720001 67.190002 67.690002 2333600 63.528765
2013-04-05 67.370003 69.639999 67.169998 69.559998 3411400 65.283802
2013-04-08 69.550003 69.559998 68.629997 69.080002 1861500 64.833314
2013-04-09 69.370003 69.68 68.790001 69.330002 1502700 65.067946
2013-04-10 68.849998 69.709999 68.739998 69.459999 1748100 65.7208
2013-04-11 69.699997 71.379997 69.599998 71.330002 2784600 67.490136
2013-04-12 70.779999 70.910004 69.989998 70.599998 3324400 66.79943
2013-04-15 69.669998 70 68.099998 68.190002 2224500 64.51917
2013-04-16 68.550003 68.839996 67.970001 68.389999 1810300 64.708401
2013-04-17 67.739998 67.970001 65.769997 66.43 3789700 62.853913
2013-04-18 66.5 66.660004 65.370003 65.989998 3396300 62.437597
2013-04-19 66.349998 67.129997 66.269997 67 2861600 63.393228
2013-04-22 67.160004 67.160004 66.050003 66.370003 1760900 62.797145
2013-04-23 66.940002 67.18 66.230003 67.099998 1719000 63.487844
2013-04-24 68.519997 72.18 68.5 71.730003 5152800 67.868604
2013-04-25 71.559998 73.959999 71.120003 73.529999 4411900 69.571702
2013-04-26 73.360001 73.900002 73.010002 73.300003 2026300 69.354087
2013-04-29 73.480003 73.480003 72.970001 73.279999 1994400 69.33516
2013-04-30 73.300003 74.089996 72.68 73.959999 2080300 69.978554
2013-05-01 73.68 74.540001 73.669998 73.779999 2345900 69.808244
2013-05-02 73.839996 74.470001 73.690002 74.459999 1293300 70.451638
2013-05-03 74.5 75.379997 74.480003 75.239998 1803100 71.189647
2013-05-06 75.07 75.5 74.900002 75.25 1480900 71.199111
2013-05-07 75.290001 75.599998 74.889999 75.199997 1595700 71.1518
2013-05-08 75.099998 75.629997 74.739998 75.419998 1584400 71.359958
2013-05-09 75.440002 75.870003 75.019997 75.25 1202100 71.199111
2013-05-10 75.25 75.769997 75.150002 75.699997 1876600 71.624884
2013-05-13 75.419998 75.699997 74.760002 75.199997 1733300 71.1518
2013-05-14 75.32 77 75.32 76.639999 2664000 72.514283
2013-05-15 76.330002 76.720001 75.709999 76.610001 2191700 72.4859
2013-05-16 76.550003 77.050003 76.040001 76.139999 2057100 72.0412
2013-05-17 76.389999 78.290001 76.379997 78.290001 2720900 74.075461
2013-05-20 78.150002 78.669998 77.889999 78.599998 2315700 74.368771
2013-05-21 78.470001 78.690002 77.82 77.980003 1875000 73.782152
2013-05-22 78.120003 78.599998 77.139999 77.419998 1742100 73.252293
2013-05-23 76.440002 77.269997 76.160004 76.940002 1368300 72.798137
2013-05-24 76.650002 77.699997 76.370003 77.339996 1278600 73.176598
2013-05-28 78.120003 78.519997 77.489998 77.870003 1068300 73.678073
2013-05-29 77.459999 78.089996 77.089996 77.529999 1151000 73.356372
2013-05-30 77.790001 78.760002 77.769997 78.349998 1167600 74.132229
2013-05-31 78 78.379997 77.099998 77.099998 1715800 72.94952
2013-06-03 77.230003 77.919998 76.809998 77.57 1612700 73.39422
2013-06-04 77.410004 77.809998 76.349998 77.209999 1661400 73.053599
2013-06-05 76.870003 77.160004 76.459999 76.68 1310000 72.552131
2013-06-06 76.690002 77.879997 76.379997 77.849998 1844100 73.659145
2013-06-07 78.300003 79.459999 78.080002 79.120003 1914000 74.860782
2013-06-10 79.019997 79.25 78.360001 78.580002 1672300 74.349851
2013-06-11 77.949997 79.110001 77.800003 78.169998 1448800 73.961919
2013-06-12 78.660004 79 77.910004 78.300003 1258500 74.084925
2013-06-13 78.150002 78.589996 77.690002 78.07 2498400 73.867303
2013-06-14 78.110001 79 77.900002 78 1570000 73.801072
2013-06-17 78.629997 79.129997 77.959999 78.379997 1322200 74.160613
2013-06-18 78.580002 79.480003 78.529999 78.849998 1890300 74.605313
2013-06-19 78.940002 78.959999 77.480003 77.5 1735200 73.327988
2013-06-20 76.980003 77.629997 76.129997 76.230003 2246400 72.126358
2013-06-21 76.809998 77.209999 76.199997 76.199997 3264400 72.097967
2013-06-24 76.040001 77.099998 75.629997 76.480003 2283500 72.3629
2013-06-25 76.970001 77.120003 76.099998 76.419998 2067900 72.306125
2013-06-26 77.199997 77.970001 76.690002 77.889999 2217400 73.696993
2013-06-27 78.339996 79.010002 78.029999 78.669998 1848700 74.435002
2013-06-28 78.440002 78.93 78.269997 78.330002 2382600 74.113309
2013-07-01 78.059998 79.370003 77.959999 79.010002 2260700 74.756703
2013-07-02 78.209999 78.730003 77.599998 78.07 2863900 74.394591
2013-07-03 77.910004 78.589996 77.400002 78.339996 885800 74.651877
2013-07-05 79.040001 79.57 78.620003 79.419998 1172000 75.681034
2013-07-08 79.910004 80.150002 79.379997 79.720001 2848800 75.966913
2013-07-09 80.209999 80.540001 79.720001 79.860001 1942800 76.100322
2013-07-10 79.989998 80.959999 79.919998 80.599998 2234500 76.805482
2013-07-11 81.330002 82.720001 81.220001 82.449997 2794200 78.568385
2013-07-12 82.279999 83.059998 82.230003 82.599998 2296900 78.711325
2013-07-15 82.650002 83.580002 82.550003 83.559998 1563800 79.626129
2013-07-16 83.629997 83.879997 82.949997 83.010002 3147300 79.102026
2013-07-17 83.029999 83.440002 82.620003 82.93 1020700 79.025791
2013-07-18 83.25 84.150002 83.089996 83.720001 1553400 79.7786
2013-07-19 83.809998 84.669998 83.540001 84.400002 2955200 80.426587
2013-07-22 84.160004 84.809998 83.93 84.230003 1897500 80.264592
2013-07-23 84.449997 84.559998 83.779999 84.029999 1469800 80.074003
2013-07-24 85.019997 86.599998 84.940002 85.309998 2996300 81.293742
2013-07-25 85.400002 85.919998 84.629997 85.800003 1605500 81.760679
2013-07-26 85.32 85.860001 85.050003 85.860001 1142900 81.817852
2013-07-29 84.800003 85.330002 83.989998 85.019997 2024900 81.017394
2013-07-30 85.169998 86.010002 85 85.650002 1496400 81.617739
2013-07-31 85.5 86.169998 85.07 85.339996 2853400 81.322328
2013-08-01 85.800003 86.970001 85.760002 86.809998 1524400 82.723124
2013-08-02 86.68 87.540001 86.440002 87.489998 1761700 83.371111
2013-08-05 87.040001 87.82 86.550003 87.690002 1547900 83.5617
2013-08-06 87.279999 87.849998 87.230003 87.339996 1658600 83.228172
2013-08-07 87.300003 87.540001 86.790001 87.019997 2125300 82.923237
2013-08-08 87.379997 87.800003 86.860001 87.019997 998500 82.923237
2013-08-09 87.029999 87.279999 86.459999 86.919998 1337700 82.827946
2013-08-12 86.629997 86.709999 85.739998 85.769997 1265400 81.732085
2013-08-13 85.809998 86.190002 85.279999 86 1266100 81.95126
2013-08-14 86.029999 86.040001 85.160004 85.290001 1384400 81.274687
2013-08-15 84.440002 84.779999 83.720001 83.809998 1171700 79.864359
2013-08-16 83.480003 84.300003 83.410004 83.75 1466300 79.807186
2013-08-19 83.43 84.550003 83.410004 84.150002 1299800 80.188357
2013-08-20 84.139999 84.779999 84.059998 84.110001 882900 80.150239
2013-08-21 84 84.269997 83.540001 83.709999 1084600 79.769069
2013-08-22 84 84.690002 83.870003 84.5 1022200 80.521878
2013-08-23 84.470001 84.709999 84.190002 84.610001 954500 80.6267
2013-08-26 84.669998 85.199997 84.239998 84.239998 1534100 80.274116
2013-08-27 83.739998 84.349998 82.730003 82.910004 1275400 79.006736
2013-08-28 82.870003 83.360001 82.230003 82.849998 1265600 78.949556
2013-08-29 82.690002 83.769997 82.459999 83.580002 1011300 79.645191
2013-08-30 83.639999 83.709999 83.010002 83.25 1178700 79.330726
2013-09-03 84.32 84.739998 83.970001 84.349998 1239500 80.378938
2013-09-04 84.129997 85.089996 84.019997 84.989998 2013800 80.988807
2013-09-05 84.839996 85.050003 84.330002 84.989998 838500 80.988807
2013-09-06 85.110001 85.169998 83.760002 84.57 973800 80.588582
2013-09-09 84.760002 85.489998 84.760002 85.279999 1101100 81.265155
2013-09-10 85.599998 86.760002 85.519997 86.739998 1348700 82.65642
2013-09-11 86.300003 86.989998 86.110001 86.900002 1072900 82.808891
2013-09-12 87.019997 87.129997 86.389999 86.629997 931400 82.551598
2013-09-13 86.860001 87.279999 86.309998 87.129997 922300 83.028059
2013-09-16 87.57 88.330002 87.43 88.07 1209000 83.923808
2013-09-17 86.650002 89.199997 86.650002 89.139999 1315800 84.943433
2013-09-18 89 89.779999 88.089996 89.389999 1319800 85.181664
2013-09-19 89.379997 89.940002 88.900002 89.650002 1279800 85.429425
2013-09-20 89.620003 89.709999 88.099998 88.150002 1688900 84.000043
2013-09-23 88.059998 88.610001 87.610001 87.910004 1293700 83.771344
2013-09-24 87.849998 88.330002 87.769997 87.93 1536000 83.790399
2013-09-25 88.040001 88.160004 87.580002 87.739998 1288100 83.609342
2013-09-26 87.68 88.459999 87.57 88.25 823300 84.095334
2013-09-27 87.900002 88.379997 87.730003 88.290001 1126100 84.133451
2013-09-30 86.25 87.910004 86.169998 87.519997 1695600 83.399698
2013-10-01 87.449997 88.489998 87.440002 88.480003 1127400 84.314509
2013-10-02 88.040001 88.040001 86.669998 87.510002 1303300 83.390174
2013-10-03 87.459999 87.459999 85.190002 85.980003 1472700 81.932205
2013-10-04 85.870003 86.279999 85.410004 85.910004 911400 81.865501
2013-10-07 85.360001 86.809998 85.25 86.169998 1232400 82.113255
2013-10-08 86.309998 86.489998 84.919998 84.970001 1491300 80.969752
2013-10-09 84.519997 84.900002 83.610001 84.279999 1513200 80.845049
2013-10-10 85.029999 87.410004 84.949997 87.410004 1765800 83.847486
2013-10-11 87.410004 87.769997 87.139999 87.760002 963500 84.18322
2013-10-14 87.129997 87.940002 86.790001 87.809998 709500 84.231178
2013-10-15 87.889999 88 86.510002 86.849998 787900 83.310305
2013-10-16 87.160004 87.629997 86.940002 87.550003 1025000 83.98178
2013-10-17 87.470001 88.5 87.18 88.379997 801400 84.777946
2013-10-18 88.470001 88.550003 87.919998 88.400002 1360300 84.797135
2013-10-21 88.599998 88.739998 87.93 88 1980300 84.413436
2013-10-22 88.449997 88.690002 87.989998 88.160004 2098200 84.566919
2013-10-23 88.889999 88.980003 85.830002 86.230003 2410100 82.715578
2013-10-24 86.199997 87.150002 85.790001 87.120003 2036300 83.569305
2013-10-25 86.919998 88.300003 86.550003 88.260002 1907600 84.662842
2013-10-28 88.110001 88.160004 87.339996 87.650002 1750100 84.077703
2013-10-29 87.82 87.919998 87.099998 87.879997 1762700 84.298325
2013-10-30 88.089996 88.449997 86.349998 86.489998 2055100 82.964977
2013-10-31 86.620003 86.93 86.129997 86.629997 1446800 83.09927
2013-11-01 86.849998 87.730003 86.660004 87.150002 877700 83.598081
2013-11-04 87.459999 87.57 86.959999 87.080002 800900 83.530934
2013-11-05 87.050003 87.540001 86.760002 87.099998 1081500 83.550116
2013-11-06 87.589996 87.849998 87.199997 87.669998 1192200 84.096884
2013-11-07 87.709999 87.989998 86.739998 86.800003 1349900 83.262347
2013-11-08 86.760002 87.459999 86.589996 87.199997 1427900 83.646039
2013-11-11 87.220001 87.309998 87.040001 87.169998 989400 83.617262
2013-11-12 86.760002 87.25 86.639999 86.730003 1014000 83.1952
2013-11-13 86.510002 87.150002 86.360001 87.080002 1846200 83.530934
2013-11-14 87.5 87.940002 87.209999 87.940002 2238800 84.355884
2013-11-15 87.82 88.779999 87.290001 88.709999 1588600 85.094498
2013-11-18 89 89.93 88.910004 89.300003 1407500 85.660456
2013-11-19 89.169998 89.93 89.050003 89.809998 1796600 86.149665
2013-11-20 89.900002 90.419998 89.300003 89.620003 1688900 85.967414
2013-11-21 90 91.160004 89.830002 91.099998 1796900 87.38709
2013-11-22 90.940002 92.220001 90.720001 92.150002 1538400 88.394299
2013-11-25 92.309998 92.489998 91.300003 91.68 1122900 87.943453
2013-11-26 91.720001 92.290001 91.690002 91.919998 1004700 88.17367
2013-11-27 91.989998 92.75 91.919998 92.269997 886300 88.509403
2013-11-29 92.330002 92.5 91.57 91.660004 776200 87.924271
2013-12-02 91.400002 92.080002 91.019997 91.220001 1136900 87.502202
2013-12-03 91.089996 91.360001 90.019997 90.339996 1198600 86.658063
2013-12-04 90 90.769997 88.849998 89.480003 1597700 85.83312
2013-12-05 89.279999 90.260002 89.099998 89.230003 882000 85.593309
2013-12-06 90.059998 90.790001 89.779999 90.790001 1042700 87.089727
2013-12-09 90.889999 90.980003 90.410004 90.529999 690200 86.840322
2013-12-10 90.230003 90.959999 89.989998 90.550003 893000 86.859511
2013-12-11 90.739998 90.900002 89.18 89.699997 1924600 86.044148
2013-12-12 89.470001 90.099998 89.410004 89.889999 1141100 86.226406
2013-12-13 89.889999 90.620003 89.379997 90.260002 1178100 86.581329
2013-12-16 90.480003 91.339996 90.290001 90.919998 1200800 87.214426
2013-12-17 91.269997 91.5 91.010002 91.440002 1124200 87.713237
2013-12-18 91.400002 93.610001 91.010002 93.550003 1926800 89.737241
2013-12-19 92.949997 93.129997 92.050003 92.660004 1365600 88.883515
2013-12-20 92.639999 93.910004 92.639999 93.370003 1832100 89.564577
2013-12-23 93.849998 93.910004 93.010002 93.18 1019500 89.382319
2013-12-24 93.32 93.769997 93.139999 93.769997 358400 89.948269
2013-12-26 93.949997 94.940002 93.949997 94.839996 786800 90.974659
2013-12-27 94.489998 95.040001 94.449997 95 944600 91.128142
2013-12-30 94.970001 95.099998 94.660004 95.099998 1015100 91.224064
2013-12-31 94.739998 95.760002 94.360001 95.550003 1078900 91.655728
2014-01-02 94.849998 95.529999 94.540001 94.75 1816400 90.888331
2014-01-03 94.760002 95.370003 94.339996 94.739998 1045600 90.878736
2014-01-06 94.949997 95.269997 94.029999 94.459999 1581900 90.610149
2014-01-07 94.699997 95.660004 94.669998 95.260002 1470800 91.377547
2014-01-08 95.160004 95.300003 94.199997 94.720001 1842200 90.859555
2014-01-09 95.019997 95.970001 94.989998 95.230003 1848500 91.348771
2014-01-10 95.599998 95.639999 94.529999 95.099998 1459900 91.224064
2014-01-13 94.889999 96.279999 94.699997 95.010002 1846500 91.137736
2014-01-14 95.440002 95.959999 95 95.959999 1659900 92.049015
2014-01-15 95.230003 96.650002 94.93 95.589996 2668300 92.232339
2014-01-16 95.449997 95.830002 95.18 95.400002 777300 92.049018
2014-01-17 95.400002 95.919998 95.330002 95.470001 1748500 92.116559
2014-01-21 95.839996 96.870003 95.209999 95.300003 1673100 91.952532
2014-01-22 96.120003 100.599998 93.849998 99.650002 5421000 96.149734
2014-01-23 99.959999 101.800003 99.93 101.550003 3070600 97.982997
2014-01-24 100.040001 100.209999 98.099998 98.309998 3503500 94.856799
2014-01-27 97.860001 100.370003 97.860001 99.949997 3145800 96.439192
2014-01-28 100.019997 101.730003 100.019997 100.5 3568800 96.969876
2014-01-29 99.779999 99.989998 98.43 99.010002 2536200 95.532215
2014-01-30 99.139999 100.709999 99.110001 100.489998 2363900 96.960225
2014-01-31 99.209999 102.18 98.830002 101.309998 3304200 97.751422
2014-02-03 101 101.769997 98.400002 98.470001 2721800 95.011182
