"Index" "GOC.Open" "GOC.High" "GOC.Low" "GOC.Close" "GOC.Volume" "GOC.Adjusted"
2013-04-10 0.131 0.131 0.131 0.131 0 0.131
2013-04-11 0.124 0.124 0.124 0.124 0 0.124
2013-04-12 0.122 0.122 0.122 0.122 0 0.122
2013-04-15 0.113 0.113 0.113 0.113 0 0.113
2013-04-16 0.115 0.115 0.115 0.115 0 0.115
2013-04-17 0.116 0.116 0.116 0.116 0 0.116
2013-04-18 0.111 0.111 0.111 0.111 0 0.111
2013-04-19 0.12 0.12 0.12 0.12 0 0.12
2013-04-22 0.12 0.12 0.12 0.12 0 0.12
2013-04-23 0.124 0.124 0.124 0.124 0 0.124
2013-04-24 0.124 0.124 0.124 0.124 0 0.124
2013-04-25 0.112 0.112 0.112 0.112 0 0.112
2013-04-26 0.122 0.122 0.122 0.122 0 0.122
2013-04-29 0.113 0.113 0.113 0.113 0 0.113
2013-04-30 0.118 0.118 0.118 0.118 0 0.118
2013-05-01 0.118 0.118 0.118 0.118 0 0.118
2013-05-02 0.121 0.121 0.121 0.121 0 0.121
2013-05-03 0.119 0.119 0.119 0.119 0 0.119
2013-05-06 0.118 0.118 0.118 0.118 0 0.118
2013-05-07 0.115 0.115 0.115 0.115 0 0.115
2013-05-08 0.119 0.119 0.119 0.119 0 0.119
2013-05-09 0.114 0.114 0.114 0.114 0 0.114
2013-05-10 0.114 0.114 0.114 0.114 0 0.114
2013-05-13 0.12 0.12 0.12 0.12 0 0.12
2013-05-14 0.123 0.123 0.123 0.123 0 0.123
2013-05-15 0.113 0.113 0.113 0.113 0 0.113
2013-05-16 0.11 0.11 0.11 0.11 0 0.11
2013-05-17 0.11 0.11 0.11 0.11 0 0.11
2013-05-20 0.113 0.113 0.113 0.113 0 0.113
2013-05-21 0.102 0.102 0.102 0.102 0 0.102
2013-05-22 0.109 0.109 0.109 0.109 0 0.109
2013-05-23 0.108 0.108 0.108 0.108 0 0.108
2013-05-24 0.108 0.108 0.108 0.108 0 0.108
2013-05-27 0.105 0.105 0.105 0.105 0 0.105
2013-05-28 0.112 0.112 0.112 0.112 0 0.112
2013-05-29 0.116 0.116 0.116 0.116 0 0.116
2013-05-30 0.104 0.104 0.104 0.104 0 0.104
2013-05-31 0.109 0.109 0.109 0.109 0 0.109
2013-06-03 0.104 0.104 0.104 0.104 0 0.104
2013-06-04 0.107 0.107 0.107 0.107 0 0.107
2013-06-05 0.114 0.114 0.114 0.114 0 0.114
2013-06-06 0.117 0.117 0.117 0.117 0 0.117
2013-06-07 0.118 0.118 0.118 0.118 0 0.118
2013-06-10 0.112 0.112 0.112 0.112 0 0.112
