"Index" "MGN.Open" "MGN.High" "MGN.Low" "MGN.Close" "MGN.Volume" "MGN.Adjusted"
2013-10-14 0.54 0.58 0.54 0.553 17600 0.553
2013-10-15 0.55 0.57 0.54 0.56 8800 0.56
2013-10-16 0.55 0.57 0.55 0.564 6000 0.564
2013-10-17 0.57 0.57 0.56 0.57 9200 0.57
2013-10-18 0.57 0.59 0.55 0.57 23400 0.57
2013-10-21 0.58 0.68 0.58 0.65 73200 0.65
2013-10-22 0.69 0.69 0.61 0.63 30500 0.63
2013-10-23 0.65 0.66 0.61 0.63 5000 0.63
2013-10-24 0.62 0.62 0.6 0.61 10300 0.61
2013-10-25 0.6 0.61 0.581 0.61 30800 0.61
2013-10-28 0.58 0.68 0.56 0.58 51600 0.58
2013-10-29 0.62 0.64 0.57 0.582 15200 0.582
2013-10-30 0.6 0.6 0.59 0.6 8100 0.6
2013-10-31 0.63 0.64 0.6 0.6 50900 0.6
2013-11-01 0.6 0.6 0.594 0.6 4400 0.6
2013-11-04 0.57 0.6 0.57 0.6 10800 0.6
2013-11-05 0.58 0.59 0.56 0.57 32500 0.57
2013-11-06 0.56 0.565 0.52 0.56 27900 0.56
2013-11-07 0.55 0.56 0.52 0.55 49300 0.55
2013-11-08 0.52 0.54 0.52 0.54 11600 0.54
2013-11-11 0.55 0.565 0.55 0.56 5500 0.56
2013-11-12 0.547 0.565 0.53 0.53 22100 0.53
2013-11-13 0.56 0.56 0.54 0.55 34000 0.55
2013-11-14 0.53 0.56 0.53 0.56 20700 0.56
2013-11-15 0.53 0.55 0.53 0.53 21100 0.53
2013-11-18 0.54 0.55 0.53 0.53 5300 0.53
2013-11-19 0.53 0.54 0.53 0.537 10900 0.537
2013-11-20 0.535 0.54 0.5 0.502 98700 0.502
2013-11-21 0.5 0.529 0.5 0.525 16500 0.525
2013-11-22 0.53 0.54 0.51 0.524 12300 0.524
2013-11-25 0.5 0.528 0.5 0.5 94600 0.5
2013-11-26 0.488 0.57 0.48 0.53 50300 0.53
2013-11-27 0.54 0.54 0.52 0.53 21900 0.53
2013-11-29 0.53 0.55 0.53 0.547 25500 0.547
2013-12-02 0.545 0.55 0.535 0.535 8400 0.535
2013-12-03 0.53 0.548 0.53 0.535 26200 0.535
2013-12-04 0.55 0.55 0.535 0.54 7000 0.54
2013-12-05 0.535 0.55 0.535 0.54 40300 0.54
2013-12-06 0.54 0.54 0.53 0.53 10800 0.53
2013-12-09 0.57 0.57 0.54 0.55 43300 0.55
2013-12-10 0.58 0.62 0.56 0.61 137400 0.61
2013-12-11 0.64 0.64 0.572 0.59 49500 0.59
2013-12-12 0.521 0.59 0.51 0.58 62600 0.58
2013-12-13 0.61 0.61 0.55 0.56 13100 0.56
2013-12-16 0.54 0.6 0.54 0.6 33900 0.6
2013-12-17 0.61 0.61 0.579 0.59 6700 0.59
2013-12-18 0.62 0.62 0.55 0.58 24600 0.58
2013-12-19 0.55 0.585 0.55 0.58 16200 0.58
2013-12-20 0.559 0.58 0.55 0.57 25500 0.57
2013-12-23 0.58 0.59 0.56 0.58 18400 0.58
2013-12-24 0.57 0.581 0.57 0.57 13800 0.57
2013-12-26 0.56 0.59 0.56 0.58 23400 0.58
2013-12-27 0.59 0.62 0.58 0.61 23400 0.61
2013-12-30 0.6 0.6 0.56 0.566 24900 0.566
2013-12-31 0.56 0.61 0.56 0.6 38900 0.6
2014-01-02 0.64 0.658 0.61 0.658 107400 0.658
2014-01-03 0.65 0.67 0.65 0.66 34300 0.66
2014-01-06 0.65 0.666 0.63 0.64 11100 0.64
2014-01-07 0.65 0.65 0.64 0.65 8200 0.65
2014-01-08 0.65 0.65 0.62 0.64 23500 0.64
2014-01-09 0.65 0.65 0.648 0.648 15100 0.648
2014-01-10 0.648 0.648 0.6 0.62 27100 0.62
2014-01-13 0.648 0.648 0.631 0.639 18900 0.639
2014-01-14 0.64 0.64 0.61 0.61 4500 0.61
2014-01-15 0.64 0.64 0.6 0.6 28000 0.6
2014-01-16 0.61 0.62 0.59 0.62 50300 0.62
2014-01-17 0.59 0.61 0.59 0.61 21800 0.61
2014-01-21 0.59 0.685 0.59 0.67 239600 0.67
2014-01-22 0.66 0.851 0.636 0.8 189200 0.8
2014-01-23 0.76 0.844 0.749 0.8 97600 0.8
2014-01-24 0.81 0.81 0.75 0.75 27700 0.75
2014-01-27 0.75 0.79 0.7 0.7 47500 0.7
2014-01-28 0.69 0.69 0.665 0.67 22300 0.67
2014-01-29 0.69 0.69 0.639 0.65 44300 0.65
2014-01-30 0.68 0.81 0.66 0.682 85400 0.682
2014-01-31 0.75 0.86 0.75 0.766 483400 0.766
2014-02-03 0.86 0.92 0.8 0.821 259700 0.821
2014-02-04 0.87 0.87 0.77 0.773 112100 0.773
2014-02-05 0.85 0.85 0.79 0.798 212200 0.798
2014-02-06 0.88 0.88 0.84 0.85 81100 0.85
2014-02-07 0.88 0.909 0.83 0.853 98100 0.853
2014-02-10 0.95 0.95 0.864 0.888 126700 0.888
2014-02-11 0.91 1.05 0.91 0.97 2e+05 0.97
2014-02-12 1.02 1.03 0.98 0.99 129900 0.99
2014-02-13 0.99 1.02 0.96 0.96 114300 0.96
2014-02-14 1 1.412 1 1.2 953800 1.2
2014-02-18 1.31 1.34 1.25 1.31 660200 1.31
2014-02-19 1.25 1.28 1.16 1.18 258400 1.18
2014-02-20 1.19 1.24 1.1 1.24 194400 1.24
2014-02-21 1.24 1.24 1.13 1.18 213500 1.18
2014-02-24 1.24 1.24 1.15 1.18 248300 1.18
2014-02-25 1.19 1.2 1.14 1.19 99000 1.19
2014-02-26 1.19 1.193 1.13 1.15 96600 1.15
2014-02-27 1.24 1.53 1.21 1.47 1171800 1.47
2014-02-28 1.39 1.41 1.3 1.36 243400 1.36
2014-03-03 1.44 1.52 1.39 1.5 269600 1.5
2014-03-04 1.5 1.5 1.4 1.46 159200 1.46
2014-03-05 1.5 1.62 1.47 1.599 652700 1.599
2014-03-06 1.6 1.8 1.6 1.73 568600 1.73
2014-03-07 1.74 1.74 1.6 1.68 342400 1.68
2014-03-10 1.68 1.74 1.41 1.42 399400 1.42
2014-03-11 1.51 1.63 1.463 1.5 307400 1.5
2014-03-12 1.65 1.65 1.41 1.45 269700 1.45
2014-03-13 1.599 1.6 1.35 1.37 216600 1.37
