"Index" "DAC.Open" "DAC.High" "DAC.Low" "DAC.Close" "DAC.Volume" "DAC.Adjusted"
2013-10-21 4.13 4.15 3.91 4.05 14700 4.05
2013-10-22 4.01 4.1 3.88 3.9 11000 3.9
2013-10-23 3.9 3.93 3.76 3.93 10100 3.93
2013-10-24 3.88 4.06 3.88 3.93 3800 3.93
2013-10-25 3.9 4.05 3.85 3.85 19900 3.85
2013-10-28 3.88 3.91 3.68 3.75 32700 3.75
2013-10-29 3.83 3.98 3.76 3.91 15300 3.91
2013-10-30 4 4.07 3.87 4 75100 4
2013-10-31 4 4 3.91 4 11100 4
2013-11-01 4 4.05 3.99 4.01 12600 4.01
2013-11-04 4.01 4.05 3.92 4.03 39900 4.03
2013-11-05 4.01 4.14 4 4.11 20300 4.11
2013-11-06 4.18 4.34 4.07 4.34 16500 4.34
2013-11-07 4.25 4.3 4.02 4.22 9300 4.22
2013-11-08 4.24 4.24 4.1 4.18 4700 4.18
2013-11-11 4.09 4.18 4.06 4.18 6500 4.18
2013-11-12 4.16 4.17 4 4.17 11100 4.17
2013-11-13 4.09 4.2 4.02 4.2 16600 4.2
2013-11-14 4.19 4.33 4.15 4.23 16600 4.23
2013-11-15 4.18 4.45 4.18 4.41 63600 4.41
2013-11-18 4.36 4.45 4.34 4.39 22500 4.39
2013-11-19 4.36 4.41 4.28 4.36 10600 4.36
2013-11-20 4.32 4.44 4.32 4.41 8600 4.41
2013-11-21 4.42 4.55 4.39 4.51 23000 4.51
2013-11-22 4.43 4.43 4.31 4.41 26600 4.41
2013-11-25 4.4 4.57 4.4 4.52 31600 4.52
2013-11-26 4.49 4.53 4.4 4.49 20900 4.49
2013-11-27 4.4 4.5 4.39 4.48 15000 4.48
2013-11-29 4.5 4.54 4.45 4.45 12200 4.45
2013-12-02 4.43 4.51 4.4 4.5 8800 4.5
2013-12-03 4.45 4.49 4.42 4.44 3900 4.44
2013-12-04 4.41 4.45 4.4 4.41 9300 4.41
