"Index" "MNH.Open" "MNH.High" "MNH.Low" "MNH.Close" "MNH.Volume" "MNH.Adjusted"
2014-03-13 0.005 0.005 0.005 0.005 0 0.005
2014-03-14 0.005 0.005 0.005 0.005 50000 0.005
2014-03-17 0.005 0.005 0.005 0.005 1500 0.005
2014-03-18 0.005 0.005 0.005 0.005 2e+05 0.005
2014-03-19 0.005 0.005 0.005 0.005 46900 0.005
2014-03-20 0.005 0.005 0.005 0.005 0 0.005
2014-03-21 0.005 0.005 0.005 0.005 0 0.005
2014-03-24 0.005 0.005 0.005 0.005 55000 0.005
2014-03-25 0.005 0.005 0.005 0.005 60000 0.005
2014-03-26 0.005 0.005 0.005 0.005 15700 0.005
2014-03-27 0.005 0.005 0.005 0.005 4000 0.005
2014-03-28 0.005 0.005 0.005 0.005 0 0.005
2014-03-31 0.005 0.005 0.005 0.005 0 0.005
2014-04-01 0.005 0.005 0.005 0.005 0 0.005
2014-04-02 0.005 0.005 0.005 0.005 96000 0.005
2014-04-03 0.005 0.005 0.005 0.005 0 0.005
2014-04-04 0.005 0.005 0.005 0.005 165000 0.005
2014-04-07 0.005 0.005 0.005 0.005 0 0.005
2014-04-08 0.005 0.005 0.005 0.005 19000 0.005
2014-04-09 0.005 0.005 0.005 0.005 0 0.005
2014-04-10 0.005 0.005 0.005 0.005 0 0.005
2014-04-11 0.005 0.005 0.005 0.005 0 0.005
2014-04-14 0.005 0.005 0.005 0.005 9800 0.005
2014-04-15 0.005 0.005 0.005 0.005 10000 0.005
2014-04-16 0.005 0.005 0.005 0.005 5800 0.005
2014-04-17 0.005 0.005 0.005 0.005 79500 0.005
2014-04-18 0.005 0.005 0.005 0.005 0 0.005
2014-04-21 0.005 0.005 0.005 0.005 166000 0.005
2014-04-22 0.005 0.005 0.005 0.005 1720000 0.005
2014-04-23 0.005 0.005 0.005 0.005 0 0.005
2014-04-24 0.005 0.005 0.005 0.005 2e+05 0.005
2014-04-25 0.005 0.005 0.005 0.005 0 0.005
2014-04-28 0.005 0.005 0.005 0.005 0 0.005
2014-04-29 0.005 0.005 0.005 0.005 0 0.005
2014-04-30 0.005 0.005 0.005 0.005 0 0.005
2014-05-01 0.005 0.005 0.005 0.005 40000 0.005
2014-05-02 0.005 0.005 0.005 0.005 20000 0.005
2014-05-05 0.005 0.005 0.005 0.005 0 0.005
2014-05-06 0.005 0.005 0.005 0.005 1e+05 0.005
2014-05-07 0.005 0.005 0.005 0.005 28000 0.005
2014-05-08 0.005 0.005 0.005 0.005 0 0.005
2014-05-09 0.005 0.005 0.005 0.005 0 0.005
2014-05-12 0.005 0.005 0.005 0.005 394000 0.005
2014-05-13 0.01 0.01 0.01 0.01 10000 0.01
2014-05-14 0.005 0.005 0.005 0.005 76800 0.005
2014-05-15 0.005 0.005 0.005 0.005 0 0.005
2014-05-16 0.005 0.005 0.005 0.005 0 0.005
2014-05-19 0.005 0.005 0.005 0.005 0 0.005
2014-05-20 0.005 0.005 0.005 0.005 0 0.005
2014-05-21 0.005 0.005 0.005 0.005 0 0.005
2014-05-22 0.005 0.005 0.005 0.005 40000 0.005
2014-05-23 0.005 0.005 0.005 0.005 0 0.005
2014-05-26 0.005 0.005 0.005 0.005 0 0.005
2014-05-27 0.005 0.005 0.005 0.005 0 0.005
2014-05-28 0.005 0.005 0.005 0.005 0 0.005
2014-05-29 0.005 0.005 0.005 0.005 0 0.005
2014-05-30 0.005 0.005 0.005 0.005 25000 0.005
2014-06-02 0.005 0.005 0.005 0.005 0 0.005
2014-06-03 0.005 0.005 0.005 0.005 12900 0.005
2014-06-04 0.005 0.005 0.005 0.005 0 0.005
2014-06-05 0.005 0.005 0.005 0.005 0 0.005
2014-06-06 0.005 0.005 0.005 0.005 20000 0.005
2014-06-09 0.005 0.005 0.005 0.005 357000 0.005
2014-06-10 0.005 0.005 0.005 0.005 0 0.005
2014-06-11 0.005 0.005 0.005 0.005 0 0.005
2014-06-12 0.005 0.005 0.005 0.005 0 0.005
2014-06-13 0.005 0.005 0.005 0.005 25000 0.005
2014-06-16 0.005 0.005 0.005 0.005 130000 0.005
2014-06-17 0.005 0.005 0.005 0.005 0 0.005
2014-06-18 0.005 0.005 0.005 0.005 10000 0.005
2014-06-19 0.005 0.005 0.005 0.005 0 0.005
2014-06-20 0.005 0.005 0.005 0.005 0 0.005
2014-06-23 0.005 0.005 0.005 0.005 0 0.005
2014-06-24 0.005 0.005 0.005 0.005 0 0.005
2014-06-25 0.005 0.005 0.005 0.005 0 0.005
2014-06-26 0.005 0.005 0.005 0.005 0 0.005
2014-06-27 0.005 0.005 0.005 0.005 1500 0.005
2014-06-30 0.005 0.005 0.005 0.005 10000 0.005
2014-07-01 0.005 0.005 0.005 0.005 0 0.005
2014-07-02 0.005 0.005 0.005 0.005 1200 0.005
2014-07-03 0.005 0.005 0.005 0.005 0 0.005
2014-07-04 0.005 0.005 0.005 0.005 0 0.005
2014-07-07 0.005 0.005 0.005 0.005 0 0.005
2014-07-08 0.005 0.005 0.005 0.005 0 0.005
2014-07-09 0.005 0.01 0.005 0.01 76000 0.01
2014-07-10 0.01 0.01 0.01 0.01 0 0.01
2014-07-11 0.01 0.01 0.01 0.01 0 0.01
2014-07-14 0.01 0.01 0.01 0.01 0 0.01
2014-07-15 0.005 0.005 0.005 0.005 31000 0.005
2014-07-16 0.005 0.005 0.005 0.005 0 0.005
2014-07-17 0.01 0.01 0.01 0.01 51000 0.01
2014-07-18 0.01 0.015 0.01 0.015 4603600 0.015
2014-07-21 0.015 0.025 0.015 0.025 10454900 0.025
2014-07-22 0.025 0.025 0.015 0.02 3703300 0.02
2014-07-23 0.02 0.02 0.015 0.02 2372000 0.02
2014-07-24 0.02 0.025 0.02 0.025 5266000 0.025
2014-07-25 0.025 0.03 0.025 0.03 2790900 0.03
2014-07-28 0.03 0.03 0.02 0.025 3063700 0.025
2014-07-29 0.025 0.03 0.025 0.025 3932600 0.025
2014-07-30 0.025 0.025 0.025 0.025 1374000 0.025
2014-07-31 0.03 0.03 0.025 0.025 1411600 0.025
2014-08-01 0.025 0.035 0.025 0.03 7397200 0.03
2014-08-04 0.03 0.03 0.03 0.03 0 0.03
2014-08-05 0.03 0.03 0.025 0.025 739800 0.025
2014-08-06 0.03 0.03 0.025 0.025 3663800 0.025
2014-08-07 0.025 0.025 0.025 0.025 1e+05 0.025
2014-08-08 0.025 0.025 0.025 0.025 1900 0.025
2014-08-11 0.025 0.025 0.02 0.02 1780500 0.02
2014-08-12 0.02 0.02 0.02 0.02 117500 0.02
2014-08-13 0.02 0.02 0.02 0.02 580300 0.02
2014-08-14 0.015 0.015 0.015 0.015 70900 0.015
2014-08-15 0.015 0.02 0.015 0.02 410000 0.02
2014-08-18 0.02 0.02 0.02 0.02 20000 0.02
2014-08-19 0.015 0.015 0.015 0.015 32000 0.015
2014-08-20 0.02 0.02 0.02 0.02 20000 0.02
2014-08-21 0.02 0.02 0.02 0.02 0 0.02
2014-08-22 0.02 0.02 0.02 0.02 0 0.02
2014-08-25 0.02 0.02 0.02 0.02 0 0.02
2014-08-26 0.015 0.015 0.015 0.015 1800 0.015
2014-08-27 0.02 0.02 0.02 0.02 507700 0.02
2014-08-28 0.02 0.02 0.02 0.02 270000 0.02
2014-08-29 0.02 0.02 0.02 0.02 168300 0.02
2014-09-01 0.02 0.02 0.02 0.02 0 0.02
2014-09-02 0.02 0.02 0.02 0.02 90000 0.02
2014-09-03 0.015 0.02 0.015 0.015 326800 0.015
2014-09-04 0.02 0.02 0.02 0.02 601500 0.02
2014-09-05 0.015 0.015 0.015 0.015 1397000 0.015
2014-09-08 0.01 0.02 0.01 0.02 355200 0.02
2014-09-09 0.015 0.015 0.015 0.015 44500 0.015
2014-09-10 0.015 0.015 0.015 0.015 0 0.015
2014-09-11 0.015 0.015 0.015 0.015 0 0.015
2014-09-12 0.015 0.015 0.015 0.015 0 0.015
2014-09-15 0.015 0.015 0.015 0.015 0 0.015
2014-09-16 0.02 0.025 0.015 0.02 4889500 0.02
2014-09-17 0.015 0.015 0.01 0.01 592000 0.01
2014-09-18 0.01 0.01 0.01 0.01 177000 0.01
2014-09-19 0.01 0.01 0.01 0.01 0 0.01
2014-09-22 0.01 0.01 0.01 0.01 95000 0.01
2014-09-23 0.01 0.01 0.01 0.01 1773500 0.01
2014-09-24 0.01 0.01 0.01 0.01 1e+05 0.01
2014-09-25 0.01 0.01 0.005 0.005 1343000 0.005
2014-09-26 0.005 0.005 0.005 0.005 57000 0.005
2014-09-29 0.005 0.005 0.005 0.005 0 0.005
2014-09-30 0.005 0.005 0.005 0.005 145000 0.005
2014-10-01 0.01 0.01 0.01 0.01 273000 0.01
2014-10-02 0.01 0.01 0.01 0.01 0 0.01
2014-10-03 0.01 0.01 0.01 0.01 0 0.01
2014-10-06 0.01 0.01 0.01 0.01 0 0.01
2014-10-07 0.005 0.005 0.005 0.005 10000 0.005
2014-10-08 0.01 0.01 0.005 0.005 48700 0.005
2014-10-09 0.01 0.01 0.01 0.01 1934500 0.01
2014-10-10 0.015 0.02 0.015 0.015 1152500 0.015
