"Index" "LPE.Open" "LPE.High" "LPE.Low" "LPE.Close" "LPE.Volume" "LPE.Adjusted"
2013-02-20 66.6 66.6 66.6 66.6 0 66.6
2013-02-21 66.95 66.95 66.95 66.95 0 66.95
2013-02-22 67.35 67.35 67.35 67.35 0 67.35
2013-02-25 68.35 68.35 68.35 68.35 0 68.35
2013-02-26 68.35 68.35 68.35 68.35 0 68.35
2013-02-27 67.81 67.81 67.81 67.81 0 67.81
2013-02-28 67.38 67.38 67.38 67.38 0 67.38
2013-03-01 67.26 67.26 67.26 67.26 0 67.26
2013-03-04 67.15 67.15 67.15 67.15 0 67.15
2013-03-05 67.01 67.01 67.01 67.01 0 67.01
2013-03-06 66.85 66.85 66.85 66.85 0 66.85
2013-03-07 66.25 66.25 66.25 66.25 0 66.25
2013-03-08 66.75 66.75 66.75 66.75 0 66.75
2013-03-11 66.46 66.46 66.46 66.46 0 66.46
2013-03-12 64.75 64.75 64.75 64.75 0 64.75
2013-03-13 62.97 62.97 62.97 62.97 0 62.97
2013-03-14 64.78 64.78 64.78 64.78 0 64.78
2013-03-15 64.75 64.75 64.75 64.75 0 64.75
2013-03-18 64.95 64.95 64.95 64.95 0 64.95
2013-03-19 63.35 63.35 63.35 63.35 0 63.35
2013-03-20 63.55 63.55 63.55 63.55 0 63.55
2013-03-21 62.1 62.1 62.1 62.1 0 62.1
2013-03-22 62.65 62.65 62.65 62.65 0 62.65
2013-03-25 62.96 62.96 62.96 62.96 0 62.96
2013-03-26 62.27 62.27 62.27 62.27 0 62.27
2013-03-27 60.77 60.77 60.77 60.77 0 60.77
2013-03-28 60.36 60.36 60.36 60.36 0 60.36
2013-03-29 60.36 60.36 60.36 60.36 0 60.36
2013-04-01 60.36 60.36 60.36 60.36 0 60.36
2013-04-02 61.87 61.87 61.87 61.87 0 61.87
2013-04-03 62.06 62.06 62.06 62.06 0 62.06
2013-04-04 61.96 61.96 61.96 61.96 0 61.96
2013-04-05 62.05 62.05 62.05 62.05 0 62.05
2013-04-08 61.15 61.15 61.15 61.15 0 61.15
2013-04-09 61.21 61.21 61.21 61.21 0 61.21
2013-04-10 61.26 61.26 61.26 61.26 0 61.26
2013-04-11 61.1 61.1 61.1 61.1 0 61.1
2013-04-12 61.45 61.45 61.45 61.45 0 61.45
2013-04-15 61.55 61.55 61.55 61.55 0 61.55
2013-04-16 60.57 60.57 60.57 60.57 0 60.57
2013-04-17 60 60 60 60 0 60
2013-04-18 58.78 58.78 58.78 58.78 0 58.78
2013-04-19 59.04 59.04 59.04 59.04 0 59.04
2013-04-22 59.38 59.38 59.38 59.38 0 59.38
2013-04-23 58.75 58.75 58.75 58.75 0 58.75
2013-04-24 59.54 59.54 59.54 59.54 0 59.54
2013-04-25 59.6 59.6 59.6 59.6 0 59.6
2013-04-26 59.75 59.75 59.75 59.75 0 59.75
2013-04-29 59.62 59.62 59.62 59.62 0 59.62
2013-04-30 59.75 59.75 59.75 59.75 0 59.75
2013-05-01 59.75 59.75 59.75 59.75 0 59.75
2013-05-02 60.81 60.81 60.81 60.81 0 60.81
2013-05-03 62.5 62.5 62.5 62.5 0 62.5
2013-05-06 64.22 64.22 64.22 64.22 0 64.22
2013-05-07 66.75 66.75 66.75 66.75 0 66.75
2013-05-08 66.55 66.55 66.55 66.55 0 66.55
2013-05-09 64.29 64.29 64.29 64.29 0 64.29
2013-05-10 64.95 64.95 64.95 64.95 0 64.95
2013-05-13 65.15 65.15 65.15 65.15 0 65.15
2013-05-14 64.09 64.09 64.09 64.09 0 64.09
2013-05-15 62.75 62.75 62.75 62.75 0 62.75
2013-05-16 62.56 62.56 62.56 62.56 0 62.56
2013-05-17 62.75 62.75 62.75 62.75 0 62.75
2013-05-20 63.36 63.36 63.36 63.36 0 63.36
2013-05-21 62.41 62.41 62.41 62.41 0 62.41
2013-05-22 62.47 62.47 62.47 62.47 0 62.47
2013-05-23 61.42 61.42 61.42 61.42 0 61.42
2013-05-24 61.62 61.62 61.62 61.62 0 61.62
2013-05-27 61.8 61.8 61.8 61.8 0 61.8
2013-05-28 62.06 62.06 62.06 62.06 0 62.06
2013-05-29 63.55 63.55 63.55 63.55 0 63.55
2013-05-30 63.76 63.76 63.76 63.76 0 63.76
2013-05-31 63.9 63.9 63.9 63.9 0 63.9
2013-06-03 66.56 66.56 66.56 66.56 0 66.56
2013-06-04 66.75 66.75 66.75 66.75 0 66.75
2013-06-05 68.21 68.21 68.21 68.21 0 68.21
2013-06-06 67.37 67.37 67.37 67.37 0 67.37
2013-06-07 66.92 66.92 66.92 66.92 0 66.92
2013-06-10 65.81 65.81 65.81 65.81 0 65.81
2013-06-11 65.75 65.75 65.75 65.75 0 65.75
2013-06-12 64.9 64.9 64.9 64.9 0 64.9
2013-06-13 64.95 64.95 64.95 64.95 0 64.95
2013-06-14 64.9 64.9 64.9 64.9 0 64.9
2013-06-17 65.13 65.13 65.13 65.13 0 65.13
2013-06-18 64.75 64.75 64.75 64.75 0 64.75
