"Index" "USD.HUF"
2013-11-25 220.6025
2013-11-26 220.363
2013-11-27 220.114
2013-11-28 220.322
2013-11-29 220.9195
2013-11-30 221.8995
2013-12-01 221.907
2013-12-02 222.83
2013-12-03 223.532
2013-12-04 222.629
2013-12-05 221.6375
2013-12-06 220.511
2013-12-07 219.1915
2013-12-08 219.306
2013-12-09 219.6375
2013-12-10 219.204
2013-12-11 219.539
2013-12-12 220.109
2013-12-13 220.327
2013-12-14 219.68
2013-12-15 219.6875
2013-12-16 218.61
2013-12-17 217.3885
2013-12-18 217.042
2013-12-19 218.6425
2013-12-20 218.8905
2013-12-21 218.3475
2013-12-22 218.518
2013-12-23 217.9175
2013-12-24 217.2235
2013-12-25 217.145
2013-12-26 216.915
2013-12-27 215.6205
2013-12-28 215.7275
2013-12-29 215.7215
2013-12-30 215.424
2013-12-31 215.3965
2014-01-01 216.211
2014-01-02 217.16
2014-01-03 218.7765
2014-01-04 220.0495
2014-01-05 220.04
2014-01-06 219.891
2014-01-07 220.148
2014-01-08 220.7145
2014-01-09 220.5565
2014-01-10 219.5435
2014-01-11 218.429
2014-01-12 218.4035
2014-01-13 218.543
2014-01-14 218.769
2014-01-15 219.9445
2014-01-16 220.8055
2014-01-17 221.3345
2014-01-18 222.5785
2014-01-19 222.298
2014-01-20 222.545
2014-01-21 223.2565
2014-01-22 223.099
2014-01-23 223.082
2014-01-24 223.1625
2014-01-25 222.8375
2014-01-26 222.656
2014-01-27 223.234
2014-01-28 223.2405
2014-01-29 223.796
2014-01-30 227.668
2014-01-31 229.905
2014-02-01 231.472
2014-02-02 231.5055
2014-02-03 231.6845
2014-02-04 230.4165
2014-02-05 228.243
2014-02-06 227.4295
2014-02-07 226.3685
2014-02-08 225.578
2014-02-09 226.4485
2014-02-10 227.0945
2014-02-11 227.4265
2014-02-12 227.196
2014-02-13 227.562
2014-02-14 226.3965
2014-02-15 225.497
2014-02-16 225.4175
2014-02-17 225.182
2014-02-18 225.247
2014-02-19 226.8855
2014-02-20 228.116
2014-02-21 226.841
2014-02-22 225.941
2014-02-23 225.96
2014-02-24 225.7195
2014-02-25 225.241
2014-02-26 225.576
2014-02-27 226.9635
2014-02-28 225.4525
2014-03-01 224.563
2014-03-02 224.8
2014-03-03 226.862
2014-03-04 226.9025
2014-03-05 225.7665
2014-03-06 224.6095
2014-03-07 223.6345
