"Index" "STZ.Open" "STZ.High" "STZ.Low" "STZ.Close" "STZ.Volume" "STZ.Adjusted"
2013-07-15 52.43 52.5 52.02 52.25 1029300 51.859352
2013-07-16 52.130001 52.689999 52.009998 52.389999 1705700 51.998305
2013-07-17 52.5 52.5 51.650002 51.84 2503200 51.452418
2013-07-18 51.77 51.939999 51.57 51.889999 2158900 51.502043
2013-07-19 52.02 52.07 51.299999 52.02 2245200 51.631072
2013-07-22 51.860001 52.369999 51.779999 52.18 1297700 51.789876
2013-07-23 52.330002 52.330002 51.459999 51.5 1252700 51.11496
2013-07-24 51.540001 51.779999 50.169998 50.900002 2251700 50.519447
2013-07-25 50.630001 50.630001 49.32 50 3076200 49.626175
2013-07-26 49.830002 50.779999 49.709999 50.599998 1503000 50.221687
2013-07-29 50.610001 51.299999 50.5 51.110001 1094400 50.727876
2013-07-30 51.330002 51.98 51.330002 51.529999 1424100 51.144734
2013-07-31 51.73 52.52 51.630001 52.09 1948100 51.700549
2013-08-01 52.5 53.450001 52.5 53.09 1598700 52.693072
2013-08-02 53.139999 53.720001 52.950001 53.419998 982200 53.020603
2013-08-05 53.299999 54.029999 53.299999 54.02 1131100 53.616119
2013-08-06 54.02 54.220001 53.799999 54.110001 1601300 53.705447
2013-08-07 54.040001 54.209999 53.880001 53.970001 1526700 53.566494
2013-08-08 54.099998 54.799999 53.98 54.669998 1108500 54.261257
2013-08-09 54.5 54.759998 54.18 54.259998 1211200 53.854323
2013-08-12 53.990002 54.09 53.68 54.07 712900 53.665745
2013-08-13 54.130001 54.91 53.919998 54.709999 1260500 54.300959
2013-08-14 54.700001 54.740002 54.389999 54.43 1068500 54.023054
2013-08-15 53.779999 53.990002 53.34 53.610001 1303500 53.209185
2013-08-16 53.419998 54.040001 53.169998 53.939999 1107500 53.536716
2013-08-19 53.779999 54.389999 53.619999 53.830002 943300 53.427541
2013-08-20 53.799999 54.599998 53.639999 54.209999 776900 53.804698
2013-08-21 53.98 54.25 53.119999 53.939999 1429100 53.536716
2013-08-22 53.939999 55.27 53.939999 55.18 1130800 54.767447
2013-08-23 55.34 56 55.139999 55.860001 1824600 55.442363
2013-08-26 55.900002 55.900002 55.580002 55.689999 1540100 55.273632
2013-08-27 55.07 55.450001 54.75 55 1061900 54.588792
2013-08-28 54.619999 54.849998 54.23 54.59 1100600 54.181858
2013-08-29 54.330002 55.02 54.220001 54.57 723000 54.162007
2013-08-30 54.5 54.700001 53.98 54.25 949900 53.844399
2013-09-03 55.200001 55.619999 54.220001 55.18 1885500 54.767447
2013-09-04 55.130001 56.220001 54.93 56.009998 2870900 55.591239
2013-09-05 56 56.68 55.849998 56.52 1977600 56.097428
2013-09-06 57.560001 58.200001 56.959999 57.68 3919800 57.248755
2013-09-09 57.700001 58.200001 57.419998 57.93 1278200 57.496886
2013-09-10 58.18 58.32 57.700001 58.240002 1106100 57.80457
2013-09-11 58.240002 58.630001 57.98 58.389999 1221300 57.953446
2013-09-12 58.419998 58.529999 58 58.040001 1145000 57.606064
2013-09-13 58.040001 58.709999 57.889999 58.700001 2550300 58.26113
2013-09-16 59.450001 59.639999 58.75 58.82 1252500 58.380231
2013-09-17 58.970001 59.549999 58.919998 59.349998 1904400 58.906268
2013-09-18 59.299999 59.810001 58.900002 59.669998 1516800 59.223875
2013-09-19 59.919998 59.919998 58.669998 58.68 1342800 58.241279
2013-09-20 58.52 58.73 57.07 57.240002 3905200 56.812046
2013-09-23 57.259998 57.68 56.779999 57.470001 1425800 57.040326
2013-09-24 57.5 58.080002 57.07 57.400002 1174000 56.97085
2013-09-25 57.529999 57.77 57.290001 57.470001 936000 57.040326
2013-09-26 57.540001 57.939999 57.209999 57.549999 681300 57.119726
2013-09-27 57.220001 57.389999 56.73 56.98 1044400 56.553988
2013-09-30 56.66 57.439999 56.490002 57.400002 1288500 56.97085
2013-10-01 57.330002 57.939999 57.23 57.889999 1536100 57.457184
2013-10-02 57.720001 58.259998 57.09 58.259998 1870900 57.824417
2013-10-03 58.830002 60.59 58.5 60.150002 4622700 59.70029
2013-10-04 60.150002 62.150002 60.07 61.970001 4634600 61.506682
2013-10-07 61.599998 61.849998 60.98 61.110001 1684200 60.653111
2013-10-08 61.110001 61.18 59.599998 59.84 2156700 59.392606
2013-10-09 59.98 60.139999 59.25 59.650002 1440100 59.204028
2013-10-10 60.220001 60.98 59.810001 60.950001 1289900 60.494308
2013-10-11 61.25 63.049999 61.02 62.990002 3482100 62.519056
2013-10-14 62.540001 63.439999 62.299999 63.18 1367600 62.707634
2013-10-15 63.200001 63.349998 62.119999 62.299999 914000 61.834213
2013-10-16 62.740002 63.639999 62.689999 63.27 1125800 62.796962
2013-10-17 62.970001 64.07 62.759998 63.889999 1430800 63.412325
2013-10-18 64.099998 64.349998 63.580002 64.330002 1319400 63.849038
2013-10-21 64.470001 64.580002 63.93 64.419998 934200 63.938361
2013-10-22 64.620003 64.949997 64.110001 64.419998 1421400 63.938361
2013-10-23 64.330002 64.519997 63.470001 63.990002 1167600 63.51158
2013-10-24 64.110001 64.410004 63.689999 63.849998 2068100 63.372623
2013-10-25 63.900002 64.400002 63.560001 63.91 1347900 63.432176
2013-10-28 64.019997 65.169998 63.75 65.010002 1672600 64.523954
2013-10-29 65.050003 65.669998 65.050003 65.639999 1470700 65.149241
2013-10-30 65.669998 65.790001 64.489998 64.690002 1093800 64.206347
2013-10-31 64.589996 65.419998 64.489998 65.300003 2167000 64.811787
2013-11-01 65.449997 65.68 65.089996 65.599998 1610400 65.10954
2013-11-04 65.68 65.980003 65.25 65.779999 963700 65.288194
2013-11-05 65.449997 66.169998 65.230003 66.07 1067200 65.576027
2013-11-06 66.199997 66.610001 65.739998 66.410004 1207800 65.913489
2013-11-07 66.620003 66.690002 65.489998 65.650002 1371000 65.159169
2013-11-08 65.650002 66.760002 65.650002 66.760002 1428000 66.26087
2013-11-11 66.690002 66.970001 66.559998 66.699997 605400 66.201314
2013-11-12 66.540001 67.080002 66.279999 67.040001 1060100 66.538776
2013-11-13 66.620003 67.400002 66.360001 67.300003 1233100 66.796834
2013-11-14 67.519997 68.150002 67.519997 68.07 1193400 67.561074
2013-11-15 68.349998 69.790001 68.239998 69.139999 2760900 68.623074
2013-11-18 69.230003 69.449997 68.940002 69.230003 1577400 68.712405
2013-11-19 69 69.309998 68.830002 69.059998 947700 68.54367
2013-11-20 69.089996 69.449997 68.699997 69.019997 1141800 68.503968
2013-11-21 69.029999 69.5 68.910004 69.349998 705300 68.831503
2013-11-22 69.43 70.400002 69.209999 70.360001 862600 69.833953
2013-11-25 70.449997 70.900002 69.010002 69.150002 1904700 68.633001
2013-11-26 69.410004 70.720001 69.25 70.489998 1668800 69.962979
2013-11-27 70.470001 71.18 70.220001 70.989998 636900 70.459241
2013-11-29 71.019997 71.099998 70.230003 70.410004 280600 69.883583
2013-12-02 70.669998 71.029999 70.269997 70.720001 720500 70.191263
2013-12-03 70.470001 71.220001 70.349998 71.190002 848800 70.65775
2013-12-04 70.779999 71.440002 70.300003 71.279999 1237700 70.747073
2013-12-05 71.370003 71.370003 69.660004 70.080002 1513000 69.556048
2013-12-06 70.480003 71.07 70.449997 70.650002 1018100 70.121786
2013-12-09 70.809998 71.419998 70.599998 70.610001 797100 70.082084
2013-12-10 70.489998 71.279999 70.309998 70.980003 1397000 70.449321
2013-12-11 71.220001 71.620003 69.879997 70.080002 1666600 69.556048
2013-12-12 69.940002 70.349998 69.410004 70.089996 1107700 69.565968
2013-12-13 70.239998 70.470001 69.019997 69.32 1215600 68.801728
2013-12-16 69.720001 70.940002 69.720001 70.57 1153500 70.042382
2013-12-17 70.57 70.760002 69.82 70.169998 720000 69.645372
