"Index" "R6.Open" "R6.High" "R6.Low" "R6.Close" "R6.Volume" "R6.Adjusted"
2013-06-05 376.86 376.86 376.86 376.86 0 376.86
2013-06-06 380.15 380.15 380.15 380.15 0 380.15
2013-06-07 376.92 376.92 376.92 376.92 0 376.92
2013-06-10 381.33 381.33 381.33 381.33 0 381.33
2013-06-11 373.47 373.47 373.47 373.47 0 373.47
2013-06-12 369.8 369.8 369.8 369.8 0 369.8
2013-06-13 370.01 370.01 370.01 370.01 0 370.01
2013-06-14 368.03 368.03 368.03 368.03 0 368.03
2013-06-17 370.59 370.59 370.59 370.59 0 370.59
2013-06-18 369.83 369.83 369.83 369.83 0 369.83
2013-06-19 366.13 366.13 366.13 366.13 0 366.13
2013-06-20 352.39 352.39 352.39 352.39 0 352.39
2013-06-21 356.68 356.68 356.68 356.68 0 356.68
2013-06-24 351.82 351.82 351.82 351.82 0 351.82
2013-06-25 355.11 355.11 355.11 355.11 0 355.11
2013-06-26 363.17 363.17 363.17 363.17 0 363.17
2013-06-27 370.92 370.92 370.92 370.92 0 370.92
2013-06-28 379.89 379.89 379.89 379.89 0 379.89
2013-07-01 384.66 384.66 384.66 384.66 0 384.66
2013-07-02 381.57 381.57 381.57 381.57 0 381.57
2013-07-03 381.61 381.61 381.61 381.61 0 381.61
2013-07-04 384.9 384.9 384.9 384.9 0 384.9
2013-07-05 379.6 379.6 379.6 379.6 0 379.6
2013-07-08 374.95 374.95 374.95 374.95 0 374.95
2013-07-09 375.95 375.95 375.95 375.95 0 375.95
2013-07-10 374.15 374.15 374.15 374.15 0 374.15
2013-07-11 378.64 378.64 378.64 378.64 0 378.64
2013-07-12 377.53 377.53 377.53 377.53 0 377.53
2013-07-15 377.66 377.66 377.66 377.66 0 377.66
2013-07-16 372.09 372.09 372.09 372.09 0 372.09
2013-07-17 377.1 377.1 377.1 377.1 0 377.1
2013-07-18 377.59 377.59 377.59 377.59 0 377.59
2013-07-19 374.18 374.18 374.18 374.18 0 374.18
2013-07-22 375.98 375.98 375.98 375.98 0 375.98
2013-07-23 382.16 382.16 382.16 382.16 0 382.16
2013-07-24 382.7 382.7 382.7 382.7 0 382.7
2013-07-25 382.37 382.37 382.37 382.37 0 382.37
2013-07-26 384.93 384.93 384.93 384.93 0 384.93
2013-07-29 378.61 378.61 378.61 378.61 0 378.61
2013-07-30 377.86 377.86 377.86 377.86 0 377.86
2013-07-31 383.36 383.36 383.36 383.36 0 383.36
2013-08-01 392.88 392.88 392.88 392.88 0 392.88
2013-08-02 394.82 394.82 394.82 394.82 0 394.82
2013-08-05 393.66 393.66 393.66 393.66 0 393.66
2013-08-06 393.82 393.82 393.82 393.82 0 393.82
2013-08-07 396.99 396.99 396.99 396.99 0 396.99
2013-08-08 401.51 401.51 401.51 401.51 0 401.51
2013-08-09 400.98 400.98 400.98 400.98 0 400.98
2013-08-12 396.5 396.5 396.5 396.5 0 396.5
2013-08-13 398.48 398.48 398.48 398.48 0 398.48
2013-08-14 399.05 399.05 399.05 399.05 0 399.05
