"Index" "USD.INR"
2014-06-29 59.9935
2014-06-30 60.0604
2014-07-01 60.0592
2014-07-02 59.7403
2014-07-03 59.5649
2014-07-04 59.6085
2014-07-05 59.7255
2014-07-06 59.6475
2014-07-07 59.8237
2014-07-08 59.7908
2014-07-09 59.728
2014-07-10 59.7966
2014-07-11 60.0118
2014-07-12 60.0275
2014-07-13 60.0275
2014-07-14 59.9975
2014-07-15 60.0544
2014-07-16 60.0417
2014-07-17 60.0539
2014-07-18 60.2695
2014-07-19 60.2855
2014-07-20 60.172
2014-07-21 60.1855
2014-07-22 60.1196
2014-07-23 59.9437
2014-07-24 59.9053
2014-07-25 59.931
2014-07-26 59.904
2014-07-27 59.904
2014-07-28 59.9332
2014-07-29 60.0318
2014-07-30 60.1324
2014-07-31 60.497
2014-08-01 60.9562
2014-08-02 60.909
2014-08-03 60.909
2014-08-04 61.0112
2014-08-05 60.9552
2014-08-06 61.2925
2014-08-07 61.3786
2014-08-08 61.3866
2014-08-09 61.1455
2014-08-10 61.0995
2014-08-11 61.1336
2014-08-12 61.2012
2014-08-13 61.1628
2014-08-14 60.9104
2014-08-15 60.8433
2014-08-16 60.916
2014-08-17 60.916
2014-08-18 60.8614
2014-08-19 60.7499
2014-08-20 60.7342
2014-08-21 60.6732
2014-08-22 60.4584
2014-08-23 60.366
2014-08-24 60.366
2014-08-25 60.475
2014-08-26 60.5074
2014-08-27 60.3918
2014-08-28 60.4817
2014-08-29 60.555
2014-08-30 60.5205
2014-08-31 60.6055
2014-09-01 60.5366
2014-09-02 60.6119
2014-09-03 60.5112
2014-09-04 60.372
2014-09-05 60.3371
2014-09-06 60.1925
2014-09-07 60.1925
2014-09-08 60.2658
2014-09-09 60.6132
2014-09-10 60.8715
2014-09-11 60.8224
2014-09-12 60.8496
2014-09-13 61.0075
2014-09-14 61.0075
2014-09-15 61.0875
2014-09-16 61.0712
2014-09-17 60.9753
2014-09-18 60.944
2014-09-19 60.764
2014-09-20 60.8175
2014-09-21 60.8175
2014-09-22 60.8317
2014-09-23 60.9325
2014-09-24 60.9269
2014-09-25 61.1137
2014-09-26 61.3638
2014-09-27 61.3285
2014-09-28 61.3285
2014-09-29 61.5351
2014-09-30 61.7667
2014-10-01 61.79
2014-10-02 61.5771
2014-10-03 61.5618
2014-10-04 61.6995
2014-10-05 61.6995
2014-10-06 61.5908
2014-10-07 61.3983
2014-10-08 61.4205
2014-10-09 60.9827
2014-10-10 61.14
2014-10-11 61.2395
2014-10-12 61.2395
2014-10-13 61.1171
2014-10-14 61.182
2014-10-15 61.4044
2014-10-16 61.6378
2014-10-17 61.5228
2014-10-18 61.2955
2014-10-19 61.2955
2014-10-20 61.2318
2014-10-21 61.1131
2014-10-22 61.0724
2014-10-23 61.0919
2014-10-24 61.0756
2014-10-25 61.0135
2014-10-26 61.0135
2014-10-27 61.1614
2014-10-28 61.2257
2014-10-29 61.2147
2014-10-30 61.3505
2014-10-31 61.2805
2014-11-01 61.2995
2014-11-02 61.2995
2014-11-03 61.3077
2014-11-04 61.2827
2014-11-05 61.2724
2014-11-06 61.3165
2014-11-07 61.4236
2014-11-08 61.3455
2014-11-09 61.3455
2014-11-10 61.4402
2014-11-11 61.5107
2014-11-12 61.4237
2014-11-13 61.4264
2014-11-14 61.5915
2014-11-15 61.5925
2014-11-16 61.5925
2014-11-17 61.6628
2014-11-18 61.7071
