"Index" "USD.THB"
2015-01-02 32.9538
2015-01-03 32.9683
2015-01-04 32.9685
2015-01-05 32.9892
2015-01-06 32.9182
2015-01-07 32.8844
2015-01-08 32.8807
2015-01-09 32.8702
2015-01-10 32.8447
2015-01-11 32.8445
2015-01-12 32.863
2015-01-13 32.8487
2015-01-14 32.7851
2015-01-15 32.7479
2015-01-16 32.6353
2015-01-17 32.5338
2015-01-18 32.5335
2015-01-19 32.5677
2015-01-20 32.6956
2015-01-21 32.6346
2015-01-22 32.5814
2015-01-23 32.5957
2015-01-24 32.5474
2015-01-25 32.547
2015-01-26 32.5674
2015-01-27 32.5479
2015-01-28 32.5639
2015-01-29 32.6704
2015-01-30 32.7357
2015-01-31 32.6902
2015-02-01 32.69
2015-02-02 32.6165
2015-02-03 32.5843
2015-02-04 32.6105
2015-02-05 32.6109
2015-02-06 32.5874
2015-02-07 32.656
2015-02-08 32.656
2015-02-09 32.6241
2015-02-10 32.6145
2015-02-11 32.647
2015-02-12 32.6668
2015-02-13 32.6093
2015-02-14 32.6009
2015-02-15 32.601
2015-02-16 32.5916
2015-02-17 32.5813
2015-02-18 32.5771
2015-02-19 32.5566
2015-02-20 32.5542
2015-02-21 32.5397
2015-02-22 32.54
2015-02-23 32.563
2015-02-24 32.5642
2015-02-25 32.5393
2015-02-26 32.4115
2015-02-27 32.3568
2015-02-28 32.3406
2015-03-01 32.34
2015-03-02 32.3435
2015-03-03 32.3538
2015-03-04 32.3777
2015-03-05 32.4169
2015-03-06 32.4633
2015-03-07 32.5902
2015-03-08 32.59
2015-03-09 32.5744
2015-03-10 32.6676
2015-03-11 32.802
2015-03-12 32.8547
2015-03-13 32.8785
2015-03-14 32.92
2015-03-15 32.92
2015-03-16 32.9166
2015-03-17 32.9223
2015-03-18 32.8891
2015-03-19 32.7327
2015-03-20 32.6834
2015-03-21 32.5815
2015-03-22 32.5815
2015-03-23 32.5401
2015-03-24 32.5165
2015-03-25 32.5326
2015-03-26 32.5565
2015-03-27 32.5737
2015-03-28 32.5695
2015-03-29 32.5695
2015-03-30 32.582
2015-03-31 32.5495
2015-04-01 32.5101
2015-04-02 32.4681
2015-04-03 32.4481
2015-04-04 32.4015
2015-04-05 32.4015
2015-04-06 32.4285
2015-04-07 32.5338
2015-04-08 32.558
2015-04-09 32.554
2015-04-10 32.5485
2015-04-11 32.5495
2015-04-12 32.5495
2015-04-13 32.5669
2015-04-14 32.4938
2015-04-15 32.4516
2015-04-16 32.4116
2015-04-17 32.3757
2015-04-18 32.3525
2015-04-19 32.3525
2015-04-20 32.3829
2015-04-21 32.3952
2015-04-22 32.3695
2015-04-23 32.4302
2015-04-24 32.5116
2015-04-25 32.569
2015-04-26 32.569
2015-04-27 32.6229
2015-04-28 32.6188
2015-04-29 32.7524
2015-04-30 32.9413
2015-05-01 33.0981
2015-05-02 33.24
2015-05-03 33.24
2015-05-04 33.2917
2015-05-05 33.3572
2015-05-06 33.2775
2015-05-07 33.4562
2015-05-08 33.5328
